id,Label,Description,GO,Symbol,KEGG,MapMan,MSU_LOC,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity
0,Os06g0271900,Hypothetical protein.,,,,,None,,36.2338049598957,4446,GreenYellow,16.0523534221383
1,Os12g0620000,Similar to Leucine Rich Repeat family protein.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,,"['signalling.receptor kinases.leucine rich repeat XI', 'signalling.receptor kinases.leucine rich repeat XII', 'signalling.receptor kinases.misc']",LOC_Os12g42520,,32.1628716774616,4868,GreenYellow,15.7684953053583
2,Os03g0293850,Similar to Ribosomal protein S15 containing protein.,,,,['not assigned.unknown'],LOC_Os03g18264,,34.1597798554284,4644,GreenYellow,15.2606588326721
3,Os11g0633500,Similar to NBS-LRR disease resistance protein homologue (Fragment).,"Biological Process: defense response (GO:0006952), Molecular Function: ADP binding (GO:0043531)",OsRPP8,,['stress.biotic.PR-proteins'],LOC_Os11g41540,,26.7784335587814,5510,GreenYellow,14.0306836540515
4,Os01g0650800,"Transposon, En/Spm-like domain containing protein.",,,,['not assigned.unknown'],LOC_Os01g46200,,29.993214407506,5119,GreenYellow,13.7992788780359
5,Os09g0310800,"Similar to Glycosyl hydrolase family 9 protein, expressed.",,,,['not assigned.unknown'],LOC_Os09g14019,,26.0787895573628,5599,GreenYellow,13.7549619931108
6,Os03g0424200,Serine/threonine protein kinase-related domain containing protein.,"Biological Process: protein phosphorylation (GO:0006468), Biological Process: protein ubiquitination (GO:0016567), Cellular Component: ubiquitin ligase complex (GO:0000151), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ubiquitin-protein ligase activity (GO:0004842), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",OsPUB57,,['protein.degradation.ubiquitin.ubiquitin protease'],LOC_Os03g31070,,33.9696998375587,4662,GreenYellow,13.22722261994
7,Os11g0692000,Hypothetical protein.,,,,,None,,36.0993981318114,4457,GreenYellow,13.0496069298703
8,Os02g0508500,"Conserved hypothetical protein., Transposase, MuDR, plant domain containing protein.",,,,['not assigned.unknown'],LOC_Os02g30530,,37.1741658780867,4362,GreenYellow,12.5410361111424
9,Os06g0621500,Conserved hypothetical protein.,,,,['stress.biotic.PR-proteins'],LOC_Os06g41660,,29.3905697075881,5181,GreenYellow,12.1242952275699
10,Os03g0784600,Conserved hypothetical protein.,,,,['cell.organisation'],LOC_Os03g57110,,31.3402430841958,4971,GreenYellow,12.0269983439382
11,Os02g0464400,"Similar to D-mannose binding lectin family protein, expressed.",,,,['not assigned.unknown'],LOC_Os02g26550,,31.1799157078099,4982,GreenYellow,11.9611030697775
12,Os06g0146200,Conserved hypothetical protein.,,,,['not assigned.unknown'],LOC_Os06g05368,,20.4030126696156,6479,GreenYellow,11.748645570017
13,Os06g0506100,Pentatricopeptide repeat domain containing protein.,Molecular Function: binding (GO:0005488),,,"['RNA.regulation of transcription.MYB domain transcription factor family', 'transport.misc']",LOC_Os06g30940,,27.4535280824093,5434,GreenYellow,11.7420778758652
14,Os07g0434100,Hypothetical gene.,,,,,None,,20.6582797857784,6434,GreenYellow,11.7115458489147
15,Os01g0923400,Hypothetical conserved gene.,,,,['not assigned.unknown'],LOC_Os01g69904,,23.8294745187213,5947,GreenYellow,11.586289985874
16,Os12g0511500,Disease resistance protein domain containing protein.,"Biological Process: defense response (GO:0006952), Molecular Function: ADP binding (GO:0043531)",,,['stress.biotic.PR-proteins'],LOC_Os12g32670,,27.2831900828857,5454,GreenYellow,11.0785012159766
17,Os12g0197600,Hypothetical gene.,,,,['not assigned.unknown'],LOC_Os12g09584,,19.6113269972811,6628,GreenYellow,11.0100703531055
18,Os09g0131400,"Hypothetical protein., Similar to tobamovirus multiplication 3.",,,,['not assigned.unknown'],"LOC_Os09g04504, LOC_Os09g04508",,32.3010405897162,4852,GreenYellow,10.8848354215435
19,Os02g0824000,Hypothetical conserved gene.,Molecular Function: binding (GO:0005488),,,['development.unspecified'],LOC_Os02g57800,,25.5772631505804,5684,GreenYellow,10.7885805737696
20,Os05g0169500,Hypothetical protein.,,,,,None,,22.2496749297143,6169,GreenYellow,10.6734596072371
21,Os10g0446600,Conserved hypothetical protein.,,,,['not assigned.unknown'],LOC_Os10g30951,,26.8617934990578,5500,GreenYellow,10.3806597260505
22,Os06g0113950,"Hypothetical conserved gene., Similar to RuBisCO large subunit-binding protein subunit beta.",,,,,None,,30.9457285133542,5009,GreenYellow,10.3756172590406
23,Os09g0498000,Hypothetical gene.,,,,['not assigned.unknown'],LOC_Os09g32270,,22.6809420852479,6105,GreenYellow,10.2427909473931
24,Os02g0304800,Hypothetical conserved gene.,Molecular Function: binding (GO:0005488),,,['development.unspecified'],LOC_Os02g20160,,25.0522051078319,5763,GreenYellow,10.2325264115702
25,Os06g0361500,"Similar to cDNA clone:J013000C15, full insert sequence.",,,,,None,,20.3461230629033,6487,GreenYellow,10.2290215570745
