id,Label,Description,GO,Symbol,KEGG,MapMan,MSU_LOC,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity
0,Os06g0562600,"Similar to T-complex protein 1, epsilon subunit (TCP-1-epsilon) (CCT-epsilon) (TCP-K36).","Biological Process: protein folding (GO:0006457), Biological Process: cellular protein metabolic process (GO:0044267), Molecular Function: ATP binding (GO:0005524), Molecular Function: unfolded protein binding (GO:0051082)",,,['protein.folding'],LOC_Os06g36700,,186.646320433457,195,Brown,183.864113794076
1,Os03g0352300,"Similar to Nucleolar protein., Similar to nucleolar protein Nop56.",,,Ribosome biogenesis in eukaryotes,['RNA.regulation of transcription.putative transcription regulator'],LOC_Os03g22880,,185.375152964043,204,Brown,183.224916326446
2,Os04g0620700,"Nucleolin-like protein, Salt stress response, Hypothetical conserved gene.","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)",OsNUC1-S,,"['protein.synthesis.ribosomal RNA', 'signalling.G-proteins']",LOC_Os04g52960,,185.032120518279,210,Brown,182.614688772547
3,Os07g0636000,Similar to H/ACA ribonucleoprotein complex subunit 4 (EC 5.4.99.-) (Nucleolar protein NAP57 homolog) (Nopp-140 associated protein of 57 kDa homolog) (AtNAP57).,"Biological Process: pseudouridine synthesis (GO:0001522), Biological Process: RNA processing (GO:0006396), Biological Process: RNA modification (GO:0009451), Molecular Function: RNA binding (GO:0003723), Molecular Function: pseudouridine synthase activity (GO:0009982)",,Ribosome biogenesis in eukaryotes,['DNA.synthesis/chromatin structure'],LOC_Os07g44190,,174.060677317129,268,Brown,171.507598048144
4,Os08g0326600,Similar to GMP synthetase.,"Biological Process: purine nucleotide biosynthetic process (GO:0006164), Biological Process: GMP biosynthetic process (GO:0006177), Biological Process: asparagine biosynthetic process (GO:0006529), Biological Process: glutamine metabolic process (GO:0006541), Biological Process: biosynthetic process (GO:0009058), Molecular Function: catalytic activity (GO:0003824), Molecular Function: GMP synthase (glutamine-hydrolyzing) activity (GO:0003922), Molecular Function: asparagine synthase (glutamine-hydrolyzing) activity (GO:0004066), Molecular Function: ATP binding (GO:0005524)",,"Purine metabolism, Metabolic pathways, Nucleotide metabolism",['nucleotide metabolism.synthesis.purine.GMP synthetase'],LOC_Os08g23730,,173.023048076215,280,Brown,170.987807407642
5,Os07g0600400,WD40/YVTN repeat-like domain containing protein.,Molecular Function: protein binding (GO:0005515),OsWD40-147,,['not assigned.unknown'],LOC_Os07g40930,,172.765603814317,283,Brown,170.915754250217
6,Os03g0350100,SAR DNA-binding protein-2.,,,Ribosome biogenesis in eukaryotes,['RNA.regulation of transcription.putative transcription regulator'],LOC_Os03g22730,,171.292915531255,298,Brown,168.787050820126
7,Os07g0202900,Similar to mitochondrial 28S ribosomal protein S29-related.,,,,['protein.synthesis.ribosomal protein.prokaryotic.mitochondrion.30S subunit.S29'],LOC_Os07g10300,,169.80318675148,319,Brown,167.242796677201
8,Os03g0586800,Similar to Lysyl-tRNA synthetase (EC 6.1.1.6) (Lysine--tRNA ligase) (LysRS).,,,Aminoacyl-tRNA biosynthesis,['protein.aa activation.lysine-tRNA ligase'],LOC_Os03g38980,,167.294378980553,338,Brown,162.783399081181
9,Os03g0802700,RH27 helicase (Fragment).,"Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: helicase activity (GO:0004386), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATP-dependent helicase activity (GO:0008026)",,,['DNA.synthesis/chromatin structure'],LOC_Os03g58810,,164.502018558003,369,Brown,162.146515214301
10,Os05g0519500,"Similar to Periodic tryptophan protein-associated region; WD40-like., WD40/YVTN repeat-like domain containing protein.",Molecular Function: protein binding (GO:0005515),OsWD40-120,Ribosome biogenesis in eukaryotes,['RNA.processing'],LOC_Os05g44320,,163.947792267864,376,Brown,162.015493301904
11,Os04g0592700,WD40 repeat-like domain containing protein.,"Biological Process: rRNA processing (GO:0006364), Cellular Component: small-subunit processome (GO:0032040), Molecular Function: protein binding (GO:0005515)",OsWD40-108,Ribosome biogenesis in eukaryotes,['development.unspecified'],LOC_Os04g50660,,163.493216998988,381,Brown,161.122658001126
12,Os12g0609800,"WD40/YVTN repeat-like domain containing protein., Similar to predicted protein.",Molecular Function: protein binding (GO:0005515),OsWD40-199,Ribosome biogenesis in eukaryotes,['not assigned.unknown'],LOC_Os12g41620,,163.361771698536,382,Brown,159.855141988187
13,Os12g0166500,"Similar to Nrap protein, expressed.",,,,['not assigned.unknown'],LOC_Os12g06910,,159.578075427347,412,Brown,157.778599745299
