id,Label,TF,KEGG,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO
0,Os05g0257100,,,44.8160895845118,1001,Red,28.5793363512906,"Leucine-rich repeat, plant specific containing protein., Similar to SHR5-receptor-like kinase (Fragment).","Molecular Function: protein binding (GO:0005515),"
1,Os04g0182200,,,40.9859446364204,1188,Red,28.2303730398617,2OG-Fe(II) oxygenase domain containing protein.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors (GO:0016706)"
2,Os05g0257333,,,41.7433550229593,1155,Red,27.4063815458002,Non-protein coding transcript.,
3,Os04g0405300,,,34.1665769616655,1637,Red,27.1848506576788,Similar to Stem secoisolariciresinol dehydrogenase (Fragment).,"Biological Process: metabolic process (GO:0008152), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: oxidoreductase activity (GO:0016491)"
4,Os11g0684000,MYB,,44.7294145825635,1005,Red,26.876408807159,Similar to Transcription factor MYB21 (Myb-related protein 21) (AtMYB21) (Myb homolog 3) (AtMyb3).,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515)"
5,Os07g0127500,,"MAPK signaling pathway - plant, Plant hormone signal transduction, Plant-pathogen interaction",30.9388831190915,1906,Red,25.9578566991684,Similar to PR-1a pathogenesis related protein (Hv-1a) precursor.,Cellular Component: extracellular region (GO:0005576)
6,Os06g0725100,,,40.1199404350319,1222,Red,25.7416345611498,"Lipase, GDSL domain containing protein.","Biological Process: lipid metabolic process (GO:0006629), Molecular Function: hydrolase activity, acting on ester bonds (GO:0016788)"
7,Os04g0179700,,"Diterpenoid biosynthesis, Biosynthesis of secondary metabolites",29.9223572816261,1995,Red,24.5332774040621,"9-beta-pimara-7, 15-diene synthase, Momilactone phytoalexins biosynthesis, Defense response","Biological Process: metabolic process (GO:0008152), Molecular Function: magnesium ion binding (GO:0000287), Molecular Function: terpene synthase activity (GO:0010333), Molecular Function: lyase activity (GO:0016829)"
8,Os12g0564100,MYB,,38.3684263648435,1337,Red,24.4271283652728,"Similar to Myb-like DNA-binding domain containing protein, expressed.","Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515)"
9,Os11g0679700,,"Glycerolipid metabolism, Glycerophospholipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites",33.7042565002965,1664,Red,23.4878858438745,"Glycerol-3-phosphate acyltransferase, Anther development, Pollen formation","Biological Process: metabolic process (GO:0008152), Molecular Function: transferase activity, transferring acyl groups (GO:0016746)"
10,Os05g0268500,,,33.2886198641961,1694,Red,23.4859357251582,"Similar to Serine carboxypeptidase 2., Similar to Serine carboxypeptidase II chains A and B (EC 3.4.16.6) (Carboxypeptidase D) (CPDW-II) (CP-WII).","Biological Process: proteolysis (GO:0006508), Molecular Function: serine-type carboxypeptidase activity (GO:0004185)"
