id,Label,TF,KEGG,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO
0,Os03g0244000,,,261.611091542723,1,Blue,218.048208855692,"Heat shock protein DnaJ, cysteine-rich region domain containing protein.","Molecular Function: heat shock protein binding (GO:0031072), Molecular Function: unfolded protein binding (GO:0051082)"
1,Os03g0611200,,,261.095724654625,2,Blue,218.00053818126,Aldo/keto reductase family protein.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity (GO:0016491)"
2,Os06g0705100,,,246.590346704227,7,Blue,207.560828685653,Similar to Thylakoid lumenal 13.3 kDa protein (P16.5) (Fragment).,
3,Os04g0459500,,,251.460423962341,5,Blue,200.824093539563,"Similar to H0219H12.1 protein., Similar to GADPH (383 AA) (Fragment).","Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620), Biological Process: glucose metabolic process (GO:0006006), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620), Molecular Function: NADP binding (GO:0050661), Molecular Function: NAD binding (GO:0051287)"
4,Os05g0401100,,,238.096020569247,11,Blue,197.050181799237,Protein of unknown function DUF477 family protein.,
5,Os05g0390100,,,238.428505645112,9,Blue,195.952103486348,Dynamin family protein.,"Cellular Component: intracellular (GO:0005622), Molecular Function: GTP binding (GO:0005525)"
6,Os01g0958100,,Protein export,229.029147061941,23,Blue,194.64283386295,"Similar to chloroplast SRP receptor cpFtsY precursor., Similar to chloroplast srp54 receptor1.","Biological Process: SRP-dependent cotranslational protein targeting to membrane (GO:0006614), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: GTP binding (GO:0005525), Molecular Function: nucleoside-triphosphatase activity (GO:0017111),"
7,Os08g0553800,,,233.767391513196,17,Blue,194.257663977922,NAD(P)-binding domain containing protein.,Molecular Function: nucleotide binding (GO:0000166)
8,Os05g0496200,,"Glycolysis / Gluconeogenesis, Carbon fixation in photosynthetic organisms, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids",231.78220355798,21,Blue,193.938132905138,"Similar to 3-phosphoglycerate kinase (Fragment)., Similar to phosphoglycerate kinase.","Biological Process: glycolysis (GO:0006096), Molecular Function: phosphoglycerate kinase activity (GO:0004618)"
9,Os07g0513000,,"Oxidative phosphorylation, Photosynthesis, Metabolic pathways",233.562488181628,18,Blue,193.666501124153,"Similar to ATP synthase gamma chain, chloroplast (EC 3.6.1.34) (Fragment).","Biological Process: ATP synthesis coupled proton transport (GO:0015986), Cellular Component: proton-transporting ATP synthase complex, catalytic core F(1) (GO:0045261), Molecular Function: hydrogen ion transporting ATP synthase activity, rotational mechanism (GO:0046933), Molecular Function: proton-transporting ATPase activity, rotational mechanism (GO:0046961)"
