id,Label,Description,GO,Symbol,KEGG,MapMan,MSU_LOC,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity
0,Os08g0110700,"Phospholipase-like protein homologous to phosphatidic acid-preferring phospholipaseA1, Glycerolipid metabolism, Amyloplast development",Molecular Function: metal ion binding (GO:0046872),FSE1,,['lipid metabolism.lipid degradation.lysophospholipases'],LOC_Os08g01920,,91.2236583797691,153,Blue,77.5436792078622
1,Os02g0139000,"Transcription factor, Regulation of Pi signaling and homeostasis, Tolerance to low-Pi stress",Molecular Function: DNA binding (GO:0003677),"PHR3, OsPHR3, Os-PHR3",,"['RNA.regulation of transcription.G2-like transcription factor family, GARP']",LOC_Os02g04640,G2-like,87.1813551590122,171,Blue,74.5026627252028
2,Os05g0372400,"Lipase, class 3 family protein.","Biological Process: lipid metabolic process (GO:0006629), Molecular Function: triglyceride lipase activity (GO:0004806)",,,['lipid metabolism.lipid degradation.lipases'],LOC_Os05g30900,,79.8409288865405,222,Blue,68.4438590107201
3,Os03g0265300,Mitochondrial substrate carrier family protein.,,,Peroxisome,['transport.metabolite transporters at the mitochondrial membrane'],LOC_Os03g15860,,80.8436455979471,214,Blue,67.943607206475
4,Os01g0786900,WD40 repeat-like domain containing protein.,Molecular Function: protein binding (GO:0005515),ATG18E,,['protein.degradation.autophagy'],LOC_Os01g57720,,78.5210969046446,236,Blue,67.3941926157666
5,Os07g0637300,Similar to Pyruvate dehydrogenase kinase.,"Biological Process: signal transduction (GO:0007165), Biological Process: phosphorylation (GO:0016310), Biological Process: peptidyl-histidine phosphorylation (GO:0018106), Molecular Function: two-component sensor activity (GO:0000155), Molecular Function: protein histidine kinase activity (GO:0004673), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)","PDK, OsHRK1",,['signalling.in sugar and nutrient physiology.pyruvate dehydrogenase kinase'],LOC_Os07g44330,,81.8398540648772,202,Blue,66.3023991270146
6,Os11g0160100,"Zinc finger, RING/FYVE/PHD-type domain containing protein.","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",,,['RNA.regulation of transcription.PHD finger transcription factor'],LOC_Os11g06130,,74.43366808975,281,Blue,64.6942822374853
7,Os07g0673200,"RING-type E3 ubiquitin-ligase, Maintenance of phosphate homeostasis via degradation of phosphate transporters",,OsNLA1,,['protein.degradation.ubiquitin.E3.RING'],LOC_Os07g47590,,77.1625051694547,247,Blue,63.1435696538701
8,Os10g0463800,"Domain of unknown function, DUF1338, containing green-plant-unique protein, Regulation of starch synthesis and amyloplast development, Peripheral endosperm development",,"FLO7, Flo7, flo7(t), flo-7",,['not assigned.unknown'],LOC_Os10g32680,,78.1661007916214,239,Blue,63.1134643097172
9,Os12g0507300,"Similar to WRKY DNA binding domain containing protein, expressed.","Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: sequence-specific DNA binding (GO:0043565)",WRKY96,,,LOC_Os12g32250,WRKY,79.8866559106088,221,Blue,62.8252931468397
10,Os03g0248000,"Autophagy protein 9 domain containing protein., Similar to Autophagy protein 9.",,ATG9A,Autophagy - other,['protein.degradation.autophagy'],LOC_Os03g14380,,82.773924512721,196,Blue,61.3730664734617
11,Os04g0398000,"ERF transcription factor, A member of APETALA2/Ethylene-Responsive Element Binding Protein(AP2/EREBP) family, Regulation of drought stress response, Innate immunity, Pathogenesis-related transcriptional factor and ERF domain containing protein.","Biological Process: regulation of transcription, DNA-templated (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: DNA-binding transcription factor activity (GO:0003700), Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700)","OsERF101, OsRAP2.6",,"['RNA.regulation of transcription.AP2/EREBP, APETALA2/Ethylene-responsive element binding protein family']",LOC_Os04g32620,ERF,74.6651668664466,278,Blue,61.0163485498531
12,Os01g0934000,WD40 repeat-like domain containing protein.,Molecular Function: protein binding (GO:0005515),ATG18C,,['protein.degradation.autophagy'],LOC_Os01g70780,,67.9034357573258,360,Blue,60.5041598159153
13,Os12g0112200,Saposin-like domain containing protein.,Biological Process: lipid metabolic process (GO:0006629),,Sphingolipid metabolism,['not assigned.unknown'],LOC_Os12g02094,,72.1903186475608,309,Blue,60.1539441442392
14,Os11g0629300,Similar to RING-H2 finger protein RHB1a.,"Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)","OsGIRP1, OsRFPH2-16",,['protein.degradation.ubiquitin.E3.RING'],LOC_Os11g41140,,72.3811809076703,303,Blue,59.7896034725969
15,Os02g0783625,Similar to Lysine ketoglutarate reductase/saccharopine dehydrogenase.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: oxidoreductase activity (GO:0016491)",OsLKR|SDH,,,LOC_Os02g54254,,73.2238480585724,292,Blue,59.6373008385011
16,Os11g0655800,"Lipase, class 3 family protein.","Biological Process: lipid metabolic process (GO:0006629), Molecular Function: triglyceride lipase activity (GO:0004806)",OsPLB,,['lipid metabolism.lipid degradation.lipases'],LOC_Os11g43510,,69.7509913586611,327,Blue,58.9319225525933
17,Os02g0551100,"Serine/threonine protein kinase, Dehydration-inducible SNF1-related protein kinase 2, Hyperosmotic stress response, Abscisic acid (ABA) signaling","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: ATP binding (GO:0005524)","SAPK6, OsSAPK6, OSRK1, SNRK2.1","MAPK signaling pathway - plant, Plant hormone signal transduction",['protein.postranslational modification'],LOC_Os02g34600,,87.1367047947233,172,Blue,58.7623555271005
18,Os03g0358100,Similar to Glutathione peroxidase.,"Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: glutathione peroxidase activity (GO:0004602)",OsPHGPX,"Glutathione metabolism, Arachidonic acid metabolism, Metabolic pathways",['redox.ascorbate and glutathione.glutathione'],LOC_Os03g24380,,72.7972451464151,298,Blue,58.4081694336386
19,Os09g0468900,Conserved hypothetical protein.,,,,['not assigned.unknown'],LOC_Os09g29380,,72.5323248140735,301,Blue,58.2676413187097
20,Os02g0168100,Similar to 4-hydroxyphenylpyruvate dioxygenase.,"Biological Process: aromatic amino acid family metabolic process (GO:0009072), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: 4-hydroxyphenylpyruvate dioxygenase activity (GO:0003868), Molecular Function: oxidoreductase activity, acting on single donors with incorporation of molecular oxygen (GO:0016701)",,"Ubiquinone and other terpenoid-quinone biosynthesis, Tyrosine metabolism, Phenylalanine metabolism, Metabolic pathways, Biosynthesis of cofactors",['secondary metabolism.isoprenoids.tocopherol biosynthesis.hydroxyphenylpyruvate dioxygenase'],LOC_Os02g07160,,71.8171990387545,311,Blue,57.6077186441436
21,Os07g0463400,Similar to RES protein.,"Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",,,['protein.degradation.ubiquitin.E3.RING'],LOC_Os07g27950,,67.0522731603718,376,Blue,57.0137928919313
22,Os11g0141000,Similar to PP2A regulatory subunit-like protein.,Biological Process: regulation of signal transduction (GO:0009966),,Autophagy - other,['protein.postranslational modification'],LOC_Os11g04520,,69.8390902242685,325,Blue,56.4433503304763
23,Os07g0170100,Similar to Branched chain alpha-keto acid dehydrogenase E1 beta subunit.,"Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824)",,"Valine, leucine and isoleucine degradation, Propanoate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites",['TCA / org. transformation.TCA.pyruvate DH.E1'],LOC_Os07g07470,,76.5039448447721,254,Blue,55.9042071893089
24,Os08g0191600,Similar to Symbiosis-related like protein.,,OsATG8c,Autophagy - other,['protein.degradation.autophagy'],LOC_Os08g09240,,64.7483901349163,429,Blue,55.7872916864584
25,Os11g0549650,Mitochondrial matrix Mmp37 domain containing protein.,,,,['not assigned.unknown'],LOC_Os11g34760,,67.2817504828948,371,Blue,55.5018510081818
26,Os09g0482720,Similar to lipid binding protein.,Molecular Function: lipid binding (GO:0008289),,,['not assigned.unknown'],LOC_Os09g30474,,69.0933016092995,335,Blue,55.1866288428169
27,Os12g0183100,"Similar to Branched chain alpha-keto acid dehydrogenase E1-alpha subunit (Fragment)., Similar to Branched-chain alpha keto-acid dehydrogenase E1 alpha subunit-like protein.","Biological Process: metabolic process (GO:0008152), Molecular Function: oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor (GO:0016624)",,"Valine, leucine and isoleucine degradation, Propanoate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites",,LOC_Os12g08260,,69.3876677784433,332,Blue,55.1553124184753
28,Os03g0638400,Similar to OSIGBa0153E02-OSIGBa0093I20.19 protein.,,,,['not assigned.unknown'],LOC_Os03g43750,,66.0073842226356,403,Blue,54.8925090951667
29,Os10g0577000,"Conserved hypothetical protein., NERD domain containing protein.",,,,['not assigned.unknown'],LOC_Os10g42630,,66.0472801834326,402,Blue,54.7310867101104
