id,Label,Description,GO,Symbol,KEGG,MapMan,MSU_LOC,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity
0,Os10g0580900,"Conserved hypothetical protein., Non-protein coding transcript.",,,,['not assigned.unknown'],LOC_Os10g43060,,37.6994228336724,1382,lightYellow,15.7613949320357
1,Os03g0218400,Similar to Hexose transporter.,"Biological Process: transport (GO:0006810), Biological Process: transmembrane transport (GO:0055085), Cellular Component: membrane (GO:0016020), Cellular Component: integral to membrane (GO:0016021), Molecular Function: transporter activity (GO:0005215), Molecular Function: transmembrane transporter activity (GO:0022857), Molecular Function: substrate-specific transmembrane transporter activity (GO:0022891)",OsMST4,,['transport.sugars'],LOC_Os03g11900,,39.6824119815073,1248,lightYellow,13.4532072036393
2,Os08g0374701,"Similar to Protein kinase domain containing protein, expressed.",,,,['protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII'],LOC_Os08g28710,,33.8302038804411,1659,lightYellow,13.3707548931551
3,Os02g0165100,"Protein kinase, core domain containing protein.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,,['protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII'],LOC_Os02g06930,,36.7183914932054,1459,lightYellow,13.2585866540832
4,Os08g0374600,Similar to Receptor kinase-like protein.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",OsRLCK253,,,LOC_Os08g28710,,33.332430490265,1690,lightYellow,13.073035054265
5,Os02g0173800,"Protein of unknown function DUF284, transmembrane eukaryotic family protein.",Cellular Component: membrane (GO:0016020),,,['transport.p- and v-ATPases'],LOC_Os02g07750,,47.6971910267785,881,lightYellow,12.8812022821995
6,Os04g0452000,Similar to H0815C01.7 protein.,Molecular Function: catalytic activity (GO:0003824),OsPP2C41,,['protein.postranslational modification'],LOC_Os04g37904,,25.4174151940446,2542,lightYellow,12.7793360385514
7,Os02g0313700,"Similar to NTMC2T6.1/NTMC2TYPE6.1., Similar to Synaptotagmin C (Synaptic vesicle protein O-p65-C).",", Molecular Function: protein binding (GO:0005515)",OsNTMC2T6.2,,['signalling.calcium'],LOC_Os02g20970,,33.844086614123,1656,lightYellow,12.518839079398
8,Os05g0287800,Similar to Phosphatidic acid phosphatase-like protein.,,,,['misc.acid and other phosphatases'],LOC_Os05g21180,,50.3142135860121,785,lightYellow,12.0562544624861
9,Os01g0183300,Endonuclease/exonuclease/phosphatase domain containing protein.,Molecular Function: inositol or phosphatidylinositol phosphatase activity (GO:0004437),,,['DNA.synthesis/chromatin structure'],LOC_Os01g08780,,38.119781124605,1353,lightYellow,11.8501531838326
10,Os09g0452900,"Glycosyl transferase, family 31 protein.","Biological Process: protein glycosylation (GO:0006486), Cellular Component: membrane (GO:0016020), Molecular Function: galactosyltransferase activity (GO:0008378)",,,['protein.glycosylation'],LOC_Os09g27950,,47.6317014181628,883,lightYellow,11.8351641021288
11,Os12g0168100,Similar to AP2 domain containing protein RAP2.6 (Fragment).,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700)",ERF124,,['not assigned.unknown'],LOC_Os12g07030,,50.8876942000041,762,lightYellow,11.5859287078533
12,Os10g0533600,Similar to Mitogen-activated protein kinase homolog MMK2 (EC 2.7.1.37).,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: MAP kinase activity (GO:0004707), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",OsMPK4,,"['protein.postranslational modification', 'signalling.MAP kinases']",LOC_Os10g38950,,28.8540387524551,2103,lightYellow,11.4400229898758
13,Os04g0618200,"Similar to cDNA clone:J013046D23, full insert sequence., Similar to H0313F03.11 protein.","Biological Process: galactose metabolic process (GO:0006012), Biological Process: cellular metabolic process (GO:0044237), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: catalytic activity (GO:0003824), Molecular Function: UDP-glucose 4-epimerase activity (GO:0003978), Molecular Function: coenzyme binding (GO:0050662)",,"Amino sugar and nucleotide sugar metabolism, Metabolic pathways, Biosynthesis of nucleotide sugars",['cell wall.precursor synthesis.MUR4'],LOC_Os04g52730,,52.7779920452639,708,lightYellow,11.0709040744343
14,Os02g0803300,"Epsin-like, N-terminal domain containing protein.","Biological Process: clathrin coat assembly (GO:0048268), Cellular Component: clathrin coat (GO:0030118), Molecular Function: phospholipid binding (GO:0005543), Molecular Function: 1-phosphatidylinositol binding (GO:0005545), Molecular Function: clathrin binding (GO:0030276)",,,['not assigned.unknown'],LOC_Os02g55970,,26.7911933493931,2355,lightYellow,10.9696990120815
15,Os05g0402300,Uncharacterised protein family UPF0005 domain containing protein.,,,,['not assigned.unknown'],LOC_Os05g33360,,24.9561781350164,2611,lightYellow,10.913448872403
16,Os08g0137900,Similar to Chemocyanin precursor (Basic blue protein) (Plantacyanin).,"Molecular Function: copper ion binding (GO:0005507), Molecular Function: electron carrier activity (GO:0009055)",UCL25,,['misc.plastocyanin-like'],LOC_Os08g04350,,25.7006104800331,2494,lightYellow,10.7905883472041
17,Os06g0301100,Similar to OSIGBa0124N08.6 protein.,Cellular Component: membrane (GO:0016020),,,['not assigned.unknown'],LOC_Os06g19690,,28.3329202588211,2169,lightYellow,10.5926508040875
18,Os05g0419600,Conserved hypothetical protein.,,,,['not assigned.unknown'],LOC_Os05g34680,,31.1569836545784,1880,lightYellow,10.548235929086
19,Os06g0203600,Chalcone isomerase domain containing protein.,"Biological Process: cellular modified amino acid biosynthetic process (GO:0042398), Molecular Function: intramolecular lyase activity (GO:0016872)",,,['secondary metabolism.flavonoids.chalcones'],LOC_Os06g10210,,34.3705184058686,1624,lightYellow,10.5090677118699
20,Os06g0708000,"Mitogen-activated protein kinase, Mitogen-activated protein kinase, Defense response, MAP kinase, Plant defense and wounding signaling","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: MAP kinase activity (GO:0004707), Molecular Function: ATP binding (GO:0005524), Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: MAP kinase activity (GO:0004707), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)","BWMK1, OsBWMK1M",,['signalling.MAP kinases'],LOC_Os06g49430,,23.9764526620702,2754,lightYellow,10.1964841693007
21,Os02g0799000,Similar to DNA-binding protein phosphatase 2C.,"Biological Process: protein dephosphorylation (GO:0006470), Cellular Component: protein serine/threonine phosphatase complex (GO:0008287), Molecular Function: catalytic activity (GO:0003824), Molecular Function: protein serine/threonine phosphatase activity (GO:0004722)",OsPP2C27,,['protein.postranslational modification'],LOC_Os02g55560,,38.8073311324696,1302,lightYellow,10.0382373451825
22,Os10g0457600,Similar to Acetyl-CoA C-acyltransferase (3-ketoacyl-coa thiolase b) (EC 2.3.1.16) (Fragment).,"Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824), Molecular Function: transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747)",,"Fatty acid degradation, Valine, leucine and isoleucine degradation, alpha-Linolenic acid metabolism, Biosynthesis of unsaturated fatty acids, Metabolic pathways, Biosynthesis of secondary metabolites, Fatty acid metabolism, Peroxisome",['amino acid metabolism.degradation.branched-chain group.shared'],LOC_Os10g31950,,25.3445079179704,2553,lightYellow,9.7714274948279
23,Os02g0778500,Chalcone isomerase domain containing protein.,"Biological Process: cellular modified amino acid biosynthetic process (GO:0042398), Molecular Function: intramolecular lyase activity (GO:0016872)",,,['secondary metabolism.flavonoids.chalcones'],LOC_Os02g53810,,23.2251449487677,2860,lightYellow,9.52355564058491
24,Os07g0194800,"Similar to galactosyltransferase/ transferase, transferring hexosyl groups., Similar to Galactosyltransferase/ transferase, transferring hexosyl groups.","Biological Process: protein glycosylation (GO:0006486), Cellular Component: membrane (GO:0016020), Molecular Function: sugar binding (GO:0005529), Molecular Function: galactosyltransferase activity (GO:0008378)",,,"['cell wall.hemicellulose synthesis', 'misc.UDP glucosyl and glucoronyl transferases']",LOC_Os07g09670,,26.6153350196626,2378,lightYellow,9.37968860873467
25,Os10g0553300,Similar to Trehalose-6-phosphate phosphatase.,"Biological Process: trehalose biosynthetic process (GO:0005992), Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824)",OsTPP2,"Starch and sucrose metabolism, Metabolic pathways, Biosynthesis of secondary metabolites",['minor CHO metabolism.trehalose.TPP'],"LOC_Os10g40550, LOC_Os10g40555",,34.3343595226955,1625,lightYellow,9.16789604856862
26,Os01g0806200,Cyclin-like F-box domain containing protein.,Molecular Function: protein binding (GO:0005515),,,['protein.degradation.ubiquitin.E3.SCF.FBOX'],LOC_Os01g59180,,42.4957901580798,1119,lightYellow,8.96853402199955
27,Os04g0103500,Serine/threonine protein kinase-related domain containing protein.,"Biological Process: protein phosphorylation (GO:0006468), Biological Process: recognition of pollen (GO:0048544), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: sugar binding (GO:0005529), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",SDRLK-21,,['signalling.receptor kinases.S-locus glycoprotein like'],LOC_Os04g01310,,22.3820028742271,2990,lightYellow,8.9036449640361
28,Os06g0166900,"Protein kinase, core domain containing protein.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,,['protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII'],LOC_Os06g07070,,54.5650298272809,660,lightYellow,8.88365135270465
29,Os09g0553300,NUDIX hydrolase domain containing protein.,"Molecular Function: protein binding (GO:0005515), Molecular Function: hydrolase activity (GO:0016787)",,"Purine metabolism, Riboflavin metabolism, Metabolic pathways",['nucleotide metabolism.salvage.NUDIX hydrolases'],LOC_Os09g38040,,19.1205382075298,3600,lightYellow,8.73457236610747
30,Os11g0137200,Hydroxymethylglutaryl-CoA lyase.,"Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824)",,"Valine, leucine and isoleucine degradation, Butanoate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Peroxisome",['amino acid metabolism.degradation.branched-chain group.leucine'],LOC_Os11g04210,,16.7672718013581,4127,lightYellow,8.61289183440191
31,Os02g0673600,ORMDL family protein.,Cellular Component: integral to membrane (GO:0016021),,,['protein.folding'],LOC_Os02g45180,,17.9136844530668,3846,lightYellow,8.41299554979806
32,Os03g0356526,Hypothetical conserved gene.,,,,['not assigned.unknown'],LOC_Os03g24100,,27.8414279190667,2234,lightYellow,8.23092081151534
33,Os05g0393100,"Leucine-rich repeat, N-terminal domain containing protein.",,,,['signalling.receptor kinases.misc'],LOC_Os05g32660,,25.1881963512652,2580,lightYellow,8.12481474478939
34,Os05g0437900,"Tubby family protein., Similar to Tubby-like F-box protein 8.","Molecular Function: protein binding (GO:0005515),",OsTLP1|OsTLP1a|OsTLP1b|OsTLP1c,,"['protein.degradation.ubiquitin.E3.SCF.FBOX', 'cell.organisation']",LOC_Os05g36190,,27.1489799318207,2310,lightYellow,8.093318769793
35,Os09g0454600,Similar to Mitochondrial phosphate transporter (Fragment).,,,,['transport.metabolite transporters at the mitochondrial membrane'],LOC_Os09g28160,,35.707198702616,1524,lightYellow,7.93698157950222
36,Os04g0530200,Similar to OSIGBa0155K17.10 protein.,,,,['not assigned.unknown'],LOC_Os04g44790,,25.6058822918261,2514,lightYellow,7.90872323222562
37,Os06g0356800,Similar to Xylanase inhibitor protein I precursor.,"Biological Process: carbohydrate metabolic process (GO:0005975), Molecular Function: catalytic activity (GO:0003824), Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553), Molecular Function: cation binding (GO:0043169)",,"Amino sugar and nucleotide sugar metabolism, Metabolic pathways",['stress.biotic'],LOC_Os06g25010,,35.0086620270802,1574,lightYellow,7.82553982043048
38,Os03g0844700,"Similar to ALBINO3-like protein 1, chloroplastic.","Biological Process: protein insertion into membrane (GO:0051205), Cellular Component: integral to membrane (GO:0016021)",,Protein export,"['protein.targeting.chloroplast', 'cell.division.plastid']",LOC_Os03g62750,,28.4668832630798,2152,lightYellow,7.6429964024732
39,Os06g0714900,Serine/threonine protein kinase domain containing protein.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,,['protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII'],LOC_Os06g50100,,38.500825278283,1329,lightYellow,7.54916960266811
40,Os04g0594400,Aldo/keto reductase domain containing protein.,"Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)",,,['RNA.RNA binding'],LOC_Os04g50790,,20.8952650840546,3235,lightYellow,7.42473436325579
41,Os05g0135800,"Ser/Thr protein kinase, Negative regulator of innate immunity","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)","RLCK178, OsPti1a, OsRLCK178",Plant-pathogen interaction,['protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII'],LOC_Os05g04520,,24.7408711694202,2642,lightYellow,7.42326247606226
42,Os08g0482700,"Cupredoxin domain containing protein., Conserved hypothetical protein.","Molecular Function: copper ion binding (GO:0005507), Molecular Function: electron carrier activity (GO:0009055),",UCL30,,['misc.plastocyanin-like'],LOC_Os08g37670,,22.1700193825627,3021,lightYellow,7.41178511421639
43,Os05g0442400,"R-R-type MYB-like transcription factor, Response to drought stress during reproductive development",Molecular Function: DNA binding (GO:0003677),"MID1, OsMYB-1",,['RNA.regulation of transcription.MYB-related transcription factor family'],LOC_Os05g37060,MYB,23.8435951304459,2773,lightYellow,7.36495500550676
