id,Label,TF,KEGG,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO
0,Os08g0490000,bHLH,,16.8279887404553,4112,royalBlue,7.54405244188383,"Helix-loop-helix DNA-binding domain containing protein., Similar to Transcription factor BIM2.",
1,Os03g0402800,,Plant hormone signal transduction,23.3846358930134,2838,royalBlue,6.63285609318268,"Tify domain containing protein., Similar to ZIM motif family protein, expressed.","Molecular Function: protein binding (GO:0005515),"
2,Os03g0757900,,"Pentose and glucuronate interconversions, Ascorbate and aldarate metabolism, Amino sugar and nucleotide sugar metabolism, Metabolic pathways",11.5173517891327,5746,royalBlue,5.9575442789088,Similar to UDP-glucose 6-dehydrogenase (EC 1.1.1.22) (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH).,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616), Molecular Function: NAD binding (GO:0051287)"
3,Os03g0438100,,"alpha-Linolenic acid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites",13.1009813105951,5210,royalBlue,5.81824363861022,"Allene oxide cyclase, Biosynthesis of jasmonic acid, Defence response, Similar to Allene oxide cyclase precursor (EC 5.3.99.6) (Allene oxide cylase).","Molecular Function: isomerase activity (GO:0016853), Cellular Component: chloroplast (GO:0009507), Cellular Component: chloroplast (GO:0009507), Molecular Function: isomerase activity (GO:0016853)"
4,Os03g0180800,,Plant hormone signal transduction,10.6228033578876,6082,royalBlue,5.73752666486567,"TIFY domain-containing transcriptional regulator, Salt and dehydration stress tolerance",
5,Os12g0478400,,,12.3632134532475,5452,royalBlue,5.65660982912822,EGF-type aspartate/asparagine hydroxylation site domain containing protein.,"Molecular Function: calcium ion binding (GO:0005509), Molecular Function: protein binding (GO:0005515)"
6,Os09g0401300,,Plant hormone signal transduction,16.2027325533934,4298,royalBlue,5.59617564390386,"Tify domain containing protein., Similar to ZIM motif family protein.","Molecular Function: protein binding (GO:0005515),"
7,Os05g0438500,,Oxidative phosphorylation,11.3319431871471,5818,royalBlue,5.4021381829807,Similar to Soluble inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho- hydrolase) (PPase).,"Biological Process: phosphate-containing compound metabolic process (GO:0006796), Cellular Component: cytoplasm (GO:0005737), Molecular Function: magnesium ion binding (GO:0000287), Molecular Function: inorganic diphosphatase activity (GO:0004427)"
8,Os03g0132000,,"alpha-Linolenic acid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites",10.010282193809,6307,royalBlue,5.34955319076173,Similar to 4-coumarate-CoA ligase-like protein.,"Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824)"
9,Os03g0183500,,,10.4745441508927,6140,royalBlue,5.09867849657606,Protein of unknown function DUF581 family protein.,
