id,Label,TF,KEGG,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO
0,Os08g0110700,,,91.2236583797691,153,Blue,77.5436792078622,"Phospholipase-like protein homologous to phosphatidic acid-preferring phospholipaseA1, Glycerolipid metabolism, Amyloplast development",Molecular Function: metal ion binding (GO:0046872)
1,Os02g0139000,G2-like,,87.1813551590122,171,Blue,74.5026627252028,"Transcription factor, Regulation of Pi signaling and homeostasis, Tolerance to low-Pi stress",Molecular Function: DNA binding (GO:0003677)
2,Os05g0372400,,,79.8409288865405,222,Blue,68.4438590107201,"Lipase, class 3 family protein.","Biological Process: lipid metabolic process (GO:0006629), Molecular Function: triglyceride lipase activity (GO:0004806)"
3,Os03g0265300,,Peroxisome,80.8436455979471,214,Blue,67.943607206475,Mitochondrial substrate carrier family protein.,
4,Os01g0786900,,,78.5210969046446,236,Blue,67.3941926157666,WD40 repeat-like domain containing protein.,Molecular Function: protein binding (GO:0005515)
5,Os07g0637300,,,81.8398540648772,202,Blue,66.3023991270146,Similar to Pyruvate dehydrogenase kinase.,"Biological Process: signal transduction (GO:0007165), Biological Process: phosphorylation (GO:0016310), Biological Process: peptidyl-histidine phosphorylation (GO:0018106), Molecular Function: two-component sensor activity (GO:0000155), Molecular Function: protein histidine kinase activity (GO:0004673), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
6,Os11g0160100,,,74.43366808975,281,Blue,64.6942822374853,"Zinc finger, RING/FYVE/PHD-type domain containing protein.","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)"
7,Os07g0673200,,,77.1625051694547,247,Blue,63.1435696538701,"RING-type E3 ubiquitin-ligase, Maintenance of phosphate homeostasis via degradation of phosphate transporters",
8,Os10g0463800,,,78.1661007916214,239,Blue,63.1134643097172,"Domain of unknown function, DUF1338, containing green-plant-unique protein, Regulation of starch synthesis and amyloplast development, Peripheral endosperm development",
9,Os12g0507300,WRKY,,79.8866559106088,221,Blue,62.8252931468397,"Similar to WRKY DNA binding domain containing protein, expressed.","Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: sequence-specific DNA binding (GO:0043565)"
10,Os03g0248000,,Autophagy - other,82.773924512721,196,Blue,61.3730664734617,"Autophagy protein 9 domain containing protein., Similar to Autophagy protein 9.",
11,Os04g0398000,ERF,,74.6651668664466,278,Blue,61.0163485498531,"ERF transcription factor, A member of APETALA2/Ethylene-Responsive Element Binding Protein(AP2/EREBP) family, Regulation of drought stress response, Innate immunity, Pathogenesis-related transcriptional factor and ERF domain containing protein.","Biological Process: regulation of transcription, DNA-templated (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: DNA-binding transcription factor activity (GO:0003700), Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700)"
12,Os01g0934000,,,67.9034357573258,360,Blue,60.5041598159153,WD40 repeat-like domain containing protein.,Molecular Function: protein binding (GO:0005515)
13,Os12g0112200,,,72.1903186475608,309,Blue,60.1539441442392,Saposin-like domain containing protein.,Biological Process: lipid metabolic process (GO:0006629)
14,Os11g0629300,,,72.3811809076703,303,Blue,59.7896034725969,Similar to RING-H2 finger protein RHB1a.,"Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)"
15,Os02g0783625,,,73.2238480585724,292,Blue,59.6373008385011,Similar to Lysine ketoglutarate reductase/saccharopine dehydrogenase.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: oxidoreductase activity (GO:0016491)"
16,Os11g0655800,,,69.7509913586611,327,Blue,58.9319225525933,"Lipase, class 3 family protein.","Biological Process: lipid metabolic process (GO:0006629), Molecular Function: triglyceride lipase activity (GO:0004806)"
17,Os02g0551100,,"MAPK signaling pathway - plant, Plant hormone signal transduction",87.1367047947233,172,Blue,58.7623555271005,"Serine/threonine protein kinase, Dehydration-inducible SNF1-related protein kinase 2, Hyperosmotic stress response, Abscisic acid (ABA) signaling","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: ATP binding (GO:0005524)"
18,Os03g0358100,,"Glutathione metabolism, Arachidonic acid metabolism",72.7972451464151,298,Blue,58.4081694336386,Similar to Glutathione peroxidase.,"Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: glutathione peroxidase activity (GO:0004602)"
19,Os09g0468900,,,72.5323248140735,301,Blue,58.2676413187097,Conserved hypothetical protein.,
20,Os02g0168100,,"Ubiquinone and other terpenoid-quinone biosynthesis, Tyrosine metabolism, Phenylalanine metabolism, Metabolic pathways",71.8171990387545,311,Blue,57.6077186441436,Similar to 4-hydroxyphenylpyruvate dioxygenase.,"Biological Process: aromatic amino acid family metabolic process (GO:0009072), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: 4-hydroxyphenylpyruvate dioxygenase activity (GO:0003868), Molecular Function: oxidoreductase activity, acting on single donors with incorporation of molecular oxygen (GO:0016701)"
21,Os07g0463400,,,67.0522731603718,376,Blue,57.0137928919313,Similar to RES protein.,"Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)"
22,Os11g0141000,,Autophagy - other,69.8390902242685,325,Blue,56.4433503304763,Similar to PP2A regulatory subunit-like protein.,Biological Process: regulation of signal transduction (GO:0009966)
23,Os07g0170100,,"Valine, leucine and isoleucine degradation, Propanoate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites",76.5039448447721,254,Blue,55.9042071893089,Similar to Branched chain alpha-keto acid dehydrogenase E1 beta subunit.,"Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824)"
24,Os08g0191600,,Autophagy - other,64.7483901349163,429,Blue,55.7872916864584,Similar to Symbiosis-related like protein.,
25,Os11g0549650,,,67.2817504828948,371,Blue,55.5018510081818,Mitochondrial matrix Mmp37 domain containing protein.,
26,Os09g0482720,,,69.0933016092995,335,Blue,55.1866288428169,Similar to lipid binding protein.,Molecular Function: lipid binding (GO:0008289)
27,Os12g0183100,,"Valine, leucine and isoleucine degradation, Propanoate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites",69.3876677784433,332,Blue,55.1553124184753,"Similar to Branched chain alpha-keto acid dehydrogenase E1-alpha subunit (Fragment)., Similar to Branched-chain alpha keto-acid dehydrogenase E1 alpha subunit-like protein.","Biological Process: metabolic process (GO:0008152), Molecular Function: oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor (GO:0016624)"
28,Os03g0638400,,,66.0073842226356,403,Blue,54.8925090951667,Similar to OSIGBa0153E02-OSIGBa0093I20.19 protein.,
29,Os10g0577000,,,66.0472801834326,402,Blue,54.7310867101104,"Conserved hypothetical protein., NERD domain containing protein.",
30,Os10g0135600,,"Glycerolipid metabolism, Metabolic pathways",68.433159971026,347,Blue,54.5332647941892,Alpha/beta hydrolase family protein.,
31,Os04g0182800,,,64.9297701718621,428,Blue,54.3285366112806,Similar to Electron transfer flavoprotein beta-subunit-like.,Molecular Function: electron carrier activity (GO:0009055)
32,Os03g0336600,,,66.150076965125,396,Blue,54.0147393935082,Reticulon family protein.,
33,Os11g0605500,,"Fatty acid degradation, alpha-Linolenic acid metabolism, Biosynthesis of unsaturated fatty acids, Metabolic pathways, Biosynthesis of secondary metabolites, Fatty acid metabolism, Peroxisome",67.6471263183799,366,Blue,53.8758160261617,Acyl-CoA oxidase.,"Biological Process: fatty acid metabolic process (GO:0006631), Biological Process: fatty acid beta-oxidation (GO:0006635), Biological Process: metabolic process (GO:0008152), Biological Process: oxidation-reduction process (GO:0055114), Cellular Component: peroxisome (GO:0005777), Molecular Function: acyl-CoA dehydrogenase activity (GO:0003995), Molecular Function: acyl-CoA oxidase activity (GO:0003997), Molecular Function: oxidoreductase activity, acting on the CH-CH group of donors (GO:0016627), Molecular Function: flavin adenine dinucleotide binding (GO:0050660)"
34,Os04g0614600,,"Alanine, aspartate and glutamate metabolism, Butanoate metabolism, Metabolic pathways",66.1211675923907,397,Blue,53.4387890775433,"Similar to Viroid RNA-binding protein (Fragment)., Similar to OSIGBa0126B18.7 protein.","Molecular Function: catalytic activity (GO:0003824), Molecular Function: transaminase activity (GO:0008483), Molecular Function: pyridoxal phosphate binding (GO:0030170)"
35,Os04g0439100,,,65.1473258516122,424,Blue,53.1799106281639,"Similar to H0525C06.4 protein., T-complex 11 family protein.",
36,Os11g0147150,,,62.5922500970627,462,Blue,53.1285874169132,Hypothetical gene.,
37,Os07g0471000,,Protein processing in endoplasmic reticulum,65.7126870817645,409,Blue,52.924643361475,"Endoplasmic reticulum (ER) stress sensor, Transducer of ER stress, ER stress response","Biological Process: mRNA processing (GO:0006397), Biological Process: protein phosphorylation (GO:0006468), Molecular Function: ribonuclease activity (GO:0004540), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524)"
38,Os05g0464001,,,61.905046897541,475,Blue,52.8741062903076,Conserved hypothetical protein.,
39,Os05g0511000,,,64.3463749205598,434,Blue,52.7400461300238,"TRAM, LAG1 and CLN8 homology domain containing protein.",Cellular Component: integral to membrane (GO:0016021)
40,Os01g0125900,,Ubiquitin mediated proteolysis,60.8083720539879,497,Blue,52.6532383796228,Ubiquitin-conjugating enzyme/RWD-like domain containing protein.,Molecular Function: acid-amino acid ligase activity (GO:0016881)
41,Os12g0137500,,Autophagy - other,66.090590968256,399,Blue,52.5143496796667,Similar to Avr9/Cf-9 rapidly elicited protein 271 (Fragment).,Biological Process: regulation of signal transduction (GO:0009966)
42,Os02g0616600,,,64.224481799511,436,Blue,51.9121784037132,"Hypothetical protein., Conserved hypothetical protein.",
43,Os02g0656200,,Sphingolipid metabolism,75.52114360693,267,Blue,51.8361352063159,Similar to Ceramide kinase.,"Biological Process: activation of protein kinase C activity by G-protein coupled receptor protein signaling pathway (GO:0007205), Molecular Function: diacylglycerol kinase activity (GO:0004143)"
44,Os07g0616900,,,69.6494717444495,328,Blue,51.7639156594451,"Zinc finger, RING/FYVE/PHD-type domain containing protein.",Molecular Function: metal ion binding (GO:0046872)
45,Os02g0709800,,,60.9978177035278,493,Blue,51.6407478782992,"GTPase-activating protein, Regulation of vesicle trafficking from trans-Golgi network to plasma membrane or central vacuole",
46,Os02g0783700,,"Lysine degradation, Metabolic pathways, Biosynthesis of secondary metabolites",65.4844231605788,415,Blue,51.6334640842152,Similar to Lysine ketoglutarate reductase/saccharopine dehydrogenase.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity (GO:0016491)"
47,Os03g0232900,,,65.3852366362415,417,Blue,51.5558137224152,Hly-III related domain containing protein.,Cellular Component: integral to membrane (GO:0016021)
48,Os01g0911300,,,64.5234035612584,433,Blue,51.3053542537709,Similar to Transporter associated with antigen processing-like protein.,"Biological Process: transport (GO:0006810), Biological Process: transmembrane transport (GO:0055085), Cellular Component: integral to membrane (GO:0016021), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATPase activity (GO:0016887), Molecular Function: nucleoside-triphosphatase activity (GO:0017111), Molecular Function: ATPase activity, coupled to transmembrane movement of substances (GO:0042626)"
49,Os02g0821900,,,60.2136118184085,510,Blue,51.1783453884205,Conserved hypothetical protein.,
50,Os11g0614900,,,63.8157518821271,445,Blue,51.1440099768512,"Protein of unknown function DUF829, TMEM53 domain containing protein.",
51,Os07g0271000,,,69.4415040318808,331,Blue,50.8673771971599,Similar to GDP dissociation inhibitor protein OsGDI1.,"Biological Process: protein transport (GO:0015031), Molecular Function: Rab GDP-dissociation inhibitor activity (GO:0005093)"
52,Os05g0105200,,,60.4713053348265,506,Blue,50.7302685581063,Similar to Ras-related protein Rab-1B.,"Biological Process: small GTPase mediated signal transduction (GO:0007264), Molecular Function: GTP binding (GO:0005525)"
53,Os02g0655700,,,66.7116018086343,385,Blue,50.3624689954051,Amino acid/polyamine transporter I family protein.,"Biological Process: amino acid transmembrane transport (GO:0003333), Biological Process: transport (GO:0006810), Biological Process: transmembrane transport (GO:0055085), Cellular Component: membrane (GO:0016020), Molecular Function: amino acid transmembrane transporter activity (GO:0015171)"
54,Os04g0433200,,,59.5256919619996,525,Blue,50.2618261002405,Similar to H0315E07.10 protein.,
55,Os03g0643300,,"Arginine and proline metabolism, Metabolic pathways, Biosynthesis of secondary metabolites",64.0171329604947,441,Blue,50.1642406718193,"Ornithine delta-aminotransferase, Abiotic stress tolerance","Molecular Function: catalytic activity (GO:0003824), Molecular Function: transaminase activity (GO:0008483), Molecular Function: pyridoxal phosphate binding (GO:0030170)"
56,Os07g0626300,,,65.3556064668576,419,Blue,50.0529845089355,"UV radiation resistance protein/autophagy-related protein 14 domain containing protein., Similar to predicted protein.",Biological Process: positive regulation of autophagy (GO:0010508)
57,Os11g0112800,,,59.6857590236882,522,Blue,49.6552351843233,Saposin-like domain containing protein.,Biological Process: lipid metabolic process (GO:0006629)
58,Os09g0544900,,,61.6417701962629,480,Blue,49.3489488079273,MaoC-like dehydratase domain containing protein.,"Biological Process: metabolic process (GO:0008152), Molecular Function: oxidoreductase activity (GO:0016491)"
59,Os08g0107500,,Ribosome biogenesis in eukaryotes,58.4805645259327,551,Blue,49.3395958646116,"Uncharacterised protein family, Shwachman-Bodian-Diamond syndrome related domain containing protein.",Biological Process: ribosome biogenesis (GO:0042254)
60,Os03g0803800,,,58.7015062550659,544,Blue,49.2762654859139,Conserved hypothetical protein.,
61,Os01g0283500,,,59.3706143186869,533,Blue,49.2276954331506,"Similar to predicted protein., Peptidase S54, rhomboid domain containing protein.",", Cellular Component: intracellular (GO:0005622), Cellular Component: integral to membrane (GO:0016021), Molecular Function: serine-type endopeptidase activity (GO:0004252), Molecular Function: zinc ion binding (GO:0008270)"
62,Os11g0551800,,,63.4667382430996,452,Blue,48.9290407539495,Similar to Yippee-like protein 1 (DGL-1) (Mdgl-1).,
