id,Label,TF,KEGG,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO
0,Os05g0567300,,,77.5900354305035,2132,Tan,20.8121415868812,Similar to GTP-binding protein era.,"Cellular Component: intracellular (GO:0005622), Molecular Function: RNA binding (GO:0003723), Molecular Function: GTPase activity (GO:0003924), Molecular Function: GTP binding (GO:0005525)"
1,Os05g0594500,,,63.0936755518405,2712,Tan,18.6107518750852,"Invasin/intimin cell-adhesion domain containing protein., Hypothetical conserved gene.",
2,Os09g0423300,,,79.1190922014831,2081,Tan,18.1411315524552,"Pentatricopeptide repeat domain containing protein., Similar to pentatricopeptide (PPR) repeat-containing protein., Hypothetical conserved gene.","Molecular Function: binding (GO:0005488),"
3,Os02g0152900,,,44.7680815669229,3726,Tan,18.0872732824946,"Nucleus-encoded chloroplast protein, Chloroplast development, Biogenesis of chloroplast ATP synthase",
4,Os02g0735800,,,60.3535590244366,2844,Tan,18.0395705435661,Pentatricopeptide repeat domain containing protein.,
5,Os11g0638000,,,35.1369159343187,4554,Tan,17.9290153263302,"Similar to GTP-binding protein engA., Similar to Small GTP-binding protein domain containing protein, expressed.","Cellular Component: intracellular (GO:0005622), Molecular Function: GTP binding (GO:0005525),"
6,Os01g0618400,,,35.5038794013264,4517,Tan,17.3102999365676,Similar to RNA helicase (Fragment).,"Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: helicase activity (GO:0004386), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATP-dependent helicase activity (GO:0008026)"
7,Os01g0940600,,,38.9213558313278,4209,Tan,16.1297152187722,Conserved hypothetical protein.,
8,Os05g0452500,,,62.1744125892998,2741,Tan,15.9092125966388,Conserved hypothetical protein.,
9,Os03g0232600,,,91.9520310578204,1649,Tan,15.5691947100476,"U-Box E3 ubiquitin ligase, Regulation of brassinosteroid-mediated growth","Biological Process: protein ubiquitination (GO:0016567), Molecular Function: ubiquitin-protein transferase activity (GO:0004842), Molecular Function: binding (GO:0005488)"
10,Os02g0827600,,,37.8611473223104,4304,Tan,14.9400969195459,Protein of unknown function DUF3531 domain containing protein.,
11,Os12g0148500,,,77.5849276803392,2134,Tan,14.6769145552139,Non-protein coding transcript.,
12,Os02g0529900,,,122.946225489971,916,Tan,14.5353203512696,Pentatricopeptide repeat domain containing protein.,Molecular Function: binding (GO:0005488)
13,Os03g0115300,,,56.1521830393829,3047,Tan,14.4540085621562,Pentatricopeptide repeat domain containing protein.,
14,Os08g0323400,,,46.5128670986335,3607,Tan,14.4038239114808,Similar to Rubredoxin (Rd).,"Molecular Function: electron carrier activity (GO:0009055), Molecular Function: metal ion binding (GO:0046872)"
15,Os09g0433800,,,49.8663380980824,3399,Tan,14.3213424778677,Similar to Senescence-associated protein SAG102.,
16,Os12g0208900,ZF-HD,,72.5411246268606,2322,Tan,14.3189924713557,"Similar to ZF-HD protein dimerisation region containing protein, expressed.","Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515)"
17,Os08g0229200,,,41.8177952369442,3943,Tan,14.2545314466796,Non-protein coding transcript.,
18,Os03g0411500,,,75.595273187444,2207,Tan,14.1964383376983,"Subunit of the chloroplast Clp (plastidic caseinolytic protease), Chloroplast biogenesis and leaf development","Biological Process: proteolysis (GO:0006508), Molecular Function: serine-type endopeptidase activity (GO:0004252)"
19,Os08g0310300,,,44.3717037580324,3762,Tan,14.0920602552696,Hypothetical gene.,
20,Os11g0448400,,,61.0397001345211,2804,Tan,13.9815527282435,"RNA polymerase sigma factor, region 2 domain containing protein., Similar to Sigma-70 region 3 family protein, expressed.","Biological Process: transcription initiation, DNA-dependent (GO:0006352), Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: sigma factor activity (GO:0016987)"
21,Os05g0226300,,,56.9502412738484,3007,Tan,13.6400882969186,Similar to FIP1.,
