id,Label,Description,GO,Symbol,KEGG,MapMan,MSU_LOC,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity
0,Os10g0189100,"Plastidic phosphoglucomutase, Starch synthesis in rice pollen","Biological Process: carbohydrate metabolic process (GO:0005975), Biological Process: organic substance metabolic process (GO:0071704), Molecular Function: magnesium ion binding (GO:0000287), Molecular Function: intramolecular transferase activity, phosphotransferases (GO:0016868)",OspPGM,"Glycolysis / Gluconeogenesis, Pentose phosphate pathway, Galactose metabolism, Purine metabolism, Starch and sucrose metabolism, Amino sugar and nucleotide sugar metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of nucleotide sugars",['not assigned.unknown'],LOC_Os10g11140,,138.346226398899,692,Green,69.6535902260964
1,Os07g0470700,PAP fibrillin family protein.,"Cellular Component: chloroplast (GO:0009507), Molecular Function: structural molecule activity (GO:0005198)",OsFBN10,,['cell.organisation'],LOC_Os07g28790,,152.202657133337,504,Green,64.1682955487183
2,Os07g0558200,"Inositol monophosphatase family protein., Similar to predicted protein.",Molecular Function: inositol or phosphatidylinositol phosphatase activity (GO:0004437),,"Sulfur metabolism, Metabolic pathways",['nucleotide metabolism.degradation'],LOC_Os07g37220,,133.468042925674,756,Green,64.0536881756613
3,Os08g0359000,Similar to APE1.,,,,['PS'],LOC_Os08g27010,,134.751049343088,739,Green,63.089931998407
4,Os03g0311300,"Similar to HAD-superfamily hydrolase, subfamily IA, variant 3 containing protein, expressed., NHL repeat domain containing protein.","Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824), Molecular Function: hydrolase activity (GO:0016787), Molecular Function: protein binding (GO:0005515), Molecular Function: oxidoreductase activity (GO:0016491)",,,['development.unspecified'],LOC_Os03g19760,,198.276505059628,130,Green,62.5215297093295
5,Os04g0391900,Similar to OSIGBa0145N07.5 protein.,"Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824)",,,['not assigned.unknown'],LOC_Os04g32150,,195.293140457052,154,Green,59.2628063149734
6,Os03g0284500,"HAD-superfamily subfamily IIA hydrolase, CECR5 protein., Similar to cat eye syndrome critical region protein 5.","Biological Process: metabolic process (GO:0008152), Molecular Function: hydrolase activity (GO:0016787)",,,['not assigned.unknown'],LOC_Os03g17590,,168.159216526736,330,Green,59.1841775301818
7,Os11g0621400,Conserved hypothetical protein.,,,,['not assigned.unknown'],LOC_Os11g40600,,195.212257852542,156,Green,59.0940605787542
8,Os07g0558300,Inositol monophosphatase family protein.,Molecular Function: inositol or phosphatidylinositol phosphatase activity (GO:0004437),,"Sulfur metabolism, Metabolic pathways",['nucleotide metabolism.degradation'],LOC_Os07g37230,,141.303736368509,643,Green,58.430604396067
9,Os08g0432500,"Ribosomal protein L7/L12, C-terminal/adaptor protein ClpS-like domain containing protein.",Biological Process: protein catabolic process (GO:0030163),OsClpS1,,['protein.synthesis.ribosomal protein.prokaryotic.unknown organellar.50S subunit.L7/L12'],LOC_Os08g33540,,125.383879930425,875,Green,58.3984100055878
10,Os02g0678200,"SPX-MFS protein, Pi homeostasis","Biological Process: transmembrane transport (GO:0055085), Cellular Component: integral component of membrane (GO:0016021)",OsSPX-MFS2,,['not assigned.unknown'],LOC_Os02g45520,,165.455532774203,359,Green,57.9504687712418
11,Os04g0668800,Putative thiol-disulphide oxidoreductase DCC family protein.,,,,['not assigned.unknown'],LOC_Os04g57310,,106.069983890749,1264,Green,57.6214112661125
12,Os04g0442200,Protein of unknown function DUF482 family protein.,,,,['not assigned.unknown'],LOC_Os04g36062,,113.34764908218,1103,Green,55.8908328711737
13,Os03g0355900,Hypothetical conserved gene.,,,,['not assigned.unknown'],LOC_Os03g23980,,158.37604452951,427,Green,55.4291551351486
