id,Label,Description,GO,Symbol,KEGG,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity,MapMan,MSU_LOC,FC_1hr,pval_1hr,REG_1hr,FC_3hr,pval_3hr,REG_3hr,FC_6hr,pval_6hr,REG_6hr,FC_12hr,pval_12hr,REG_12hr,FC_1day,pval_1day,REG_1day
0,Os03g0811200,BRCT domain containing protein.,Cellular Component: intracellular (GO:0005622),,,,48.0870403970559,864,Turquoise,35.2090921689742,['not assigned.unknown'],LOC_Os03g59650,-0.331722194,0.551444081,,-1.093290647,0.006898872,Down,-1.564584766,0.000168795,Down,-2.343611184,5.91E-09,Down,-3.744192878,2.46E-12,Down
1,Os06g0113600,Cyclin-like F-box domain containing protein.,Molecular Function: protein binding (GO:0005515),,,,11.531695115268,5741,Yellow,5.16195614842294,['not assigned.unknown'],LOC_Os06g02340,-0.824954945,0.043040844,,-0.723432473,0.052757668,,-0.720082865,0.06099212,,-1.161489042,0.001010265,Down,-1.193249076,0.001247979,Down
2,Os03g0113900,Protein of unknown function DUF584 family protein.,,OsS40-4,,,8.69659722194615,6858,Blue,6.90214878279536,['not assigned.unknown'],LOC_Os03g02280,3.611280254,0.021680135,Up,4.564211839,0.001028269,Up,3.995013014,0.005402631,Up,2.853454182,0.056584023,,5.272943658,8.95E-05,Up
3,Os05g0104900,Similar to STIP1 homology and U box-containing protein 1.,"Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)",OsPUB66,"Ubiquitin mediated proteolysis, Protein processing in endoplasmic reticulum",,49.3007067934779,815,Blue,34.8077179286248,['protein.degradation.ubiquitin.E3.RING'],LOC_Os05g01460,1.301477622,2.25E-10,Up,2.388754159,2.67E-36,Up,2.205871679,2.28E-30,Up,2.081827953,1.10E-27,Up,1.91848094,9.00E-23,Up
4,Os01g0220100,Similar to Cellulase.,"Biological Process: carbohydrate metabolic process (GO:0005975), Cellular Component: extracellular region (GO:0005576), Molecular Function: catalytic activity (GO:0003824), Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553), Molecular Function: carbohydrate binding (GO:0030246)",OsCel9A,"Starch and sucrose metabolism, Metabolic pathways",,21.0584766297817,3213,Turquoise,17.3354158509076,"['misc.gluco-, galacto- and mannosidases.endoglucanase']",LOC_Os01g12070,-1.200409712,0.092436456,,-4.768695694,2.06E-11,Down,-7.519127781,2.81E-06,Down,-8.33272381,6.11E-09,Down,-8.847093998,4.67E-08,Down
5,Os05g0119300,Similar to ESTs AA754121.,,,,,26.5813497233661,2382,Black,14.7853503837402,['not assigned.unknown'],LOC_Os05g02780,1.650658501,5.53E-34,Up,0.702982491,7.49E-07,,0.793658502,1.89E-08,,1.009545437,2.30E-13,Up,1.172030226,1.29E-17,Up
6,Os09g0487600,Similar to polygalacturonase.,"Biological Process: carbohydrate metabolic process (GO:0005975), Molecular Function: polygalacturonase activity (GO:0004650)",,,,18.1803518223004,3786,Blue,13.9966966492534,['cell wall.degradation.pectate lyases and polygalacturonases'],LOC_Os09g31270,0.325738858,0.279047454,,1.207842391,1.92E-08,Up,1.732003371,1.68E-16,Up,1.976971912,4.72E-22,Up,1.497585933,2.19E-12,Up
7,Os03g0788100,Similar to RING-H2 finger protein ATL1P (RING-H2 finger protein ATL3).,"Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",,,,1.71152035349757,11785,Turquoise,1.2486649643987,['protein.degradation.ubiquitin.E3.RING'],LOC_Os03g57410,-0.885330103,0.208400753,,-1.497095381,0.011190857,Down,-2.629955996,6.34E-05,Down,-2.354054724,6.06E-05,Down,-3.454216505,2.48E-06,Down
8,Os03g0324900,"Zinc finger, RING/FYVE/PHD-type domain containing protein.","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",,,,49.4203478685153,812,Blue,42.7548549608957,['protein.degradation.ubiquitin.E3.RING'],LOC_Os03g20870,1.72981971,2.31E-12,Up,2.331659776,4.72E-23,Up,1.697697303,3.53E-12,Up,1.884782114,2.60E-15,Up,2.550300131,2.80E-27,Up
9,Os04g0169100,"Similar to Ethylene receptor-like protein 1., Ethylene receptor, Ethylene response, Floral transition and starch accumulation","Biological Process: signal transduction (GO:0007165), Molecular Function: signal transducer activity (GO:0004871), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Biological Process: two-component signal transduction system (phosphorelay) (GO:0000160), Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Biological Process: signal transduction (GO:0007165), Biological Process: ethylene mediated signaling pathway (GO:0009873), Biological Process: peptidyl-histidine phosphorylation (GO:0018106), Cellular Component: endoplasmic reticulum membrane (GO:0005789), Molecular Function: two-component sensor activity (GO:0000155), Molecular Function: two-component response regulator activity (GO:0000156), Molecular Function: protein histidine kinase activity (GO:0004673), Molecular Function: signal transducer activity (GO:0004871), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524)","ETR2, OsETR2, OS-ETR2, etr2, OsPK1, PK1, ERL1, OsERL1, OsERS3","MAPK signaling pathway - plant, Plant hormone signal transduction",,15.4152247346715,4504,Brown,11.5323095026172,['hormone metabolism.ethylene.signal transduction'],LOC_Os04g08740,-1.263195616,3.40E-09,Down,-0.410636888,0.077501378,,-1.269825837,1.43E-09,Down,-1.464755298,1.07E-12,Down,-1.35530861,9.08E-11,Down
