Gene stable ID,Triticum aestivum gene stable ID
Os01g0100100,TraesCS3B02G102400
Os01g0100100,TraesCS3D02G087200
Os01g0100100,TraesCS3A02G087000
Os01g0100400,TraesCS3A02G085900
Os01g0100400,TraesCS3B02G101200
Os01g0100400,TraesCS3B02G101500
Os01g0100400,TraesCS3D02G086400
Os01g0100700,TraesCS3B02G100800
Os01g0100700,TraesCS3A02G085600
Os01g0100700,TraesCS3D02G085600
Os01g0100900,TraesCS3A02G085400
Os01g0100900,TraesCS3D02G085400
Os01g0100900,TraesCS3B02G100600
Os01g0101200,TraesCS3D02G084300
Os01g0101200,TraesCS3B02G099300
Os01g0101200,TraesCS3A02G084400
Os01g0101600,TraesCS3B02G098800
Os01g0101600,TraesCS3D02G083800
Os01g0101600,TraesCS3A02G083800
Os01g0101700,TraesCS3D02G083700
Os01g0101700,TraesCS3B02G098700
Os01g0101700,TraesCS3A02G083700
Os01g0102000,TraesCS3A02G083200
Os01g0102000,TraesCS3B02G098100
Os01g0102000,TraesCS3D02G083000
Os01g0102300,TraesCS3A02G083000
Os01g0102300,TraesCS3D02G083100
Os01g0102300,TraesCS3B02G098000
Os01g0102500,TraesCS3A02G082800
Os01g0102500,TraesCS3D02G083200
Os01g0102500,TraesCS3B02G097900
Os01g0102600,TraesCS3A02G082700
Os01g0102600,TraesCS3B02G097800
Os01g0102600,TraesCS3D02G083400
Os01g0103000,TraesCS3B02G096400
Os01g0103000,TraesCS3A02G081400
Os01g0103000,TraesCS3D02G081400
Os01g0103100,TraesCS3A02G081100
Os01g0103100,TraesCS3B02G095900
Os01g0103100,TraesCS3D02G081100
Os01g0103600,TraesCS5B02G025600
Os01g0103600,TraesCS5B02G025700
Os01g0103600,TraesCS3D02G079800
Os01g0103600,TraesCS5D02G005900
Os01g0103600,TraesCS5B02G029700
Os01g0103600,TraesCS3A02G079400
Os01g0103600,TraesCS5B02G025800
Os01g0103600,TraesCS5D02G005800
Os01g0103600,TraesCS3B02G094700
Os01g0103600,TraesCS5A02G006300
Os01g0103600,TraesCS5A02G006400
Os01g0103600,TraesCS7D02G068300
Os01g0103800,TraesCS5D02G018600
Os01g0103800,TraesCS4D02G210100
