id,Label,Description,GO,Symbol,KEGG,MapMan,MSU_LOC,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity
0,Os01g0195400,Harpin-induced 1 domain containing protein.,,,,['not assigned.unknown'],LOC_Os01g09880,,77.7306186460449,2129,Magenta,47.2159104203536
1,Os01g0329900,"Similar to Lipase homolog (Fragment)., Hypothetical conserved gene.","Biological Process: lipid metabolic process (GO:0006629), Molecular Function: hydrolase activity, acting on ester bonds (GO:0016788)",GELP14,,['misc.GDSL-motif lipase'],LOC_Os01g22640,,86.7398649089128,1811,Magenta,46.7137404290969
2,Os06g0284200,"Protein of unknown function DUF246, plant family protein.",,,,['hormone metabolism.auxin.induced-regulated-responsive-activated'],LOC_Os06g17390,,89.0645571128196,1736,Magenta,46.2240105784723
3,Os06g0589500,Conserved hypothetical protein.,,,,['not assigned.unknown'],LOC_Os06g38960,,79.209134445934,2075,Magenta,46.0397766058196
4,Os04g0408600,Protein of unknown function DUF662 family protein.,,,,['DNA.synthesis/chromatin structure'],LOC_Os04g33450,,88.0760822256836,1770,Magenta,45.3857708668568
5,Os01g0106300,Similar to Isoflavone reductase homolog IRL (EC 1.3.1.-).,Molecular Function: nucleotide binding (GO:0000166),,,['secondary metabolism.flavonoids.isoflavones.isoflavone reductase'],LOC_Os01g01650,,87.9225931411377,1774,Magenta,43.7017207729768
6,Os03g0817800,"Protein of unknown function DUF231 domain containing protein., Conserved hypothetical protein.",,OsTBL6,,['development.unspecified'],LOC_Os03g60340,,55.3769943536328,3090,Magenta,43.6504611763099
7,Os08g0547500,"Kinesin, motor domain domain containing protein., Hypothetical conserved gene.","Biological Process: microtubule-based movement (GO:0007018), Molecular Function: microtubule motor activity (GO:0003777), Molecular Function: ATP binding (GO:0005524)",,,['cell.organisation'],LOC_Os08g43400,,70.2679988342529,2413,Magenta,42.8548729512523
8,Os09g0248100,FAS1 domain domain containing protein.,,FLA11,,['cell wall.cell wall proteins.AGPs.AGP'],LOC_Os09g07350,,79.6907715805161,2057,Magenta,42.5831707975856
9,Os05g0563600,FAS1 domain domain containing protein.,,FLA6,,['cell wall.cell wall proteins.AGPs.AGP'],LOC_Os05g48900,,100.995578929441,1393,Magenta,42.1621889527353
10,Os03g0736300,"Similar to CEL6=CELLULASE 6 (Fragment)., Similar to Endoglucanase 10.","Biological Process: carbohydrate metabolic process (GO:0005975), Molecular Function: catalytic activity (GO:0003824), Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)",OsGH9A3,"Starch and sucrose metabolism, Metabolic pathways","['misc.gluco-, galacto- and mannosidases.endoglucanase']",LOC_Os03g52630,,87.8928744792932,1776,Magenta,40.9651690219542
11,Os05g0556400,DOMON related domain containing protein.,Cellular Component: integral to membrane (GO:0016021),,,['hormone metabolism.auxin.induced-regulated-responsive-activated'],LOC_Os05g48270,,93.6406094491415,1594,Magenta,40.3873930505493
