Gene,MapMan,LOC_IDs,FC_1hr,pval_1hr,REG_1hr,FC_3hr,pval_3hr,REG_3hr,FC_6hr,pval_6hr,REG_6hr,FC_12hr,pval_12hr,REG_12hr
Os01g0100100,['signalling.G-proteins'],LOC_Os01g01010,-0.891033789054181,0.003929533912988,,-0.545523555712527,0.087892811966114,,-0.758588642059947,0.011086436853426,,-0.959213274431875,0.000991201579398,
Os01g0100400,"['misc.oxidases - copper, flavone etc.']",LOC_Os01g01030,-0.606746712471893,0.471454207439771,,-0.758482806098981,0.340835432552926,,-0.169658802861536,0.859817531496284,,-0.37835673447074,0.660597025164719,
Os01g0100700,['protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S5'],LOC_Os01g01060,-0.057842123616971,0.924657176348385,,-0.330199185868905,0.52382016678038,,-0.023435301861103,0.969642562934186,,0.09588667702925,0.872833756843121,
Os01g0100900,"[""lipid metabolism.''exotics'' (steroids, squalene etc).sphingolipids""]",LOC_Os01g01080,-0.031861630225364,0.925334763635477,,0.786696282701129,0.000331999083078,,1.27248485947849,7.81E-10,Up,1.56246871630047,1.75E-14,Up
Os01g0101200,['minor CHO metabolism.others'],LOC_Os01g01120,-1.52779783104805,0.000222069053966,Down,-3.36083237043202,3.79E-17,Down,-4.10130926554324,6.67E-24,Down,-4.53174076251704,1.71E-25,Down
Os01g0101600,['RNA.RNA binding'],LOC_Os01g01150,-0.422967627928738,0.04837852881911,,-0.869776440332445,3.91E-06,,-0.829263133749186,9.35E-06,,-0.859582791064309,4.21E-06,
Os01g0101700,['stress.abiotic.heat'],LOC_Os01g01160,-1.85981658556124,1.26E-06,Down,-2.03103370323372,4.41E-08,Down,-2.33229171510579,1.82E-10,Down,-2.92587546857021,5.87E-15,Down
Os01g0102300,['not assigned.unknown'],LOC_Os01g01280,-1.81324792002423,0.000109893114116,Down,-2.52702311277434,2.71E-08,Down,-2.6165305874153,4.47E-09,Down,-2.38577058195779,1.30E-07,Down
Os01g0102500,['not assigned.unknown'],LOC_Os01g01295,0.799260412539594,0.0365884439397,,0.161330281533709,0.747044926125082,,0.535153373198222,0.17221962773294,,0.873807295759512,0.014201217623463,
Os01g0102600,['amino acid metabolism.synthesis.aromatic aa.chorismate.shikimate kinase'],LOC_Os01g01302,-0.576211833267623,0.120390931181146,,-2.37254520685302,2.40E-14,Down,-3.24812425487575,1.84E-25,Down,-3.60850484786733,1.47E-29,Down
Os01g0102850,NA,None,-0.168005061433576,0.904145529071782,,0.414268733098081,0.741720218358805,,0.028404398877356,0.983760272752206,,-0.408732745585117,0.744800409020416,
Os01g0103000,['RNA.regulation of transcription.SNF7'],LOC_Os01g01350,-0.34832819211575,0.834963575797604,,0.731700271127952,0.60673331015953,,0.943994750495782,0.47600790267744,,1.43008044002558,0.231434006670417,
Os01g0103100,['transport.peptides and oligopeptides'],LOC_Os01g01360,-1.98974413293605,0.140497212761007,,-0.216447185447759,0.876699619716023,,0.299678889838113,0.820797952698814,,-0.339868083585417,0.801287492447324,
Os01g0103400,NA,None,0.094975198156729,0.924294079513817,,0.424077704110803,0.617696171494409,,0.185694862855349,0.847107419377313,,0.154173206042178,0.87406142786332,
Os01g0103700,['not assigned.unknown'],LOC_Os01g01380,-0.404134477203024,0.511037049346125,,-0.52045436856819,0.367893853215993,,-0.978768753425478,0.055950812190307,,-0.508025632411642,0.371215188755211,
Os01g0103800,['not assigned.unknown'],LOC_Os01g01390,-0.209257925831878,0.57347153600923,,0.436536483596693,0.162255811820492,,0.393130716784458,0.209288446174162,,0.055967281998316,0.897165110774086,
Os01g0103900,['not assigned.unknown'],LOC_Os01g01400,-0.829433652954153,0.533352943245685,,1.09807284658169,0.255893461500185,,2.16605094770421,0.00633719723524,Up,1.82697339373286,0.02811910330318,Up
Os01g0104000,['protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII'],LOC_Os01g01410,-0.320502415965224,0.218258451094681,,0.283837813390847,0.258875395527208,,0.416036855980394,0.0680415561704,,0.153899987313824,0.576386934777022,
Os01g0104350,NA,None,0.22604294404222,0.818522182455852,,1.07826278439983,0.14277051424943,,1.61044379381681,0.015488052733588,Up,1.26223160031813,0.070932764867475,
Os01g0104400,['not assigned.unknown'],LOC_Os01g01450,-0.573316472987191,0.173889803004581,,-0.389511614546032,0.380031514103752,,-0.150551143081961,0.775144187106094,,-0.020430412077701,0.972303096677984,
Os01g0104600,['development.unspecified'],LOC_Os01g01484,-0.94627551287116,0.000113149040948,,-1.17457530450712,4.48E-07,Down,-1.43549855298007,2.99E-10,Down,-1.75187794343672,2.33E-14,Down
Os01g0104800,['not assigned.unknown'],LOC_Os01g01510,-0.80804195037012,0.20889593044804,,-0.070674816655611,0.93384880063052,,-0.017520587799092,0.983410637833848,,0.119233311058783,0.884114200249679,
Os01g0105400,['not assigned.unknown'],LOC_Os01g01570,0.452238016330527,0.226294313828977,,0.007651078767851,0.988181047208668,,-0.38110167690987,0.319337173122575,,0.020038277530229,0.968813266783209,
Os01g0105800,['Co-factor and vitamine metabolism.iron-sulphur clusters'],LOC_Os01g01610,0.460096771583662,0.532697402345796,,1.5679570544558,0.004579242426276,Up,1.02507135483261,0.084224607766599,,0.44417364838699,0.531973856821753,
Os01g0105900,['minor CHO metabolism.others'],LOC_Os01g01620,2.03159821065015,1.51E-11,Up,2.72657763484066,9.94E-21,Up,2.39366150299895,2.52E-16,Up,1.79481178566533,1.38E-09,Up
Os01g0106300,['secondary metabolism.flavonoids.isoflavones.isoflavone reductase'],LOC_Os01g01650,-1.04380156250919,0.417911362062531,,-4.52223650196531,2.16E-05,Down,-6.36640771569973,3.74E-08,Down,-6.54338209735667,1.27E-07,Down
Os01g0106400,['secondary metabolism.flavonoids.isoflavones.isoflavone reductase'],LOC_Os01g01660,-1.74401911786567,0.066789181172244,,-2.99163256734818,0.000750699506226,Down,-4.84091099492402,6.35E-07,Down,-4.30333875967025,7.93E-06,Down
Os01g0106500,['not assigned.unknown'],LOC_Os01g01670,-1.1234385056836,0.20893783604175,,-1.16035448346144,0.174969451979317,,0.045929853251071,0.966274168670467,,-0.152956245048483,0.889276406706579,
Os01g0106600,['not assigned.unknown'],LOC_Os01g01680,-0.511996517127635,0.608298762309884,,0.513418943273002,0.567725290236252,,0.336542577277986,0.726085756641535,,0.034707689323733,0.976208108161288,
Os01g0106700,NA,LOC_Os01g01689,-0.268407561860638,0.448863557294634,,0.096391342718579,0.813225208922061,,0.219728300745522,0.541346971835366,,0.426047410606211,0.170686719468485,
