id,Label,TF,KEGG,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO
0,Os07g0686600,,,29.0893510700902,2087,GreenYellow,19.9086112103058,VQ domain containing protein.,
1,Os03g0816800,,,34.7710193241792,1600,GreenYellow,19.1758927770795,Protein of unknown function DUF567 family protein.,
2,Os07g0561300,,,40.0931298448458,1223,GreenYellow,18.8328321038429,Cyclin-like F-box domain containing protein.,Molecular Function: protein binding (GO:0005515)
3,Os05g0560600,Trihelix,,28.1966558627366,2186,GreenYellow,18.5376253659018,Homeodomain-like containing protein.,Molecular Function: DNA binding (GO:0003677)
4,Os03g0645900,,"Carotenoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites",29.9895266697005,1989,GreenYellow,18.1553904977757,Carotenoid oxygenase family protein.,
5,Os03g0792800,,,34.9533540430901,1584,GreenYellow,18.0917044933313,"Beta-1, 3-glucanase-like protein.","Biological Process: carbohydrate metabolic process (GO:0005975), Molecular Function: catalytic activity (GO:0003824), Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553), Molecular Function: cation binding (GO:0043169)"
6,Os05g0541100,,,28.2700151942302,2179,GreenYellow,16.9808259214099,IQ calmodulin-binding region domain containing protein.,Molecular Function: protein binding (GO:0005515)
7,Os01g0138500,,,25.3462088755364,2552,GreenYellow,16.5888137446141,Protein of unknown function DUF789 family protein.,
8,Os09g0539000,,,24.8598390652955,2624,GreenYellow,16.2289507497985,Hypothetical conserved gene.,
9,Os07g0154100,,"Carotenoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites",33.213025576757,1699,GreenYellow,15.3854652804117,Similar to Viviparous-14.,
10,Os07g0614300,,,25.5204274719139,2526,GreenYellow,15.3633792259402,"Similar to Von Willebrand factor type A domain containing protein, expressed.",Molecular Function: protein binding (GO:0005515)
11,Os01g0975000,,,23.8348692608195,2775,GreenYellow,14.4734674620569,Protein of unknown function DUF966 family protein.,
12,Os04g0497000,,,22.4859983875944,2970,GreenYellow,14.1688711265814,Similar to Allyl alcohol dehydrogenase.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: zinc ion binding (GO:0008270), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747)"
13,Os04g0531100,,,21.7939099295552,3078,GreenYellow,14.166501069029,"Small C2-domain protein consisting of a single C2 domain, Phloem protein, Signaling pathway involving Ca<sup>2+</sup> ions, Defense response",
14,Os08g0415600,,,24.3423181330628,2695,GreenYellow,13.8633968601626,Similar to ubiquitin-protein ligase.,"Biological Process: protein ubiquitination (GO:0016567), Cellular Component: ubiquitin ligase complex (GO:0000151), Molecular Function: ubiquitin-protein ligase activity (GO:0004842), Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)"
15,Os07g0622000,,"MAPK signaling pathway - plant, Plant hormone signal transduction",24.7706935418777,2636,GreenYellow,13.8600199192856,"Serine/threonine protein kinase, Hyperosmotic stress response, Abscisic acid (ABA)-dependent gene regulation","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: ATP binding (GO:0005524)"
16,Os02g0721700,,,21.852747525749,3071,GreenYellow,13.7983089981423,Similar to Gpi-anchored protein (Fragment).,
17,Os01g0783200,,"Glycerolipid metabolism, Glycerophospholipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Phosphatidylinositol signaling system",31.3685153761082,1860,GreenYellow,13.3026883056462,Similar to Diacylglycerol kinase.,"Biological Process: activation of protein kinase C activity by G-protein coupled receptor protein signaling pathway (GO:0007205), Molecular Function: diacylglycerol kinase activity (GO:0004143)"
18,Os03g0710700,,,25.7456175975998,2490,GreenYellow,13.0090245801994,Similar to predicted protein.,"Biological Process: glycolipid transport (GO:0046836), Cellular Component: cytoplasm (GO:0005737), Molecular Function: glycolipid transporter activity (GO:0017089), Molecular Function: glycolipid binding (GO:0051861)"
19,Os04g0451700,,,25.4953751428506,2530,GreenYellow,12.9454375327378,Conserved hypothetical protein.,
20,Os05g0490400,,,24.0555698885472,2742,GreenYellow,12.8163535309979,Conserved hypothetical protein.,
21,Os03g0125100,,"Carotenoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites",27.4643748476105,2271,GreenYellow,12.6684093269645,"Beta-carotene hydroxylase, Drought and oxidative stress resistance","Biological Process: fatty acid biosynthetic process (GO:0006633), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: iron ion binding (GO:0005506), Molecular Function: oxidoreductase activity (GO:0016491)"
22,Os07g0633400,,,18.9671678754414,3634,GreenYellow,12.6029355854884,IQ calmodulin-binding region domain containing protein.,Molecular Function: protein binding (GO:0005515)
23,Os06g0147000,,,21.8720933984749,3070,GreenYellow,12.5183956001297,Conserved hypothetical protein.,
24,Os04g0128700,,,19.3380662498787,3560,GreenYellow,12.3140229259586,Thioredoxin-like fold domain containing protein.,
25,Os03g0823800,,,32.1879673229825,1790,GreenYellow,12.2679075455307,"Similar to Permease 1., Similar to permease I.","Biological Process: transport (GO:0006810), Biological Process: transmembrane transport (GO:0055085), Cellular Component: membrane (GO:0016020), Molecular Function: transporter activity (GO:0005215)"
26,Os01g0513400,,,37.2705187482111,1420,GreenYellow,12.0511359349294,Protein of unknown function DUF789 family protein.,
27,Os06g0717100,,Endocytosis,22.5642327887406,2961,GreenYellow,12.0104278228279,Senescence-associated family protein.,
28,Os04g0492800,,Plant-pathogen interaction,20.2044442949792,3370,GreenYellow,11.8937222347314,Similar to H0425E08.6 protein.,Molecular Function: calcium ion binding (GO:0005509)
29,Os04g0301500,bHLH,,20.9512015290276,3228,GreenYellow,11.5849055053327,Helix-loop-helix DNA-binding domain containing protein.,
30,Os11g0572700,,"Carotenoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites",17.4859921688081,3943,GreenYellow,11.5495721719275,"Carotenoid isomerase, Carotenoid biosynthesis, Root and coleoptile growth","Biological Process: carotenoid biosynthetic process (GO:0016117), Molecular Function: isomerase activity (GO:0016853)"
31,Os07g0122000,,,18.75045935886,3678,GreenYellow,11.5357752603984,"Protein of unknown function DUF1719, Oryza sativa family protein.",
32,Os05g0484800,,,17.5172102041206,3939,GreenYellow,11.4263034870202,Protein of unknown function DUF567 family protein.,
33,Os03g0187400,,,18.9500863101221,3640,GreenYellow,11.3980230900734,"Zinc finger, FYVE/PHD-type domain containing protein.",
34,Os10g0203000,,,18.3535927910374,3750,GreenYellow,11.3854748587679,"Endonuclease/exonuclease/phosphatase domain containing protein., Similar to predicted protein.",Molecular Function: calcium ion binding (GO:0005509)
35,Os07g0592600,,Plant hormone signal transduction,20.4511211693368,3323,GreenYellow,11.1132099809538,"Indole-3-acetic acid (IAA)-amido synthetase, Auxin signaling and defense signaling in a pathogen-nonspecific manner",
36,Os01g0769700,,,26.1538541501118,2444,GreenYellow,11.1129631085085,"Receptor-like kinase, Control of reproductive growth and development, Repression of cell death, Similar to predicted protein.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: ATP binding (GO:0005524), Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
37,Os07g0622700,,,18.3761344489648,3745,GreenYellow,11.0011400920195,Alpha/beta hydrolase fold-1 domain containing protein.,Molecular Function: catalytic activity (GO:0003824)
38,Os08g0379200,,,19.6703543775256,3492,GreenYellow,10.9729601467379,"ATPase, P-type, K/Mg/Cd/Cu/Zn/Na/Ca/Na/H-transporter family protein.",
39,Os03g0250000,,,23.8470706416699,2771,GreenYellow,10.9474943238155,Conserved hypothetical protein.,
40,Os06g0143400,,"Fatty acid biosynthesis, Metabolic pathways, Fatty acid metabolism",24.4260056727777,2682,GreenYellow,10.8803167222134,Similar to Acyl-ACP thioesterase (Fragment).,"Biological Process: fatty acid biosynthetic process (GO:0006633), Molecular Function: thiolester hydrolase activity (GO:0016790)"
41,Os03g0713600,,,17.7689495111507,3879,GreenYellow,10.8089249978773,Aldo/keto reductase domain containing protein.,"Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)"
42,Os05g0497200,ERF,,18.2650074725166,3773,GreenYellow,10.7788795034065,"AP2/ERF (APETALA2/ethylene-responsive factor) protein, Regulation of spikelet meristem determinancy and floral organ identity","Biological Process: regulation of transcription, DNA-templated (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700)"
43,Os04g0423400,,,16.2333351228145,4287,GreenYellow,10.7129576880247,Similar to OSIGBa0076I14.3 protein.,"Biological Process: response to stress (GO:0006950),"
44,Os03g0633800,,Plant hormone signal transduction,27.444920904698,2274,GreenYellow,10.6839460663881,Similar to IAA6 (Fragment).,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634), Molecular Function: protein dimerization activity (GO:0046983)"
45,Os05g0585500,,Plant-pathogen interaction,30.7638065871024,1926,GreenYellow,10.3323137718985,Similar to Calcium-dependent protein kinase.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: calcium ion binding (GO:0005509), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
46,Os02g0654600,,,25.6134831660957,2509,GreenYellow,10.2920338092325,Domain of unknown function DUF632 domain containing protein.,
47,Os02g0775300,,,24.7253071307329,2645,GreenYellow,10.2685694849153,Conserved hypothetical protein.,
48,Os02g0733900,,,40.0601125990895,1225,GreenYellow,10.1310657430905,Conserved hypothetical protein.,
49,Os08g0476000,,,16.1926056044204,4303,GreenYellow,9.94818238123169,Conserved hypothetical protein.,
50,Os02g0182700,bZIP,,20.5240716960994,3312,GreenYellow,9.73230118642771,Conserved hypothetical protein.,
51,Os09g0445600,,,17.6273110675538,3905,GreenYellow,9.4971440840845,Similar to oxidoreductase/ transition metal ion binding protein.,
52,Os04g0532100,,"Monoterpenoid biosynthesis, Biosynthesis of secondary metabolites",14.6916642932397,4702,GreenYellow,9.48094807240703,Short-chain dehydrogenase/reductase SDR domain containing protein.,"Biological Process: metabolic process (GO:0008152), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: oxidoreductase activity (GO:0016491)"
53,Os03g0127500,bZIP,,15.1061049307304,4591,GreenYellow,9.40706095640304,"bZIP transcription factor, bZIP-1 domain containing protein.","Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: sequence-specific DNA binding (GO:0043565), Molecular Function: protein dimerization activity (GO:0046983)"
