id,Label,TF,KEGG,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO
0,Os03g0224200,ARR-B,Plant hormone signal transduction,41.6216743277943,1158,Black,22.0060721764957,"B-type response regulator, Cytokinin signaling, Similar to response regulator 8.","Biological Process: two-component signal transduction system (phosphorelay) (GO:0000160), Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: two-component response regulator activity (GO:0000156), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515), Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515)"
1,Os12g0639100,,,32.1825426603919,1791,Black,21.78831258613,"Major facilitator superfamily MFS_1 protein., Similar to nodulin-like protein.","Biological Process: transmembrane transport (GO:0055085), Cellular Component: integral to membrane (GO:0016021)"
2,Os03g0693000,,,45.0175644450123,989,Black,19.8589112586283,Similar to predicted protein.,
3,Os01g0850100,,,40.4312422157724,1210,Black,19.4423043526479,Similar to Phosphatidic acid phosphatase-like protein.,
4,Os08g0408200,,,41.8299137042077,1152,Black,18.5965318722765,"WD40 subfamily protein, Salt stress",Molecular Function: protein binding (GO:0005515)
5,Os01g0908700,,,52.1910824257723,729,Black,18.5315460262899,Similar to Hnrpa2b1-prov protein.,"Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)"
6,Os04g0402300,,,27.3633581153058,2288,Black,18.4513649812303,Similar to Cysteine-type peptidase.,
7,Os01g0747400,,,37.472111695015,1407,Black,18.2680645371497,"Protein kinase, core domain containing protein.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
8,Os04g0602300,Trihelix,,37.0827082195673,1434,Black,18.0691515968568,Similar to B0403H10-OSIGBa0105A11.17 protein.,
9,Os05g0305900,,,54.0334126599503,673,Black,17.9132871472458,"Protein kinase, core domain containing protein.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
10,Os06g0147300,,,26.6873008878271,2369,Black,17.8746214486573,"Similar to cDNA clone:J023088C01, full insert sequence.",
11,Os07g0168800,,,37.6117279721818,1389,Black,17.2915452275725,"Zinc finger, AN1-type domain containing protein.","Molecular Function: DNA binding (GO:0003677), Molecular Function: zinc ion binding (GO:0008270)"
12,Os03g0186800,,Endocytosis,26.5111362518325,2395,Black,17.2384473792061,"Modifier of rudimentary, Modr family protein.",
13,Os08g0480100,,Protein export,35.1494272764869,1564,Black,17.1603659752685,"Signal recognition particle receptor, alpha subunit, N-terminal domain containing protein., Similar to predicted protein.","Biological Process: GTP catabolic process (GO:0006184), Biological Process: SRP-dependent cotranslational protein targeting to membrane (GO:0006614), Biological Process: transport (GO:0006810), Biological Process: intracellular protein transport (GO:0006886), Cellular Component: signal recognition particle receptor complex (GO:0005785), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: GTPase activity (GO:0003924), Molecular Function: signal recognition particle binding (GO:0005047), Molecular Function: GTP binding (GO:0005525), Molecular Function: nucleoside-triphosphatase activity (GO:0017111)"
14,Os01g0623500,,,23.8299483259502,2777,Black,16.6557145325046,"ATPase, AAA-type, core domain containing protein.","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: ATP binding (GO:0005524), Molecular Function: nucleoside-triphosphatase activity (GO:0017111)"
15,Os03g0224700,HSF,,24.1458231620391,2727,Black,16.5113027040487,Similar to HSP protein (Fragment).,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: sequence-specific DNA binding (GO:0043565)"
16,Os01g0159300,,,47.3377961398288,897,Black,16.0988782644531,"Zinc finger, RING/FYVE/PHD-type domain containing protein.","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)"
17,Os12g0131100,,"Alanine, aspartate and glutamate metabolism, Amino sugar and nucleotide sugar metabolism, Metabolic pathways",39.0741143172027,1282,Black,16.0419869258964,Similar to Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (Hexosephosphate aminotransferase) (D-fructose-6- phosphate amidotransferase) (GFAT).,"Biological Process: carbohydrate metabolic process (GO:0005975), Molecular Function: sugar binding (GO:0005529)"
18,Os03g0264150,,,28.6180140154774,2136,Black,15.980803101305,Hypothetical gene.,
19,Os04g0609600,,,56.4225662563757,613,Black,15.9562565162885,Similar to Protein phosphatase type 2C.,Molecular Function: catalytic activity (GO:0003824)
20,Os06g0193400,bHLH,,26.187359995159,2439,Black,15.8536565904602,"Similar to Helix-loop-helix protein homolog., Similar to BHLH transcription factor.",
21,Os06g0126000,,,26.8885264188022,2339,Black,15.7522175991489,"LIM binding protein domain containing protein., Hypothetical conserved gene.","Cellular Component: nucleus (GO:0005634), Molecular Function: transcription cofactor activity (GO:0003712)"
22,Os08g0128300,,,36.2264061068327,1488,Black,15.4489758418642,Similar to Actin-like protein 3 (Actin-related protein 3).,"Biological Process: regulation of actin filament polymerization (GO:0030833), Cellular Component: cytoskeleton (GO:0005856), Molecular Function: actin binding (GO:0003779), Molecular Function: ATP binding (GO:0005524)"
23,Os12g0147800,,,26.8548473955721,2343,Black,15.3421128018698,Similar to Phytosulfokines 5 precursor (Secretory protein SH27A).,"Biological Process: cell proliferation (GO:0008283), Cellular Component: extracellular region (GO:0005576), Molecular Function: growth factor activity (GO:0008083)"
24,Os02g0513000,,Plant-pathogen interaction,30.1732553382627,1967,Black,15.2497670262248,Similar to Receptor protein kinase-like protein.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
25,Os01g0748900,,,21.4547277200377,3139,Black,15.1684607144093,Membrane attack complex component/perforin/complement C9 family protein.,
26,Os07g0573300,,,56.7727262598883,601,Black,14.8622765199691,"FYVE finger-containing phosphoinositide kinase (EC 2.7.1.68) (1- phosphatidylinositol-4-phosphate 5-kinase) (PIP5K) (PtdIns(4)P-5- kinase) (PIKfyve) (p235). Splice isoform p235S., Similar to FYVE finger-containing phosphoinositide kinase (EC 2.7.1.68) (1- phosphatidylinositol-4-phosphate 5-kinase) (PIP5K) (PtdIns(4)P-5- kinase) (PIKfyve) (p235).",Molecular Function: metal ion binding (GO:0046872)
27,Os05g0119300,,,26.5813497233661,2382,Black,14.7853503837402,Similar to ESTs AA754121.,
