id,Label,Description,GO,Symbol,KEGG,MapMan,MSU_LOC,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity
0,Os03g0278300,"Similar to ALY protein., Transcriptional coactivator-like protein., Similar to THO complex subunit 4.","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676),",,"Nucleocytoplasmic transport, mRNA surveillance pathway, Spliceosome",['RNA.RNA binding'],LOC_Os03g17010,,62.6103897358303,2727,Yellow,57.2131318777945
1,Os03g0286300,"Similar to Phosphate/phosphoenolpyruvate translocator protein-like., Similar to organic anion transporter.",,,,['transport.metabolite transporters at the envelope membrane'],LOC_Os03g17740,,69.0090370359112,2460,Yellow,56.5682527407014
2,Os03g0710700,Similar to predicted protein.,"Biological Process: glycolipid transport (GO:0046836), Cellular Component: cytoplasm (GO:0005737), Molecular Function: glycolipid transporter activity (GO:0017089), Molecular Function: glycolipid binding (GO:0051861)",,,['cell.cell death.plants'],LOC_Os03g50280,,92.7614333268143,1623,Yellow,56.3677365926694
3,Os03g0187600,GRAM domain containing protein.,,OsGRAM,,['hormone metabolism.abscisic acid.induced-regulated-responsive-activated'],LOC_Os03g08860,,64.4413477076975,2648,Yellow,55.895650965546
4,Os06g0502900,Similar to DGCR14 protein.,,,,['not assigned.unknown'],LOC_Os06g30710,,62.9019990694964,2721,Yellow,53.7757447789445
5,Os03g0224700,Similar to HSP protein (Fragment).,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: sequence-specific DNA binding (GO:0043565)",HSFA9,,"['RNA.regulation of transcription.HSF,Heat-shock transcription factor family']",LOC_Os03g12370,HSF,72.3038652415882,2335,Yellow,53.6381380167574
6,Os05g0498400,Similar to Protein translation factor SUI1.,"Biological Process: translational initiation (GO:0006413), Molecular Function: translation initiation factor activity (GO:0003743)",,,['protein.synthesis.initiation'],LOC_Os05g41900,,63.7329780350439,2680,Yellow,53.4615455987899
7,Os01g0748600,"Similar to Protein kinase family protein., Serine/threonine protein kinase-related domain containing protein.","Molecular Function: protein binding (GO:0005515), Biological Process: protein phosphorylation (GO:0006468), Biological Process: regulation of signal transduction (GO:0009966), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,,['protein.postranslational modification'],LOC_Os01g54480,,79.8789471687038,2052,Yellow,52.266946190931
8,Os04g0672900,Similar to H0322F07.6 protein.,,,,['not assigned.unknown'],LOC_Os04g57690,,76.1811594295546,2190,Yellow,51.6689566007456
9,Os01g0821300,Hypothetical conserved gene.,,OsWRKY108,,['RNA.regulation of transcription.WRKY domain transcription factor family'],LOC_Os01g60600,WRKY,58.7056873944501,2923,Yellow,51.5786111294414
10,Os02g0802700,"Similar to MGDG synthase type A., Monogalactosyldiacylglycerol synthase, Salt, drought, submergence stress tolerance","Biological Process: carbohydrate metabolic process (GO:0005975), Biological Process: glycolipid biosynthetic process (GO:0009247), Biological Process: lipid glycosylation (GO:0030259), Molecular Function: transferase activity, transferring hexosyl groups (GO:0016758), Molecular Function: carbohydrate binding (GO:0030246)",OsMGD2,"Glycerolipid metabolism, Metabolic pathways",['lipid metabolism.glycolipid synthesis.MGDG synthase'],LOC_Os02g55910,,74.2957270677771,2253,Yellow,51.3090545081182
