id,Label,Description,GO,Symbol,KEGG,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity,MapMan,MSU_LOC,FC_1hr,pval_1hr,REG_1hr,FC_3hr,pval_3hr,REG_3hr,FC_6hr,pval_6hr,REG_6hr,FC_12hr,pval_12hr,REG_12hr,FC_1day,pval_1day,REG_1day
0,Os03g0811200,BRCT domain containing protein.,Cellular Component: intracellular (GO:0005622),,,,1.87861966457505,12013,Blue,0.884663917467726,['not assigned.unknown'],LOC_Os03g59650,-0.432961064,,,-0.370701168,0.843341682,,-0.773467933,0.478141266,,-2.108167246,0.021308022,Down,-2.759306084,0.025134874,Down
1,Os06g0184866,Pentatricopeptide repeat domain containing protein.,,,,,18.0918920195517,6887,Blue,8.7436430548815,['RNA.regulation of transcription'],LOC_Os06g08570,-0.235211799,0.999997499,,1.399793315,0.076394319,,-1.952256128,0.003995357,Down,-2.122283728,0.000341994,Down,-2.945944211,9.97E-06,Down
2,Os01g0275300,Conserved hypothetical protein.,,,,,7.46285189881707,9506,Tan,2.52361374201562,,None,-0.698505757,0.999997499,,-0.232547158,0.741155961,,-1.420611075,0.000756751,Down,-1.05532936,0.002727524,Down,-2.018514502,7.63E-06,Down
3,Os05g0119300,Similar to ESTs AA754121.,,,,,61.5263463993659,2771,Yellow,38.9267924186571,['not assigned.unknown'],LOC_Os05g02780,0.249552957,0.999997499,,0.434956453,0.151860132,,0.840850851,0.000377046,,1.82908019,1.44E-19,Up,2.258772496,1.58E-24,Up
4,Os07g0603800,"TGF-beta receptor, type I/II extracellular region family protein., Similar to peptide transporter PTR2.","Biological Process: oligopeptide transport (GO:0006857), Cellular Component: membrane (GO:0016020), Molecular Function: transporter activity (GO:0005215)","OsNPF7.1a, OsNPF7.1",,,10.2308763456373,8652,Black,5.5356869414148,['transport.peptides and oligopeptides'],LOC_Os07g41250,0.307603462,0.999997499,,-0.507069464,0.304686688,,-0.969684546,0.008453699,,-1.937117061,9.33E-10,Down,-1.673836988,3.64E-06,Down
5,Os09g0470000,Similar to Plastidic general dicarboxylate transporter.,"Biological Process: sodium ion transport (GO:0006814), Biological Process: transmembrane transport (GO:0055085), Cellular Component: membrane (GO:0016020), Molecular Function: transporter activity (GO:0005215)",,,,24.7256428637226,5815,Blue,18.2860430752085,['transport.metabolite transporters at the mitochondrial membrane'],LOC_Os09g29430,0.757169275,0.999997499,,0.207748659,0.902191597,,-1.986018439,0.012634288,Down,-2.412375474,0.000464714,Down,-2.732099122,0.000664997,Down
6,Os01g0785700,Pentatricopeptide repeat domain containing protein.,Molecular Function: binding (GO:0005488),,,,122.723681959197,918,Brown,121.506639744235,['RNA.regulation of transcription'],LOC_Os01g57630,-0.11649031,0.999997499,,-0.4565864,0.590837532,,-1.846487272,0.002083991,Down,-2.19873619,1.60E-05,Down,-2.2144808,0.000437471,Down
7,Os12g0138800,"Six-bladed beta-propeller, TolB-like domain containing protein.","Biological Process: biosynthetic process (GO:0009058), Molecular Function: strictosidine synthase activity (GO:0016844)",,,,10.0700901416516,8700,Magenta,5.47720097897734,['secondary metabolism.N misc.alkaloid-like'],LOC_Os12g04424,-0.078775467,0.999997499,,-0.8245866,0.320548478,,-2.785795392,3.02E-05,Down,-3.511304641,3.59E-09,Down,-3.627538732,1.26E-06,Down
8,Os04g0587451,Non-protein coding transcript.,,OsPUP13,,,37.6738771147621,4316,Pink,23.1894454913385,,LOC_Os04g49757,0.263559781,0.999997499,,0.579822231,0.539492224,,-1.575741768,0.034386734,Down,-1.398964537,0.020563663,Down,-6.442375392,9.12E-05,Down
9,Os03g0292700,"Similar to Protein kinase domain containing protein, expressed.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,,,57.6249009428286,2978,Blue,40.6011943720409,['protein.postranslational modification'],LOC_Os03g18170,0.603853894,,,-1.086775258,0.583281988,,-6.550044301,0.000920579,Down,-6.849725497,2.36E-05,Down,-4.160230328,0.012900549,Down
10,Os02g0204201,Hypothetical gene.,,CYP95,,,2.25508738717538,11786,Turquoise,2.0893713161263,,LOC_Os02g10970,-0.016256912,0.999997499,,0.233460671,0.891200532,,1.027215279,0.211344332,,1.396520139,0.04077236,Up,1.93767977,0.007631607,Up
11,Os03g0324900,"Zinc finger, RING/FYVE/PHD-type domain containing protein.","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",,,,124.956399755426,884,Turquoise,93.9852284444436,['protein.degradation.ubiquitin.E3.RING'],LOC_Os03g20870,-0.444829884,0.999997499,,1.186401463,0.009277837,Up,2.294986921,9.05E-09,Up,2.893281146,3.40E-16,Up,2.487698587,2.30E-10,Up
12,Os03g0250000,Conserved hypothetical protein.,,,,,86.2226930804512,1831,Salmon,34.5342159372419,['signalling.calcium'],LOC_Os03g14590,-0.178398718,0.999997499,,1.560961496,1.28E-06,Up,2.452916879,1.15E-14,Up,2.541966631,4.18E-19,Up,2.80998868,2.17E-19,Up
13,Os04g0504000,Similar to Adenine phosphoribosyltransferase form 2.,Biological Process: nucleoside metabolic process (GO:0009116),OsAPT2,"Purine metabolism, Metabolic pathways, Nucleotide metabolism",,15.2129144259546,7471,Pink,9.49517924709375,['nucleotide metabolism.salvage.phosphoribosyltransferases.aprt'],LOC_Os04g42520,0.357791622,0.999997499,,-0.747665266,0.050540465,,-1.133411693,0.000862873,Down,-1.357958219,3.79E-06,Down,-1.966386727,2.51E-08,Down
14,Os02g0755900,UDP-glucuronosyl/UDP-glucosyltransferase domain containing protein.,"Biological Process: metabolic process (GO:0008152), Molecular Function: transferase activity, transferring hexosyl groups (GO:0016758)",,,,146.672434363559,577,Turquoise,136.215528637945,['misc.UDP glucosyl and glucoronyl transferases'],LOC_Os02g51930,-0.236808408,0.999997499,,0.822117947,0.10908905,,5.09035429,3.83E-45,Up,6.6758984,4.71E-91,Up,7.411834286,6.06E-98,Up
15,Os03g0748400,Serine protein kinase-like protein.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,,,39.2506239822065,4181,Turquoise,23.9140402945021,['protein.postranslational modification'],LOC_Os03g53720,-0.052744317,0.999997499,,0.072693583,0.89889536,,1.276332969,1.22E-07,Up,0.904904891,4.13E-05,,1.082194419,7.74E-06,Up
