id,Label,TF,KEGG,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO
0,Os01g0195400,,,77.7306186460449,2129,Magenta,47.2159104203536,Harpin-induced 1 domain containing protein.,
1,Os01g0329900,,,86.7398649089128,1811,Magenta,46.7137404290969,"Similar to Lipase homolog (Fragment)., Hypothetical conserved gene.","Biological Process: lipid metabolic process (GO:0006629), Molecular Function: hydrolase activity, acting on ester bonds (GO:0016788)"
2,Os06g0284200,,,89.0645571128196,1736,Magenta,46.2240105784723,"Protein of unknown function DUF246, plant family protein.",
3,Os06g0589500,,,79.209134445934,2075,Magenta,46.0397766058196,Conserved hypothetical protein.,
4,Os04g0408600,,,88.0760822256836,1770,Magenta,45.3857708668568,Protein of unknown function DUF662 family protein.,
5,Os01g0106300,,,87.9225931411377,1774,Magenta,43.7017207729768,Similar to Isoflavone reductase homolog IRL (EC 1.3.1.-).,Molecular Function: nucleotide binding (GO:0000166)
6,Os03g0817800,,,55.3769943536328,3090,Magenta,43.6504611763099,"Protein of unknown function DUF231 domain containing protein., Conserved hypothetical protein.",
7,Os08g0547500,,,70.2679988342529,2413,Magenta,42.8548729512523,"Kinesin, motor domain domain containing protein., Hypothetical conserved gene.","Biological Process: microtubule-based movement (GO:0007018), Molecular Function: microtubule motor activity (GO:0003777), Molecular Function: ATP binding (GO:0005524)"
8,Os09g0248100,,,79.6907715805161,2057,Magenta,42.5831707975856,FAS1 domain domain containing protein.,
9,Os05g0563600,,,100.995578929441,1393,Magenta,42.1621889527353,FAS1 domain domain containing protein.,
10,Os03g0736300,,"Starch and sucrose metabolism, Metabolic pathways",87.8928744792932,1776,Magenta,40.9651690219542,"Similar to CEL6=CELLULASE 6 (Fragment)., Similar to Endoglucanase 10.","Biological Process: carbohydrate metabolic process (GO:0005975), Molecular Function: catalytic activity (GO:0003824), Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)"
