id,Label,Description,GO,Symbol,KEGG,MapMan,MSU_LOC,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity
0,Os06g0255200,"Conserved hypothetical protein., Hypothetical conserved gene.",,CHR720,,['DNA.synthesis/chromatin structure'],LOC_Os06g14406,,33.7096355777634,1663,Cyan,25.8636804938914
1,Os05g0100500,Similar to Debaryomyces hansenii chromosome F of strain CBS767 of Debaryomyces hansenii.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634)",,,"['stress.biotic.regulation of transcription', 'RNA.regulation of transcription.WRKY domain transcription factor family', 'RNA.regulation of transcription.unclassified']",LOC_Os05g01020,,35.4906850407991,1534,Cyan,24.0646972978761
2,Os07g0648266,"Similar to 2-oxo acid dehydrogenase, lipoyl-binding site.","Biological Process: regulation of transcription from RNA polymerase II promoter (GO:0006357), Cellular Component: mediator complex (GO:0016592), Molecular Function: RNA polymerase II transcription cofactor activity (GO:0001104)",,,,LOC_Os07g45400,,33.3972594546408,1683,Cyan,23.4652436063304
3,Os02g0470600,Similar to phosphoinositide binding.,,,,['not assigned.unknown'],"LOC_Os02g27110, LOC_Os02g27130",,26.5156238334687,2391,Cyan,19.3176956390106
4,Os06g0102800,SNF2-related domain containing protein.,"Cellular Component: nucleus (GO:0005634), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: zinc ion binding (GO:0008270)",,,,LOC_Os06g01320,,24.689412311915,2650,Cyan,18.8191715060006
5,Os04g0675101,"ATPase-like, ATP-binding domain domain containing protein.",Molecular Function: ATP binding (GO:0005524),,,,None,,25.2824515384461,2566,Cyan,18.7754602976843
6,Os02g0114033,"Glutamine-Leucine-Glutamine, QLQ domain containing protein.","Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634), Molecular Function: ATP binding (GO:0005524), Molecular Function: hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818)",CHR707,,['RNA.regulation of transcription.Chromatin Remodeling Factors'],LOC_Os02g02290,,25.4841102151476,2531,Cyan,18.6347650724174
7,Os07g0669800,"Zinc finger, CW-type domain containing protein.",Molecular Function: zinc ion binding (GO:0008270),WG7,,,LOC_Os07g47360,,31.4129415200949,1856,Cyan,18.5273910086439
8,Os11g0209700,"Hypothetical conserved gene., Conserved hypothetical protein.","Molecular Function: inositol or phosphatidylinositol kinase activity (GO:0004428), Molecular Function: binding (GO:0005488),",OsPI4K2,,['signalling.phosphinositides.phosphatidylinositol 4-kinase'],LOC_Os11g10420,,28.5813095873801,2141,Cyan,18.4557524374384
9,Os08g0332800,Similar to F7O18.23 protein (SWP1) (Struwwelpeter 1 protein).,"Biological Process: regulation of transcription from RNA polymerase II promoter (GO:0006357), Cellular Component: mediator complex (GO:0016592), Molecular Function: RNA polymerase II transcription cofactor activity (GO:0001104)",OsMED14_1,,['RNA.regulation of transcription'],LOC_Os08g24400,,27.5024003127474,2265,Cyan,18.2753198086005
10,Os02g0162766,Hypothetical conserved gene.,,,,['not assigned.unknown'],LOC_Os02g06725,,25.495972201123,2529,Cyan,17.9078503947465
11,Os09g0252700,Similar to E3 ubiquitin protein ligase UPL1 (EC 6.3.2.-) (Ubiquitin-protein ligase 1).,"Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)",,,,LOC_Os09g07900,,24.3236684172062,2698,Cyan,17.8932402641146
12,Os10g0511800,"Similar to Plus-3 domain containing protein, expressed.","Biological Process: transcription initiation, DNA-dependent (GO:0006352), Biological Process: histone modification (GO:0016570), Cellular Component: nucleus (GO:0005634), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515)",,,,LOC_Os10g36810,,25.1459436033283,2589,Cyan,17.1884296734888
13,Os08g0116700,Conserved hypothetical protein.,,,,['not assigned.unknown'],LOC_Os08g02354,,26.8105790482839,2350,Cyan,16.6143807739438
14,Os05g0163250,Similar to predicted protein.,"Biological Process: nuclear mRNA splicing, via spliceosome (GO:0000398), Cellular Component: spliceosomal complex (GO:0005681)",,,['RNA.processing.splicing'],LOC_Os05g07050,,23.9436387953072,2760,Cyan,16.3687316241457
15,Os05g0463500,PWWP domain containing protein.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity (GO:0016491)",,,,LOC_Os05g38810,,21.5409468482604,3124,Cyan,16.0805946962854
16,Os05g0150300,Similar to Possible global transcription activator SNF2L1 (SWI/SNF related matrix associated actin dependent regulator of chromatin subfamily A member 1).,"Biological Process: chromatin remodeling (GO:0006338), Biological Process: ATP-dependent chromatin remodeling (GO:0043044), Cellular Component: nucleus (GO:0005634), Cellular Component: chromatin remodeling complex (GO:0016585), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: DNA binding (GO:0003677), Molecular Function: helicase activity (GO:0004386), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818), Molecular Function: nucleosome binding (GO:0031491)",CHR727,,['RNA.regulation of transcription.Chromatin Remodeling Factors'],LOC_Os05g05780,,26.9239116615981,2335,Cyan,16.0541082408742
