id,Label,Description,GO,Symbol,KEGG,MapMan,MSU_LOC,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity
0,Os07g0648266,"Similar to 2-oxo acid dehydrogenase, lipoyl-binding site.","Biological Process: regulation of transcription from RNA polymerase II promoter (GO:0006357), Cellular Component: mediator complex (GO:0016592), Molecular Function: RNA polymerase II transcription cofactor activity (GO:0001104)",,,,LOC_Os07g45400,,22.1915695252375,6179,Cyan,19.1014804140813
1,Os02g0114033,"Glutamine-Leucine-Glutamine, QLQ domain containing protein.","Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634), Molecular Function: ATP binding (GO:0005524), Molecular Function: hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818)",CHR707,,['RNA.regulation of transcription.Chromatin Remodeling Factors'],LOC_Os02g02290,,20.7134217725362,6424,Cyan,18.1769147653392
2,Os04g0675101,"ATPase-like, ATP-binding domain domain containing protein.",Molecular Function: ATP binding (GO:0005524),,,,None,,21.652116142363,6275,Cyan,18.1414149377113
3,Os07g0645200,Similar to FAT domain-containing protein.,,,,['signalling.phosphinositides'],LOC_Os07g45074,,24.2515037662718,5880,Cyan,17.9421412776039
4,Os09g0252700,Similar to E3 ubiquitin protein ligase UPL1 (EC 6.3.2.-) (Ubiquitin-protein ligase 1).,"Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)",,,,LOC_Os09g07900,,19.4303270169164,6651,Cyan,17.5893827239428
5,Os06g0113150,"Similar to GSL8 (GLUCAN SYNTHASE-LIKE 8); 1, 3-beta-glucan synthase/ transferase, transferring glycosyl groups.",,,,,None,,21.3383028591553,6322,Cyan,17.1815237428311
6,Os02g0162766,Hypothetical conserved gene.,,,,['not assigned.unknown'],LOC_Os02g06725,,20.7680488792808,6418,Cyan,17.1034044121333
7,Os05g0100500,Similar to Debaryomyces hansenii chromosome F of strain CBS767 of Debaryomyces hansenii.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634)",,,"['stress.biotic.regulation of transcription', 'RNA.regulation of transcription.WRKY domain transcription factor family', 'RNA.regulation of transcription.unclassified']",LOC_Os05g01020,,19.6833936161771,6613,Cyan,16.5569057724391
8,Os06g0505302,Similar to SWEETIE (SWEETIE); binding.,Molecular Function: binding (GO:0005488),,,['not assigned.unknown'],LOC_Os06g30901,,19.8032884782685,6588,Cyan,16.4393676321099
9,Os04g0218600,Conserved hypothetical protein.,,,,,None,,27.575182171503,5407,Cyan,15.7890777344495
10,Os07g0173300,Conserved hypothetical protein.,,,,,LOC_Os07g07690,,19.5156937074605,6642,Cyan,15.7817130126601
11,Os01g0552050,Hypothetical protein.,,,,,None,,21.4894066462082,6298,Cyan,15.7596535695226
12,Os09g0407950,Similar to transducin family protein / WD-40 repeat family protein.,Molecular Function: protein binding (GO:0005515),,,['not assigned.unknown'],LOC_Os09g24260,,19.9562352338708,6555,Cyan,15.5506556964321
13,Os02g0664100,Hypothetical conserved gene.,"Biological Process: protein glycosylation (GO:0006486), Molecular Function: UDP-glucose:glycoprotein glucosyltransferase activity (GO:0003980)",,Protein processing in endoplasmic reticulum,,None,,20.5271105151889,6455,Cyan,15.4980238265436
14,Os06g0255200,"Conserved hypothetical protein., Hypothetical conserved gene.",,CHR720,,['DNA.synthesis/chromatin structure'],LOC_Os06g14406,,17.5934402751171,6971,Cyan,14.8633690535279
15,Os01g0148000,Similar to predicted protein.,"Molecular Function: ubiquitin-protein ligase activity (GO:0004842), Molecular Function: zinc ion binding (GO:0008270)",,,,LOC_Os01g05500,,16.2714459849592,7244,Cyan,14.6514776816077
16,Os02g0470600,Similar to phosphoinositide binding.,,,,['not assigned.unknown'],"LOC_Os02g27110, LOC_Os02g27130",,16.8234998260041,7125,Cyan,13.9724332710958
17,Os06g0235300,"ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain containing protein.",,,,['not assigned.unknown'],LOC_Os06g12876,,24.848074092193,5789,Cyan,13.6973569512827
18,Os03g0685700,Conserved hypothetical protein.,,,,,None,,24.6436361712426,5827,Cyan,13.6748005329918
19,Os03g0711250,Hypothetical gene.,,,,,None,,15.9302494832089,7309,Cyan,13.5229943113346
20,Os02g0101750,Hypothetical gene.,,,,,None,,16.4510167432885,7204,Cyan,13.4971146497566
21,Os08g0332800,Similar to F7O18.23 protein (SWP1) (Struwwelpeter 1 protein).,"Biological Process: regulation of transcription from RNA polymerase II promoter (GO:0006357), Cellular Component: mediator complex (GO:0016592), Molecular Function: RNA polymerase II transcription cofactor activity (GO:0001104)",OsMED14_1,,['RNA.regulation of transcription'],LOC_Os08g24400,,14.9785688137674,7518,Cyan,13.071905598443
22,Os02g0598300,Conserved hypothetical protein.,,,,['cell.organisation'],LOC_Os02g38480,,16.4399548481974,7206,Cyan,12.7983626987735
23,Os05g0463500,PWWP domain containing protein.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity (GO:0016491)",,,,LOC_Os05g38810,,18.4135807230535,6830,Cyan,12.7294543003777
24,Os03g0218300,Conserved hypothetical protein.,,,,['cell.organisation'],LOC_Os03g11890,,14.8846413707702,7537,Cyan,12.6671684596736
25,Os03g0554950,Hypothetical conserved gene.,,,,['development.unspecified'],LOC_Os03g35340,,17.1093626037552,7062,Cyan,11.9256746589372
26,Os10g0532100,"Similar to Amine oxidase, flavin-containing.","Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: protein binding (GO:0005515), Molecular Function: oxidoreductase activity (GO:0016491)",,,,LOC_Os10g38850,,18.1944419180671,6867,Cyan,11.7681130167884
27,Os04g0555600,Similar to WD-40 repeat family protein / beige-related.,,,,['not assigned.unknown'],LOC_Os04g46894,,24.8231205523874,5795,Cyan,11.7156784522433
28,Os12g0511400,"Similar to NB-ARC domain containing protein., NB-ARC domain containing protein.","Biological Process: defense response (GO:0006952), Molecular Function: ADP binding (GO:0043531)",,,['stress.biotic.PR-proteins'],LOC_Os12g32660,,23.5904587322197,5978,Cyan,11.6892789317057
29,Os07g0438500,Octicosapeptide/Phox/Bem1p domain containing protein.,Molecular Function: protein binding (GO:0005515),SLES,,,LOC_Os07g25680,,13.9147282595683,7751,Cyan,11.6314856909628
30,Os02g0830801,Similar to binding.,Molecular Function: binding (GO:0005488),,,,LOC_Os02g58410,,15.8043559448014,7342,Cyan,11.5602685288345
31,Os05g0163250,Similar to predicted protein.,"Biological Process: nuclear mRNA splicing, via spliceosome (GO:0000398), Cellular Component: spliceosomal complex (GO:0005681)",,,['RNA.processing.splicing'],LOC_Os05g07050,,15.7333659905797,7364,Cyan,11.3504044216816
32,Os03g0128200,Similar to predicted protein.,,,,['minor CHO metabolism.callose'],LOC_Os03g03610,,17.2004319596663,7042,Cyan,10.8312322579154
33,Os02g0152800,"RNA polymerase Rpb1, domain 1 containing protein.","Biological Process: transcription, DNA-dependent (GO:0006351), Molecular Function: DNA binding (GO:0003677), Molecular Function: DNA-directed RNA polymerase activity (GO:0003899)",,RNA polymerase,['RNA.transcription'],LOC_Os02g05880,,20.2921322249017,6497,Cyan,10.794063374255
34,Os08g0116700,Conserved hypothetical protein.,,,,['not assigned.unknown'],LOC_Os08g02354,,14.5030652408941,7612,Cyan,10.7442675434009
35,Os05g0593550,Hypothetical conserved gene.,,,,,None,,12.0170933747148,8179,Cyan,10.6569417640411
36,Os03g0112101,"Similar to Adaptin N terminal region family protein, expressed.","Biological Process: intracellular protein transport (GO:0006886), Biological Process: vesicle-mediated transport (GO:0016192), Cellular Component: membrane coat (GO:0030117), Molecular Function: binding (GO:0005488)",,,,LOC_Os03g02150,,12.4102783376585,8087,Cyan,9.75395606250457
37,Os10g0422075,"Similar to Viral A-type inclusion protein repeat containing protein, expressed.",,,,['protein.postranslational modification'],LOC_Os10g28610,,25.5544543671906,5688,Cyan,9.66213861568155
38,Os01g0182832,Hypothetical conserved gene.,,,,,LOC_Os01g08750,,13.0298921235941,7952,Cyan,9.1517950951817
39,Os02g0708500,Conserved hypothetical protein.,,,,['RNA.regulation of transcription.C2H2 zinc finger family'],LOC_Os02g47890,,10.0690255758218,8701,Cyan,8.99233125493691
40,Os01g0375100,Similar to DnAJ-like protein slr0093.,"Biological Process: protein folding (GO:0006457), Molecular Function: heat shock protein binding (GO:0031072), Molecular Function: unfolded protein binding (GO:0051082)",OsDjC6,,['stress.abiotic.heat'],LOC_Os01g27740,,28.5722082616704,5297,Cyan,8.89430985208464
41,Os03g0711525,Hypothetical protein.,,,,,None,,17.6124639350567,6966,Cyan,8.76887539576228
42,Os06g0645901,Similar to Transcription initiation factor TFIID subunit 1.,,,,['RNA.regulation of transcription.Histone acetyltransferases'],LOC_Os06g43790,,9.43943247932774,8887,Cyan,8.52959387510888
