id,Label,Description,GO,Symbol,KEGG,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity,MapMan,LOC_IDs,FC_1hr,pval_1hr,REG_1hr,FC_3hr,pval_3hr,REG_3hr,FC_6hr,pval_6hr,REG_6hr,FC_12hr,pval_12hr,REG_12hr
0,Os03g0113900,Protein of unknown function DUF584 family protein.,,OsS40-4,,,1.96924729372858,11953,Red,0.862982751058443,['not assigned.unknown'],LOC_Os03g02280,3.76526898699872,0.015801806045849,Up,4.84614586331871,0.000631141952362,Up,4.33968459066807,0.002417746971854,Up,3.27396663668266,0.033481884131105,Up
1,Os01g0226600,Similar to C4-dicarboxylate transporter/malic acid transport protein.,"Biological Process: transmembrane transport (GO:0055085), Cellular Component: integral to membrane (GO:0016021)",,,,0.361791733768459,13409,Grey,0.021640179451074,['transport.metabolite transporters at the mitochondrial membrane'],LOC_Os01g12680,-1.65244343610763,0.055102727960301,,-0.538352374491129,0.576119608489128,,-0.639948988762464,0.487535433836795,,-3.69028118728879,8.00E-05,Down
2,Os07g0603800,"TGF-beta receptor, type I/II extracellular region family protein., Similar to peptide transporter PTR2.","Biological Process: oligopeptide transport (GO:0006857), Cellular Component: membrane (GO:0016020), Molecular Function: transporter activity (GO:0005215)","OsNPF7.1a, OsNPF7.1",,,10.2308763456373,8652,Black,5.5356869414148,['transport.peptides and oligopeptides'],LOC_Os07g41250,-0.366361482510321,0.41004249952269,,-1.28290879830469,0.000323928329856,Down,-1.50438897223844,1.52E-05,Down,-2.10466710807468,1.27E-09,Down
3,Os12g0138800,"Six-bladed beta-propeller, TolB-like domain containing protein.","Biological Process: biosynthetic process (GO:0009058), Molecular Function: strictosidine synthase activity (GO:0016844)",,,,10.0700901416516,8700,Magenta,5.47720097897734,['secondary metabolism.N misc.alkaloid-like'],LOC_Os12g04424,0.302608032017852,0.73900619982271,,-1.40826910327139,0.053391819313695,,-0.985981776092884,0.188737138944854,,-0.946214590218191,0.211577532425592,
4,Os04g0587451,Non-protein coding transcript.,,OsPUP13,,,37.6738771147621,4316,Pink,23.1894454913385,,LOC_Os04g49757,0.104313857356437,0.926968463662887,,0.173812097494989,0.876111170827987,,-0.657227137079322,0.488898477213331,,-0.529801133608436,0.584774017990014,
5,Os03g0324900,"Zinc finger, RING/FYVE/PHD-type domain containing protein.","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",,,,124.956399755426,884,Turquoise,93.9852284444436,['protein.degradation.ubiquitin.E3.RING'],LOC_Os03g20870,1.93557921623888,1.76E-07,Up,2.35620245167447,3.32E-11,Up,2.34248019204954,3.03E-11,Up,2.25127499893921,1.85E-10,Up
6,Os04g0169100,"Similar to Ethylene receptor-like protein 1., Ethylene receptor, Ethylene response, Floral transition and starch accumulation","Biological Process: signal transduction (GO:0007165), Molecular Function: signal transducer activity (GO:0004871), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Biological Process: two-component signal transduction system (phosphorelay) (GO:0000160), Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Biological Process: signal transduction (GO:0007165), Biological Process: ethylene mediated signaling pathway (GO:0009873), Biological Process: peptidyl-histidine phosphorylation (GO:0018106), Cellular Component: endoplasmic reticulum membrane (GO:0005789), Molecular Function: two-component sensor activity (GO:0000155), Molecular Function: two-component response regulator activity (GO:0000156), Molecular Function: protein histidine kinase activity (GO:0004673), Molecular Function: signal transducer activity (GO:0004871), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524)","ETR2, OsETR2, OS-ETR2, etr2, OsPK1, PK1, ERL1, OsERL1, OsERS3","MAPK signaling pathway - plant, Plant hormone signal transduction",,15.2058730897361,7473,Pink,11.4170199347056,['hormone metabolism.ethylene.signal transduction'],LOC_Os04g08740,-0.121331363392264,0.801198038973079,,1.30882539168193,4.37E-05,Up,0.707192967795422,0.041972689808702,,0.026102425202656,0.960964099084351,
7,Os03g0250000,Conserved hypothetical protein.,,,,,86.2226930804512,1831,Salmon,34.5342159372419,['signalling.calcium'],LOC_Os03g14590,3.12671673890611,5.31E-23,Up,1.87890499017219,6.97E-09,Up,1.9870475997507,5.72E-10,Up,2.33345195867097,1.67E-13,Up
8,Os04g0504000,Similar to Adenine phosphoribosyltransferase form 2.,Biological Process: nucleoside metabolic process (GO:0009116),OsAPT2,"Purine metabolism, Metabolic pathways, Nucleotide metabolism",,15.2129144259546,7471,Pink,9.49517924709375,['nucleotide metabolism.salvage.phosphoribosyltransferases.aprt'],LOC_Os04g42520,-0.519287192751788,0.386562719098561,,0.253555988396454,0.703738591642638,,-0.293184992586371,0.652258545081764,,-0.697697363763444,0.201002175923199,
9,Os02g0755900,UDP-glucuronosyl/UDP-glucosyltransferase domain containing protein.,"Biological Process: metabolic process (GO:0008152), Molecular Function: transferase activity, transferring hexosyl groups (GO:0016758)",,,,146.672434363559,577,Turquoise,136.215528637945,['misc.UDP glucosyl and glucoronyl transferases'],LOC_Os02g51930,0.43162962450325,0.671593997007491,,3.09386428835558,1.26E-05,Up,4.87796646355588,5.74E-13,Up,6.45957900037699,2.82E-22,Up
10,Os05g0456500,"Uncharacterised protein family UPF0497, trans-membrane plant domain containing protein., Similar to predicted protein.",,,,,23.4379504447397,5998,Blue,13.0099913307995,['not assigned.unknown'],LOC_Os05g38250,-1.90654927125817,0.004953640839803,Down,-1.94046437365669,0.002527785013443,Down,-1.93210483268378,0.001975123147614,Down,-1.2094759509478,0.063420654988444,
11,Os03g0223000,"Similar to atypical receptor-like kinase MARK., Similar to Atypical receptor-like kinase MARK.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,,,39.2697549418434,4179,Magenta,24.3127104695886,['not assigned.unknown'],"LOC_Os03g12238, LOC_Os03g12250",-0.921426993917115,0.195347989076819,,-1.13158219720731,0.0911920600595,,-1.67450740220827,0.007156469499462,Down,-1.97979087606297,0.001228800748678,Down
12,Os04g0618200,"Similar to cDNA clone:J013046D23, full insert sequence., Similar to H0313F03.11 protein.","Biological Process: galactose metabolic process (GO:0006012), Biological Process: cellular metabolic process (GO:0044237), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: catalytic activity (GO:0003824), Molecular Function: UDP-glucose 4-epimerase activity (GO:0003978), Molecular Function: coenzyme binding (GO:0050662)",,"Amino sugar and nucleotide sugar metabolism, Metabolic pathways, Biosynthesis of nucleotide sugars",,88.6165580820017,1758,Turquoise,82.3645893712991,['cell wall.precursor synthesis.MUR4'],LOC_Os04g52730,2.74168588666859,1.03E-49,Up,2.25594453541683,7.75E-34,Up,2.37555777571401,6.15E-38,Up,2.98565656294633,4.73E-60,Up
13,Os11g0215100,Plant disease resistance response protein family protein.,,,,,65.7599421439104,2594,Blue,46.5036737070016,['stress.biotic'],LOC_Os11g10870,-0.829738456098478,0.182645738828821,,-2.73878349917873,3.78E-06,Down,-3.21148921698602,7.88E-08,Down,-3.89668432620871,5.71E-08,Down
14,Os01g0805300,"Mog1/PsbP, alpha/beta/alpha sandwich domain containing protein.","Biological Process: photosynthesis (GO:0015979), Cellular Component: photosystem II (GO:0009523), Cellular Component: oxygen evolving complex (GO:0009654), Cellular Component: extrinsic to membrane (GO:0019898), Molecular Function: calcium ion binding (GO:0005509)",,,,103.883938894684,1307,Blue,90.4919922288901,['PS.lightreaction.photosystem II.PSII polypeptide subunits'],LOC_Os01g59090,-1.99397243081241,3.23E-07,Down,-2.05942841317921,5.00E-08,Down,-2.13842404048204,9.39E-09,Down,-2.64479745364037,3.40E-12,Down
15,Os03g0439700,Protein of unknown function DUF1230 family protein.,,,,,101.966186738022,1366,Green,47.2324890470961,['not assigned.unknown'],LOC_Os03g32490,-1.18340186090784,0.014221567057262,Down,-3.39049233270884,2.22E-15,Down,-4.09225910022345,7.05E-22,Down,-5.47982808191142,4.44E-34,Down
16,Os08g0530400,"Moco containing protein (Moco containing protein(OsMCP))., Similar to sulfite oxidase.","Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: molybdenum ion binding (GO:0030151), Molecular Function: metal ion binding (GO:0046872), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: molybdenum ion binding (GO:0030151), Molecular Function: metal ion binding (GO:0046872)",OsMCP,"Sulfur metabolism, Metabolic pathways",,108.011555475611,1210,Green,32.9476363285532,['S-assimilation.sulfite oxidase'],LOC_Os08g41830,-0.990436092380256,0.000983115957766,,-1.86080824493559,1.48E-11,Down,-1.82942274262607,2.32E-11,Down,-1.99786505949823,2.19E-13,Down
17,Os03g0599000,NB-ARC domain containing protein.,"Biological Process: defense response (GO:0006952), Molecular Function: protein binding (GO:0005515), Molecular Function: ADP binding (GO:0043531)",,,,1.65273072069433,12172,Turquoise,1.08496843556139,['stress.biotic.PR-proteins'],LOC_Os03g40194,0.79017786316011,0.047778067094133,,0.92219447433029,0.012230782914654,,1.06327552714156,0.002484614304839,Up,1.86616821787597,9.57E-09,Up
18,Os03g0200200,Conserved hypothetical protein.,,,,,123.539065013553,907,Red,38.859145071789,['not assigned.unknown'],LOC_Os03g10320,0.991041752761458,0.05651547018881,,4.28820574527859,8.02E-28,Up,4.67409528825138,1.74E-33,Up,4.62160423753193,8.22E-33,Up
19,Os07g0503500,"UDP-glucuronosyl/UDP-glucosyltransferase family protein., UDP-glucuronosyl/UDP-glucosyltransferase domain containing protein.","Biological Process: metabolic process (GO:0008152), Molecular Function: transferase activity, transferring hexosyl groups (GO:0016758)",UGT707A3,,,93.5301689697594,1597,Magenta,34.4891691709211,['misc.UDP glucosyl and glucoronyl transferases'],LOC_Os07g32020,-1.42565113532297,0.130256684181833,,-3.35458789166188,7.73E-05,Down,-3.80069931707094,6.40E-06,Down,-3.46541474299172,4.29E-05,Down
20,Os02g0590700,"Hypothetical gene., Conserved hypothetical protein.",,,,,15.1644420896593,7481,Green,3.38692806696779,,None,-0.215797892287705,0.762124196365622,,-0.818065089124522,0.158010609025598,,-0.42340730613719,0.506216988564406,,-0.131476136360764,0.859765728704956,
21,Os10g0419600,Chlorophyllase family protein.,"Biological Process: chlorophyll catabolic process (GO:0015996), Biological Process: lipid catabolic process (GO:0016042), Cellular Component: intracellular membrane-bounded organelle (GO:0043231), Molecular Function: 1-alkyl-2-acetylglycerophosphocholine esterase activity (GO:0003847), Molecular Function: chlorophyllase activity (GO:0047746)",OsCHL,"Porphyrin metabolism, Metabolic pathways, Biosynthesis of secondary metabolites",,6.02418034705013,9988,Black,1.95383890538021,['tetrapyrrole synthesis.unspecified'],LOC_Os10g28370,-0.971973348282,0.01607190631154,,-1.44392948030196,0.000116237517262,Down,-1.32279030599151,0.000322708914549,Down,-1.7761405175105,2.40E-06,Down
22,Os04g0676300,Similar to H0101F08.3 protein.,"Biological Process: 'de novo' pyrimidine base biosynthetic process (GO:0006207), Biological Process: UMP biosynthetic process (GO:0006222), Biological Process: metabolic process (GO:0008152), Biological Process: oxidation-reduction process (GO:0055114), Cellular Component: membrane (GO:0016020), Molecular Function: catalytic activity (GO:0003824), Molecular Function: dihydroorotate dehydrogenase activity (GO:0004152), Molecular Function: dihydroorotate oxidase activity (GO:0004158)",,"Pyrimidine metabolism, Metabolic pathways, Biosynthesis of cofactors",,58.1504578207771,2952,Brown,56.0913192028135,['nucleotide metabolism.synthesis.pyrimidine.dihydroorotate dehydrogenase'],LOC_Os04g57950,-0.399749440400727,0.574089590365866,,0.374218926789809,0.58971490583875,,0.537609700194394,0.398078488155352,,0.297956164272353,0.670702008222881,
