id,Label,TF,KEGG,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO
0,Os03g0581800,,,40.3277476241292,1213,lightGreen,21.5696976373275,Conserved hypothetical protein.,
1,Os03g0606200,,,33.3134718763686,1692,lightGreen,19.0054099547743,Mitochondrial ATP synthase 6 KD subunit.,
2,Os05g0400400,,"Oxidative phosphorylation, Metabolic pathways",22.956076410791,2905,lightGreen,17.9004192419545,Similar to Ubiquinol-cytochrome c reductase complex 8.0 kDa protein (EC 1.10.2.2).,"Biological Process: mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122), Cellular Component: mitochondrial envelope (GO:0005740), Molecular Function: ubiquinol-cytochrome-c reductase activity (GO:0008121)"
3,Os08g0556600,,"Oxidative phosphorylation, Metabolic pathways",37.6453738899404,1385,lightGreen,17.6707181814,Similar to Fb14.,
4,Os10g0579300,,"Oxidative phosphorylation, Metabolic pathways",32.6140793644721,1756,lightGreen,17.0121295267846,NADH:ubiquinone oxidoreductase 17.2 kD subunit family protein.,"Cellular Component: membrane (GO:0016020), Molecular Function: NADH dehydrogenase (ubiquinone) activity (GO:0008137), Molecular Function: electron carrier activity (GO:0009055)"
5,Os05g0481600,,"Oxidative phosphorylation, Metabolic pathways",31.9451287019992,1813,lightGreen,16.9680611799523,Conserved hypothetical protein.,
6,Os01g0612200,,"Oxidative phosphorylation, Metabolic pathways",23.7212713351201,2792,lightGreen,16.6728945627747,"Cytochrome c oxidase, subunit Vb family protein.","Cellular Component: mitochondrial envelope (GO:0005740), Molecular Function: cytochrome-c oxidase activity (GO:0004129)"
7,Os03g0806900,,"Oxidative phosphorylation, Metabolic pathways",35.0033232818736,1575,lightGreen,16.201069239257,Similar to Cytochrome-C reductase 14 kDa subunit (EC 1.10.2.2) (Fragment).,"Biological Process: mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122), Molecular Function: ubiquinol-cytochrome-c reductase activity (GO:0008121)"
8,Os12g0169700,,,37.1740687746793,1428,lightGreen,15.9844321560702,Similar to Ferripyochelin-binding protein-like.,Molecular Function: transferase activity (GO:0016740)
9,Os03g0774200,,"Oxidative phosphorylation, Metabolic pathways",35.0296612690284,1572,lightGreen,15.7511730153299,Similar to NADH-ubiquinone oxidoreductase subunit 8 (EC 1.6.5.3).,"Biological Process: oxidation-reduction process (GO:0055114), Cellular Component: membrane (GO:0016020), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: oxidoreductase activity, acting on NADH or NADPH (GO:0016651), Molecular Function: iron-sulfur cluster binding (GO:0051536), Molecular Function: 4 iron, 4 sulfur cluster binding (GO:0051539)"
10,Os09g0382500,,,22.5428210709358,2966,lightGreen,15.7286369855672,Conserved hypothetical protein.,
11,Os04g0432600,,,22.0568001196032,3038,lightGreen,15.7007537667366,Similar to H0315E07.2 protein.,
12,Os09g0560300,,,36.116479436903,1496,lightGreen,15.4065157814644,Conserved hypothetical protein.,
13,Os10g0576000,,"Oxidative phosphorylation, Metabolic pathways",20.8305927999988,3247,lightGreen,14.5858635092471,Similar to NADH-ubiquinone oxidoreductase-related.,
14,Os01g0600000,,"Oxidative phosphorylation, Metabolic pathways",25.97264719157,2464,lightGreen,14.4028391162054,Similar to Copia-like retroelement pol polyprotein.,"Biological Process: ATP synthesis coupled proton transport (GO:0015986), Cellular Component: mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) (GO:0000276), Molecular Function: hydrogen ion transmembrane transporter activity (GO:0015078)"
15,Os05g0542100,,,32.744844751322,1742,lightGreen,14.1333151261598,Similar to Fiber protein Fb11.,
16,Os06g0714100,,"Oxidative phosphorylation, Metabolic pathways",29.5875748484129,2022,lightGreen,14.0639138201608,Complex 1 LYR protein family protein.,
17,Os02g0541700,,"Oxidative phosphorylation, Metabolic pathways",22.0234767197972,3047,lightGreen,13.7811560545611,Similar to Ubiquinol-cytochrome c reductase complex 7.8 kDa protein (EC 1.10.2.2) (Mitochondrial hinge protein) (CR7).,"Biological Process: mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122), Molecular Function: ubiquinol-cytochrome-c reductase activity (GO:0008121)"
