id,Label,Description,GO,Symbol,KEGG,MapMan,MSU_LOC,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity
0,Os10g0508400,Similar to Methionine aminopeptidase-like protein.,"Biological Process: proteolysis (GO:0006508), Biological Process: cellular process (GO:0009987), Molecular Function: aminopeptidase activity (GO:0004177), Molecular Function: metalloexopeptidase activity (GO:0008235), Molecular Function: zinc ion binding (GO:0008270)",,,['protein.degradation.metalloprotease'],LOC_Os10g36470,,42.6150145558325,3890,Grey60,11.2354852272117
1,Os06g0602600,"Alba, DNA/RNA-binding protein family protein.",Molecular Function: nucleic acid binding (GO:0003676),OsAlba6,,['not assigned.unknown'],LOC_Os06g40040,,56.8312692524371,3014,Grey60,10.5726556048492
2,Os08g0144400,"PDZ/DHR/GLGF domain containing protein., Hypothetical conserved gene.","Molecular Function: catalytic activity (GO:0003824), Molecular Function: protein binding (GO:0005515),",,,['not assigned.unknown'],LOC_Os08g04920,,47.5040483215932,3552,Grey60,9.18413856256194
3,Os04g0484900,Similar to Kluyveromyces lactis strain NRRL Y-1140 chromosome E of strain NRRL Y- 1140 of Kluyveromyces lactis.,"Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824), Molecular Function: N-acetyltransferase activity (GO:0008080), Molecular Function: iron-sulfur cluster binding (GO:0051536)",OsELP3,,['RNA.regulation of transcription.Histone acetyltransferases'],LOC_Os04g40840,,34.4891369065346,4606,Grey60,8.71032265822286
4,Os07g0615800,"DNA-directed RNA polymerase, M/15 kDa  subunit domain containing protein.","Biological Process: transcription, DNA-dependent (GO:0006351), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: DNA binding (GO:0003677), Molecular Function: DNA-directed RNA polymerase activity (GO:0003899), Molecular Function: zinc ion binding (GO:0008270)",,RNA polymerase,['RNA.transcription'],LOC_Os07g42395,,44.2023860221937,3771,Grey60,8.39515307874514
5,Os11g0142500,"Isopropylmalate synthase, Regulation of seed vigour","Biological Process: leucine biosynthetic process (GO:0009098), Biological Process: carboxylic acid metabolic process (GO:0019752), Molecular Function: catalytic activity (GO:0003824), Molecular Function: 2-isopropylmalate synthase activity (GO:0003852), Molecular Function: transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer (GO:0046912)",OsIPMS1,"Valine, leucine and isoleucine biosynthesis, Pyruvate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids",['amino acid metabolism.synthesis.branched chain group.leucine specific.2-isopropylmalate synthase'],LOC_Os11g04670,,36.96390014345,4379,Grey60,8.15075893612183
6,Os08g0447200,SGT1 family protein.,,,,['not assigned.unknown'],LOC_Os08g34740,,30.48684742336,5056,Grey60,8.14588963567218
7,Os06g0103400,"Nucleic acid-binding, OB-fold domain containing protein., Similar to OB-fold nucleic acid binding domain containing protein.",,,,"['RNA.regulation of transcription.unclassified', 'DNA.unspecified']",LOC_Os06g01370,,30.8724691749867,5017,Grey60,8.13053815736589
8,Os03g0240800,Similar to AGL157Cp.,,,Spliceosome,['RNA.processing'],LOC_Os03g13760,,32.5234909663187,4821,Grey60,8.00764943083326
9,Os03g0195200,Protein of unknown function DUF367 domain containing protein.,,,,['RNA.transcription'],LOC_Os03g09920,,39.5517380955528,4151,Grey60,7.96653903970819
10,Os03g0387000,Similar to Aquarius.,,,Spliceosome,['DNA.synthesis/chromatin structure'],LOC_Os03g26960,,25.6742717109259,5672,Grey60,7.68895067737335
11,Os10g0528100,Similar to Glutathione S-transferase GST 42 (EC 2.5.1.18) (Fragment).,Molecular Function: protein binding (GO:0005515),GSTU24,"Glutathione metabolism, Metabolic pathways",['misc.glutathione S transferases'],LOC_Os10g38470,,44.7832860782083,3723,Grey60,7.54279597921805
12,Os04g0683100,Similar to Cleavage and polyadenylation specificity factor 5.,Molecular Function: hydrolase activity (GO:0016787),,mRNA surveillance pathway,['not assigned.unknown'],LOC_Os04g58640,,38.7271723762913,4229,Grey60,7.45677256278881
13,Os12g0608600,"Similar to Thiosulfate sulfurtransferase (EC 2.8.1.1) (Mercaptopyruvate sulfurtransferase Mst2/Rdh2) (EC 2.8.1.2)., Sulfurtransferase",Molecular Function: thiosulfate sulfurtransferase activity (GO:0004792),"STR22, OsStr22","Cysteine and methionine metabolism, Sulfur metabolism, Metabolic pathways, Sulfur relay system",['amino acid metabolism.degradation.serine-glycine-cysteine group.cysteine'],LOC_Os12g41500,,34.476985505201,4609,Grey60,7.31065813733611
14,Os06g0186900,"TIP49, C-terminal domain containing protein.","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: DNA helicase activity (GO:0003678), Molecular Function: ATP binding (GO:0005524), Molecular Function: nucleoside-triphosphatase activity (GO:0017111)",OIP30,,['DNA.synthesis/chromatin structure'],LOC_Os06g08770,,44.6794175772734,3738,Grey60,7.29675058536661
15,Os01g0665400,Ribokinase family protein.,"Biological Process: D-ribose metabolic process (GO:0006014), Molecular Function: ribokinase activity (GO:0004747), Molecular Function: phosphotransferase activity, alcohol group as acceptor (GO:0016773)",,"Pentose phosphate pathway, Metabolic pathways",['minor CHO metabolism.others'],LOC_Os01g47550,,34.0224640922616,4656,Grey60,7.16038358816228
16,Os11g0546000,Similar to RNase L inhibitor-like protein.,"Molecular Function: nucleotide binding (GO:0000166), Molecular Function: ATP binding (GO:0005524), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: ATPase activity (GO:0016887), Molecular Function: nucleoside-triphosphatase activity (GO:0017111), Molecular Function: iron-sulfur cluster binding (GO:0051536)",RLI,,['RNA.transcription'],LOC_Os11g34350,,26.0084098141161,5612,Grey60,7.06626619346393
17,Os02g0119700,Pentatricopeptide repeat domain containing protein.,,,,['RNA.regulation of transcription'],LOC_Os02g02740,,34.9890961751479,4566,Grey60,6.94582794744751
18,Os01g0235400,"Similar to predicted protein., Similar to Importin-alpha re-exporter (Cellular apoptosis susceptibility protein homolog).","Biological Process: intracellular protein transport (GO:0006886), Molecular Function: binding (GO:0005488), Molecular Function: protein transporter activity (GO:0008565), Biological Process: intracellular protein transport (GO:0006886), Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)",,Nucleocytoplasmic transport,['protein.targeting.nucleus'],LOC_Os01g13430,,24.7452235837563,5812,Grey60,6.89761484026541
19,Os06g0672700,Conserved hypothetical protein.,,,,['not assigned.unknown'],LOC_Os06g46060,,39.5344016496768,4157,Grey60,6.89727604466818
20,Os03g0182700,Eukaryotic translation initiation factor 3 subunit 12 (eIF-3 p25) (eIF3k).,,,,['protein.synthesis.initiation'],LOC_Os03g08450,,64.790842111213,2636,Grey60,6.81777919493667
21,Os03g0261900,"Similar to HEAT repeat family protein, expressed., Armadillo-like helical domain containing protein.",Molecular Function: binding (GO:0005488),,,['protein.targeting.nucleus'],LOC_Os03g15540,,41.5437184378109,3969,Grey60,6.8113523531955
22,Os08g0205300,"Hypothetical conserved gene., SET domain containing protein.","Molecular Function: protein binding (GO:0005515),",OsSET28|SDG740,,['RNA.regulation of transcription.SET-domain transcriptional regulator family'],LOC_Os08g10470,,26.9105040650882,5494,Grey60,6.80938106241206
