id,Label,Description,GO,Symbol,KEGG,MapMan,MSU_LOC,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity
0,Os08g0490000,"Helix-loop-helix DNA-binding domain containing protein., Similar to Transcription factor BIM2.",,,,"['RNA.regulation of transcription.bHLH,Basic Helix-Loop-Helix family']",LOC_Os08g38210,bHLH,16.8279887404553,4112,royalBlue,7.54405244188383
1,Os03g0402800,"Tify domain containing protein., Similar to ZIM motif family protein, expressed.","Molecular Function: protein binding (GO:0005515),",OsJAZ6,Plant hormone signal transduction,"['RNA.regulation of transcription.C2C2(Zn) CO-like, Constans-like zinc finger family']",LOC_Os03g28940,,23.3846358930134,2838,royalBlue,6.63285609318268
2,Os03g0757900,Similar to UDP-glucose 6-dehydrogenase (EC 1.1.1.22) (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH).,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616), Molecular Function: NAD binding (GO:0051287)",,"Pentose and glucuronate interconversions, Ascorbate and aldarate metabolism, Amino sugar and nucleotide sugar metabolism, Metabolic pathways, Biosynthesis of cofactors, Biosynthesis of nucleotide sugars",['cell wall.precursor synthesis.UGD'],LOC_Os03g55070,,11.5173517891327,5746,royalBlue,5.9575442789088
3,Os03g0438100,"Allene oxide cyclase, Biosynthesis of jasmonic acid, Defence response, Similar to Allene oxide cyclase precursor (EC 5.3.99.6) (Allene oxide cylase).","Molecular Function: isomerase activity (GO:0016853), Cellular Component: chloroplast (GO:0009507), Cellular Component: chloroplast (GO:0009507), Molecular Function: isomerase activity (GO:0016853)","AOC, OsAOC, AOC1, HB","alpha-Linolenic acid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites",,LOC_Os03g32314,,13.1009813105951,5210,royalBlue,5.81824363861022
4,Os03g0180800,"TIFY domain-containing transcriptional regulator, Salt and dehydration stress tolerance",,"TIFY11A, OsJAZ3, OsJAZ 9, OsJAZ9, OsTIFY11a, JAZ9",Plant hormone signal transduction,"['RNA.regulation of transcription.C2C2(Zn) CO-like, Constans-like zinc finger family']",LOC_Os03g08310,,10.6228033578876,6082,royalBlue,5.73752666486567
5,Os12g0478400,EGF-type aspartate/asparagine hydroxylation site domain containing protein.,"Molecular Function: calcium ion binding (GO:0005509), Molecular Function: protein binding (GO:0005515)",,,['signalling.receptor kinases.misc'],"LOC_Os12g29430, LOC_Os12g29434",,12.3632134532475,5452,royalBlue,5.65660982912822
6,Os09g0401300,"Tify domain containing protein., Similar to ZIM motif family protein.","Molecular Function: protein binding (GO:0005515),",OsJAZ4,Plant hormone signal transduction,['redox.thioredoxin'],"LOC_Os09g23650, LOC_Os09g23660",,16.2027325533934,4298,royalBlue,5.59617564390386
7,Os05g0438500,Similar to Soluble inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho- hydrolase) (PPase).,"Biological Process: phosphate-containing compound metabolic process (GO:0006796), Cellular Component: cytoplasm (GO:0005737), Molecular Function: magnesium ion binding (GO:0000287), Molecular Function: inorganic diphosphatase activity (GO:0004427)",,Oxidative phosphorylation,['nucleotide metabolism.phosphotransfer and pyrophosphatases.misc'],LOC_Os05g36260,,11.3319431871471,5818,royalBlue,5.4021381829807
8,Os03g0132000,Similar to 4-coumarate-CoA ligase-like protein.,"Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824)",,"alpha-Linolenic acid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites",['secondary metabolism.phenylpropanoids'],LOC_Os03g04000,,10.010282193809,6307,royalBlue,5.34955319076173
9,Os03g0183500,Protein of unknown function DUF581 family protein.,,OsaFLZ24,,['not assigned.unknown'],LOC_Os03g08520,,10.4745441508927,6140,royalBlue,5.09867849657606
10,Os09g0511200,Conserved hypothetical protein.,,,,['not assigned.unknown'],LOC_Os09g33640,,19.9236720807831,3427,royalBlue,5.07861385206547
11,Os02g0179200,Glutamine amidotransferase class-I domain containing protein.,,,,['nucleotide metabolism.synthesis.unspecified'],LOC_Os02g08270,,18.4828849653272,3725,royalBlue,5.05772295890374
12,Os04g0406600,Prephenate dehydratase domain containing protein.,"Biological Process: L-phenylalanine biosynthetic process (GO:0009094), Molecular Function: prephenate dehydratase activity (GO:0004664)",,"Phenylalanine, tyrosine and tryptophan biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids",['amino acid metabolism.synthesis.aromatic aa.phenylalanine.arogenate dehydratase / prephenate dehydratase'],LOC_Os04g33390,,12.8816196830649,5285,royalBlue,4.97376660446629
13,Os03g0854100,"Similar to ARF GAP-like zinc finger-containing protein ZIGA2 (Fragment)., Similar to predicted protein.","Biological Process: regulation of ARF GTPase activity (GO:0032312), Molecular Function: ARF GTPase activator activity (GO:0008060), Molecular Function: zinc ion binding (GO:0008270),",,Endocytosis,['development.unspecified'],LOC_Os03g63710,,11.2282205457102,5857,royalBlue,4.77067338594684
14,Os01g0926700,Similar to secondary cell wall-related glycosyltransferase family 47.,Cellular Component: membrane (GO:0016020),OsIRX10,,['misc.UDP glucosyl and glucoronyl transferases'],LOC_Os01g70200,,9.3536598146963,6556,royalBlue,4.65200048024219
15,Os06g0699200,Metallophosphoesterase domain containing protein.,Molecular Function: hydrolase activity (GO:0016787),,,,LOC_Os06g48570,,7.81486826189884,7280,royalBlue,4.5571920939983
16,Os03g0286300,"Similar to Phosphate/phosphoenolpyruvate translocator protein-like., Similar to organic anion transporter.",,,,['transport.metabolite transporters at the envelope membrane'],LOC_Os03g17740,,10.7176768469472,6041,royalBlue,4.53598587676025
17,Os03g0431200,Similar to N-acetyl-glutamate synthase.,"Biological Process: arginine biosynthetic process (GO:0006526), Biological Process: metabolic process (GO:0008152), Biological Process: cellular amino acid biosynthetic process (GO:0008652), Cellular Component: cytoplasm (GO:0005737), Molecular Function: acetyl-CoA:L-glutamate N-acetyltransferase activity (GO:0004042), Molecular Function: N-acetyltransferase activity (GO:0008080)",,"Arginine biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids",['misc.GCN5-related N-acetyltransferase'],LOC_Os03g31690,,20.7632054544162,3258,royalBlue,4.51700960218917
18,Os06g0604200,"Chloroplast-localized phospholipase D, Herbivore defense","Biological Process: phosphatidylcholine metabolic process (GO:0046470), Molecular Function: catalytic activity (GO:0003824), Molecular Function: phospholipase D activity (GO:0004630), Molecular Function: calcium ion binding (GO:0005509), Cellular Component: membrane (GO:0016020)","OsPLD&alpha;4, OsPLDa4, OsPLDalpha4, PLDalpha4","Glycerophospholipid metabolism, Ether lipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Endocytosis",['lipid metabolism.lipid degradation.lysophospholipases.phospholipase D'],LOC_Os06g40170,,6.78818773079043,7816,royalBlue,4.43223895787228
