id,Label,Description,GO,Symbol,KEGG,MapMan,MSU_LOC,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity
0,Os09g0109600,"Small peptide, Drought tolerance",,OsDSSR1,,['not assigned.unknown'],LOC_Os09g02180,,29.4287667638077,2049,Tan,16.396999165305
1,Os08g0335600,"Protein of unknown function DUF568, DOMON-like domain containing protein.",,,,['hormone metabolism.auxin.induced-regulated-responsive-activated'],LOC_Os08g24790,,17.1768570291044,4020,Tan,14.6335502391175
2,Os08g0467500,"TB2/DP1 and HVA22 related protein family protein., Abscisic acid and stress inducible (A22) gene.",,,,['hormone metabolism.abscisic acid.induced-regulated-responsive-activated'],LOC_Os08g36440,,21.9271043335771,3064,Tan,14.4957722596448
3,Os07g0599600,Hypothetical protein.,,,,['not assigned.unknown'],LOC_Os07g40860,,17.6245292809625,3908,Tan,14.1810328029412
4,Os06g0246500,Similar to Pyruvate dehydrogenase E1 alpha subunit (EC 1.2.4.1).,"Biological Process: glycolysis (GO:0006096), Biological Process: metabolic process (GO:0008152), Biological Process: oxidation-reduction process (GO:0055114), Cellular Component: intracellular membrane-bounded organelle (GO:0043231), Molecular Function: pyruvate dehydrogenase (acetyl-transferring) activity (GO:0004739), Molecular Function: oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor (GO:0016624)",,"Glycolysis / Gluconeogenesis, Citrate cycle (TCA cycle), Pyruvate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism",['TCA / org. transformation.TCA.pyruvate DH.E1'],LOC_Os06g13720,,29.4335374130258,2047,Tan,13.8859476822957
5,Os01g0636400,Alpha/beta hydrolase family protein.,Molecular Function: catalytic activity (GO:0003824),,,['not assigned.unknown'],LOC_Os01g44960,,17.2546059541993,4009,Tan,13.8273322667456
6,Os10g0548100,Similar to DM280 protein.,,,,['not assigned.unknown'],LOC_Os10g40040,,27.7993517192581,2238,Tan,13.7602664230756
7,Os03g0286900,"RCI2 (rare cold-inducible 2) family protein, Drought resistance",Cellular Component: integral component of membrane (GO:0016021),OsRCI2-5,,['not assigned.unknown'],LOC_Os03g17790,,35.7861154104611,1518,Tan,12.9104337133676
8,Os07g0668300,"Lipase, GDSL domain containing protein.","Biological Process: lipid metabolic process (GO:0006629), Molecular Function: hydrolase activity, acting on ester bonds (GO:0016788)",GELP94,,['misc.GDSL-motif lipase'],LOC_Os07g47210,,16.1307766094384,4321,Tan,12.7307476914829
9,Os03g0377600,"Zinc finger, RING/FYVE/PHD-type domain containing protein.","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",,,,LOC_Os03g26044,,23.725897312983,2791,Tan,12.6918751030748
10,Os07g0118300,Similar to predicted protein.,,,,['not assigned.unknown'],LOC_Os07g02710,,24.9658221501192,2610,Tan,12.6369281338563
11,Os09g0441000,"Peptidase S8, subtilisin-related domain containing protein.","Biological Process: proteolysis (GO:0006508), Biological Process: negative regulation of catalytic activity (GO:0043086), Molecular Function: serine-type endopeptidase activity (GO:0004252), Molecular Function: identical protein binding (GO:0042802)",,,['protein.degradation.subtilases'],LOC_Os09g26920,,17.5248937414462,3933,Tan,12.3974819491952
12,Os03g0222600,Similar to caleosin.,,,"Cutin, suberine and wax biosynthesis",['development.unspecified'],LOC_Os03g12230,,23.8560432617553,2770,Tan,12.3485553297781
13,Os11g0151700,"Purple acid phosphatase (EC:3.1.3.2), Improvement in phosphate acquisition and utilization","Molecular Function: acid phosphatase activity (GO:0003993), Molecular Function: hydrolase activity (GO:0016787), Molecular Function: metal ion binding (GO:0046872)","OsPAP21b, PAP21B",,['misc.acid and other phosphatases'],LOC_Os11g05400,,19.6336257313137,3500,Tan,12.2521141683565
14,Os10g0486100,Cytochrome P450-like protein (CYP86B1).,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: iron ion binding (GO:0005506), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705), Molecular Function: heme binding (GO:0020037)",CYP86B3,"Cutin, suberine and wax biosynthesis",['misc.cytochrome P450'],LOC_Os10g34480,,12.990180294712,5249,Tan,11.8145608678971
15,Os01g0633400,"Cystathionine beta-synthase, core domain containing protein.","Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824), Molecular Function: protein binding (GO:0005515)",OsCBSX10,,['cell wall.cell wall proteins'],LOC_Os01g44250,,26.7144075497542,2363,Tan,11.7173556071019
16,Os07g0599900,Conserved hypothetical protein.,,,,['not assigned.unknown'],LOC_Os07g40890,,13.9458963274893,4928,Tan,11.6842068094016
17,Os03g0793900,Conserved hypothetical protein.,,OsLTPG8|OsLTPg8,,['not assigned.unknown'],LOC_Os03g57980,,12.9396305897081,5268,Tan,11.6450209595163
18,Os07g0638300,Similar to 1-Cys peroxiredoxin.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: antioxidant activity (GO:0016209), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: peroxiredoxin activity (GO:0051920)",Os1-CysPrxA,"Glutathione metabolism, Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites",['redox.peroxiredoxin.BAS1'],LOC_Os07g44430,,31.9240447175488,1816,Tan,11.5671226869328
19,Os04g0508500,Similar to OSIGBa0101P20.9 protein.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515)",,,['RNA.regulation of transcription.MYB domain transcription factor family'],LOC_Os04g42950,MYB,28.5984230993702,2138,Tan,11.2304057824731
20,Os01g0827300,"Putative laccase precursor, Abiotic stress response","Biological Process: lignin catabolic process (GO:0046274), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: copper ion binding (GO:0005507), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: hydroquinone:oxygen oxidoreductase activity (GO:0052716), Cellular Component: apoplast (GO:0048046)",OsChI1,,['secondary metabolism.simple phenols'],LOC_Os01g61160,,12.7500564840191,5331,Tan,11.2210587649565
21,Os07g0142500,Conserved hypothetical protein.,,,,['not assigned.unknown'],LOC_Os07g04950,,13.8511850854923,4961,Tan,11.2098147261673
22,Os01g0206300,Similar to CBL-interacting protein kinase 18.,"Biological Process: protein phosphorylation (GO:0006468), Biological Process: signal transduction (GO:0007165), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",CIPK13,,['protein.postranslational modification'],LOC_Os01g10870,,21.1772625746985,3189,Tan,11.0101154138784
23,Os07g0599500,Hypothetical protein.,,,,['not assigned.unknown'],LOC_Os07g40850,,13.4213397210785,5100,Tan,10.9740712811495
24,Os07g0599700,Similar to Surface protein PspC.,,,,['not assigned.unknown'],LOC_Os07g40870,,13.3570017999395,5121,Tan,10.8985418150708
25,Os03g0793800,"Plant lipid transfer protein and hydrophobic protein, helical domain containing protein.",Biological Process: lipid transport (GO:0006869),OsXYLP13,,['misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein'],LOC_Os03g57970,,12.3441790777816,5459,Tan,10.6657149347661
26,Os04g0560100,"Cytochrome P450 family protein., Conserved hypothetical protein.","Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: iron ion binding (GO:0005506), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705), Molecular Function: heme binding (GO:0020037),",CYP86A11,"Cutin, suberine and wax biosynthesis, Metabolic pathways",['misc.cytochrome P450'],LOC_Os04g47250,,13.3243440200518,5129,Tan,10.511389131619
27,Os10g0532200,Alpha/beta hydrolase family protein.,,,,['DNA.synthesis/chromatin structure'],LOC_Os10g38860,,12.7439404332576,5332,Tan,10.4353795169627
28,Os04g0266900,Transketolase C-terminal-like domain containing protein.,"Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824), Molecular Function: transketolase activity (GO:0004802)",,"Pentose phosphate pathway, Carbon fixation in photosynthetic organisms, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids",['PS.calvin cycle.transketolase'],LOC_Os04g19740,,16.6928908277482,4156,Tan,9.84398704091794
29,Os06g0274800,Similar to Peroxidase 11 precursor (EC 1.11.1.7) (Atperox P11) (ATP23a/ATP23b).,"Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: peroxidase activity (GO:0004601), Molecular Function: heme binding (GO:0020037)",,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites",['misc.peroxidases'],LOC_Os06g16350,,11.0284592161243,5925,Tan,9.70678746825225
30,Os04g0469500,Similar to OSIGBa0124N08.2 protein.,"Biological Process: glycolysis (GO:0006096), Cellular Component: 6-phosphofructokinase complex (GO:0005945), Molecular Function: 6-phosphofructokinase activity (GO:0003872), Molecular Function: ATP binding (GO:0005524)",,"Glycolysis / Gluconeogenesis, Pentose phosphate pathway, Fructose and mannose metabolism, Galactose metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids, RNA degradation",['glycolysis.plastid branch.phosphofructokinase (PFK)'],LOC_Os04g39420,,22.0420047631127,3043,Tan,9.50724336860797
31,Os03g0281900,"ATP-binding cassette (ABC) transporter, Hypodermal suberization of roots, Salt stress tolerance","Molecular Function: ATP binding (GO:0005524), Molecular Function: ATPase activity (GO:0016887), Cellular Component: membrane (GO:0016020)","ABCG5, OsABCG5, RCN1/OsABCG5",,['transport.ABC transporters and multidrug resistance systems'],LOC_Os03g17350,,9.93086501254403,6335,Tan,9.2103588319254
