Gene,MapMan,MSU_LOC,FC_1hr,pval_1hr,REG_1hr,FC_3hr,pval_3hr,REG_3hr,FC_6hr,pval_6hr,REG_6hr,FC_12hr,pval_12hr,REG_12hr,FC_1day,pval_1day,REG_1day
Os01g0100100,['signalling.G-proteins'],LOC_Os01g01010,-1.05958297214285,0.000233588232202,Down,-0.54875740590769,0.077818568903993,,-2.76202462818516,3.07E-10,Down,-2.33177965897451,1.13E-07,Down,1.48176499197687,0.000423041013395,Up
Os01g0100400,"['misc.oxidases - copper, flavone etc.']",LOC_Os01g01030,-1.17830423177054,0.075849612012399,,-0.610048888702897,0.393697889094489,,-1.45864603687421,0.016040732342583,Down,-2.05984040698043,0.001125693768376,Down,-0.018550392714655,0.972630880179004,
Os01g0100700,['protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S5'],LOC_Os01g01060,-0.699209667558022,0.036462071353455,,-1.60305709808404,3.07E-08,Down,-2.66460177689825,6.13E-18,Down,1.84519625735175,4.69E-06,Up,-7.06424411854373,4.60E-80,Down
Os01g0100900,"[""lipid metabolism.''exotics'' (steroids, squalene etc).sphingolipids""]",LOC_Os01g01080,1.53391222825505,6.16E-09,Up,1.26323735636025,2.70E-06,Up,0.71856375796225,0.84611593901753,,-9.10592143380293,2.07E-08,Down,0.91958857098882,8.85E-07,
Os01g0101200,['minor CHO metabolism.others'],LOC_Os01g01120,-2.07147068342551,0.21645079064338,,-3.16076746857341,0.050924450492738,,-2.96467588846819,0.061692670552625,,-2.90296986414681,0.069816965979551,,-3.23050385389819,0.029542865905289,Down
Os01g0101600,['RNA.RNA binding'],LOC_Os01g01150,0.1294659665649,0.70621669322053,,-0.131220203502853,0.697711307034742,,-0.044478811466552,0.884883147554681,,0.382955703879388,0.108546672218829,,0.140752477861257,0.613787265596806,
Os01g0101700,['stress.abiotic.heat'],LOC_Os01g01160,-1.50085368874306,0.099522883490046,,-1.38368713016173,0.116304818084022,,-1.60918223900256,0.051210375771961,,-2.66953498851058,0.00251147188047,Down,1.23662354012266,1.06E-13,Up
Os01g0102000,['lipid metabolism.lipid degradation.lysophospholipases.phosphoinositide phospholipase C'],LOC_Os01g01190,-0.770559825564958,0.703332705397326,,-2.31352026524006,0.161745702172183,,-6.19674022130958,0.002646469330386,Down,-6.09762961885104,0.003126559353996,Down,2.1464418004481,0.014918574533158,Up
Os01g0102300,['not assigned.unknown'],LOC_Os01g01280,1.24354561691453,0.532860877016206,,0.153375333010188,0.953462734057,,-0.586004586247814,0.773633279218337,,0.553774494682684,0.769197063455424,,2.02908483494666,0.180395531326596,
Os01g0102500,['not assigned.unknown'],LOC_Os01g01295,0.232401916260611,0.719853338647327,,-0.126504221926451,0.855968748398158,,-0.33882281247011,0.508863687019502,,0.005604438911359,0.992921735187766,,1.04899220264365,0.011373839121199,Up
Os01g0102600,['amino acid metabolism.synthesis.aromatic aa.chorismate.shikimate kinase'],LOC_Os01g01302,-1.08371272175385,0.401949602174138,,-1.86746422718844,0.100800533114072,,-1.97101838970659,0.067778217188739,,-3.78167778083066,0.003792582618255,Down,1.13261766071578,2.60E-06,Up
Os01g0102700,['not assigned.unknown'],LOC_Os01g01307,-0.362513252551006,0.385676246308902,,-0.421683451500311,0.27939710109805,,-0.611940960538162,0.063282201434712,,-0.567299444379226,0.089064773497236,,0.007890984371567,0.986275436966789,
Os01g0102850,NA,None,0.13930090349087,NA,,-2.32254605086446,0.297352112504146,,-4.15979854678209,0.060041534471976,,0.392672834163927,0.836115585756271,,0.940696424388451,0.581337883227441,
Os01g0103000,['RNA.regulation of transcription.SNF7'],LOC_Os01g01350,-0.618169902865403,0.525327231108282,,-1.00777948845094,0.235032701098392,,-2.05093454287895,0.008162333936128,Down,-3.3089281547141,0.000270301459795,Down,-4.40728968401149,5.40E-14,Down
Os01g0103600,['hormone metabolism.brassinosteroid.synthesis-degradation.sterols.HYD1'],LOC_Os01g01369,-0.256957425442921,0.344645486963176,,-0.496324003711499,0.027668018397925,,-0.815656072715318,6.52E-05,,-0.579496501376767,0.005942616118218,,-0.981974552557829,7.28E-07,
Os01g0103800,['not assigned.unknown'],LOC_Os01g01390,-0.585284520966153,0.152688411168827,,-0.466783064634237,0.256622560985476,,-1.19621790974253,0.000609692735958,Down,-1.63174727004534,5.18E-06,Down,2.43022977567846,3.64E-05,Up
Os01g0103900,['not assigned.unknown'],LOC_Os01g01400,0.284372402693297,0.840886077602011,,1.08055971836416,0.284122884508019,,1.89537862670836,0.019872709020896,Up,0.735656431000494,0.452617577190978,,4.82290642561365,1.62E-11,Up
Os01g0104000,['protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII'],LOC_Os01g01410,0.106002762418732,0.855956281726134,,0.249286378653237,0.604641770711918,,0.669178498981448,0.055487279990526,,0.756270127694136,0.027734060701083,,0.405396058790188,0.282543236015122,
Os01g0104200,['development.unspecified'],LOC_Os01g01430,-0.246587470082104,0.782506641798031,,0.639055393307827,0.342486584691491,,1.36673074343744,0.009265801291187,Up,2.19666587498271,7.06E-06,Up,1.25382045770384,0.002744934430679,Up
Os01g0104350,NA,None,-0.852937750147295,0.641400282371609,,-1.28589269945045,0.438873849607145,,-0.469727890238332,0.764027053441308,,0.58264611962504,0.686092143578612,,-0.055531330995986,0.97436184962297,
Os01g0104400,['not assigned.unknown'],LOC_Os01g01450,-0.260559623517402,0.486333339335543,,-0.704017542806484,0.014732448901819,,-1.15794186646674,1.17E-05,Down,-0.817534223378684,0.00257333686026,,2.63407430946724,4.18E-15,Up
Os01g0104800,['not assigned.unknown'],LOC_Os01g01510,-1.21275576728525,0.00162620906422,Down,-1.51461531946346,3.41E-05,Down,-5.10841826764716,1.15E-17,Down,1.08317304109206,0.255023129372781,,-4.42055083931172,1.51E-08,Down
Os01g0104900,"['secondary metabolism.phenylpropanoids', 'stress.biotic']",LOC_Os01g01520,-0.914066444800314,0.023709612194264,,-0.666456760595548,0.108333386728493,,-0.430154832678956,0.289054674430866,,-0.566587039874295,0.151615834104872,,-1.04438628170744,0.003906764062675,Down
Os01g0105400,['not assigned.unknown'],LOC_Os01g01570,-0.533688567597299,0.398016503296067,,-0.510159613172897,0.40302078109116,,-1.25550121076092,0.013453532625354,Down,-1.61083526073149,0.001857236360898,Down,-2.52647884435389,0.019192064334222,Down
Os01g0105800,['Co-factor and vitamine metabolism.iron-sulphur clusters'],LOC_Os01g01610,-1.75294343554777,0.259294120536417,,0.361415252654097,0.819019194991053,,1.0188261072861,0.353601377641415,,0.559819985055833,0.650050834724933,,1.10053082033901,0.305856139227491,
Os01g0105900,['minor CHO metabolism.others'],LOC_Os01g01620,-0.078120008459594,0.880698801932182,,-0.486092541180048,0.170045886052152,,-1.06935011738637,0.000355346870338,Down,-1.19143817736251,6.96E-05,Down,2.46369344136223,3.64E-09,Up
Os01g0106300,['secondary metabolism.flavonoids.isoflavones.isoflavone reductase'],LOC_Os01g01650,0.037779641277554,0.985273046943752,,0.120745163944748,0.953462734057,,-2.11588213600896,0.133387740340338,,-4.44771402464701,0.028153245466688,Down,-5.62168964688302,4.93E-10,Down
Os01g0106400,['secondary metabolism.flavonoids.isoflavones.isoflavone reductase'],LOC_Os01g01660,2.62483518210764,1.04E-06,Up,1.19404842311143,0.056737623621073,,-2.32130347245513,5.45E-05,Down,-1.44819290869497,0.009349221971085,Down,-1.3578014764505,0.001823716853527,Down
Os01g0106500,['not assigned.unknown'],LOC_Os01g01670,-0.821308573916218,0.380098587820708,,-1.78122645356019,0.023593667165385,Down,-3.8975426295626,4.68E-05,Down,1.25050193798135,0.001331603166583,Up,-3.58493350619825,0.030485940729055,Down
Os01g0106600,['not assigned.unknown'],LOC_Os01g01680,-0.014385896401047,0.993836319934102,,0.106160102440723,0.954890119878644,,0.10453775062538,0.943377172587853,,1.18912453316138,0.294126235945968,,0.973753780055439,0.40532620195968,
Os01g0106750,['protein.postranslational modification.kinase'],LOC_Os01g01689,-0.152718171995581,0.925633216107019,,-0.051479338230258,0.97481972350956,,-0.194072640108989,0.877360003357918,,0.240643729887164,0.842315826318053,,-0.707464027230626,0.532737026935385,
Os01g0106900,['secondary metabolism.isoprenoids.non-mevalonate pathway.DXR'],LOC_Os01g01710,1.72949775719249,0.002161601284666,Up,3.96576792154995,1.40E-15,Up,-1.07334759705491,0.056936525403991,,3.20105553191006,1.64E-09,Up,-2.48089509459023,0.0033242039314,Down
