id,Label,TF,KEGG,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO,MapMan,MSU_LOC,FC_1hr,pval_1hr,REG_1hr,FC_3hr,pval_3hr,REG_3hr,FC_6hr,pval_6hr,REG_6hr,FC_12hr,pval_12hr,REG_12hr,FC_1day,pval_1day,REG_1day
0,Os05g0104900,,"Ubiquitin mediated proteolysis, Protein processing in endoplasmic reticulum",49.3007067934779,815,Blue,34.8077179286248,Similar to STIP1 homology and U box-containing protein 1.,"Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)",['protein.degradation.ubiquitin.E3.RING'],LOC_Os05g01460,-0.028889617780915,0.988215923007992,,0.32753518560928,0.957501368920767,,1.44670633882588,0.008131818180987,Up,1.33209448531537,0.014857040316787,Up,1.29225077448755,0.02039314733423,Up
1,Os05g0119300,,,26.5813497233661,2382,Black,14.7853503837402,Similar to ESTs AA754121.,,['not assigned.unknown'],LOC_Os05g02780,0.975234048492019,0.069114131603143,,0.875342718927103,0.217391489289198,,2.42141970259205,7.44E-10,Up,2.47732007954527,2.38E-10,Up,2.70178042597435,3.78E-12,Up
2,Os07g0603800,,,2.37798660879661,11094,Brown,1.78820157384694,"TGF-beta receptor, type I/II extracellular region family protein., Similar to peptide transporter PTR2.","Biological Process: oligopeptide transport (GO:0006857), Cellular Component: membrane (GO:0016020), Molecular Function: transporter activity (GO:0005215)",['transport.peptides and oligopeptides'],LOC_Os07g41250,-1.02411625986679,0.000603411814944,Down,-0.533701968076953,0.27860365596601,,-0.846778535887819,0.004702836871882,,-1.11242379035815,6.62E-05,Down,-1.11667156737596,9.10E-05,Down
3,Os01g0785700,,,5.78675868785127,8419,Purple,3.45946683147159,Pentatricopeptide repeat domain containing protein.,Molecular Function: binding (GO:0005488),['RNA.regulation of transcription'],LOC_Os01g57630,-0.538661451242212,0.534946936786034,,-0.444578188711174,0.85237834964174,,-1.3251823869433,0.013072834723233,Down,-1.12195396911139,0.029446291954383,Down,-0.921584609764971,0.092703413976792,
4,Os05g0218400,,,6.90056313679209,7761,royalBlue,1.77578233528909,Similar to Somatic embryogenesis receptor kinase-like protein.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)","['protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII', 'signalling.receptor kinases.proline extensin like']",LOC_Os05g12680,0.069098715515226,0.961676136576145,,0.141828559241597,0.988767895073917,,1.20774787687801,0.001174868525247,Up,1.09291435611645,0.003378007367878,Up,1.2078025167853,0.001097942300213,Up
5,Os04g0169100,,"MAPK signaling pathway - plant, Plant hormone signal transduction",15.4152247346715,4504,Brown,11.5323095026172,"Similar to Ethylene receptor-like protein 1., Ethylene receptor, Ethylene response, Floral transition and starch accumulation","Biological Process: signal transduction (GO:0007165), Molecular Function: signal transducer activity (GO:0004871), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Biological Process: two-component signal transduction system (phosphorelay) (GO:0000160), Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Biological Process: signal transduction (GO:0007165), Biological Process: ethylene mediated signaling pathway (GO:0009873), Biological Process: peptidyl-histidine phosphorylation (GO:0018106), Cellular Component: endoplasmic reticulum membrane (GO:0005789), Molecular Function: two-component sensor activity (GO:0000155), Molecular Function: two-component response regulator activity (GO:0000156), Molecular Function: protein histidine kinase activity (GO:0004673), Molecular Function: signal transducer activity (GO:0004871), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524)",['hormone metabolism.ethylene.signal transduction'],LOC_Os04g08740,-2.37379371808035,3.20E-14,Down,-1.7985925249808,4.86E-08,Down,-2.52134679914903,6.54E-16,Down,-2.67840794165834,2.74E-18,Down,-2.40702380448769,1.10E-14,Down
6,Os03g0250000,,,23.8470706416699,2771,GreenYellow,10.9474943238155,Conserved hypothetical protein.,,['signalling.calcium'],LOC_Os03g14590,3.4725617519192,6.64E-09,Up,1.44501319340728,0.125210914079258,,3.75460932792802,6.95E-11,Up,4.13717181863877,3.52E-13,Up,3.58640398562936,6.09E-10,Up
7,Os03g0192550,,,10.6297539750859,6076,MidnightBlue,8.42117508203023,Hypothetical gene.,,,None,0.35818645850611,0.929198432141987,,0.790710930529557,0.940089821385127,,3.25301536241796,0.004255011958359,Up,3.87944178272781,0.000269850862442,Up,3.72219724248959,0.000623373280723,Up
8,Os04g0692400,,,5.02842266071625,8893,Brown,1.97185475228368,Similar to ankyrin-like protein.,Molecular Function: methyltransferase activity (GO:0008168),['stress.abiotic.drought/salt'],LOC_Os04g59590,-0.660831643134616,0.425269639280126,,-0.443271588480531,0.879237053041626,,-1.39409387191026,0.009792469241732,Down,-2.03807867646177,5.24E-05,Down,-1.71447458645972,0.001046872005514,Down
9,Os02g0755900,,,34.0880563695331,1645,Blue,20.6847418861464,UDP-glucuronosyl/UDP-glucosyltransferase domain containing protein.,"Biological Process: metabolic process (GO:0008152), Molecular Function: transferase activity, transferring hexosyl groups (GO:0016758)",['misc.UDP glucosyl and glucoronyl transferases'],LOC_Os02g51930,1.40334408310333,0.121097676309529,,2.70011099665735,0.00012619734496,Up,2.71414632886339,2.64E-05,Up,3.57062769113299,3.25E-09,Up,3.83388306998791,1.87E-10,Up
