id,Label,Description,GO,Symbol,KEGG,MapMan,MSU_LOC,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity
0,Os03g0757600,"UDP-glucuronosyl/UDP-glucosyltransferase family protein., Similar to Indole-3-acetate beta-glucosyltransferase.","Biological Process: metabolic process (GO:0008152), Molecular Function: transferase activity, transferring hexosyl groups (GO:0016758)",,,['misc.UDP glucosyl and glucoronyl transferases'],LOC_Os03g55050,,18.6736212530162,6785,LightCyan,13.3506609875867
1,Os03g0841600,UDP-glucuronosyl/UDP-glucosyltransferase family protein.,"Biological Process: metabolic process (GO:0008152), Molecular Function: transferase activity, transferring hexosyl groups (GO:0016758)",OsUGT706C2,,['misc.UDP glucosyl and glucoronyl transferases'],LOC_Os03g62480,,19.6973042129338,6612,LightCyan,12.5209161768698
2,Os10g0527400,Similar to Tau class GST protein 3.,Molecular Function: protein binding (GO:0005515),GSTU19,"Glutathione metabolism, Metabolic pathways",['misc.glutathione S transferases'],LOC_Os10g38340,,16.951683343499,7094,LightCyan,12.0248409986549
3,Os10g0527800,Similar to Tau class GST protein 3.,Molecular Function: protein binding (GO:0005515),OsGSTU12,"Glutathione metabolism, Metabolic pathways",['misc.glutathione S transferases'],LOC_Os10g38360,,17.5771338102106,6981,LightCyan,11.6285610552845
4,Os01g0638000,UDP-glucuronosyl/UDP-glucosyltransferase family protein.,"Biological Process: metabolic process (GO:0008152), Molecular Function: transferase activity, transferring hexosyl groups (GO:0016758)",,,['misc.UDP glucosyl and glucoronyl transferases'],LOC_Os01g45110,,15.1188796575253,7491,LightCyan,11.1293491841679
5,Os09g0367700,Similar to GST6 protein (EC 2.5.1.18).,Molecular Function: protein binding (GO:0005515),OsGSTU5,"Glutathione metabolism, Metabolic pathways",['misc.glutathione S transferases'],LOC_Os09g20220,,14.1546232091093,7691,LightCyan,10.1140452762872
6,Os03g0841700,Similar to Prohibitin.,,,,['mitochondrial electron transport / ATP synthesis.NADH-DH.complex I'],LOC_Os03g62490,,21.3221818058698,6328,LightCyan,9.96798990977878
7,Os03g0785900,Similar to Glutathione-S-transferase.,Molecular Function: protein binding (GO:0005515),GSTU1,"Glutathione metabolism, Metabolic pathways",['misc.glutathione S transferases'],LOC_Os03g57200,,12.2410549796379,8128,LightCyan,8.86189912607156
8,Os10g0528300,Tau class GST protein 4.,Molecular Function: protein binding (GO:0005515),Osgstu3,"Glutathione metabolism, Metabolic pathways",,None,,13.5762126076106,7815,LightCyan,8.73458970572774
9,Os02g0127900,Conserved hypothetical protein.,,,,['not assigned.unknown'],LOC_Os02g03560,,25.1961785220817,5743,LightCyan,8.63739844360054
10,Os10g0530900,"Similar to Glutathione S-transferase GST 30 (EC 2.5.1.18)., Similar to cDNA clone:006-203-F02, full insert sequence.","Molecular Function: protein binding (GO:0005515),",GSTU50,"Glutathione metabolism, Metabolic pathways",['misc.glutathione S transferases'],LOC_Os10g38740,,14.4623186237294,7623,LightCyan,8.53487940014901
11,Os06g0219500,"Similar to 26.2 kDa heat shock protein, mitochondrial.",,,Protein processing in endoplasmic reticulum,['stress.abiotic.heat'],LOC_Os06g11610,,12.4018857112556,8090,LightCyan,7.95534268807387
12,Os04g0627900,Translation initiation factor SUI1 domain containing protein.,"Biological Process: translational initiation (GO:0006413), Molecular Function: translation initiation factor activity (GO:0003743)",,,['not assigned.unknown'],LOC_Os04g53606,,13.0252928239598,7955,LightCyan,7.93171750748678
13,Os04g0339400,Aldo/keto reductase family protein.,,,,['hormone metabolism.auxin.induced-regulated-responsive-activated'],LOC_Os04g27060,,10.9606622995867,8457,LightCyan,7.87867128784362
14,Os07g0605800,Similar to STF-1 (Fragment).,Molecular Function: sulfotransferase activity (GO:0008146),,,"[""lipid metabolism.''exotics'' (steroids, squalene etc)""]",LOC_Os07g41460,,11.6842120031152,8279,LightCyan,7.67198365046352
