id,Label,Description,GO,Symbol,KEGG,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity,MapMan,MSU_LOC,FC_1hr,pval_1hr,REG_1hr,FC_3hr,pval_3hr,REG_3hr,FC_6hr,pval_6hr,REG_6hr,FC_12hr,pval_12hr,REG_12hr,FC_1day,pval_1day,REG_1day
0,Os01g0226600,Similar to C4-dicarboxylate transporter/malic acid transport protein.,"Biological Process: transmembrane transport (GO:0055085), Cellular Component: integral to membrane (GO:0016021)",,,,0.361791733768459,13409,Grey,0.021640179451074,['transport.metabolite transporters at the mitochondrial membrane'],LOC_Os01g12680,-1.19693197321677,,,-1.30986674746026,0.183447443005398,,-2.08273933011944,0.025649228101121,Down,-2.56223778338765,0.005799059564854,Down,-2.36236240855531,0.040034418229171,Down
1,Os05g0119300,Similar to ESTs AA754121.,,,,,61.5263463993659,2771,Yellow,38.9267924186571,['not assigned.unknown'],LOC_Os05g02780,1.21463276640705,0.447195492236127,,2.26257471145009,0.000500387291527,Up,2.71472824300459,1.11E-05,Up,3.21564092240437,5.24E-08,Up,1.48893614187517,0.064224488003431,
2,Os03g0183300,"Pathogenesis-related transcriptional factor and ERF domain containing protein., Similar to BTH-induced ERF transcriptional factor 4.","Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700),",OsBIERF4,,ERF,2.29649292065538,11763,Yellow,1.42536943732946,"['hormone metabolism.ethylene.signal transduction', 'RNA.regulation of transcription.AP2/EREBP, APETALA2/Ethylene-responsive element binding protein family']",LOC_Os03g08500,1.37689142304233,0.072099978917643,,2.29253434955026,5.79E-06,Up,2.18361845890775,1.25E-05,Up,2.14781399800753,1.04E-05,Up,1.11833658904746,0.098558760392996,
3,Os02g0754500,Tetratricopeptide-like helical domain containing protein.,"Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515), Molecular Function: carbon-nitrogen ligase activity, with glutamine as amido-N-donor (GO:0016884)",OM64,,,3.94917374978652,10844,Brown,3.30892026910499,['protein.targeting.chloroplast'],LOC_Os02g51810,0.895194522205635,,,1.91228714453362,0.045921498912255,Up,1.9863146252991,0.02809959344837,Up,1.78895035950832,0.04666192169418,Up,1.44550546245811,0.276232659388988,
4,Os05g0218400,Similar to Somatic embryogenesis receptor kinase-like protein.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",Z15,,,0.734852763000813,13005,Grey,0.160581668200577,"['protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII', 'signalling.receptor kinases.proline extensin like']",LOC_Os05g12680,0.189926203686046,0.999989494557828,,0.982082130027712,0.066285425970504,,1.45731141503903,0.001749880056142,Up,1.68971479114183,0.000133776600253,Up,0.635257115296159,0.401699760908207,
5,Os03g0292700,"Similar to Protein kinase domain containing protein, expressed.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,,,57.6249009428286,2978,Blue,40.6011943720409,['protein.postranslational modification'],LOC_Os03g18170,-0.02673400491518,0.999989494557828,,0.658556296916145,0.41963175391194,,1.81615610241537,0.001814432426243,Up,1.7263978620393,0.00270465408015,Up,2.39842171438879,5.13E-05,Up
6,Os05g0355200,Pentatricopeptide repeat domain containing protein.,Molecular Function: binding (GO:0005488),,,,16.9007768694834,7105,GreenYellow,3.73342452225944,['development.unspecified'],LOC_Os05g28720,-0.465306351329464,0.999989494557828,,-1.44511491609918,0.053512075427995,,-1.91557025235382,0.006343782733149,Down,-2.04526474002559,0.002915770719783,Down,-1.85847884675601,0.026070449349166,Down
7,Os01g0839100,"Zinc finger, C2H2 domain containing protein.","Cellular Component: intracellular (GO:0005622), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: zinc ion binding (GO:0008270)",ZFP179,,C2H2,152.097564967381,507,Turquoise,145.188085718084,['RNA.regulation of transcription.C2H2 zinc finger family'],LOC_Os01g62190,2.5153970080408,0.456048583412469,,4.79870746756341,0.000121212461034,Up,3.41740442626513,0.010424958264196,Up,4.87314925145847,4.26E-05,Up,2.39073596024868,0.214806232672694,
8,Os04g0618200,"Similar to cDNA clone:J013046D23, full insert sequence., Similar to H0313F03.11 protein.","Biological Process: galactose metabolic process (GO:0006012), Biological Process: cellular metabolic process (GO:0044237), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: catalytic activity (GO:0003824), Molecular Function: UDP-glucose 4-epimerase activity (GO:0003978), Molecular Function: coenzyme binding (GO:0050662)",,"Amino sugar and nucleotide sugar metabolism, Metabolic pathways, Biosynthesis of nucleotide sugars",,88.6165580820017,1758,Turquoise,82.3645893712991,['cell wall.precursor synthesis.MUR4'],LOC_Os04g52730,0.327598795867239,0.999989494557828,,1.29182311933769,0.000165254777582,Up,0.831281208695392,0.022324305570858,,2.17910428961888,1.77E-12,Up,-0.429334598308565,0.473183756163614,
9,Os07g0534700,Serine/threonine protein kinase-related domain containing protein.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",Gnk2RLK-4,,,4.20166023059241,10719,LightCyan,2.52643000880595,['signalling.receptor kinases.S-locus glycoprotein like'],LOC_Os07g35004,1.44285265848136,0.778728653471789,,1.87413637221883,0.093800389263017,,2.45192319635639,0.012710845479857,Up,2.85918572050134,0.001918838434674,Up,-0.002383898492293,0.999626310669657,
