id,Label,TF,KEGG,Symbol,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO,MapMan,MSU_LOC
0,Os03g0250000,,,,86.2226930804512,1831,Salmon,34.5342159372419,Conserved hypothetical protein.,,['signalling.calcium'],LOC_Os03g14590
1,Os03g0723400,,,,146.936225050545,573,Salmon,31.0723678782023,Similar to UFG2.,,['not assigned.unknown'],LOC_Os03g51350
2,Os04g0527400,,,,81.0133256366693,2016,Salmon,30.3949806506493,BRO1 domain containing protein.,,['not assigned.unknown'],LOC_Os04g44530
3,Os10g0521000,,"Starch and sucrose metabolism, Metabolic pathways",OsTRE1,118.052297670829,997,Salmon,29.2096121081842,Similar to TRE1 protein (Fragment).,"Biological Process: trehalose metabolic process (GO:0005991), Molecular Function: catalytic activity (GO:0003824), Molecular Function: alpha, alpha-trehalase activity (GO:0004555)",['minor CHO metabolism.trehalose.trehalase'],LOC_Os10g37660
4,Os01g0151600,,,,101.914432374017,1368,Salmon,28.7316441474529,Conserved hypothetical protein.,,['not assigned.unknown'],LOC_Os01g05830
5,Os09g0539000,,,,110.838761563711,1156,Salmon,28.5215745403337,Hypothetical conserved gene.,,['not assigned.unknown'],LOC_Os09g36790
6,Os12g0594000,,,OsWD40-198,85.0016464309,1872,Salmon,28.2057846090386,WD40 repeat-like domain containing protein.,Molecular Function: protein binding (GO:0005515),['DNA.synthesis/chromatin structure'],LOC_Os12g40260
7,Os03g0792800,,,,109.670782852023,1181,Salmon,28.1688525184467,"Beta-1, 3-glucanase-like protein.","Biological Process: carbohydrate metabolic process (GO:0005975), Molecular Function: catalytic activity (GO:0003824), Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553), Molecular Function: cation binding (GO:0043169)","['misc.beta 1,3 glucan hydrolases.glucan endo-1,3-beta-glucosidase']",LOC_Os03g57880
8,Os07g0602900,,,,104.41366365602,1299,Salmon,28.1248472780353,"Protein of unknown function DUF1675 domain containing protein., Similar to UPF0737 protein 1.",,['protein.targeting.nucleus'],LOC_Os07g41160
9,Os05g0572000,ERF,,OsRPH1,107.42128241453,1227,Salmon,27.9453064332206,Pathogenesis-related transcriptional factor and ERF domain containing protein.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700)","['RNA.regulation of transcription.AP2/EREBP, APETALA2/Ethylene-responsive element binding protein family']",LOC_Os05g49700
10,Os02g0669100,,,OsDhn1,84.7727294707106,1877,Salmon,27.7379873242092,Dehydrin family protein.,"Biological Process: response to stress (GO:0006950), Biological Process: response to water (GO:0009415)",['not assigned.unknown'],LOC_Os02g44870
11,Os01g0128300,,,MHZ4,92.274749355186,1636,Salmon,27.7209883340636,Similar to predicted protein.,,['not assigned.unknown'],LOC_Os01g03750
12,Os03g0268600,,"MAPK signaling pathway - plant, Plant hormone signal transduction",OsPP2C30,111.376649456206,1147,Salmon,27.4930599647913,Similar to Protein phosphatase type 2C.,"Biological Process: protein dephosphorylation (GO:0006470), Cellular Component: protein serine/threonine phosphatase complex (GO:0008287), Molecular Function: catalytic activity (GO:0003824), Molecular Function: protein serine/threonine phosphatase activity (GO:0004722)",['protein.postranslational modification'],LOC_Os03g16170
13,Os05g0468800,,,CRP,151.549772403147,516,Salmon,27.3848618523408,Phosphatidylethanolamine-binding protein PEBP domain containing protein.,,['not assigned.unknown'],LOC_Os05g39250
14,Os06g0659300,,,,114.744813323859,1078,Salmon,27.0179357500975,Similar to Actin filament bundling protein P-115-ABP.,"Biological Process: cytoskeleton organization (GO:0007010), Molecular Function: actin binding (GO:0003779)",['cell.organisation'],LOC_Os06g44890
15,Os09g0415050,,,,106.273782245642,1260,Salmon,26.4486460422285,Hypothetical gene.,,,None
16,Os08g0519400,,,,153.379265330941,489,Salmon,26.2381894131991,Apolipoprotein/apolipophorin domain containing protein.,,"['DNA.repair', 'cell.organisation']",LOC_Os08g40790
17,Os05g0595100,,,"OsUGE1, OsUGE-1, UGE1, UGE-1",149.548390359004,541,Salmon,26.189344514335,"Uridine-diphospho-(UDP)-glucose 4-epimerase, Cell wall carbohydrate partitioning during nitrogen (N) limitation","Biological Process: galactose metabolic process (GO:0006012), Molecular Function: UDP-glucose 4-epimerase activity (GO:0003978)",['cell wall.precursor synthesis.UGE'],LOC_Os05g51670
18,Os06g0683100,,,,138.57254267768,688,Salmon,25.7787690397527,NAD(P)-binding domain containing protein.,"Biological Process: cellular metabolic process (GO:0044237), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: catalytic activity (GO:0003824), Molecular Function: coenzyme binding (GO:0050662)",['secondary metabolism.flavonoids.dihydroflavonols'],LOC_Os06g46920
19,Os02g0162600,,,,113.505931990506,1099,Salmon,25.7145921029714,Conserved hypothetical protein.,,,None
20,Os11g0498600,,,,50.8380206776838,3335,Salmon,25.3977192534839,Similar to HVA22 protein.,,['hormone metabolism.abscisic acid.induced-regulated-responsive-activated'],LOC_Os11g30500
