id,Label,Description,GO,Symbol,KEGG,MapMan,MSU_LOC,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity
0,Os08g0519800,"Similar to Maternal pumilio protein. Splice isoform E., Pumilio RNA-binding repeat domain containing protein.","Molecular Function: RNA binding (GO:0003723), Molecular Function: binding (GO:0005488)",,,['RNA.regulation of transcription.bZIP transcription factor family'],LOC_Os08g40830,,44.6559716009699,1010,LightCyan,12.2974937374102
1,Os01g0977600,"Hypothetical conserved gene., Armadillo-type fold domain containing protein.","Molecular Function: binding (GO:0005488), Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270), Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",,,['not assigned.unknown'],LOC_Os01g74610,,38.5394190560189,1324,LightCyan,11.4146601625112
2,Os05g0475300,VHS domain containing protein.,"Biological Process: intracellular protein transport (GO:0006886), Cellular Component: intracellular (GO:0005622)",,,,LOC_Os05g39760,,35.9219530559364,1503,LightCyan,10.7929277254306
3,Os08g0500100,"Similar to Peroxisomal targeting signal 1 receptor short form., Similar to Peroxisomal targeting sequence 1 receptor (Fragment).","Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)","OsPEX5, OsPEX5L, OsPex5pL, DFO2",Peroxisome,['protein.targeting.peroxisomes'],LOC_Os08g39080,,25.7745727733354,2487,LightCyan,10.6491297069685
4,Os06g0267600,"Autophagy-related, C-terminal domain containing protein.",,,Autophagy - other,['not assigned.unknown'],LOC_Os06g15700,,19.198933760599,3584,LightCyan,10.5961368749655
5,Os08g0540300,"Zinc finger, C6HC-type domain containing protein.","Cellular Component: intracellular (GO:0005622), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",,,['protein.degradation.ubiquitin.E3.RING'],LOC_Os08g42740,,20.5532827204774,3302,LightCyan,10.5806631433488
6,Os02g0796700,Similar to protein kinase family protein / WD-40 repeat family protein.,Molecular Function: protein binding (GO:0005515),OsWD40-57,,['protein.postranslational modification'],LOC_Os02g55340,,35.0597576922199,1569,LightCyan,10.2582016638267
7,Os01g0796400,"NAD(P)-binding domain containing protein., Similar to 3-hydroxybutyryl-CoA dehydrogenase.","Biological Process: fatty acid metabolic process (GO:0006631), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: 3-hydroxyacyl-CoA dehydrogenase activity (GO:0003857), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616), Molecular Function: coenzyme binding (GO:0050662), Biological Process: fatty acid metabolic process (GO:0006631), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: 3-hydroxyacyl-CoA dehydrogenase activity (GO:0003857), Molecular Function: oxidoreductase activity (GO:0016491)",,"Phenylalanine metabolism, Butanoate metabolism, Metabolic pathways, Carbon metabolism",['Biodegradation of Xenobiotics.3-hydroxybutyryl-CoA dehydrogenase'],LOC_Os01g58380,,47.3044586781311,900,LightCyan,9.63880929212568
8,Os10g0391500,Conserved hypothetical protein.,,,,,None,,22.0384789121151,3044,LightCyan,9.2751227757219
9,Os02g0202800,"FAR1 domain containing protein., Hypothetical conserved gene.","Molecular Function: zinc ion binding (GO:0008270),",,,['not assigned.unknown'],LOC_Os02g10840,FAR1,30.8137358832066,1920,LightCyan,9.26506644602738
10,Os02g0220700,Hypothetical conserved gene.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,,['protein.postranslational modification'],LOC_Os02g12810,,23.0584638971415,2887,LightCyan,9.16950534936584
11,Os03g0701600,Conserved hypothetical protein.,,,,['RNA.regulation of transcription.putative transcription regulator'],LOC_Os03g49490,,44.9470988471097,993,LightCyan,9.11202009650432
12,Os12g0284000,"Regulator of chromosome condensation, RCC1 domain containing protein., Similar to predicted protein., Hypothetical conserved gene.",,,,['cell.division'],LOC_Os12g18650,,31.2470214783959,1869,LightCyan,9.01308701688418
13,Os04g0668700,"Phosphatidylinositol 3- and 4-kinase, catalytic domain containing protein., Similar to phosphatidylinositol 3- and 4-kinase family protein.","Molecular Function: phosphotransferase activity, alcohol group as acceptor (GO:0016773)",,,['protein.degradation.ubiquitin'],LOC_Os04g57300,,27.290660090424,2293,LightCyan,8.87160155836227
14,Os10g0446200,Hypothetical conserved gene.,,,,['not assigned.unknown'],LOC_Os10g30910,,21.404163841721,3155,LightCyan,8.85033470921026
15,Os01g0962200,Similar to Membrane protein.,"Biological Process: ceramide metabolic process (GO:0006672), Cellular Component: integral to membrane (GO:0016021), Molecular Function: hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides (GO:0016811)",,,['not assigned.unknown'],LOC_Os01g73120,,26.8495947310406,2344,LightCyan,8.77247703437366
16,Os04g0680700,"DNA mismatch repair protein MutS, core domain containing protein., Similar to H0901F07.7 protein.","Biological Process: mismatch repair (GO:0006298), Biological Process: maintenance of fidelity involved in DNA-dependent DNA replication (GO:0045005), Molecular Function: damaged DNA binding (GO:0003684), Molecular Function: ATP binding (GO:0005524), Molecular Function: mismatched DNA binding (GO:0030983),",,Mismatch repair,['DNA.repair'],LOC_Os04g58410,,18.4898959413754,3723,LightCyan,8.65911341369448
17,Os03g0578300,Conserved hypothetical protein.,,,,,None,,25.2519092595853,2572,LightCyan,8.59677751666425
