id,Label,TF,KEGG,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO
0,Os10g0208500,,,17.818328748263,3868,Grey60,8.71506302498267,"Hypothetical protein., Oxoglutarate/iron-dependent oxygenase domain containing protein., Hypothetical conserved gene.",", Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors (GO:0016706)"
1,Os01g0392600,,,19.0461229930389,3621,Grey60,7.56153990432702,"Conserved hypothetical protein., Hypothetical protein.",
2,Os06g0171900,,,14.850613937321,4658,Grey60,7.31212320727462,"WD40 subfamily protein, Salt stress, Similar to GAMYB-binding protein (Fragment).",Molecular Function: protein binding (GO:0005515)
3,Os03g0734900,GATA,,16.0753847598896,4331,Grey60,7.20618717049845,"Similar to CCT motif family protein, expressed.","Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270), Molecular Function: sequence-specific DNA binding (GO:0043565)"
4,Os09g0449600,,,17.5200444172908,3937,Grey60,7.17314720957432,"Similar to F-box protein interaction domain containing protein, expressed.",Molecular Function: protein binding (GO:0005515)
5,Os03g0789800,,,21.2277147114889,3181,Grey60,7.04996231072385,"Hypothetical conserved gene., Conserved hypothetical protein.",
6,Os11g0251400,,,14.6119920859167,4718,Grey60,6.47826923145612,"Hypothetical conserved gene., Ankyrin repeat containing protein., Ankyrin repeat domain containing protein.",Molecular Function: protein binding (GO:0005515)
7,Os06g0143000,,Peroxisome,12.0189238879517,5564,Grey60,6.40168849364731,Iron-superoxide dismutase (EC 1.15.1.1).,"Biological Process: superoxide metabolic process (GO:0006801), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: superoxide dismutase activity (GO:0004784), Molecular Function: metal ion binding (GO:0046872)"
8,Os07g0516500,,,13.1743135782264,5186,Grey60,6.35878836093058,"Conserved hypothetical protein., Hypothetical conserved gene.",
9,Os06g0147100,,,11.8759048247411,5618,Grey60,6.21625792352509,"Similar to cDNA clone:J023088C01, full insert sequence., Conserved hypothetical protein.",
10,Os05g0491200,,,15.8287435336015,4396,Grey60,6.11880757405489,Similar to SNF1 kinase complex anchoring protein (Fragment).,Molecular Function: protein binding (GO:0005515)
11,Os03g0103700,,,24.8004056020383,2632,Grey60,5.63995237670012,Non-protein coding transcript.,
12,Os06g0298400,,,15.2951664803287,4534,Grey60,5.60877528715908,WW/Rsp5/WWP domain containing protein.,Molecular Function: protein binding (GO:0005515)
13,Os07g0507700,,,18.4839259077188,3724,Grey60,5.58690148687256,Bromodomain domain containing protein.,Molecular Function: protein binding (GO:0005515)
14,Os07g0294300,,,12.1314775823817,5521,Grey60,5.46256267772585,Conserved hypothetical protein.,
15,Os02g0227100,,,12.080270379032,5537,Grey60,5.44557310891671,Conserved hypothetical protein.,
16,Os02g0610700,,,12.2902341655447,5475,Grey60,5.41701552766414,"Chlorophyll a/b binding protein domain domain containing protein., Conserved hypothetical protein.",
17,Os02g0522300,,,11.811939269314,5645,Grey60,5.35538410170982,"Conserved hypothetical protein., Similar to cDNA clone:001-036-H04, full insert sequence.",
18,Os04g0380300,,,11.8945114745345,5611,Grey60,5.26698396492277,"Kelch-type beta propeller domain containing protein., Non-protein coding transcript.","Molecular Function: protein binding (GO:0005515),"
19,Os06g0559400,,,9.45186189881969,6514,Grey60,4.88531581840079,Conserved hypothetical protein.,
20,Os03g0184550,,"Terpenoid backbone biosynthesis, Sesquiterpenoid and triterpenoid biosynthesis",12.5324198700153,5408,Grey60,4.6610879470442,Similar to Dihydroflavonol-4-reductase.,"Biological Process: cellular metabolic process (GO:0044237), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: catalytic activity (GO:0003824), Molecular Function: coenzyme binding (GO:0050662)"
21,Os08g0485700,C2H2,,7.95596227168544,7208,Grey60,4.64106629267031,"Methyl-CpG DNA binding domain containing protein., Hypothetical conserved gene.","Cellular Component: intracellular (GO:0005622), Cellular Component: nucleus (GO:0005634), Molecular Function: DNA binding (GO:0003677), Molecular Function: zinc ion binding (GO:0008270)"
22,Os11g0608000,,,15.8580083509045,4389,Grey60,4.62745680722951,"Nucleotide-binding, alpha-beta plait domain containing protein.",Molecular Function: nucleotide binding (GO:0000166)
23,Os06g0677300,,,32.5676719065705,1762,Grey60,4.61919395958444,"Zinc finger, RING/FYVE/PHD-type domain containing protein.",Molecular Function: zinc ion binding (GO:0008270)
24,Os11g0634350,,,28.1738883069061,2190,Grey60,4.51462914312143,Non-protein coding transcript.,
25,Os06g0130000,,,9.32540554138624,6567,Grey60,4.49347482640342,"AAA-type ATPase, Defense response, Similar to Tobacco mosaic virus helicase domain-binding protein (Fragment)., Similar to ATP binding.","Molecular Function: ATP binding (GO:0005524), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: ATP binding (GO:0005524), Molecular Function: nucleoside-triphosphatase activity (GO:0017111)"
26,Os08g0500200,,,10.999670624866,5934,Grey60,4.45505178116168,"CBF1-interacting co-repressor CIR, N-terminal domain containing protein., Similar to predicted protein.",
27,Os05g0425700,,Ubiquitin mediated proteolysis,8.7301555528851,6843,Grey60,4.42351594004397,Similar to F-box protein AtFBL5.,
28,Os11g0444700,,,15.5188127062769,4482,Grey60,4.41215834418806,Octicosapeptide/Phox/Bem1p domain containing protein.,Molecular Function: protein binding (GO:0005515)
29,Os11g0133001,,,35.6236700880231,1527,Grey60,4.38565645984407,Similar to Ser/Thr protein kinase (Fragment).,"Biological Process: protein phosphorylation (GO:0006468), Biological Process: recognition of pollen (GO:0048544), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: sugar binding (GO:0005529), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
30,Os02g0204500,,,25.1315083394051,2592,Grey60,4.3698568535148,"Hypothetical conserved gene., Agenet domain containing protein.",Molecular Function: RNA binding (GO:0003723)
31,Os11g0269700,,,16.0914292423077,4327,Grey60,4.32572882078968,Hypothetical protein.,
