Gene,MapMan,MSU_LOC,FC_1hr,pval_1hr,REG_1hr,FC_3hr,pval_3hr,REG_3hr,FC_6hr,pval_6hr,REG_6hr,FC_12hr,pval_12hr,REG_12hr,FC_1day,pval_1day,REG_1day
Os01g0100100,['signalling.G-proteins'],LOC_Os01g01010,-0.622009747562025,0.025615582714945,,-0.445112568031989,0.159975562156926,,-0.664363372936478,0.015529908970059,,-1.28019204467971,5.34E-07,Down,-1.13915861324863,1.43E-05,Down
Os01g0100400,"['misc.oxidases - copper, flavone etc.']",LOC_Os01g01030,0.736115081093002,0.079924878098649,,0.407318640465012,0.449092151332068,,0.972275607571443,0.013015711436866,,0.340582408280663,0.457807348092568,,0.506124335885908,0.242142253398592,
Os01g0100700,['protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S5'],LOC_Os01g01060,0.949965884644111,0.00247708992266,,0.500192326908044,0.184385657074789,,0.43576569672252,0.218933341309419,,0.416862620905069,0.219446705583194,,-0.225053205693351,0.546255888305235,
Os01g0100900,"[""lipid metabolism.''exotics'' (steroids, squalene etc).sphingolipids""]",LOC_Os01g01080,-1.43798186891725,2.43E-08,Down,-1.1539362138822,1.74E-05,Down,-0.91002650921042,0.000732115634928,,-1.00079297168047,0.000119757917936,Down,-0.373837575539178,0.199346123374049,
Os01g0101200,['minor CHO metabolism.others'],LOC_Os01g01120,0.204564955049666,0.825155998941223,,-0.160016521657415,0.88089049770782,,0.371407165672784,0.636960070783848,,-0.005399575642879,0.994816177929428,,-0.488346416813211,0.518181164198281,
Os01g0101600,['RNA.RNA binding'],LOC_Os01g01150,-0.494757986584057,0.083638552483374,,-0.571503317598507,0.048270220531143,,-0.728915401757897,0.005525081324345,,-1.05506532245949,1.94E-05,Down,-1.40937444141741,1.19E-08,Down
Os01g0101700,['stress.abiotic.heat'],LOC_Os01g01160,-0.59053929538892,0.26404837956457,,-1.21524410252017,0.019031037466241,Down,-1.94729926593571,9.67E-05,Down,-1.7065951675551,0.000260971129152,Down,-2.36087591772645,1.06E-05,Down
Os01g0102000,['lipid metabolism.lipid degradation.lysophospholipases.phosphoinositide phospholipase C'],LOC_Os01g01190,-0.654116619177817,0.601566168698549,,-1.30477539661052,0.299536501112927,,-1.01989294139127,0.373995090205611,,-1.82855001546439,0.082800667823684,,-0.650277799671877,0.560243109239882,
Os01g0102300,['not assigned.unknown'],LOC_Os01g01280,1.26769422561055,0.105877349092462,,1.51717660990566,0.054409477028287,,1.49594498327199,0.043504450061512,Up,1.17332861205911,0.116130652221765,,0.46443285101188,0.611088165885968,
Os01g0102500,['not assigned.unknown'],LOC_Os01g01295,-0.292581638867071,0.497010055036782,,0.018817050097767,0.977316858987195,,0.818156781540312,0.011747067090896,,1.32371090700087,6.18E-06,Up,-0.183973582555657,0.652246421360486,
