Gene,MapMan,LOC_IDs,FC_1hr,pval_1hr,REG_1hr,FC_3hr,pval_3hr,REG_3hr,FC_6hr,pval_6hr,REG_6hr,FC_12hr,pval_12hr,REG_12hr,FC_1day,pval_1day,REG_1day
Os01g0100100,['signalling.G-proteins'],LOC_Os01g01010,-0.152766152,0.999997499,,-0.442290067,0.20984224,,-1.134032439,3.50E-05,Down,-1.795133992,9.59E-14,Down,-2.30570049,4.03E-15,Down
Os01g0100400,"['misc.oxidases - copper, flavone etc.']",LOC_Os01g01030,0.010377122,NA,,-0.178163083,0.916508824,,-1.866664418,0.030737523,Down,-1.268044589,0.071377583,,-1.903170813,0.027471969,Down
Os01g0100700,['protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S5'],LOC_Os01g01060,0.195273044,0.999997499,,-0.795143824,0.083098688,,-1.47430253,0.000170026,Down,-1.248075702,0.000258144,Down,-0.644864565,0.106094321,
Os01g0100900,"[""lipid metabolism.''exotics'' (steroids, squalene etc).sphingolipids""]",LOC_Os01g01080,-0.06956365,0.999997499,,0.102451416,0.700662269,,1.359240117,1.23E-23,Up,1.734691308,9.96E-47,Up,1.955550093,2.23E-49,Up
Os01g0101200,['minor CHO metabolism.others'],LOC_Os01g01120,0.202283111,0.999997499,,0.084509981,0.971720313,,-2.665477615,0.001973947,Down,-3.365923531,7.59E-06,Down,-3.36192413,6.82E-05,Down
Os01g0101600,['RNA.RNA binding'],LOC_Os01g01150,0.063539089,0.999997499,,-0.171646696,0.796231027,,-0.739924531,0.034998622,,-1.262302398,1.97E-05,Down,-1.656176236,4.06E-07,Down
Os01g0101700,['stress.abiotic.heat'],LOC_Os01g01160,0.196143135,0.999997499,,-0.906082199,0.006232338,,-2.433141429,2.87E-14,Down,-2.392654997,5.45E-18,Down,-2.353950567,2.46E-13,Down
Os01g0102300,['not assigned.unknown'],LOC_Os01g01280,-0.341315257,0.999997499,,-0.575923083,0.498598192,,-2.977573381,3.32E-07,Down,-3.092396423,8.76E-10,Down,-3.220473557,7.57E-08,Down
Os01g0102500,['not assigned.unknown'],LOC_Os01g01295,0.017394439,0.999997499,,0.318557999,0.600933463,,0.952520111,0.009796463,,1.854472104,1.68E-09,Up,2.951471972,3.16E-19,Up
Os01g0102600,['amino acid metabolism.synthesis.aromatic aa.chorismate.shikimate kinase'],LOC_Os01g01302,0.058608972,0.999997499,,-0.338507574,0.810317274,,-2.178372929,0.002007108,Down,-3.224329705,1.30E-07,Down,-2.451991018,0.000352277,Down
Os01g0102850,NA,None,0.300478845,NA,,0.998449987,0.443309424,,-0.463067963,0.690704873,,-0.315858094,0.745007336,,-0.491195653,0.652950116,
Os01g0103000,['RNA.regulation of transcription.SNF7'],LOC_Os01g01350,-0.776866631,NA,,-0.539559945,NA,,-2.179092857,0.11311097,,-1.205507478,0.231105366,,-0.316832526,0.791640497,
Os01g0103100,['transport.peptides and oligopeptides'],LOC_Os01g01360,0.014442748,NA,,-0.742070193,NA,,-0.482899328,0.706529386,,-0.87519202,0.393086572,,-0.542027846,0.652512381,
Os01g0103400,NA,None,0.028377241,0.999997499,,0.592327591,0.513241373,,0.445159659,0.524776202,,1.43185948,0.004529507,Up,1.831973643,0.000719457,Up
Os01g0103700,['not assigned.unknown'],LOC_Os01g01380,-0.039327784,0.999997499,,-0.087600584,0.939268022,,-1.004925978,0.053371596,,-1.249312199,0.004401752,Down,-1.669311892,0.001688495,Down
Os01g0103800,['not assigned.unknown'],LOC_Os01g01390,0.143736456,0.999997499,,-0.498121644,0.224992648,,0.211343078,0.560992994,,-0.382442295,0.193848451,,-0.654258626,0.044671481,
Os01g0103900,['not assigned.unknown'],LOC_Os01g01400,-1.859614198,NA,,-1.645535633,0.258903776,,1.764921467,0.046535465,Up,2.473722282,0.000997019,Up,1.389710239,0.12264565,
Os01g0104000,['protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII'],LOC_Os01g01410,-0.158477813,0.999997499,,-0.140355807,0.841018892,,0.475289689,0.189938978,,0.085517235,0.812904283,,-0.137411551,0.722259017,
Os01g0104350,NA,None,0.015210814,0.999997499,,0.728910052,0.399778747,,1.376438288,0.019794969,Up,1.589983454,0.001918396,Up,1.592911259,0.005122702,Up
Os01g0104400,['not assigned.unknown'],LOC_Os01g01450,0.1096907,0.999997499,,-0.179691008,0.777794971,,0.232700564,0.54898489,,0.808227397,0.006048852,,1.213473719,0.000120847,Up
