id,Label,TF,KEGG,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO
0,Os03g0278300,,"RNA transport, mRNA surveillance pathway, Spliceosome",62.6103897358303,2727,Yellow,57.2131318777945,"Similar to ALY protein., Transcriptional coactivator-like protein., Similar to THO complex subunit 4.","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676),"
1,Os03g0286300,,,69.0090370359112,2460,Yellow,56.5682527407014,"Similar to Phosphate/phosphoenolpyruvate translocator protein-like., Similar to organic anion transporter.",
2,Os03g0710700,,,92.7614333268143,1623,Yellow,56.3677365926694,Similar to predicted protein.,"Biological Process: glycolipid transport (GO:0046836), Cellular Component: cytoplasm (GO:0005737), Molecular Function: glycolipid transporter activity (GO:0017089), Molecular Function: glycolipid binding (GO:0051861)"
3,Os03g0187600,,,64.4413477076975,2648,Yellow,55.895650965546,GRAM domain containing protein.,
4,Os06g0502900,,,62.9019990694964,2721,Yellow,53.7757447789445,Similar to DGCR14 protein.,
5,Os03g0224700,HSF,,72.3038652415882,2335,Yellow,53.6381380167574,Similar to HSP protein (Fragment).,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: sequence-specific DNA binding (GO:0043565)"
6,Os05g0498400,,RNA transport,63.7329780350439,2680,Yellow,53.4615455987899,Similar to Protein translation factor SUI1.,"Biological Process: translational initiation (GO:0006413), Molecular Function: translation initiation factor activity (GO:0003743)"
7,Os01g0748600,,,79.8789471687038,2052,Yellow,52.266946190931,"Similar to Protein kinase family protein., Serine/threonine protein kinase-related domain containing protein.","Molecular Function: protein binding (GO:0005515), Biological Process: protein phosphorylation (GO:0006468), Biological Process: regulation of signal transduction (GO:0009966), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
8,Os04g0672900,,,76.1811594295546,2190,Yellow,51.6689566007456,Similar to H0322F07.6 protein.,
9,Os01g0821300,WRKY,,58.7056873944501,2923,Yellow,51.5786111294414,Hypothetical conserved gene.,
10,Os02g0802700,,"Glycerolipid metabolism, Metabolic pathways",74.2957270677771,2253,Yellow,51.3090545081182,"Similar to MGDG synthase type A., Monogalactosyldiacylglycerol synthase, Salt, drought, submergence stress tolerance","Biological Process: carbohydrate metabolic process (GO:0005975), Biological Process: glycolipid biosynthetic process (GO:0009247), Biological Process: lipid glycosylation (GO:0030259), Molecular Function: transferase activity, transferring hexosyl groups (GO:0016758), Molecular Function: carbohydrate binding (GO:0030246)"
11,Os08g0480100,,Protein export,70.3148566192045,2410,Yellow,50.901988572182,"Signal recognition particle receptor, alpha subunit, N-terminal domain containing protein., Similar to predicted protein.","Biological Process: GTP catabolic process (GO:0006184), Biological Process: SRP-dependent cotranslational protein targeting to membrane (GO:0006614), Biological Process: transport (GO:0006810), Biological Process: intracellular protein transport (GO:0006886), Cellular Component: signal recognition particle receptor complex (GO:0005785), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: GTPase activity (GO:0003924), Molecular Function: signal recognition particle binding (GO:0005047), Molecular Function: GTP binding (GO:0005525), Molecular Function: nucleoside-triphosphatase activity (GO:0017111)"
12,Os04g0449400,,,54.2143648496015,3142,Yellow,50.5607823580454,Similar to H0818E04.11 protein.,Molecular Function: catalytic activity (GO:0003824)
13,Os02g0721700,,,58.4257014827288,2935,Yellow,49.5854439377628,Similar to Gpi-anchored protein (Fragment).,
14,Os01g0513100,,,57.229882833114,2994,Yellow,48.188580643293,Similar to Protein phosphatase 2C ABI2.,
15,Os12g0503200,,RNA transport,56.9997919107675,3005,Yellow,47.7829250801647,"Similar to TRANSLATION INITIATION FACTOR IF-2P., Translation elongation and initiation factors/Ribosomal, beta-barrel domain containing protein.",
16,Os06g0708400,,,59.4196476110592,2883,Yellow,47.5163418363813,"Cyclophilin, Cold tolerance","Biological Process: protein peptidyl-prolyl isomerization (GO:0000413), Biological Process: protein folding (GO:0006457), Molecular Function: peptidyl-prolyl cis-trans isomerase activity (GO:0003755)"
17,Os01g0748900,,,88.9480493628656,1744,Yellow,46.9371399052998,Membrane attack complex component/perforin/complement C9 family protein.,
18,Os02g0605900,,"Amino sugar and nucleotide sugar metabolism, Metabolic pathways",56.8853423259901,3011,Yellow,46.4851441762959,Similar to Chitinase (EC 3.2.1.14) A.,"Biological Process: carbohydrate metabolic process (GO:0005975), Biological Process: chitin catabolic process (GO:0006032), Biological Process: cell wall macromolecule catabolic process (GO:0016998), Molecular Function: chitinase activity (GO:0004568), Molecular Function: chitin binding (GO:0008061)"
19,Os01g0672400,,,81.3963488246058,2001,Yellow,45.2429654510624,"Drought induced 19 family protein., Similar to Protein DEHYDRATION-INDUCED 19 homolog 3.",
20,Os03g0786000,,Peroxisome,53.506378017224,3182,Yellow,44.641092821995,Similar to Glycine-rich protein.,
21,Os12g0198200,,,53.1490468094932,3208,Yellow,44.3927281806794,Similar to Protein phosphatase 2C.,Molecular Function: catalytic activity (GO:0003824)
22,Os04g0416100,E2F/DP,,47.7237174384538,3530,Yellow,44.1161812476252,Similar to Transcription factor E2F1 (E2F-1) (Fragment).,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: transcription factor complex (GO:0005667), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700)"
23,Os10g0554100,,,47.5118235019317,3551,Yellow,44.0060115257795,Similar to Oxysterol-binding protein.,
24,Os03g0302200,,,56.1181165016077,3051,Yellow,43.6140931354886,"Zinc finger, RING/FYVE/PHD-type domain containing protein.","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)"
25,Os01g0706400,,Endocytosis,53.2149331550731,3204,Yellow,43.4856962677478,"Protein of unknown function DUF292, eukaryotic domain containing protein., Hypothetical conserved gene.",
26,Os06g0248500,,,65.2329319620162,2615,Yellow,43.3608541228333,U box domain containing protein.,"Biological Process: protein ubiquitination (GO:0016567), Cellular Component: ubiquitin ligase complex (GO:0000151), Molecular Function: ubiquitin-protein ligase activity (GO:0004842), Molecular Function: binding (GO:0005488)"
27,Os03g0148400,,,48.1279735576615,3509,Yellow,43.3433584127578,Protein of unknown function DUF740 family protein.,
