id,Label,TF,KEGG,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO
0,Os03g0757600,,,18.6736212530162,6785,LightCyan,13.3506609875867,"UDP-glucuronosyl/UDP-glucosyltransferase family protein., Similar to Indole-3-acetate beta-glucosyltransferase.","Biological Process: metabolic process (GO:0008152), Molecular Function: transferase activity, transferring hexosyl groups (GO:0016758)"
1,Os03g0841600,,,19.6973042129338,6612,LightCyan,12.5209161768698,UDP-glucuronosyl/UDP-glucosyltransferase family protein.,"Biological Process: metabolic process (GO:0008152), Molecular Function: transferase activity, transferring hexosyl groups (GO:0016758)"
2,Os10g0527400,,Glutathione metabolism,16.951683343499,7094,LightCyan,12.0248409986549,Similar to Tau class GST protein 3.,Molecular Function: protein binding (GO:0005515)
3,Os10g0527800,,Glutathione metabolism,17.5771338102106,6981,LightCyan,11.6285610552845,Similar to Tau class GST protein 3.,Molecular Function: protein binding (GO:0005515)
4,Os01g0638000,,,15.1188796575253,7491,LightCyan,11.1293491841679,UDP-glucuronosyl/UDP-glucosyltransferase family protein.,"Biological Process: metabolic process (GO:0008152), Molecular Function: transferase activity, transferring hexosyl groups (GO:0016758)"
5,Os09g0367700,,Glutathione metabolism,14.1546232091093,7691,LightCyan,10.1140452762872,Similar to GST6 protein (EC 2.5.1.18).,Molecular Function: protein binding (GO:0005515)
6,Os03g0841700,,,21.3221818058698,6328,LightCyan,9.96798990977878,Similar to Prohibitin.,
7,Os03g0785900,,Glutathione metabolism,12.2410549796379,8128,LightCyan,8.86189912607156,Similar to Glutathione-S-transferase.,Molecular Function: protein binding (GO:0005515)
8,Os10g0528300,,Glutathione metabolism,13.5762126076106,7815,LightCyan,8.73458970572774,Tau class GST protein 4.,Molecular Function: protein binding (GO:0005515)
9,Os02g0127900,,,25.1961785220817,5743,LightCyan,8.63739844360054,Conserved hypothetical protein.,
10,Os10g0530900,,Glutathione metabolism,14.4623186237294,7623,LightCyan,8.53487940014901,"Similar to Glutathione S-transferase GST 30 (EC 2.5.1.18)., Similar to cDNA clone:006-203-F02, full insert sequence.","Molecular Function: protein binding (GO:0005515),"
11,Os06g0219500,,,12.4018857112556,8090,LightCyan,7.95534268807387,"Similar to 26.2 kDa heat shock protein, mitochondrial.",
12,Os04g0627900,,RNA transport,13.0252928239598,7955,LightCyan,7.93171750748678,Translation initiation factor SUI1 domain containing protein.,"Biological Process: translational initiation (GO:0006413), Molecular Function: translation initiation factor activity (GO:0003743)"
13,Os04g0339400,,,10.9606622995867,8457,LightCyan,7.87867128784362,Aldo/keto reductase family protein.,
14,Os07g0605800,,,11.6842120031152,8279,LightCyan,7.67198365046352,Similar to STF-1 (Fragment).,Molecular Function: sulfotransferase activity (GO:0008146)
