id,Label,TF,KEGG,Symbol,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO,MapMan,MSU_LOC
0,Os12g0170700,,Ribosome biogenesis in eukaryotes,,31.7385266879704,1832,Purple,21.9262962490565,Conserved hypothetical protein.,,['not assigned.unknown'],LOC_Os12g07300
1,Os10g0495600,,"Purine metabolism, Pyrimidine metabolism, Metabolic pathways, RNA polymerase",,27.8294705640169,2236,Purple,19.3436737535112,Similar to DNA-directed RNA polymerase.,"Biological Process: transcription, DNA-dependent (GO:0006351), Cellular Component: nucleus (GO:0005634), Molecular Function: DNA binding (GO:0003677), Molecular Function: DNA-directed RNA polymerase activity (GO:0003899), Molecular Function: ribonucleoside binding (GO:0032549)",['RNA.transcription'],LOC_Os10g35290
2,Os01g0901200,,Homologous recombination,,31.0658994044901,1895,Purple,18.6072404074974,Similar to RecA protein (Fragment).,"Biological Process: DNA metabolic process (GO:0006259), Biological Process: DNA repair (GO:0006281), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: DNA binding (GO:0003677), Molecular Function: single-stranded DNA binding (GO:0003697), Molecular Function: ATP binding (GO:0005524), Molecular Function: DNA-dependent ATPase activity (GO:0008094), Molecular Function: nucleoside-triphosphatase activity (GO:0017111)",['DNA.repair'],LOC_Os01g67510
3,Os03g0350100,,Ribosome biogenesis in eukaryotes,,48.0078215824202,868,Purple,17.5359537751415,SAR DNA-binding protein-2.,,['RNA.regulation of transcription.putative transcription regulator'],LOC_Os03g22730
4,Os08g0326600,,"Purine metabolism, Metabolic pathways",,37.5033613805522,1404,Purple,17.4951949490768,Similar to GMP synthetase.,"Biological Process: purine nucleotide biosynthetic process (GO:0006164), Biological Process: GMP biosynthetic process (GO:0006177), Biological Process: asparagine biosynthetic process (GO:0006529), Biological Process: glutamine metabolic process (GO:0006541), Biological Process: biosynthetic process (GO:0009058), Molecular Function: catalytic activity (GO:0003824), Molecular Function: GMP synthase (glutamine-hydrolyzing) activity (GO:0003922), Molecular Function: asparagine synthase (glutamine-hydrolyzing) activity (GO:0004066), Molecular Function: ATP binding (GO:0005524)",['nucleotide metabolism.synthesis.purine.GMP synthetase'],LOC_Os08g23730
5,Os12g0288600,,,,30.1049940372014,1975,Purple,16.8552962152568,Conserved hypothetical protein.,,['not assigned.unknown'],LOC_Os12g19040
6,Os03g0699200,,,,25.6105879153387,2511,Purple,16.4433877572556,BRCT domain containing protein.,"Biological Process: ribosome biogenesis (GO:0042254), Cellular Component: intracellular (GO:0005622), Cellular Component: nucleolus (GO:0005730)",['development.unspecified'],LOC_Os03g49210
7,Os12g0609800,,Ribosome biogenesis in eukaryotes,OsWD40-199,19.0751287707042,3613,Purple,16.3437747688624,"WD40/YVTN repeat-like domain containing protein., Similar to predicted protein.",Molecular Function: protein binding (GO:0005515),['not assigned.unknown'],LOC_Os12g41620
8,Os03g0179000,,,OsTTLL12,34.410243223833,1622,Purple,15.8284666369759,"Similar to Tubulin-tyrosine ligase family protein, expressed.","Biological Process: protein modification process (GO:0006464), Molecular Function: tubulin-tyrosine ligase activity (GO:0004835)",['cell.organisation'],LOC_Os03g08140
9,Os01g0746200,,RNA transport,NUP85,27.5277538301529,2262,Purple,15.7945734421842,"Nucleoporin, Common symbiosis signaling (SYM) pathway, Similar to Nucleoporin.",,['not assigned.unknown'],LOC_Os01g54240
10,Os02g0592300,,Mismatch repair,OsPMS1,21.4925919598491,3134,Purple,15.2602804188911,"Similar to predicted protein., Similar to PMS5 protein (HPMS5 protein) (Fragment).","Biological Process: mismatch repair (GO:0006298), Molecular Function: ATP binding (GO:0005524), Molecular Function: mismatched DNA binding (GO:0030983)",['DNA.repair'],LOC_Os02g37920
11,Os07g0178900,,,,29.5685674659659,2025,Purple,15.1229267683594,Similar to ATTIP49A/RIN1 (RESISTANCE TO PSEUDOMONAS SYRINGAE PV MACULICOLA INTERACTOR 1); protein binding.,"Molecular Function: nucleotide binding (GO:0000166), Molecular Function: DNA helicase activity (GO:0003678), Molecular Function: ATP binding (GO:0005524), Molecular Function: nucleoside-triphosphatase activity (GO:0017111)",['development.unspecified'],LOC_Os07g08170
12,Os03g0833700,,Ribosome biogenesis in eukaryotes,,18.7394044963888,3680,Purple,15.0280279453707,RNA 3'-terminal phosphate cyclase family protein.,"Biological Process: RNA processing (GO:0006396), Molecular Function: catalytic activity (GO:0003824)",['RNA.processing'],LOC_Os03g61790
13,Os08g0538000,,Aminoacyl-tRNA biosynthesis,,20.5264834984502,3310,Purple,14.9038371776538,"Similar to Glycyl-tRNA synthetase, mitochondrial precursor (EC 6.1.1.14) (Glycine--tRNA ligase) (GlyRS)., Similar to H0209H04.1 protein.","Biological Process: tRNA aminoacylation for protein translation (GO:0006418), Biological Process: glycyl-tRNA aminoacylation (GO:0006426), Cellular Component: cytoplasm (GO:0005737), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: aminoacyl-tRNA ligase activity (GO:0004812), Molecular Function: glycine-tRNA ligase activity (GO:0004820), Molecular Function: ATP binding (GO:0005524)",['protein.aa activation.glycine-tRNA ligase'],LOC_Os08g42560
14,Os03g0288400,,,,25.0138811990201,2602,Purple,14.8737254291589,Similar to kinesin like protein.,,['not assigned.unknown'],LOC_Os03g17910
15,Os02g0288200,GeBP,,,21.1009183877405,3205,Purple,14.7513325315734,"Protein of unknown function DUF573 domain containing protein., Hypothetical conserved gene.",,['not assigned.unknown'],LOC_Os02g18660
