id,Label,Description,GO,Symbol,KEGG,MapMan,MSU_LOC,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity
0,Os09g0516600,Glyoxalase II.,"Molecular Function: hydroxyacylglutathione hydrolase activity (GO:0004416), Molecular Function: zinc ion binding (GO:0008270), Molecular Function: hydrolase activity (GO:0016787)",OsGLYII3,"Pyruvate metabolism, Metabolic pathways",['Biodegradation of Xenobiotics.hydroxyacylglutathione hydrolase'],LOC_Os09g34100,,59.015124016621,2904,Purple,25.7459291442967
1,Os01g0536000,Similar to CBL-interacting serine/threonine-protein kinase 24 (EC 2.7.1.37) (SNF1-related kinase 3.11) (SALT OVERLY SENSITIVE 2 protein).,"Biological Process: protein phosphorylation (GO:0006468), Biological Process: signal transduction (GO:0007165), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",CIPK08,,['protein.postranslational modification'],LOC_Os01g35184,,47.5694377693565,3546,Purple,23.9566236405164
2,Os11g0546300,Patatin family protein.,"Biological Process: lipid metabolic process (GO:0006629), Biological Process: metabolic process (GO:0008152)",OspPLAV,,['development.storage proteins'],LOC_Os11g34370,,40.6851751459712,4050,Purple,23.299937641185
3,Os05g0311500,Protein of unknown function DUF567 family protein.,Biological Process: cellular metabolic process (GO:0044237),,,['not assigned.unknown'],LOC_Os05g24650,,46.4674109378754,3610,Purple,22.2268417836978
4,Os07g0614000,"Six-bladed beta-propeller, TolB-like domain containing protein.","Biological Process: biosynthetic process (GO:0009058), Molecular Function: strictosidine synthase activity (GO:0016844)",,,['secondary metabolism.N misc.alkaloid-like'],LOC_Os07g42250,,35.9900812179217,4466,Purple,21.8373469144606
5,Os02g0591900,"Protein kinase, catalytic domain domain containing protein., Similar to protein kinase family protein.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,,['protein.postranslational modification'],LOC_Os02g37880,,33.6763194507238,4702,Purple,21.0563050964605
6,Os06g0116500,Pleckstrin homology-type domain containing protein.,Molecular Function: protein binding (GO:0005515),,,['not assigned.unknown'],LOC_Os06g02590,,48.9642840287466,3461,Purple,20.9597209393932
7,Os08g0138500,"bHLH transcription factor, Regulation of iron homeostasis",Molecular Function: protein dimerization activity (GO:0046983),OsPRI1,,"['RNA.regulation of transcription.bHLH,Basic Helix-Loop-Helix family']",LOC_Os08g04390,bHLH,39.23850186845,4183,Purple,20.5336076609246
8,Os08g0250900,Conserved hypothetical protein.,,"OsSMAX1, SMAX1",,['stress.abiotic.heat'],LOC_Os08g15230,,35.9451425959354,4470,Purple,20.0481658709755
9,Os01g0911300,Similar to Transporter associated with antigen processing-like protein.,"Biological Process: transport (GO:0006810), Biological Process: transmembrane transport (GO:0055085), Cellular Component: integral to membrane (GO:0016021), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATPase activity (GO:0016887), Molecular Function: nucleoside-triphosphatase activity (GO:0017111), Molecular Function: ATPase activity, coupled to transmembrane movement of substances (GO:0042626)",OsABCB24,,['transport.ABC transporters and multidrug resistance systems'],LOC_Os01g68330,,30.1592974747151,5096,Purple,20.0401215507107
10,Os08g0109300,"Homolog of Arabidopsis ADENOSINE MONOPHOSPHATE KINASE 2 (AMK2), A member of adenylate kinase (AK) family","Biological Process: nucleobase-containing compound metabolic process (GO:0006139), Molecular Function: adenylate kinase activity (GO:0004017), Molecular Function: ATP binding (GO:0005524), Molecular Function: phosphotransferase activity, phosphate group as acceptor (GO:0016776), Molecular Function: nucleobase-containing compound kinase activity (GO:0019205)","AK1, OsAK1","Purine metabolism, Thiamine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Nucleotide metabolism, Biosynthesis of cofactors",['nucleotide metabolism.phosphotransfer and pyrophosphatases.adenylate kinase'],LOC_Os08g01770,,35.3394779155047,4536,Purple,20.0204233904651
11,Os04g0448600,ChaC-like protein family protein.,,,"Glutathione metabolism, Metabolic pathways",['transport.unspecified cations'],LOC_Os04g37580,,38.2031929752637,4275,Purple,19.9048204420665
12,Os02g0499000,Similar to DNA binding protein.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700)",,,"['RNA.regulation of transcription.AP2/EREBP, APETALA2/Ethylene-responsive element binding protein family']",LOC_Os02g29550,ERF,64.8964578893624,2630,Purple,19.8836246238142
13,Os06g0192900,Similar to tac7077.,Molecular Function: phosphatase activity (GO:0016791),,,['not assigned.unknown'],LOC_Os06g09320,,37.3337427466981,4350,Purple,19.7864380424137
14,Os05g0543700,Similar to Chaperone protein dnaJ.,"Biological Process: protein folding (GO:0006457), Molecular Function: heat shock protein binding (GO:0031072), Molecular Function: unfolded protein binding (GO:0051082)",OsDjC51,,['stress.abiotic.heat'],LOC_Os05g46620,,36.0729168093024,4460,Purple,19.4772941941266
15,Os08g0558200,Thioredoxin fold domain containing protein.,Molecular Function: protein binding (GO:0005515),OsGRX20,,['not assigned.unknown'],LOC_Os08g44400,,33.8569903734551,4677,Purple,19.0673815451993
16,Os10g0553800,Flavin-containing monooxygenase FMO family protein.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: flavin-containing monooxygenase activity (GO:0004499), Molecular Function: flavin adenine dinucleotide binding (GO:0050660), Molecular Function: NADP binding (GO:0050661)",,,"['misc.oxidases - copper, flavone etc.']",LOC_Os10g40570,,32.2281262825903,4862,Purple,18.9423275115848
17,Os02g0562700,Similar to Gamma hydroxybutyrate dehydrogenase (EC 1.1.1.61).,"Biological Process: pentose-phosphate shunt (GO:0006098), Biological Process: valine metabolic process (GO:0006573), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: phosphogluconate dehydrogenase (decarboxylating) activity (GO:0004616), Molecular Function: 3-hydroxyisobutyrate dehydrogenase activity (GO:0008442), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616), Molecular Function: coenzyme binding (GO:0050662)","OsGR1, GLYR1","Glyoxylate and dicarboxylate metabolism, Butanoate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism",['OPP.oxidative PP.6-phosphogluconate dehydrogenase'],LOC_Os02g35500,,47.2778172736312,3569,Purple,18.577537031812
18,Os03g0202001,Similar to Adenylyl-sulfate kinase.,"Biological Process: sulfate assimilation (GO:0000103), Molecular Function: ATP binding (GO:0005524), Molecular Function: kinase activity (GO:0016301), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,"Purine metabolism, Sulfur metabolism, Metabolic pathways",['S-assimilation.AKN'],LOC_Os03g10500,,48.0747717714387,3514,Purple,18.5565734364929
19,Os01g0934400,"Mog1/PsbP, alpha/beta/alpha sandwich domain containing protein.","Biological Process: photosynthesis (GO:0015979), Cellular Component: photosystem II (GO:0009523), Cellular Component: oxygen evolving complex (GO:0009654), Cellular Component: extrinsic to membrane (GO:0019898), Molecular Function: calcium ion binding (GO:0005509)",,,['PS.lightreaction.photosystem II.PSII polypeptide subunits'],LOC_Os01g70820,,47.4980671623202,3554,Purple,18.3191783295905
20,Os12g0566700,"Lipase, GDSL domain containing protein., Similar to GDSL-like Lipase/Acylhydrolase family protein, expressed.","Biological Process: lipid metabolic process (GO:0006629), Molecular Function: hydrolase activity, acting on ester bonds (GO:0016788),",GELP114,,['misc.GDSL-motif lipase'],LOC_Os12g37910,,28.5800115117051,5295,Purple,18.237165715057
21,Os01g0642000,"Carboxylesterase, type B family protein.",,,"Terpenoid backbone biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites",['not assigned.unknown'],LOC_Os01g45460,,65.5769445892685,2601,Purple,18.2336083387328
22,Os01g0362100,Esterase/lipase/thioesterase domain containing protein.,"Molecular Function: transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747)",,,['lipid metabolism.unassigned'],LOC_Os01g26039,,28.5656973758208,5301,Purple,18.0758129827031
23,Os10g0563600,"Similar to Peptide methionine sulfoxide reductase (EC 1.8.4.6) (Protein- methionine-S-oxide reductase) (Peptide Met(O) reductase)., Similar to peptide methionine sulfoxide reductase.","Biological Process: protein metabolic process (GO:0019538), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor (GO:0016671)",OsMSRA4.2,,['protein.postranslational modification'],LOC_Os10g41400,,44.9572364967539,3712,Purple,18.0666328253798
