Locus_ID,Description,GO
Os01g0100100,RabGAP/TBC domain containing protein.,"Molecular Function: Rab GTPase activator activity (GO:0005097), Cellular Component: intracellular (GO:0005622), Biological Process: regulation of Rab GTPase activity (GO:0032313)"
Os01g0100400,Similar to Pectinesterase-like protein.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: copper ion binding (GO:0005507), Molecular Function: oxidoreductase activity (GO:0016491)"
Os01g0100700,Similar to 40S ribosomal protein S5-1.,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Cellular Component: small ribosomal subunit (GO:0015935), Molecular Function: RNA binding (GO:0003723), Molecular Function: structural constituent of ribosome (GO:0003735)"
Os01g0100900,"Sphingosine-1-phosphate lyase, Disease resistance response","Biological Process: carboxylic acid metabolic process (GO:0019752), Molecular Function: catalytic activity (GO:0003824), Molecular Function: carboxy-lyase activity (GO:0016831), Molecular Function: pyridoxal phosphate binding (GO:0030170)"
Os01g0101200 ,"2, 3-diketo-5-methylthio-1-phosphopentane phosphatase domain containing protein. ","Biological Process: L-methionine salvage from methylthioadenosine (GO:0019509), Molecular Function: acireductone synthase activity (GO:0043874), Molecular Function: metal ion binding (GO:0046872)"
Os01g0101600 ,"Immunoglobulin-like fold domain containing protein., Hypothetical conserved gene. ","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270), "
Os01g0101700,Similar to chaperone protein dnaJ 20.,"Biological Process: protein folding (GO:0006457), Molecular Function: heat shock protein binding (GO:0031072), Molecular Function: unfolded protein binding (GO:0051082)"
Os01g0102300,"Thylakoid lumen protein, Photosynthesis and chloroplast development",
Os01g0102500,Conserved hypothetical protein.,
Os01g0102600 ,"Shikimate kinase domain containing protein., Similar to shikimate kinase family protein. ","Molecular Function: shikimate kinase activity (GO:0004765), Molecular Function: ATP binding (GO:0005524), "
Os01g0102850,Similar to nitrilase 2.,
Os01g0103000,Snf7 family protein.,Biological Process: protein transport (GO:0015031)
Os01g0103100 ,"TGF-beta receptor, type I/II extracellular region family protein., Similar to predicted protein. ","Biological Process: oligopeptide transport (GO:0006857), Cellular Component: membrane (GO:0016020), Molecular Function: transporter activity (GO:0005215)"
Os01g0103400,Hypothetical gene.,
Os01g0103700,Conserved hypothetical protein.,
Os01g0103800,Conserved hypothetical protein.,
Os01g0103900,"Polynucleotidyl transferase, Ribonuclease H fold domain containing protein.",
Os01g0104000 ,"C-type lectin domain containing protein., Similar to predicted protein. ","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: binding (GO:0005488), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os01g0104350,Non-protein coding transcript.,
Os01g0104400 ,Ricin B-related lectin domain containing protein. ,
Os01g0104600 ,"Homolog of Arabidopsis DE-ETIOLATED1 (DET1), Modulation of the ABA signaling pathway and ABA biosynthesis, Regulation of chlorophyll content, Similar to Light-mediated development protein DET1 (Deetiolated1 homolog) (tDET1) (High pigmentation protein 2) (Protein dark green). ",
Os01g0104800 ,"Sas10/Utp3 family protein., Hypothetical conserved gene. ","Biological Process: gene silencing (GO:0016458), Cellular Component: nucleus (GO:0005634)"
Os01g0105400,Similar to Kinesin heavy chain.,"Biological Process: microtubule-based movement (GO:0007018), Molecular Function: microtubule motor activity (GO:0003777), Molecular Function: ATP binding (GO:0005524)"
Os01g0105800,Similar to Iron sulfur assembly protein 1.,"Biological Process: iron-sulfur cluster assembly (GO:0016226), Molecular Function: structural molecule activity (GO:0005198), Molecular Function: iron-sulfur cluster binding (GO:0051536)"
Os01g0105900,Carbohydrate/purine kinase domain containing protein.,
Os01g0106300,Similar to Isoflavone reductase homolog IRL (EC 1.3.1.-).,Molecular Function: nucleotide binding (GO:0000166)
Os01g0106400,Similar to Isoflavone reductase homolog IRL (EC 1.3.1.-).,Molecular Function: nucleotide binding (GO:0000166)
Os01g0106500,Conserved hypothetical protein.,
Os01g0106600,Similar to Chitin-binding lectin 1 precursor (PL-I).,
Os01g0106700,Hypothetical conserved gene.,"Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein binding (GO:0005515), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), Molecular Function: phosphotransferase activity, alcohol group as acceptor (GO:0016773)"
Os01g0106900 ,Similar to 1-deoxy-D-xylulose 5-phosphate reductoisomerase (Fragment). ,"Biological Process: isoprenoid biosynthetic process (GO:0008299), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: protein binding (GO:0005515), Molecular Function: 1-deoxy-D-xylulose-5-phosphate reductoisomerase activity (GO:0030604), Molecular Function: metal ion binding (GO:0046872), Molecular Function: NADPH binding (GO:0070402)"
Os01g0107000 ,"Similar to peroxin Pex14., Peroxisome membrane anchor protein Pex14p, N-terminal domain containing protein. ","Cellular Component: peroxisome (GO:0005777), Cellular Component: membrane (GO:0016020)"
Os01g0107400,Conserved hypothetical protein.,
Os01g0107900 ,Protein of unknown function DUF3506 domain containing protein. ,
Os01g0108000,Conserved hypothetical protein.,
Os01g0108400,Helix-loop-helix DNA-binding domain containing protein.,
Os01g0109000,"Similar to Late embryogenesis abundant protein, group 3.",
Os01g0109700,Similar to Paired amphipathic helix repeat-containing protein / transcription regulator-related.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634)"
Os01g0109750,Paired amphipathic helix domain containing protein.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634)"
Os01g0110200,Conserved hypothetical protein.,
Os01g0110400,Similar to Acetyl-CoA C-acetyltransferase.,"Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824), Molecular Function: transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747)"
Os01g0110700 ,"Similar to Phosphoenolpyruvate carboxylase (EC 4.1.1.31)., Similar to Phosphoenolpyruvate carboxylase. ","Biological Process: tricarboxylic acid cycle (GO:0006099), Biological Process: carbon fixation (GO:0015977), Molecular Function: catalytic activity (GO:0003824), Molecular Function: phosphoenolpyruvate carboxylase activity (GO:0008964)"
