Gene,MapMan,MSU_LOC,FC_1hr,pval_1hr,REG_1hr,FC_3hr,pval_3hr,REG_3hr,FC_6hr,pval_6hr,REG_6hr,FC_12hr,pval_12hr,REG_12hr,FC_1day,pval_1day,REG_1day
Os01g0100100,['signalling.G-proteins'],LOC_Os01g01010,-0.53032891094369,0.443706953827547,,-0.219590574732517,0.968381104328135,,-1.58092879984926,0.000131639131037,Down,-1.58414487895109,7.54E-05,Down,-1.66694311525358,4.55E-05,Down
Os01g0100400,"['misc.oxidases - copper, flavone etc.']",LOC_Os01g01030,-0.104395691172963,0.957765615023154,,-0.440555742391898,0.909198944212213,,-0.93431953204111,0.164458139297488,,-0.768130719560299,0.243192438779159,,-0.79622543721431,0.239519074757306,
Os01g0100700,['protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S5'],LOC_Os01g01060,0.358363711436164,0.796917811893798,,-0.808165217303381,0.554517155306376,,-1.16855997323135,0.053373118087099,,-0.820684292728116,0.199327696856451,,-0.892238283904251,0.161434468498593,
Os01g0100900,"[""lipid metabolism.''exotics'' (steroids, squalene etc).sphingolipids""]",LOC_Os01g01080,-0.667399195893735,0.193642138565476,,-0.04630236419985,0.997024584631436,,0.41344676388273,0.376223244600906,,0.356397328579092,0.447559755477533,,0.193535507542964,0.722970399713487,
Os01g0101200,['minor CHO metabolism.others'],LOC_Os01g01120,-0.797675697827629,0.586469763680999,,-0.184106454712172,0.997024584631436,,-1.87242871608583,0.051386732031958,,-1.17899595481137,0.195822122009345,,-1.19714349763476,0.206896974949367,
Os01g0101600,['RNA.RNA binding'],LOC_Os01g01150,-0.194297398879833,0.79499784634305,,-0.152374013013236,0.972811096861316,,-0.418452144150212,0.247151056759506,,-0.374265928024125,0.292817103300475,,-0.601597713147796,0.067842875473989,
Os01g0101700,['stress.abiotic.heat'],LOC_Os01g01160,-0.608453411820929,0.612033968380941,,-0.102728929065394,0.997024584631436,,-1.39357427446202,0.054980137318876,,-1.94631999807546,0.004050579637995,Down,-1.41851045370155,0.045827447602812,Down
Os01g0102000,['lipid metabolism.lipid degradation.lysophospholipases.phosphoinositide phospholipase C'],LOC_Os01g01190,0.592608777079951,0.744915017983477,,-0.310922628650784,0.98740587113306,,-0.375901057479686,0.773894124355601,,-0.232277373482612,0.853067087841575,,-0.413541060601765,0.745173170433715,
Os01g0102300,['not assigned.unknown'],LOC_Os01g01280,-0.776788722498104,0.6993395528679,,-0.516791789544245,0.960478718660652,,-0.256866016396555,0.862035098269854,,-1.62418948467587,0.161061569082022,,-1.47726976887241,0.224560406989168,
Os01g0102500,['not assigned.unknown'],LOC_Os01g01295,0.441101844862608,0.653014765991674,,0.027459297160093,0.997885281785442,,0.205789632402374,0.780176215688805,,0.482188958249201,0.418053938573404,,0.074465113067274,0.926466730400049,
Os01g0102600,['amino acid metabolism.synthesis.aromatic aa.chorismate.shikimate kinase'],LOC_Os01g01302,-1.0572781353429,0.267485996519212,,0.069000175534186,0.997024584631436,,0.181134135533581,0.85869290095333,,-0.179123246359891,0.85331662350791,,0.451198113174081,0.604575663302247,
Os01g0102700,['not assigned.unknown'],LOC_Os01g01307,-0.114509068474248,0.915145668212732,,-0.372305982543804,0.772335779115801,,-0.622567015809658,0.101004599075379,,-0.583482672020342,0.119472250639009,,-0.793321172577552,0.026347945521302,
Os01g0102850,NA,None,-0.067184793892809,0.986564667542191,,0.255781119990775,NA,,0.061303426832556,0.974292438791406,,-0.544279374370294,0.736660838438928,,-0.444745905069978,0.800233878598012,
Os01g0103000,['RNA.regulation of transcription.SNF7'],LOC_Os01g01350,0.695075108184826,0.6301086725679,,-0.828872288278669,0.759812641738918,,-0.67890598341253,0.499927667279436,,-0.199039528069766,0.859129925000035,,-0.651281185546799,0.512594744553501,
Os01g0103600,['hormone metabolism.brassinosteroid.synthesis-degradation.sterols.HYD1'],LOC_Os01g01369,0.056969296274039,0.953125464427519,,-0.206091293711459,0.92164453773457,,0.015237738708031,0.974115275149065,,0.100434524807978,0.801442578821418,,0.069963653979068,0.872997585272315,
Os01g0103800,['not assigned.unknown'],LOC_Os01g01390,0.093371814832141,0.934721359349766,,-0.270117601017562,0.915718644532365,,-0.69274154936009,0.091790368288683,,-0.4679856755717,0.268034982378499,,-0.434035744071057,0.326504249512875,
Os01g0103900,['not assigned.unknown'],LOC_Os01g01400,-0.118553558984228,0.972371572073381,,-1.05608445873817,0.724272949624434,,-0.451585586119058,0.741995951506258,,-0.407103142080203,0.753880090601965,,-0.920922001315806,0.451323817502676,
Os01g0104000,['protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII'],LOC_Os01g01410,-0.188573962669269,0.861262175689568,,0.105210382310208,0.997024584631436,,-0.160137520619872,0.79036871116688,,-0.214127712861427,0.693347629765128,,-0.15549770434381,0.795157836224074,
Os01g0104200,['development.unspecified'],LOC_Os01g01430,-1.24924846873494,0.428930321272999,,-0.511775851609313,0.965580656544209,,-0.47925513935234,0.729622760468233,,0.232610852422044,0.867042421092997,,-0.116847552533428,0.940121990656952,
Os01g0104350,NA,None,1.43077690744445,0.297442138522278,,1.36314221870051,0.510283807862414,,0.865407897350516,0.506473007635405,,-0.012065809774434,0.995060472057939,,0.891857540487572,0.479394188215294,
Os01g0104400,['not assigned.unknown'],LOC_Os01g01450,0.034701352398592,0.980062377228341,,-0.163410339113046,0.979214633913479,,0.195083922037062,0.711623109118099,,0.320409277505637,0.485012674503731,,0.266105119475451,0.587990033528766,
