id,Label,TF,KEGG,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO,MapMan,LOC_IDs,FC_1hr,pval_1hr,REG_1hr,FC_3hr,pval_3hr,REG_3hr,FC_6hr,pval_6hr,REG_6hr,FC_12hr,pval_12hr,REG_12hr,FC_1day,pval_1day,REG_1day
0,Os06g0184866,,,18.0918920195517,6887,Blue,8.7436430548815,Pentatricopeptide repeat domain containing protein.,,['RNA.regulation of transcription'],LOC_Os06g08570,-0.838265227935746,0.008720184158788,,-1.70280449056971,6.31E-11,Down,-2.97978841814054,1.98E-31,Down,-3.3212282120635,8.26E-37,Down,-3.13079619329185,4.86E-34,Down
1,Os03g0113900,,,1.96924729372858,11953,Red,0.862982751058443,Protein of unknown function DUF584 family protein.,,['not assigned.unknown'],LOC_Os03g02280,2.72194029108994,,,3.22346415262414,0.006338177686048,Up,2.60789964672944,0.023093081883973,Up,2.56430602225318,0.023933561643823,Up,0.986877085183346,0.449391219476803,
2,Os08g0282200,,,3.01778470710948,11350,LightCyan,1.25647134908277,Hypothetical protein.,,['not assigned.unknown'],LOC_Os08g18079,0.293256483444987,0.770299900821387,,0.739007496892261,0.172154970487844,,1.52468891559184,0.00041531079877,Up,1.81780528057629,1.41E-05,Up,1.54588778201209,0.000239002875015,Up
3,Os09g0470000,,,24.7256428637226,5815,Blue,18.2860430752085,Similar to Plastidic general dicarboxylate transporter.,"Biological Process: sodium ion transport (GO:0006814), Biological Process: transmembrane transport (GO:0055085), Cellular Component: membrane (GO:0016020), Molecular Function: transporter activity (GO:0005215)",['transport.metabolite transporters at the mitochondrial membrane'],LOC_Os09g29430,-0.182445043128213,0.837154035642751,,-1.21063255883948,0.002952257097539,Down,-2.18047453780302,9.62E-09,Down,-2.54564156806442,1.20E-10,Down,-3.91013761731439,9.05E-19,Down
4,Os01g0785700,,,122.723681959197,918,Brown,121.506639744235,Pentatricopeptide repeat domain containing protein.,Molecular Function: binding (GO:0005488),['RNA.regulation of transcription'],LOC_Os01g57630,0.110885560485363,0.922105614173533,,0.662991633048632,0.185611353947113,,1.88516324811785,5.12E-07,Up,2.10518354780579,1.19E-08,Up,2.40360584490764,3.02E-11,Up
5,Os02g0754500,,,3.94917374978652,10844,Brown,3.30892026910499,Tetratricopeptide-like helical domain containing protein.,"Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515), Molecular Function: carbon-nitrogen ligase activity, with glutamine as amido-N-donor (GO:0016884)",['protein.targeting.chloroplast'],LOC_Os02g51810,-1.95446363362447,0.198989938220997,,0.442176300856293,0.715416841457223,,2.38733606191167,0.000869580494933,Up,2.96014012033505,1.74E-05,Up,3.61000319325494,6.86E-08,Up
6,Os12g0138800,,,10.0700901416516,8700,Magenta,5.47720097897734,"Six-bladed beta-propeller, TolB-like domain containing protein.","Biological Process: biosynthetic process (GO:0009058), Molecular Function: strictosidine synthase activity (GO:0016844)",['secondary metabolism.N misc.alkaloid-like'],LOC_Os12g04424,0.178706844510866,0.879067567015057,,-0.665357477691553,0.274221330860122,,-1.85019067495712,0.000168408205452,Down,-2.75140520030796,1.67E-07,Down,-3.9732355005171,9.40E-12,Down
7,Os03g0292700,,,57.6249009428286,2978,Blue,40.6011943720409,"Similar to Protein kinase domain containing protein, expressed.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",['protein.postranslational modification'],LOC_Os03g18170,-0.804669088928089,,,-2.0664525154056,0.175160708562499,,-3.82656491707303,0.006333556937506,Down,-4.84672654225495,0.003084796604639,Down,-5.41891010871721,0.000881297465565,Down
8,Os03g0324900,,,124.956399755426,884,Turquoise,93.9852284444436,"Zinc finger, RING/FYVE/PHD-type domain containing protein.","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",['protein.degradation.ubiquitin.E3.RING'],LOC_Os03g20870,0.333368540741964,0.528916075470922,,0.858827244503581,0.005940303951616,,1.41981034920688,2.40E-07,Up,1.29017009478682,2.83E-06,Up,1.67051722028266,4.18E-10,Up
9,Os02g0133900,,,1.38568195847821,12392,Brown,0.485890905423426,"Protein of unknown function DUF829, eukaryotic family protein.",,['not assigned.unknown'],LOC_Os02g04110,0.335152604500254,,,2.27662724822599,0.088641282867573,,2.99942979218883,0.009103270170308,Up,3.30613057836106,0.003047705017209,Up,3.01624920640818,0.006634326940913,Up
