id,Label,Description,GO,Symbol,KEGG,MapMan,MSU_LOC,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity
0,Os05g0421450,Hypothetical protein.,,,,,None,,50.4633197329615,779,Magenta,31.6602319208823
1,Os09g0325700,"Protein phosphatase 2C, Abiotic stress response, Early panicle development","Biological Process: protein dephosphorylation (GO:0006470), Molecular Function: catalytic activity (GO:0003824), Molecular Function: protein serine/threonine phosphatase activity (GO:0004722), Molecular Function: cation binding (GO:0043169)","PP2C1, OsPP2C1, OsSIPP2C1, OsPP2C68, PP2C68, OsPP108","MAPK signaling pathway - plant, Plant hormone signal transduction",['protein.postranslational modification'],LOC_Os09g15670,,37.1694775150071,1429,Magenta,28.8006973815165
2,Os12g0478200,"Hypothetical protein., GRAM domain containing protein.",,OsABA45,,['hormone metabolism.abscisic acid.induced-regulated-responsive-activated'],LOC_Os12g29400,,43.8250957981557,1049,Magenta,28.4750143084305
3,Os05g0421600,No apical meristem (NAM) protein domain containing protein.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677)",OsNAC52,,['development.unspecified'],LOC_Os05g34830,NAC,45.4342318957625,973,Magenta,28.3493240170254
4,Os03g0268600,Similar to Protein phosphatase type 2C.,"Biological Process: protein dephosphorylation (GO:0006470), Cellular Component: protein serine/threonine phosphatase complex (GO:0008287), Molecular Function: catalytic activity (GO:0003824), Molecular Function: protein serine/threonine phosphatase activity (GO:0004722)",OsPP2C30,"MAPK signaling pathway - plant, Plant hormone signal transduction",['protein.postranslational modification'],LOC_Os03g16170,,35.9126644306969,1504,Magenta,26.7993961243805
5,Os10g0492900,Similar to alpha-galactosidase.,"Biological Process: carbohydrate metabolic process (GO:0005975), Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824), Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)",,"Galactose metabolism, Glycerolipid metabolism, Sphingolipid metabolism, Glycosphingolipid biosynthesis - globo and isoglobo series, Metabolic pathways",['minor CHO metabolism.galactose.alpha-galactosidases'],LOC_Os10g35070,,35.9766115095765,1502,Magenta,26.353007819528
6,Os09g0555500,Similar to Chloroplast phytoene synthase 3.,"Biological Process: biosynthetic process (GO:0009058), Molecular Function: transferase activity (GO:0016740), Molecular Function: transferase activity, transferring alkyl or aryl (other than methyl) groups (GO:0016765)",OsPSY3,"Carotenoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites",['secondary metabolism.isoprenoids.carotenoids.phytoene synthase'],LOC_Os09g38320,,36.7214963118186,1458,Magenta,25.6281760621298
7,Os06g0651200,Conserved hypothetical protein.,,,,['not assigned.unknown'],LOC_Os06g44190,,35.7954948307325,1516,Magenta,25.5524990422415
8,Os09g0518000,Similar to indole-3-acetate beta-glucosyltransferase.,"Biological Process: metabolic process (GO:0008152), Molecular Function: transferase activity, transferring hexosyl groups (GO:0016758)",,,['misc.UDP glucosyl and glucoronyl transferases'],LOC_Os09g34230,,34.9974209346528,1578,Magenta,24.6804374048737
9,Os01g0783500,Rossmann-like alpha/beta/alpha sandwich fold domain containing protein.,Biological Process: response to stress (GO:0006950),OsUSP,,['stress.abiotic.unspecified'],LOC_Os01g57450,,42.2894819353644,1134,Magenta,23.6669440731974
