id,Label,Description,GO,Symbol,KEGG,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity,MapMan,LOC_IDs,FC_1hr,pval_1hr,REG_1hr,FC_3hr,pval_3hr,REG_3hr,FC_6hr,pval_6hr,REG_6hr,FC_12hr,pval_12hr,REG_12hr,FC_1day,pval_1day,REG_1day
0,Os06g0184866,Pentatricopeptide repeat domain containing protein.,,,,,18.0918920195517,6887,Blue,8.7436430548815,['RNA.regulation of transcription'],LOC_Os06g08570,0.47844593687891,0.050885162873423,,-1.01604854547222,2.44E-06,Down,-0.779714071468324,0.000392456790191,,-1.52951913082396,2.72E-13,Down,-1.52240731991433,9.34E-13,Down
1,Os03g0113900,Protein of unknown function DUF584 family protein.,,OsS40-4,,,1.96924729372858,11953,Red,0.862982751058443,['not assigned.unknown'],LOC_Os03g02280,3.42396214839931,0.038170931068122,Up,3.34088290702626,0.037347261195701,Up,2.16080209159981,0.223066009968231,,1.77967843108927,0.321544210143646,,1.29470554131635,0.567156063245549,
2,Os01g0226600,Similar to C4-dicarboxylate transporter/malic acid transport protein.,"Biological Process: transmembrane transport (GO:0055085), Cellular Component: integral to membrane (GO:0016021)",,,,0.361791733768459,13409,Grey,0.021640179451074,['transport.metabolite transporters at the mitochondrial membrane'],LOC_Os01g12680,-2.35965613711014,0.027710749275751,Down,-2.12773981076874,0.033112500819781,Down,-2.00941212335032,0.042459798384887,Down,-1.94183051085534,0.043715716566134,Down,-0.611325400596959,0.633430691674837,
3,Os01g0785700,Pentatricopeptide repeat domain containing protein.,Molecular Function: binding (GO:0005488),,,,122.723681959197,918,Brown,121.506639744235,['RNA.regulation of transcription'],LOC_Os01g57630,-0.185797357963964,0.791071743534498,,0.89639812155388,0.045638032946621,,1.00607179303703,0.019784249633262,Up,1.37523318110079,0.00063026047053,Up,0.777987501876758,0.105820183629327,
4,Os05g0218400,Similar to Somatic embryogenesis receptor kinase-like protein.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",Z15,,,0.734852763000813,13005,Grey,0.160581668200577,"['protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII', 'signalling.receptor kinases.proline extensin like']",LOC_Os05g12680,1.99213817919198,8.00E-10,Up,1.14191573719088,0.000885834337851,Up,1.16144834840128,0.000633432126454,Up,1.22010058713876,0.000252858025147,Up,0.707461628570639,0.071483298281263,
5,Os12g0138800,"Six-bladed beta-propeller, TolB-like domain containing protein.","Biological Process: biosynthetic process (GO:0009058), Molecular Function: strictosidine synthase activity (GO:0016844)",,,,10.0700901416516,8700,Magenta,5.47720097897734,['secondary metabolism.N misc.alkaloid-like'],LOC_Os12g04424,-0.765008823661852,0.236950367202618,,-0.579336761742765,0.368246490026144,,-1.1634999318758,0.03903259172748,Down,-2.05077674772757,0.000193107943969,Down,-2.23860636041895,0.000100698670816,Down
6,Os04g0587451,Non-protein coding transcript.,,OsPUP13,,,37.6738771147621,4316,Pink,23.1894454913385,,LOC_Os04g49757,1.66187825515375,0.00027854710159,Up,2.28276247308913,4.52E-08,Up,2.31706262459595,2.42E-08,Up,2.21725388810671,9.16E-08,Up,1.56446054335025,0.000579363313311,Up
7,Os03g0292700,"Similar to Protein kinase domain containing protein, expressed.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,,,57.6249009428286,2978,Blue,40.6011943720409,['protein.postranslational modification'],LOC_Os03g18170,-2.40735647098743,0.0023898025761,Down,-3.56154147547628,8.36E-06,Down,-3.58158892336813,8.90E-06,Down,-7.16544717403871,2.43E-05,Down,-3.43420140013532,1.89E-05,Down
8,Os04g0169100,"Similar to Ethylene receptor-like protein 1., Ethylene receptor, Ethylene response, Floral transition and starch accumulation","Biological Process: signal transduction (GO:0007165), Molecular Function: signal transducer activity (GO:0004871), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Biological Process: two-component signal transduction system (phosphorelay) (GO:0000160), Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Biological Process: signal transduction (GO:0007165), Biological Process: ethylene mediated signaling pathway (GO:0009873), Biological Process: peptidyl-histidine phosphorylation (GO:0018106), Cellular Component: endoplasmic reticulum membrane (GO:0005789), Molecular Function: two-component sensor activity (GO:0000155), Molecular Function: two-component response regulator activity (GO:0000156), Molecular Function: protein histidine kinase activity (GO:0004673), Molecular Function: signal transducer activity (GO:0004871), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524)","ETR2, OsETR2, OS-ETR2, etr2, OsPK1, PK1, ERL1, OsERL1, OsERS3","MAPK signaling pathway - plant, Plant hormone signal transduction",,15.2058730897361,7473,Pink,11.4170199347056,['hormone metabolism.ethylene.signal transduction'],LOC_Os04g08740,1.17535406376757,1.02E-05,Up,1.55595296163792,5.90E-10,Up,1.68970779776045,1.05E-11,Up,1.43119093662666,1.23E-08,Up,1.40565012402416,4.44E-08,Up
9,Os03g0250000,Conserved hypothetical protein.,,,,,86.2226930804512,1831,Salmon,34.5342159372419,['signalling.calcium'],LOC_Os03g14590,0.232960393453005,0.496086175057169,,-1.08076045543681,1.30E-05,Down,-1.78990208143622,1.12E-13,Down,-1.40677982188036,5.29E-09,Down,-1.24603061594814,5.12E-07,Down
