id,Label,Description,GO,Symbol,KEGG,MapMan,MSU_LOC,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity
0,Os12g0550600,Hypothetical protein.,,,,,None,,37.6325732281379,1386,Brown,32.8174030799867
1,Os05g0105900,"Nucleotide-binding, alpha-beta plait domain containing protein.","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)",,"Nucleocytoplasmic transport, mRNA surveillance pathway","['misc.gluco-, galacto- and mannosidases']",LOC_Os05g01540,,37.622539768126,1387,Brown,32.7787314983482
2,Os10g0130500,Hypothetical protein.,,,,['not assigned.unknown'],LOC_Os10g04050,,38.8247290246695,1298,Brown,31.8268316816707
3,Os09g0130800,"Similar to predicted protein., DEAD-like helicase, N-terminal domain containing protein.",", Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleoside-triphosphatase activity (GO:0017111)",,,['DNA.unspecified'],LOC_Os09g04440,,37.2190899512007,1423,Brown,29.8200704479395
4,Os04g0175300,Conserved hypothetical protein.,,,,['not assigned.unknown'],LOC_Os04g09580,,34.4780008888455,1619,Brown,29.2618537931778
5,Os08g0254600,Similar to cyclic nucleotide-gated ion channel 14.,,,Plant-pathogen interaction,,None,,31.7308627219305,1833,Brown,29.1791086769022
6,Os01g0299500,Conserved hypothetical protein.,,,,['not assigned.unknown'],LOC_Os01g19410,,31.9192967884511,1819,Brown,28.4522831565494
7,Os01g0553600,Conserved hypothetical protein.,,,,['not assigned.unknown'],LOC_Os01g37280,,35.5803748655105,1529,Brown,28.4141652545309
8,Os01g0309800,Similar to Hydrogenase expression/formation protein hypB.,"Biological Process: metal ion transport (GO:0030001), Molecular Function: metal ion binding (GO:0046872)",,,['transport.metal'],LOC_Os01g20830,,30.2652810540477,1960,Brown,27.945256444844
9,Os03g0109900,"Peptidase, trypsin-like serine and cysteine domain containing protein., Hypothetical conserved gene., Peptidase cysteine/serine, trypsin-like domain containing protein.",Molecular Function: catalytic activity (GO:0003824),,,['not assigned.unknown'],LOC_Os03g01940,,32.3812075616303,1779,Brown,27.8065833747607
10,Os01g0813000,Similar to 14 kDa zinc-binding protein.,Molecular Function: catalytic activity (GO:0003824),,,['protein.postranslational modification'],LOC_Os01g59750,,36.6227160240446,1463,Brown,27.2930267565553
11,Os08g0554400,"Zinc finger, C2H2-type domain containing protein.","Cellular Component: intracellular (GO:0005622), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: zinc ion binding (GO:0008270)",OsIDD6,,['RNA.regulation of transcription.C2H2 zinc finger family'],LOC_Os08g44050,C2H2,29.3133733221288,2061,Brown,26.9367757846998
