id,Label,Description,GO,Symbol,KEGG,MapMan,MSU_LOC,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity
0,Os01g0269000,Similar to Hydroxymethylglutaryl-CoA lyase.,"Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824), Molecular Function: hydroxymethylglutaryl-CoA lyase activity (GO:0004419)",,"Valine, leucine and isoleucine degradation, Butanoate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Peroxisome",['amino acid metabolism.degradation.branched-chain group.leucine'],LOC_Os01g16350,,133.896547663252,747,Red,63.3142838670449
1,Os06g0727200,Catalase isozyme B (EC 1.11.1.6) (CAT-B).,"Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: catalase activity (GO:0004096), Molecular Function: heme binding (GO:0020037)","CatB, OsCatB, OsCATB","Tryptophan metabolism, Glyoxylate and dicarboxylate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, MAPK signaling pathway - plant, Peroxisome",['redox.dismutases and catalases'],LOC_Os06g51150,,126.652338428117,851,Red,61.2423292672979
2,Os02g0274100,"3-hydroxyacyl-CoA dehydrogenase, Multifunctional protein,  RNA- and microtubule-binding protein, Salicylic acid (SA) biosynthesis, Maintenance of root meristem activity, Beta -oxidation of fatty acids, Similar to Peroxisomal fatty acid beta-oxidation multifunctional protein.","Biological Process: fatty acid metabolic process (GO:0006631), Biological Process: fatty acid beta-oxidation (GO:0006635), Biological Process: metabolic process (GO:0008152), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: catalytic activity (GO:0003824), Molecular Function: 3-hydroxyacyl-CoA dehydrogenase activity (GO:0003857), Molecular Function: oxidoreductase activity (GO:0016491), Cellular Component: peroxisome (GO:0005777), Biological Process: fatty acid metabolic process (GO:0006631), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: 3-hydroxyacyl-CoA dehydrogenase activity (GO:0003857), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616), Molecular Function: coenzyme binding (GO:0050662)","AIM1, MFP","Fatty acid degradation, alpha-Linolenic acid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Fatty acid metabolism",['lipid metabolism.lipid degradation.beta-oxidation.multifunctional'],LOC_Os02g17390,,157.099463182575,443,Red,57.9515834056776
3,Os03g0835400,Similar to Uvs101.,"Molecular Function: electron carrier activity (GO:0009055), Molecular Function: flavin adenine dinucleotide binding (GO:0050660)",,,['mitochondrial electron transport / ATP synthesis.electron transfer flavoprotein'],LOC_Os03g61920,,154.824221621573,470,Red,56.1843297053185
4,Os02g0218200,"Peptidase M1, membrane alanine aminopeptidase family protein., Similar to APM1 (AMINOPEPTIDASE M1).","Biological Process: proteolysis (GO:0006508), Biological Process: lipid transport (GO:0006869), Molecular Function: lipid transporter activity (GO:0005319), Molecular Function: metallopeptidase activity (GO:0008237), Molecular Function: zinc ion binding (GO:0008270), Biological Process: proteolysis (GO:0006508), Biological Process: lipid transport (GO:0006869), Molecular Function: lipid transporter activity (GO:0005319)",,,['protein.degradation'],LOC_Os02g12650,,82.9103003698784,1943,Red,55.240813798719
5,Os01g0796400,"NAD(P)-binding domain containing protein., Similar to 3-hydroxybutyryl-CoA dehydrogenase.","Biological Process: fatty acid metabolic process (GO:0006631), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: 3-hydroxyacyl-CoA dehydrogenase activity (GO:0003857), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616), Molecular Function: coenzyme binding (GO:0050662), Biological Process: fatty acid metabolic process (GO:0006631), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: 3-hydroxyacyl-CoA dehydrogenase activity (GO:0003857), Molecular Function: oxidoreductase activity (GO:0016491)",,"Phenylalanine metabolism, Butanoate metabolism, Metabolic pathways, Carbon metabolism",['Biodegradation of Xenobiotics.3-hydroxybutyryl-CoA dehydrogenase'],LOC_Os01g58380,,100.79077474621,1407,Red,52.5092960756861
6,Os06g0127000,"Peroxisomal biogenesis factor 11 family protein., Peroxisomal protein, Response to abscisic acid (ABA), hydrogen peroxide, and salt","Biological Process: peroxisome fission (GO:0016559), Cellular Component: peroxisomal membrane (GO:0005778), Biological Process: peroxisome fission (GO:0016559), Cellular Component: integral component of peroxisomal membrane (GO:0005779)","PEX11-5, OsPEX11-5",,"['protein.targeting.peroxisomes', 'cell.organisation']",LOC_Os06g03660,,107.653578630579,1218,Red,52.105453835097
7,Os06g0354500,"Similar to Acyl-coenzyme A oxidase 3, peroxisomal precursor (EC 1.3.3.6) (AOX 3) (Medium-chain acyl-CoA oxidase) (AtCX3).","Biological Process: fatty acid metabolic process (GO:0006631), Biological Process: fatty acid beta-oxidation (GO:0006635), Biological Process: metabolic process (GO:0008152), Biological Process: oxidation-reduction process (GO:0055114), Cellular Component: peroxisome (GO:0005777), Molecular Function: acyl-CoA dehydrogenase activity (GO:0003995), Molecular Function: acyl-CoA oxidase activity (GO:0003997), Molecular Function: oxidoreductase activity, acting on the CH-CH group of donors (GO:0016627), Molecular Function: flavin adenine dinucleotide binding (GO:0050660)",OsACX3,"Fatty acid degradation, beta-Alanine metabolism, alpha-Linolenic acid metabolism, Propanoate metabolism, Biosynthesis of unsaturated fatty acids, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Fatty acid metabolism, Peroxisome",['lipid metabolism.lipid degradation.beta-oxidation.acyl CoA DH'],LOC_Os06g24704,,122.65127864447,919,Red,51.9909820824211
8,Os12g0632700,"Malate dehydrogenase, glyoxysomal precursor (EC 1.1.1.37).","Biological Process: carbohydrate metabolic process (GO:0005975), Biological Process: malate metabolic process (GO:0006108), Biological Process: cellular carbohydrate metabolic process (GO:0044262), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: catalytic activity (GO:0003824), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: malate dehydrogenase activity (GO:0016615), Molecular Function: oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616), Molecular Function: L-malate dehydrogenase activity (GO:0030060)",,"Citrate cycle (TCA cycle), Cysteine and methionine metabolism, Pyruvate metabolism, Glyoxylate and dicarboxylate metabolism, Carbon fixation in photosynthetic organisms, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism",['gluconeogenesis.Malate DH'],LOC_Os12g43630,,164.719631736611,366,Red,51.6327065957747
9,Os04g0614600,"Similar to Viroid RNA-binding protein (Fragment)., Similar to OSIGBa0126B18.7 protein.","Molecular Function: catalytic activity (GO:0003824), Molecular Function: transaminase activity (GO:0008483), Molecular Function: pyridoxal phosphate binding (GO:0030170)",Osl2,"Alanine, aspartate and glutamate metabolism, Butanoate metabolism, Metabolic pathways",['amino acid metabolism.synthesis.central amino acid metabolism.GABA.GABA transaminase'],LOC_Os04g52450,,145.960263213396,580,Red,50.8912219242081
