id,Label,TF,KEGG,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO
0,Os07g0246200,,"Protein processing in endoplasmic reticulum, Phagosome",29.7091112081009,5145,Midnightblue,10.4259311942027,"Similar to Calreticulin (Fragment)., Similar to calreticulin2.","Biological Process: protein folding (GO:0006457), Cellular Component: endoplasmic reticulum (GO:0005783), Molecular Function: calcium ion binding (GO:0005509), Molecular Function: unfolded protein binding (GO:0051082)"
1,Os04g0402100,,"Protein processing in endoplasmic reticulum, Phagosome",25.677113531352,5671,Midnightblue,9.80182675452235,"Similar to Calnexin (Fragment)., Similar to calnexin.","Biological Process: protein folding (GO:0006457), Cellular Component: endoplasmic reticulum (GO:0005783), Molecular Function: calcium ion binding (GO:0005509), Molecular Function: unfolded protein binding (GO:0051082), Molecular Function: calcium ion binding (GO:0005509)"
2,Os02g0115900,,"Protein export, Protein processing in endoplasmic reticulum",20.8120497121108,6412,Midnightblue,9.24817758999693,"Endosperm lumenal binding protein., Similar to Endosperm lumenal binding protein.",Molecular Function: ATP binding (GO:0005524)
3,Os01g0911200,,"N-Glycan biosynthesis, Metabolic pathways, Protein processing in endoplasmic reticulum",37.5655286149294,4327,Midnightblue,8.92963630870553,Ribophorin II family protein.,"Biological Process: protein N-linked glycosylation via asparagine (GO:0018279), Cellular Component: endoplasmic reticulum membrane (GO:0005789), Cellular Component: oligosaccharyltransferase complex (GO:0008250), Molecular Function: dolichyl-diphosphooligosaccharide-protein glycotransferase activity (GO:0004579)"
4,Os05g0301500,,"N-Glycan biosynthesis, Metabolic pathways, Protein processing in endoplasmic reticulum",52.5267169004909,3241,Midnightblue,8.54765336209247,"Similar to Ribophorin I (Fragment)., Similar to dolichyl-diphosphooligosaccharide--protein glycosyltransferase 67 kDasubunit.","Biological Process: protein glycosylation (GO:0006486), Cellular Component: endoplasmic reticulum (GO:0005783), Cellular Component: integral to membrane (GO:0016021), Molecular Function: dolichyl-diphosphooligosaccharide-protein glycotransferase activity (GO:0004579)"
5,Os06g0716700,,"Protein processing in endoplasmic reticulum, Plant-pathogen interaction",17.3316041285198,7015,Midnightblue,8.30082678796216,"Similar to Heat shock protein 90., Heat shock protein","Biological Process: protein folding (GO:0006457), Biological Process: response to stress (GO:0006950), Molecular Function: ATP binding (GO:0005524), Molecular Function: unfolded protein binding (GO:0051082)"
6,Os02g0806900,,"Sphingolipid metabolism, Metabolic pathways",32.8144179045989,4784,Midnightblue,7.88836692445806,"Pyridoxal phosphate-dependent transferase, major region, subdomain 1 domain containing protein.","Biological Process: biosynthetic process (GO:0009058), Molecular Function: catalytic activity (GO:0003824), Molecular Function: transferase activity, transferring nitrogenous groups (GO:0016769), Molecular Function: pyridoxal phosphate binding (GO:0030170)"
7,Os09g0556000,,Protein export,28.7557009275973,5268,Midnightblue,7.73726660716997,Signal peptidase 22 kDa subunit family protein.,"Biological Process: signal peptide processing (GO:0006465), Cellular Component: signal peptidase complex (GO:0005787), Cellular Component: integral to membrane (GO:0016021), Molecular Function: peptidase activity (GO:0008233)"
8,Os04g0628400,,,26.7422885045718,5513,Midnightblue,7.49089625767553,"Zinc finger, BED-type predicted domain containing protein., Similar to Transposase-related protein b-gary.","Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein dimerization activity (GO:0046983), Molecular Function: DNA binding (GO:0003677)"
9,Os05g0156401,,,20.0094163462488,6544,Midnightblue,7.31766462121439,Hypothetical gene.,
10,Os02g0550300,,Protein processing in endoplasmic reticulum,24.1440390843704,5903,Midnightblue,6.88637505203921,PDIL5-3 - Zea mays protein disulfide isomerase.,"Biological Process: glycerol ether metabolic process (GO:0006662), Biological Process: cell redox homeostasis (GO:0045454), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: protein disulfide oxidoreductase activity (GO:0015035)"
11,Os08g0451000,,,14.7778934458648,7558,Midnightblue,6.57126801673725,Sec34-like protein family protein.,"Biological Process: intracellular protein transport (GO:0006886), Cellular Component: cis-Golgi network (GO:0005801), Cellular Component: membrane (GO:0016020)"
12,Os08g0278900,,,12.4680851269433,8075,Midnightblue,6.40281479566428,MIR domain containing protein.,Cellular Component: membrane (GO:0016020)
