id,Label,Description,GO,Symbol,KEGG,MapMan,MSU_LOC,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity
0,Os01g0685900,Similar to 65kD microtubule associated protein.,,,,['cell.organisation'],LOC_Os01g49200,,150.530003149445,1,Turquoise,134.839495241752
1,Os06g0671800,Similar to patellin-5.,,,,['transport.misc'],LOC_Os06g45990,,147.825956232621,2,Turquoise,128.825408124685
2,Os03g0302900,Conserved hypothetical protein.,,SSD1,,['not assigned.unknown'],LOC_Os03g19080,,140.142800054085,6,Turquoise,128.472574284099
3,Os07g0604800,"UDP-arabinopyranose mutase, Pollen wall morphogenesis","Biological Process: cellulose biosynthetic process (GO:0030244), Molecular Function: intramolecular transferase activity (GO:0016866)","UAM3, OsUAM3","Amino sugar and nucleotide sugar metabolism, Metabolic pathways, Biosynthesis of nucleotide sugars",['cell wall.cell wall proteins.RGP'],LOC_Os07g41360,,141.815126703837,5,Turquoise,124.852880741567
4,Os01g0176500,"Conserved hypothetical protein., Hypothetical conserved gene.",,,,['not assigned.unknown'],LOC_Os01g08150,,138.548358394347,7,Turquoise,123.313778293647
5,Os08g0512600,"B-type plant-specific cyclin-dependent kinase, DNA damage response","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)","CDKB2;1, Orysa;CDKB2;1, OsCDKB2;1, cdc2Os3, Orysa;CDKB;2",,['protein.postranslational modification'],LOC_Os08g40170,,146.493532848557,3,Turquoise,123.06798572482
6,Os01g0513900,Similar to Kinesin heavy chain (Fragment).,"Biological Process: microtubule-based movement (GO:0007018), Molecular Function: microtubule motor activity (GO:0003777), Molecular Function: ATP binding (GO:0005524)",DBS1|OsNACK,,['cell.organisation'],LOC_Os01g33040,,136.075520826341,10,Turquoise,122.955128665772
7,Os08g0558400,"Similar to Kinesin heavy chain (Fragment)., Similar to cDNA clone:J023090L01, full insert sequence.","Biological Process: microtubule-based movement (GO:0007018), Molecular Function: microtubule motor activity (GO:0003777), Molecular Function: ATP binding (GO:0005524),",,,['cell.organisation'],LOC_Os08g44420,,133.026935006383,13,Turquoise,121.537448214068
8,Os03g0165400,"Similar to Relative to SR12 protein (Fragment)., Similar to Beta-galactosidase.","Biological Process: carbohydrate metabolic process (GO:0005975), Molecular Function: catalytic activity (GO:0003824), Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553), Molecular Function: sugar binding (GO:0005529), Molecular Function: cation binding (GO:0043169), Biological Process: carbohydrate metabolic process (GO:0005975), Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553), Molecular Function: sugar binding (GO:0005529)",OsBgal1,,"['misc.gluco-, galacto- and mannosidases.beta-galactosidase']",LOC_Os03g06940,,133.162726716412,11,Turquoise,120.257307481457
9,Os06g0726800,G2/mitotic-specific cyclin 2 (B-like cyclin) (CycOs2).,"Biological Process: regulation of cyclin-dependent protein kinase activity (GO:0000079), Biological Process: regulation of cell cycle (GO:0051726), Cellular Component: nucleus (GO:0005634), Molecular Function: protein kinase binding (GO:0019901)",cycOs2,,['cell.cycle'],LOC_Os06g51110,,131.261267774042,14,Turquoise,119.919623469593
