id,Label,TF,KEGG,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO
0,Os06g0255200,,,33.7096355777634,1663,Cyan,25.8636804938914,"Conserved hypothetical protein., Hypothetical conserved gene.",
1,Os05g0100500,,,35.4906850407991,1534,Cyan,24.0646972978761,Similar to Debaryomyces hansenii chromosome F of strain CBS767 of Debaryomyces hansenii.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634)"
2,Os07g0648266,,,33.3972594546408,1683,Cyan,23.4652436063304,"Similar to 2-oxo acid dehydrogenase, lipoyl-binding site.","Biological Process: regulation of transcription from RNA polymerase II promoter (GO:0006357), Cellular Component: mediator complex (GO:0016592), Molecular Function: RNA polymerase II transcription cofactor activity (GO:0001104)"
3,Os02g0470600,,,26.5156238334687,2391,Cyan,19.3176956390106,Similar to phosphoinositide binding.,
4,Os06g0102800,,,24.689412311915,2650,Cyan,18.8191715060006,SNF2-related domain containing protein.,"Cellular Component: nucleus (GO:0005634), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: zinc ion binding (GO:0008270)"
5,Os04g0675101,,,25.2824515384461,2566,Cyan,18.7754602976843,"ATPase-like, ATP-binding domain domain containing protein.",Molecular Function: ATP binding (GO:0005524)
6,Os02g0114033,,,25.4841102151476,2531,Cyan,18.6347650724174,"Glutamine-Leucine-Glutamine, QLQ domain containing protein.","Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634), Molecular Function: ATP binding (GO:0005524), Molecular Function: hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818)"
7,Os07g0669800,,,31.4129415200949,1856,Cyan,18.5273910086439,"Zinc finger, CW-type domain containing protein.",Molecular Function: zinc ion binding (GO:0008270)
8,Os11g0209700,,"Inositol phosphate metabolism, Metabolic pathways, Phosphatidylinositol signaling system",28.5813095873801,2141,Cyan,18.4557524374384,"Hypothetical conserved gene., Conserved hypothetical protein.","Molecular Function: inositol or phosphatidylinositol kinase activity (GO:0004428), Molecular Function: binding (GO:0005488),"
9,Os08g0332800,,,27.5024003127474,2265,Cyan,18.2753198086005,Similar to F7O18.23 protein (SWP1) (Struwwelpeter 1 protein).,"Biological Process: regulation of transcription from RNA polymerase II promoter (GO:0006357), Cellular Component: mediator complex (GO:0016592), Molecular Function: RNA polymerase II transcription cofactor activity (GO:0001104)"
10,Os02g0162766,,,25.495972201123,2529,Cyan,17.9078503947465,Hypothetical conserved gene.,
11,Os09g0252700,,Ubiquitin mediated proteolysis,24.3236684172062,2698,Cyan,17.8932402641146,Similar to E3 ubiquitin protein ligase UPL1 (EC 6.3.2.-) (Ubiquitin-protein ligase 1).,"Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)"
12,Os10g0511800,,,25.1459436033283,2589,Cyan,17.1884296734888,"Similar to Plus-3 domain containing protein, expressed.","Biological Process: transcription initiation, DNA-dependent (GO:0006352), Biological Process: histone modification (GO:0016570), Cellular Component: nucleus (GO:0005634), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515)"
13,Os08g0116700,,,26.8105790482839,2350,Cyan,16.6143807739438,Conserved hypothetical protein.,
14,Os05g0163250,,Spliceosome,23.9436387953072,2760,Cyan,16.3687316241457,Similar to predicted protein.,"Biological Process: nuclear mRNA splicing, via spliceosome (GO:0000398), Cellular Component: spliceosomal complex (GO:0005681)"
15,Os05g0463500,,,21.5409468482604,3124,Cyan,16.0805946962854,PWWP domain containing protein.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity (GO:0016491)"
