id,Label,TF,KEGG,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO
0,Os02g0644100,,,37.2782653545324,4354,LightGreen,8.41588366302338,"Similar to Heat shock protein STI (Stress inducible protein) (GmSTI)., Similar to heat shock protein STI.","Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515),"
1,Os07g0486500,,,41.0338558693994,4012,LightGreen,7.41887042690217,RhoGAP domain containing protein.,"Biological Process: signal transduction (GO:0007165), Cellular Component: intracellular (GO:0005622)"
2,Os01g0834700,,,31.8492260979276,4907,LightGreen,6.96125581041884,"Zinc finger, CCCH-type domain containing protein., Similar to nucleic acid binding protein.","Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: zinc ion binding (GO:0008270),"
3,Os08g0500800,,,27.950084410426,5365,LightGreen,5.29122739036984,WLM domain containing protein.,Molecular Function: protein binding (GO:0005515)
4,Os03g0381300,,,15.2414407957742,7467,LightGreen,5.18820775349067,CS domain domain containing protein.,
5,Os06g0231300,,,78.5355888767469,2098,LightGreen,4.83093711440342,CS domain domain containing protein.,
6,Os07g0498800,,,22.042132798404,6205,LightGreen,4.26216768319937,Similar to Calreticulin interacted protein.,Molecular Function: protein binding (GO:0005515)
7,Os08g0500700,,"Protein processing in endoplasmic reticulum, Plant-pathogen interaction",8.41841371920579,9203,LightGreen,4.23778963952694,Similar to Heat shock protein 82.,"Biological Process: protein folding (GO:0006457), Biological Process: response to stress (GO:0006950), Molecular Function: ATP binding (GO:0005524), Molecular Function: unfolded protein binding (GO:0051082)"
8,Os07g0186400,,,26.2709392526267,5570,LightGreen,4.12496705725178,Similar to SHL1.,"Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)"
9,Os09g0510200,,,16.7192490996305,7149,LightGreen,4.09818481524694,Protein of unknown function DUF667 family protein.,
10,Os08g0196700,NF-YA,,11.0985177444332,8421,LightGreen,4.07133918060504,"HAP2 subunit of HAP complex, Nuclear Factor Y (NF-YA) transcription factor, Drought stress tolerance","Biological Process: regulation of transcription, DNA-templated (GO:0006355), Molecular Function: transcription factor activity, sequence-specific DNA binding (GO:0003700)"
11,Os03g0113700,,RNA degradation,21.2163875805454,6348,LightGreen,3.68668375442069,"Similar to Heat shock 70 kDa protein, mitochondrial precursor.","Biological Process: protein folding (GO:0006457), Molecular Function: ATP binding (GO:0005524), Molecular Function: unfolded protein binding (GO:0051082)"
12,Os05g0187800,,Protein processing in endoplasmic reticulum,22.7165057164242,6099,LightGreen,3.67965984055131,"DERLIN-like protein, ER-associated protein degradation factor, Response to ER stress",
13,Os08g0525600,,,7.66310111522646,9449,LightGreen,3.61599365832676,Similar to Peptidylprolyl isomerase; FK506-binding protein.,"Biological Process: protein folding (GO:0006457), Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)"
14,Os01g0148500,,,17.9416362027113,6916,LightGreen,3.29104236411351,"Protein of unknown function DUF1677, Oryza sativa family protein.",
15,Os09g0514900,,,30.2073468957044,5088,LightGreen,3.25836421363429,"Basic helix-loop-helix, Nulp1-type domain containing protein.",
16,Os11g0264600,,,10.2840609363251,8637,LightGreen,3.0129788111737,Conserved hypothetical protein.,
17,Os08g0559900,,,21.4380759354876,6302,LightGreen,2.95736986179862,PAP/25A core domain containing protein.,Molecular Function: nucleotidyltransferase activity (GO:0016779)
18,Os05g0169400,,,55.0600534904732,3107,LightGreen,2.83972017460653,Protein of unknown function DUF1421 family protein.,
19,Os11g0497000,,Ubiquitin mediated proteolysis,28.1519834024013,5347,LightGreen,2.83390465654257,Similar to Ubiquitin activating enzyme-like protein (SUMO activating enzyme 1a).,"Biological Process: protein modification process (GO:0006464), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: catalytic activity (GO:0003824), Molecular Function: small protein activating enzyme activity (GO:0008641)"
20,Os03g0859300,,,22.8690032591178,6077,LightGreen,2.81595290691219,"Similar to La domain containing protein, expressed., Winged helix repressor DNA-binding domain containing protein.",
21,Os05g0372200,,,25.3114428709602,5723,LightGreen,2.73145874903012,Surfeit locus 6 family protein.,
22,Os08g0464000,,,8.2777520507756,9248,LightGreen,2.68104789837533,Activator of Hsp90 ATPase homologue 1-like family protein.,"Biological Process: response to stress (GO:0006950), Cellular Component: cytoplasm (GO:0005737), Molecular Function: ATPase activator activity (GO:0001671), Molecular Function: chaperone binding (GO:0051087)"
23,Os02g0826500,,,23.3216992217346,6013,LightGreen,2.25024138018225,"ABC transporter-like domain containing protein., Hypothetical conserved gene.","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATPase activity (GO:0016887), Molecular Function: nucleoside-triphosphatase activity (GO:0017111)"
24,Os02g0139100,,,30.1762247054277,5092,LightGreen,2.17400561635288,"Activator of Hsp90 ATPase, N-terminal domain containing protein.","Cellular Component: cytoplasm (GO:0005737), Molecular Function: ATPase activator activity (GO:0001671), Molecular Function: chaperone binding (GO:0051087)"
25,Os01g0624500,,Plant-pathogen interaction,8.17418371779787,9282,LightGreen,2.16391772557817,Similar to Sgt1.,
26,Os04g0382100,,,11.2505714179951,8388,LightGreen,1.95682724803763,SWIB/MDM2 domain containing protein.,Molecular Function: protein binding (GO:0005515)
27,Os03g0293000,,,23.3826865200941,6004,LightGreen,1.90459231484144,"Similar to DnaJ domain containing protein, expressed.",
28,Os12g0634000,,,34.5144487953706,4604,LightGreen,1.83162442228257,Conserved hypothetical protein.,
29,Os10g0415900,,,8.41993416804758,9202,LightGreen,1.76823865169365,Similar to General control of amino-acid synthesis 5-like 2 (Fragment).,"Biological Process: metabolic process (GO:0008152), Molecular Function: protein binding (GO:0005515), Molecular Function: N-acetyltransferase activity (GO:0008080)"
30,Os02g0636700,,,17.0203721751317,7081,LightGreen,1.76008800035541,GRAM domain containing protein.,
31,Os04g0496400,,,4.67998669439237,10523,LightGreen,1.73015081316258,"RNA recognition motif, RNP-1 domain containing protein.","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: protein binding (GO:0005515)"
32,Os07g0107800,,,33.3866950137603,4727,LightGreen,1.72344527721147,"Similar to Phytosulfokine receptor precursor (EC 2.7.1.37) (Phytosulfokine LRR receptor kinase)., Hypothetical conserved gene.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
33,Os03g0664700,,,15.0274912229137,7507,LightGreen,1.71043025652706,"RNA polymerase II accessory factor, Cdc73 domain containing protein.",
34,Os03g0565100,,"N-Glycan biosynthesis, Metabolic pathways, Protein processing in endoplasmic reticulum",6.50284171786156,9815,LightGreen,1.64857497062265,OST3/OST6 family protein.,
35,Os05g0272900,,Protein processing in endoplasmic reticulum,18.0320136455458,6900,LightGreen,1.5749869482354,B-cell receptor-associated 31-like family protein.,"Biological Process: intracellular protein transport (GO:0006886), Cellular Component: endoplasmic reticulum (GO:0005783), Cellular Component: integral to membrane (GO:0016021)"
36,Os04g0455401,,,10.6298276546171,8549,LightGreen,1.55818913987832,"Similar to OSIGBa0093K19.10 protein., Hypothetical conserved gene.",
37,Os06g0714300,,Plant hormone signal transduction,8.60578438627939,9136,LightGreen,1.54903402721475,Auxin responsive SAUR protein family protein.,
38,Os04g0454600,,,13.4235596859338,7851,LightGreen,1.5266094781328,Similar to OSIGBa0093K19.10 protein.,
39,Os03g0237500,,,9.4115501572831,8896,LightGreen,1.42555242416373,"Similar to predicted protein., Protein of unknown function DUF775 family protein.",
40,Os01g0962700,,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites",22.3487457476482,6154,LightGreen,1.3495383891467,Similar to Peroxidase 12 precursor (EC 1.11.1.7) (Atperox P12) (PRXR6) (ATP4a).,"Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: peroxidase activity (GO:0004601), Molecular Function: heme binding (GO:0020037)"
