id,Label,TF,KEGG,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO
0,Os10g0580900,,,37.6994228336724,1382,lightYellow,15.7613949320357,"Conserved hypothetical protein., Non-protein coding transcript.",
1,Os03g0218400,,,39.6824119815073,1248,lightYellow,13.4532072036393,Similar to Hexose transporter.,"Biological Process: transport (GO:0006810), Biological Process: transmembrane transport (GO:0055085), Cellular Component: membrane (GO:0016020), Cellular Component: integral to membrane (GO:0016021), Molecular Function: transporter activity (GO:0005215), Molecular Function: transmembrane transporter activity (GO:0022857), Molecular Function: substrate-specific transmembrane transporter activity (GO:0022891)"
2,Os08g0374701,,,33.8302038804411,1659,lightYellow,13.3707548931551,"Similar to Protein kinase domain containing protein, expressed.",
3,Os02g0165100,,,36.7183914932054,1459,lightYellow,13.2585866540832,"Protein kinase, core domain containing protein.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
4,Os08g0374600,,,33.332430490265,1690,lightYellow,13.073035054265,Similar to Receptor kinase-like protein.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
5,Os02g0173800,,,47.6971910267785,881,lightYellow,12.8812022821995,"Protein of unknown function DUF284, transmembrane eukaryotic family protein.",Cellular Component: membrane (GO:0016020)
6,Os04g0452000,,,25.4174151940446,2542,lightYellow,12.7793360385514,Similar to H0815C01.7 protein.,Molecular Function: catalytic activity (GO:0003824)
7,Os02g0313700,,,33.844086614123,1656,lightYellow,12.518839079398,"Similar to NTMC2T6.1/NTMC2TYPE6.1., Similar to Synaptotagmin C (Synaptic vesicle protein O-p65-C).",", Molecular Function: protein binding (GO:0005515)"
8,Os05g0287800,,,50.3142135860121,785,lightYellow,12.0562544624861,Similar to Phosphatidic acid phosphatase-like protein.,
9,Os01g0183300,,,38.119781124605,1353,lightYellow,11.8501531838326,Endonuclease/exonuclease/phosphatase domain containing protein.,Molecular Function: inositol or phosphatidylinositol phosphatase activity (GO:0004437)
10,Os09g0452900,,,47.6317014181628,883,lightYellow,11.8351641021288,"Glycosyl transferase, family 31 protein.","Biological Process: protein glycosylation (GO:0006486), Cellular Component: membrane (GO:0016020), Molecular Function: galactosyltransferase activity (GO:0008378)"
11,Os12g0168100,,,50.8876942000041,762,lightYellow,11.5859287078533,Similar to AP2 domain containing protein RAP2.6 (Fragment).,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700)"
12,Os10g0533600,,,28.8540387524551,2103,lightYellow,11.4400229898758,Similar to Mitogen-activated protein kinase homolog MMK2 (EC 2.7.1.37).,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: MAP kinase activity (GO:0004707), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
13,Os04g0618200,,"Amino sugar and nucleotide sugar metabolism, Metabolic pathways",52.7779920452639,708,lightYellow,11.0709040744343,"Similar to cDNA clone:J013046D23, full insert sequence., Similar to H0313F03.11 protein.","Biological Process: galactose metabolic process (GO:0006012), Biological Process: cellular metabolic process (GO:0044237), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: catalytic activity (GO:0003824), Molecular Function: UDP-glucose 4-epimerase activity (GO:0003978), Molecular Function: coenzyme binding (GO:0050662)"
14,Os02g0803300,,,26.7911933493931,2355,lightYellow,10.9696990120815,"Epsin-like, N-terminal domain containing protein.","Biological Process: clathrin coat assembly (GO:0048268), Cellular Component: clathrin coat (GO:0030118), Molecular Function: phospholipid binding (GO:0005543), Molecular Function: 1-phosphatidylinositol binding (GO:0005545), Molecular Function: clathrin binding (GO:0030276)"
15,Os05g0402300,,,24.9561781350164,2611,lightYellow,10.913448872403,Uncharacterised protein family UPF0005 domain containing protein.,
16,Os08g0137900,,,25.7006104800331,2494,lightYellow,10.7905883472041,Similar to Chemocyanin precursor (Basic blue protein) (Plantacyanin).,"Molecular Function: copper ion binding (GO:0005507), Molecular Function: electron carrier activity (GO:0009055)"
17,Os06g0301100,,,28.3329202588211,2169,lightYellow,10.5926508040875,Similar to OSIGBa0124N08.6 protein.,Cellular Component: membrane (GO:0016020)
18,Os05g0419600,,,31.1569836545784,1880,lightYellow,10.548235929086,Conserved hypothetical protein.,
19,Os06g0203600,,,34.3705184058686,1624,lightYellow,10.5090677118699,Chalcone isomerase domain containing protein.,"Biological Process: cellular modified amino acid biosynthetic process (GO:0042398), Molecular Function: intramolecular lyase activity (GO:0016872)"
20,Os06g0708000,,,23.9764526620702,2754,lightYellow,10.1964841693007,"Mitogen-activated protein kinase, Mitogen-activated protein kinase, Defense response, MAP kinase, Plant defense and wounding signaling","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: MAP kinase activity (GO:0004707), Molecular Function: ATP binding (GO:0005524), Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: MAP kinase activity (GO:0004707), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
21,Os02g0799000,,,38.8073311324696,1302,lightYellow,10.0382373451825,Similar to DNA-binding protein phosphatase 2C.,"Biological Process: protein dephosphorylation (GO:0006470), Cellular Component: protein serine/threonine phosphatase complex (GO:0008287), Molecular Function: catalytic activity (GO:0003824), Molecular Function: protein serine/threonine phosphatase activity (GO:0004722)"
22,Os10g0457600,,"Fatty acid degradation, Valine, leucine and isoleucine degradation, alpha-Linolenic acid metabolism, Biosynthesis of unsaturated fatty acids, Metabolic pathways, Biosynthesis of secondary metabolites, Fatty acid metabolism, Peroxisome",25.3445079179704,2553,lightYellow,9.7714274948279,Similar to Acetyl-CoA C-acyltransferase (3-ketoacyl-coa thiolase b) (EC 2.3.1.16) (Fragment).,"Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824), Molecular Function: transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747)"
23,Os02g0778500,,,23.2251449487677,2860,lightYellow,9.52355564058491,Chalcone isomerase domain containing protein.,"Biological Process: cellular modified amino acid biosynthetic process (GO:0042398), Molecular Function: intramolecular lyase activity (GO:0016872)"
24,Os07g0194800,,,26.6153350196626,2378,lightYellow,9.37968860873467,"Similar to galactosyltransferase/ transferase, transferring hexosyl groups., Similar to Galactosyltransferase/ transferase, transferring hexosyl groups.","Biological Process: protein glycosylation (GO:0006486), Cellular Component: membrane (GO:0016020), Molecular Function: sugar binding (GO:0005529), Molecular Function: galactosyltransferase activity (GO:0008378)"
25,Os10g0553300,,"Starch and sucrose metabolism, Metabolic pathways",34.3343595226955,1625,lightYellow,9.16789604856862,Similar to Trehalose-6-phosphate phosphatase.,"Biological Process: trehalose biosynthetic process (GO:0005992), Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824)"
26,Os01g0806200,,,42.4957901580798,1119,lightYellow,8.96853402199955,Cyclin-like F-box domain containing protein.,Molecular Function: protein binding (GO:0005515)
27,Os04g0103500,,,22.3820028742271,2990,lightYellow,8.9036449640361,Serine/threonine protein kinase-related domain containing protein.,"Biological Process: protein phosphorylation (GO:0006468), Biological Process: recognition of pollen (GO:0048544), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: sugar binding (GO:0005529), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
28,Os06g0166900,,,54.5650298272809,660,lightYellow,8.88365135270465,"Protein kinase, core domain containing protein.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
29,Os09g0553300,,"Purine metabolism, Riboflavin metabolism, Metabolic pathways",19.1205382075298,3600,lightYellow,8.73457236610747,NUDIX hydrolase domain containing protein.,"Molecular Function: protein binding (GO:0005515), Molecular Function: hydrolase activity (GO:0016787)"
30,Os11g0137200,,"Synthesis and degradation of ketone bodies, Valine, leucine and isoleucine degradation, Butanoate metabolism, Metabolic pathways, Peroxisome",16.7672718013581,4127,lightYellow,8.61289183440191,Hydroxymethylglutaryl-CoA lyase.,"Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824)"
31,Os02g0673600,,,17.9136844530668,3846,lightYellow,8.41299554979806,ORMDL family protein.,Cellular Component: integral to membrane (GO:0016021)
32,Os03g0356526,,,27.8414279190667,2234,lightYellow,8.23092081151534,Hypothetical conserved gene.,
33,Os05g0393100,,,25.1881963512652,2580,lightYellow,8.12481474478939,"Leucine-rich repeat, N-terminal domain containing protein.",
