id,Label,Description,GO,Symbol,KEGG,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity,MapMan,LOC_IDs,FC_1hr,pval_1hr,REG_1hr,FC_3hr,pval_3hr,REG_3hr,FC_6hr,pval_6hr,REG_6hr,FC_12hr,pval_12hr,REG_12hr,FC_1day,pval_1day,REG_1day,FC_3day,pval_3day,REG_3day
0,Os06g0184866,Pentatricopeptide repeat domain containing protein.,,,,,18.0918920195517,6887,Blue,8.7436430548815,['RNA.regulation of transcription'],LOC_Os06g08570,-0.125313287377175,0.830132592150474,,-0.204856001559602,0.727738301399474,,-0.696086535039135,0.133535326238807,,-1.77837932171185,1.72E-05,Down,-0.512492695844836,0.269473623742566,,-1.47853578615054,0.000631972517828,Down
1,Os03g0113900,Protein of unknown function DUF584 family protein.,,OsS40-4,,,1.96924729372858,11953,Red,0.862982751058443,['not assigned.unknown'],LOC_Os03g02280,5.89042455250197,1.50E-05,Up,4.24314811859815,0.003882983484072,Up,2.89040727261955,0.075168935997863,,3.91078117303479,0.008280140454048,Up,3.71174712182254,0.009620878111102,Up,1.05115153931781,0.691198983156872,
2,Os01g0226600,Similar to C4-dicarboxylate transporter/malic acid transport protein.,"Biological Process: transmembrane transport (GO:0055085), Cellular Component: integral to membrane (GO:0016021)",,,,0.361791733768459,13409,Grey,0.021640179451074,['transport.metabolite transporters at the mitochondrial membrane'],LOC_Os01g12680,-5.36343363655269,1.07E-05,Down,-2.78195726191688,0.000230400899615,Down,-2.33144255416847,0.000279665837207,Down,-2.85681936300552,2.81E-05,Down,-0.673369381342538,0.189996572905095,,-0.978658894333248,0.105179954202757,
3,Os07g0603800,"TGF-beta receptor, type I/II extracellular region family protein., Similar to peptide transporter PTR2.","Biological Process: oligopeptide transport (GO:0006857), Cellular Component: membrane (GO:0016020), Molecular Function: transporter activity (GO:0005215)","OsNPF7.1a, OsNPF7.1",,,10.2308763456373,8652,Black,5.5356869414148,['transport.peptides and oligopeptides'],LOC_Os07g41250,1.19984422263222,1.70E-06,Up,1.21315886091417,1.31E-06,Up,0.977735999213188,0.000123523281975,,0.30174799878948,0.340089801093658,,0.800011061030314,0.000667032340928,,0.536758378737962,0.072198610603445,
4,Os09g0470000,Similar to Plastidic general dicarboxylate transporter.,"Biological Process: sodium ion transport (GO:0006814), Biological Process: transmembrane transport (GO:0055085), Cellular Component: membrane (GO:0016020), Molecular Function: transporter activity (GO:0005215)",,,,24.7256428637226,5815,Blue,18.2860430752085,['transport.metabolite transporters at the mitochondrial membrane'],LOC_Os09g29430,-1.163927278595,0.015072594811277,Down,-0.27394121188659,0.655829714622806,,-0.294863914739467,0.610152180015575,,-0.761509948693034,0.135786195102713,,-1.06761599509104,0.011300524226927,Down,-1.80254919720869,0.000170645900381,Down
5,Os12g0138800,"Six-bladed beta-propeller, TolB-like domain containing protein.","Biological Process: biosynthetic process (GO:0009058), Molecular Function: strictosidine synthase activity (GO:0016844)",,,,10.0700901416516,8700,Magenta,5.47720097897734,['secondary metabolism.N misc.alkaloid-like'],LOC_Os12g04424,-2.82635753838086,1.56E-05,Down,-1.18932765788564,0.06491139497682,,-1.7428505632348,0.004654800700925,Down,-1.63371707173574,0.007477694593353,Down,-1.24773482351417,0.016241726515526,Down,-0.923708165221819,0.170528297423711,
6,Os04g0587451,Non-protein coding transcript.,,OsPUP13,,,37.6738771147621,4316,Pink,23.1894454913385,,LOC_Os04g49757,2.91135712574444,1.26E-23,Up,2.68542648207604,1.22E-19,Up,2.71488523539488,1.67E-20,Up,2.20395608595824,1.94E-13,Up,1.62822986433803,4.77E-09,Up,1.98528752548401,1.02E-10,Up
7,Os03g0292700,"Similar to Protein kinase domain containing protein, expressed.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,,,57.6249009428286,2978,Blue,40.6011943720409,['protein.postranslational modification'],LOC_Os03g18170,0.854923131847529,0.178714282074768,,-1.43833285170991,0.069755646698237,,-1.3062548489441,0.07631587705675,,-2.77946416440172,0.001208839047854,Down,-1.98041724131801,0.000477600514429,Down,-2.28846995445039,0.003522296438434,Down
8,Os03g0324900,"Zinc finger, RING/FYVE/PHD-type domain containing protein.","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",,,,124.956399755426,884,Turquoise,93.9852284444436,['protein.degradation.ubiquitin.E3.RING'],LOC_Os03g20870,1.02958225736034,5.54E-06,Up,1.02288572689935,1.18E-05,Up,1.24072250211089,1.75E-08,Up,0.731785770218633,0.00237499712261,,0.8566568125742,2.21E-05,,1.28327057801071,5.67E-09,Up
9,Os04g0169100,"Similar to Ethylene receptor-like protein 1., Ethylene receptor, Ethylene response, Floral transition and starch accumulation","Biological Process: signal transduction (GO:0007165), Molecular Function: signal transducer activity (GO:0004871), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Biological Process: two-component signal transduction system (phosphorelay) (GO:0000160), Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Biological Process: signal transduction (GO:0007165), Biological Process: ethylene mediated signaling pathway (GO:0009873), Biological Process: peptidyl-histidine phosphorylation (GO:0018106), Cellular Component: endoplasmic reticulum membrane (GO:0005789), Molecular Function: two-component sensor activity (GO:0000155), Molecular Function: two-component response regulator activity (GO:0000156), Molecular Function: protein histidine kinase activity (GO:0004673), Molecular Function: signal transducer activity (GO:0004871), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524)","ETR2, OsETR2, OS-ETR2, etr2, OsPK1, PK1, ERL1, OsERL1, OsERS3","MAPK signaling pathway - plant, Plant hormone signal transduction",,15.2058730897361,7473,Pink,11.4170199347056,['hormone metabolism.ethylene.signal transduction'],LOC_Os04g08740,3.82769686360054,1.81E-122,Up,3.41968302236754,3.75E-96,Up,2.86907375897007,1.58E-67,Up,2.11932631405361,1.24E-36,Up,1.98717360854735,8.58E-40,Up,1.47645406187203,2.31E-17,Up
