id,Label,TF,KEGG,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO
0,Os07g0648266,,,22.1915695252375,6179,Cyan,19.1014804140813,"Similar to 2-oxo acid dehydrogenase, lipoyl-binding site.","Biological Process: regulation of transcription from RNA polymerase II promoter (GO:0006357), Cellular Component: mediator complex (GO:0016592), Molecular Function: RNA polymerase II transcription cofactor activity (GO:0001104)"
1,Os02g0114033,,,20.7134217725362,6424,Cyan,18.1769147653392,"Glutamine-Leucine-Glutamine, QLQ domain containing protein.","Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634), Molecular Function: ATP binding (GO:0005524), Molecular Function: hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818)"
2,Os04g0675101,,,21.652116142363,6275,Cyan,18.1414149377113,"ATPase-like, ATP-binding domain domain containing protein.",Molecular Function: ATP binding (GO:0005524)
3,Os07g0645200,,,24.2515037662718,5880,Cyan,17.9421412776039,Similar to FAT domain-containing protein.,
4,Os09g0252700,,Ubiquitin mediated proteolysis,19.4303270169164,6651,Cyan,17.5893827239428,Similar to E3 ubiquitin protein ligase UPL1 (EC 6.3.2.-) (Ubiquitin-protein ligase 1).,"Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)"
5,Os06g0113150,,,21.3383028591553,6322,Cyan,17.1815237428311,"Similar to GSL8 (GLUCAN SYNTHASE-LIKE 8); 1, 3-beta-glucan synthase/ transferase, transferring glycosyl groups.",
6,Os02g0162766,,,20.7680488792808,6418,Cyan,17.1034044121333,Hypothetical conserved gene.,
7,Os05g0100500,,,19.6833936161771,6613,Cyan,16.5569057724391,Similar to Debaryomyces hansenii chromosome F of strain CBS767 of Debaryomyces hansenii.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634)"
8,Os06g0505302,,,19.8032884782685,6588,Cyan,16.4393676321099,Similar to SWEETIE (SWEETIE); binding.,Molecular Function: binding (GO:0005488)
9,Os04g0218600,,,27.575182171503,5407,Cyan,15.7890777344495,Conserved hypothetical protein.,
10,Os07g0173300,,,19.5156937074605,6642,Cyan,15.7817130126601,Conserved hypothetical protein.,
11,Os01g0552050,,,21.4894066462082,6298,Cyan,15.7596535695226,Hypothetical protein.,
12,Os09g0407950,,,19.9562352338708,6555,Cyan,15.5506556964321,Similar to transducin family protein / WD-40 repeat family protein.,Molecular Function: protein binding (GO:0005515)
13,Os02g0664100,,Protein processing in endoplasmic reticulum,20.5271105151889,6455,Cyan,15.4980238265436,Hypothetical conserved gene.,"Biological Process: protein glycosylation (GO:0006486), Molecular Function: UDP-glucose:glycoprotein glucosyltransferase activity (GO:0003980)"
14,Os06g0255200,,,17.5934402751171,6971,Cyan,14.8633690535279,"Conserved hypothetical protein., Hypothetical conserved gene.",
15,Os01g0148000,,,16.2714459849592,7244,Cyan,14.6514776816077,Similar to predicted protein.,"Molecular Function: ubiquitin-protein ligase activity (GO:0004842), Molecular Function: zinc ion binding (GO:0008270)"
16,Os02g0470600,,,16.8234998260041,7125,Cyan,13.9724332710958,Similar to phosphoinositide binding.,
17,Os06g0235300,,,24.848074092193,5789,Cyan,13.6973569512827,"ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain containing protein.",
18,Os03g0685700,,,24.6436361712426,5827,Cyan,13.6748005329918,Conserved hypothetical protein.,
19,Os03g0711250,,,15.9302494832089,7309,Cyan,13.5229943113346,Hypothetical gene.,
20,Os02g0101750,,,16.4510167432885,7204,Cyan,13.4971146497566,Hypothetical gene.,
21,Os08g0332800,,,14.9785688137674,7518,Cyan,13.071905598443,Similar to F7O18.23 protein (SWP1) (Struwwelpeter 1 protein).,"Biological Process: regulation of transcription from RNA polymerase II promoter (GO:0006357), Cellular Component: mediator complex (GO:0016592), Molecular Function: RNA polymerase II transcription cofactor activity (GO:0001104)"
22,Os02g0598300,,,16.4399548481974,7206,Cyan,12.7983626987735,Conserved hypothetical protein.,
23,Os05g0463500,,,18.4135807230535,6830,Cyan,12.7294543003777,PWWP domain containing protein.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity (GO:0016491)"
24,Os03g0218300,,,14.8846413707702,7537,Cyan,12.6671684596736,Conserved hypothetical protein.,
25,Os03g0554950,,,17.1093626037552,7062,Cyan,11.9256746589372,Hypothetical conserved gene.,
26,Os10g0532100,,,18.1944419180671,6867,Cyan,11.7681130167884,"Similar to Amine oxidase, flavin-containing.","Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: protein binding (GO:0005515), Molecular Function: oxidoreductase activity (GO:0016491)"
27,Os04g0555600,,,24.8231205523874,5795,Cyan,11.7156784522433,Similar to WD-40 repeat family protein / beige-related.,
28,Os12g0511400,,,23.5904587322197,5978,Cyan,11.6892789317057,"Similar to NB-ARC domain containing protein., NB-ARC domain containing protein.","Biological Process: defense response (GO:0006952), Molecular Function: ADP binding (GO:0043531)"
29,Os07g0438500,,,13.9147282595683,7751,Cyan,11.6314856909628,Octicosapeptide/Phox/Bem1p domain containing protein.,Molecular Function: protein binding (GO:0005515)
30,Os02g0830801,,,15.8043559448014,7342,Cyan,11.5602685288345,Similar to binding.,Molecular Function: binding (GO:0005488)
31,Os05g0163250,,Spliceosome,15.7333659905797,7364,Cyan,11.3504044216816,Similar to predicted protein.,"Biological Process: nuclear mRNA splicing, via spliceosome (GO:0000398), Cellular Component: spliceosomal complex (GO:0005681)"
32,Os03g0128200,,,17.2004319596663,7042,Cyan,10.8312322579154,Similar to predicted protein.,
33,Os02g0152800,,,20.2921322249017,6497,Cyan,10.794063374255,"RNA polymerase Rpb1, domain 1 containing protein.","Biological Process: transcription, DNA-dependent (GO:0006351), Molecular Function: DNA binding (GO:0003677), Molecular Function: DNA-directed RNA polymerase activity (GO:0003899)"
34,Os08g0116700,,,14.5030652408941,7612,Cyan,10.7442675434009,Conserved hypothetical protein.,
35,Os05g0593550,,,12.0170933747148,8179,Cyan,10.6569417640411,Hypothetical conserved gene.,
36,Os03g0112101,,Endocytosis,12.4102783376585,8087,Cyan,9.75395606250457,"Similar to Adaptin N terminal region family protein, expressed.","Biological Process: intracellular protein transport (GO:0006886), Biological Process: vesicle-mediated transport (GO:0016192), Cellular Component: membrane coat (GO:0030117), Molecular Function: binding (GO:0005488)"
37,Os10g0422075,,,25.5544543671906,5688,Cyan,9.66213861568155,"Similar to Viral A-type inclusion protein repeat containing protein, expressed.",
38,Os01g0182832,,,13.0298921235941,7952,Cyan,9.1517950951817,Hypothetical conserved gene.,
39,Os02g0708500,,,10.0690255758218,8701,Cyan,8.99233125493691,Conserved hypothetical protein.,
40,Os01g0375100,,,28.5722082616704,5297,Cyan,8.89430985208464,Similar to DnAJ-like protein slr0093.,"Biological Process: protein folding (GO:0006457), Molecular Function: heat shock protein binding (GO:0031072), Molecular Function: unfolded protein binding (GO:0051082)"
41,Os03g0711525,,,17.6124639350567,6966,Cyan,8.76887539576228,Hypothetical protein.,
42,Os06g0645901,,,9.43943247932774,8887,Cyan,8.52959387510888,Similar to Transcription initiation factor TFIID subunit 1.,
43,Os06g0663900,,,18.9474846693423,6743,Cyan,8.3849928830408,"Similar to (RAP Annotation release2) Protein kinase-like domain containing protein., Protein kinase, core domain containing protein.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772),"
44,Os07g0661550,,,10.4674543020489,8591,Cyan,8.34996700331403,Similar to PHD finger family protein.,"Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)"
45,Os06g0102800,,,18.2185272566432,6862,Cyan,8.03881138822296,SNF2-related domain containing protein.,"Cellular Component: nucleus (GO:0005634), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: zinc ion binding (GO:0008270)"
