id,Label,Description,GO,Symbol,KEGG,MapMan,MSU_LOC,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity
0,Os05g0547700,Conserved hypothetical protein.,,,,['not assigned.unknown'],LOC_Os05g46954,,30.9471060055436,1905,Salmon,22.7622474740784
1,Os12g0405400,Conserved hypothetical protein.,,,,,None,,35.447632422293,1537,Salmon,22.5673550784024
2,Os06g0188550,Conserved hypothetical protein.,,,,['not assigned.unknown'],LOC_Os06g08884,,34.1339170955524,1639,Salmon,21.8450763105689
3,Os05g0148000,"Hypothetical conserved gene., Conserved hypothetical protein.",,,,['not assigned.unknown'],LOC_Os05g05530,,30.4237029251596,1945,Salmon,20.5390125571984
4,Os05g0435500,Conserved hypothetical protein.,,,,['not assigned.unknown'],LOC_Os05g35980,,27.0766813486436,2321,Salmon,20.2006459021105
5,Os03g0293850,Similar to Ribosomal protein S15 containing protein.,,,,['not assigned.unknown'],LOC_Os03g18264,,34.1129373166325,1642,Salmon,19.6352035140113
6,Os06g0361500,"Similar to cDNA clone:J013000C15, full insert sequence.",,,,,None,,39.3000326418229,1270,Salmon,18.9984152710782
7,Os09g0131400,"Hypothetical protein., Similar to tobamovirus multiplication 3.",,,,['not assigned.unknown'],"LOC_Os09g04504, LOC_Os09g04508",,28.0408720045295,2208,Salmon,18.7179128931649
8,Os03g0751800,Conserved hypothetical protein.,,,,['not assigned.unknown'],LOC_Os03g54063,,24.6386644486198,2655,Salmon,18.6074678067807
9,Os06g0188500,Non-protein coding transcript.,,,,,None,,22.680776541534,2944,Salmon,18.4515780314596
10,Os07g0434100,Hypothetical gene.,,,,,None,,24.6389411752739,2654,Salmon,18.3220870706821
11,Os08g0254200,Conserved hypothetical protein.,,,,['not assigned.unknown'],LOC_Os08g15444,,29.548119396689,2031,Salmon,18.0394638626337
12,Os03g0180500,Conserved hypothetical protein.,,,,['not assigned.unknown'],LOC_Os03g08284,,26.9275673793671,2334,Salmon,17.4500853927251
13,Os02g0453800,Conserved hypothetical protein.,,,,['not assigned.unknown'],LOC_Os02g25650,,31.6330836184277,1840,Salmon,17.0975887257032
14,Os11g0661000,"Pentatricopeptide repeat domain containing protein., Non-protein coding transcript.","Molecular Function: binding (GO:0005488),",,,['RNA.regulation of transcription.MYB domain transcription factor family'],LOC_Os11g43934,,23.1645906149158,2868,Salmon,16.2636641543355
15,Os03g0597200,"Pentatricopeptide repeat protein, Chloroplast development",Molecular Function: protein binding (GO:0005515),YSA,,['development.unspecified'],LOC_Os03g40020,,32.8410527501377,1734,Salmon,15.8758857536366
16,Os02g0461100,Conserved hypothetical protein.,,,,['not assigned.unknown'],LOC_Os02g26294,,24.896028881345,2619,Salmon,15.8382291108658
17,Os10g0412600,Conserved hypothetical protein.,,,,['not assigned.unknown'],LOC_Os10g27274,,23.1561931441022,2869,Salmon,15.634131949668
18,Os07g0184500,Conserved hypothetical protein.,,,,['not assigned.unknown'],LOC_Os07g08669,,23.5607593590245,2809,Salmon,15.5866225194576
19,Os02g0770300,Conserved hypothetical protein.,,,,['not assigned.unknown'],LOC_Os02g53080,,21.9354640816364,3063,Salmon,15.5255399540117
20,Os06g0135000,Similar to Hypersensitive-induced reaction protein 4.,,,,['not assigned.unknown'],LOC_Os06g04399,,30.776424191358,1925,Salmon,15.3790597051538
21,Os02g0326500,Similar to targeting protein-related.,,,,['not assigned.unknown'],LOC_Os02g22084,,26.1762249839216,2442,Salmon,15.0357587685952
22,Os03g0338200,Conserved hypothetical protein.,,,,['not assigned.unknown'],LOC_Os03g21964,,23.1460003768595,2872,Salmon,14.8268706518393
23,Os11g0123033,Amidase family protein.,"Molecular Function: carbon-nitrogen ligase activity, with glutamine as amido-N-donor (GO:0016884)",,,,None,,26.3890509431923,2412,Salmon,14.7706801272912
24,Os02g0252600,"Aminotransferase, class IV family protein.","Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824)",,,['not assigned.unknown'],LOC_Os02g15360,,23.1551150333744,2870,Salmon,14.7663137237827
