id,Label,TF,KEGG,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO
0,Os06g0271900,,,36.2338049598957,4446,GreenYellow,16.0523534221383,Hypothetical protein.,
1,Os12g0620000,,,32.1628716774616,4868,GreenYellow,15.7684953053583,Similar to Leucine Rich Repeat family protein.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
2,Os03g0293850,,,34.1597798554284,4644,GreenYellow,15.2606588326721,Similar to Ribosomal protein S15 containing protein.,
3,Os11g0633500,,,26.7784335587814,5510,GreenYellow,14.0306836540515,Similar to NBS-LRR disease resistance protein homologue (Fragment).,"Biological Process: defense response (GO:0006952), Molecular Function: ADP binding (GO:0043531)"
4,Os01g0650800,,,29.993214407506,5119,GreenYellow,13.7992788780359,"Transposon, En/Spm-like domain containing protein.",
5,Os09g0310800,,,26.0787895573628,5599,GreenYellow,13.7549619931108,"Similar to Glycosyl hydrolase family 9 protein, expressed.",
6,Os03g0424200,,,33.9696998375587,4662,GreenYellow,13.22722261994,Serine/threonine protein kinase-related domain containing protein.,"Biological Process: protein phosphorylation (GO:0006468), Biological Process: protein ubiquitination (GO:0016567), Cellular Component: ubiquitin ligase complex (GO:0000151), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ubiquitin-protein ligase activity (GO:0004842), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
7,Os11g0692000,,,36.0993981318114,4457,GreenYellow,13.0496069298703,Hypothetical protein.,
8,Os02g0508500,,,37.1741658780867,4362,GreenYellow,12.5410361111424,"Conserved hypothetical protein., Transposase, MuDR, plant domain containing protein.",
9,Os06g0621500,,,29.3905697075881,5181,GreenYellow,12.1242952275699,Conserved hypothetical protein.,
10,Os03g0784600,,,31.3402430841958,4971,GreenYellow,12.0269983439382,Conserved hypothetical protein.,
11,Os02g0464400,,,31.1799157078099,4982,GreenYellow,11.9611030697775,"Similar to D-mannose binding lectin family protein, expressed.",
12,Os06g0146200,,,20.4030126696156,6479,GreenYellow,11.748645570017,Conserved hypothetical protein.,
13,Os06g0506100,,,27.4535280824093,5434,GreenYellow,11.7420778758652,Pentatricopeptide repeat domain containing protein.,Molecular Function: binding (GO:0005488)
14,Os07g0434100,,,20.6582797857784,6434,GreenYellow,11.7115458489147,Hypothetical gene.,
15,Os01g0923400,,,23.8294745187213,5947,GreenYellow,11.586289985874,Hypothetical conserved gene.,
16,Os12g0511500,,,27.2831900828857,5454,GreenYellow,11.0785012159766,Disease resistance protein domain containing protein.,"Biological Process: defense response (GO:0006952), Molecular Function: ADP binding (GO:0043531)"
17,Os12g0197600,,,19.6113269972811,6628,GreenYellow,11.0100703531055,Hypothetical gene.,
18,Os09g0131400,,,32.3010405897162,4852,GreenYellow,10.8848354215435,"Hypothetical protein., Similar to tobamovirus multiplication 3.",
19,Os02g0824000,,,25.5772631505804,5684,GreenYellow,10.7885805737696,Hypothetical conserved gene.,Molecular Function: binding (GO:0005488)
20,Os05g0169500,,,22.2496749297143,6169,GreenYellow,10.6734596072371,Hypothetical protein.,
21,Os10g0446600,,,26.8617934990578,5500,GreenYellow,10.3806597260505,Conserved hypothetical protein.,
22,Os06g0113950,,,30.9457285133542,5009,GreenYellow,10.3756172590406,"Hypothetical conserved gene., Similar to RuBisCO large subunit-binding protein subunit beta.",
23,Os09g0498000,,,22.6809420852479,6105,GreenYellow,10.2427909473931,Hypothetical gene.,
24,Os02g0304800,,,25.0522051078319,5763,GreenYellow,10.2325264115702,Hypothetical conserved gene.,Molecular Function: binding (GO:0005488)
25,Os06g0361500,,,20.3461230629033,6487,GreenYellow,10.2290215570745,"Similar to cDNA clone:J013000C15, full insert sequence.",
26,Os12g0416300,,,24.1026912944306,5907,GreenYellow,10.2187928241668,"Conserved hypothetical protein., Hypothetical gene.",
27,Os02g0818800,,,27.3018114548965,5452,GreenYellow,10.0734325683584,Pentatricopeptide repeat domain containing protein.,
28,Os01g0359400,,,27.4709445918523,5430,GreenYellow,9.90036063082518,NB-ARC domain containing protein.,"Biological Process: defense response (GO:0006952), Molecular Function: ADP binding (GO:0043531)"
29,Os03g0751800,,,22.8849401127248,6076,GreenYellow,9.81665366617081,Conserved hypothetical protein.,
30,Os08g0246800,FAR1,,31.5410334561606,4947,GreenYellow,9.77432023896563,"Conserved hypothetical protein., Hypothetical conserved gene.",
31,Os01g0364100,,,24.6297518525889,5829,GreenYellow,9.76857316353301,Similar to OSIGBa0145M07.8 protein.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: calcium ion binding (GO:0005509), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
32,Os01g0500600,,,30.2573684954981,5078,GreenYellow,9.65473978589714,Hypothetical protein.,
33,Os01g0646800,,,17.8921254595702,6923,GreenYellow,9.53932921125721,Conserved hypothetical protein.,
34,Os11g0266500,,,26.1523139539487,5588,GreenYellow,9.4838001233416,"Similar to NB-ARC domain containing protein, expressed., Conserved hypothetical protein.",
35,Os11g0616900,,,32.5474303649556,4818,GreenYellow,9.41671775216217,"Hypothetical gene., Hypothetical protein.",
36,Os07g0591800,,,20.0341561994338,6536,GreenYellow,9.26417692316194,Conserved hypothetical protein.,
37,Os01g0357800,,,34.3663820223908,4621,GreenYellow,9.20278521211085,Pentatricopeptide repeat domain containing protein.,Molecular Function: binding (GO:0005488)
38,Os03g0608200,,,27.1898229731374,5464,GreenYellow,9.04643836105529,Non-protein coding transcript.,
39,Os03g0597200,,,16.9599468588907,7091,GreenYellow,8.99478739894035,"Pentatricopeptide repeat protein, Chloroplast development",Molecular Function: protein binding (GO:0005515)
40,Os11g0205800,,,21.7937114238201,6251,GreenYellow,8.87495610014058,"Similar to F-box domain containing protein, expressed.",
41,Os02g0518500,C2H2,,16.4243713651391,7208,GreenYellow,8.87190846973725,"Similar to Zinc finger, C2H2-type.","Cellular Component: intracellular (GO:0005622), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: zinc ion binding (GO:0008270)"
42,Os04g0269900,,,18.2564087790186,6853,GreenYellow,8.8145620798243,Conserved hypothetical protein.,
43,Os05g0587400,,,17.6415886264409,6961,GreenYellow,8.78610294150835,"Prefoldin domain containing protein., Non-protein coding transcript.",
44,Os02g0290000,,,24.5870407541725,5834,GreenYellow,8.59764294177062,Pentatricopeptide repeat domain containing protein.,Molecular Function: binding (GO:0005488)
45,Os04g0503700,,"N-Glycan biosynthesis, Metabolic pathways",18.2999256749377,6848,GreenYellow,8.25542053360638,"Alpha-1, 2 glucosyltransferase Alg10 domain containing protein., Similar to DIE2/ALG10 family.","Cellular Component: integral to membrane (GO:0016021), Molecular Function: transferase activity, transferring hexosyl groups (GO:0016758)"
46,Os08g0238100,,,25.4103651961149,5709,GreenYellow,8.07065799032206,Similar to Pentatricopeptide repeat protein PPR986-12.,
47,Os08g0166400,,,17.4052036640427,7002,GreenYellow,8.0638277424104,"Zinc finger, PMZ-type domain containing protein.",Molecular Function: zinc ion binding (GO:0008270)
48,Os07g0158900,,,28.7224265144431,5277,GreenYellow,8.05296581319637,"Cyclin-like F-box domain containing protein., Hypothetical conserved gene.","Molecular Function: protein binding (GO:0005515),"
