id,Label,TF,KEGG,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO
0,Os03g0265200,,,254.141553668585,4,Turquoise,236.360119354799,Similar to Josephin-like protein.,Molecular Function: omega peptidase activity (GO:0008242)
1,Os07g0512200,,Autophagy - other,254.834532931356,3,Turquoise,231.157001436703,Similar to Symbiosis-related like protein.,
2,Os08g0558100,,Plant-pathogen interaction,230.362397996831,22,Turquoise,218.905520744743,EF hand domain containing protein.,Molecular Function: calcium ion binding (GO:0005509)
3,Os05g0455600,,,227.649013363679,29,Turquoise,213.283299747937,Prenylated rab acceptor PRA1 family protein.,
4,Os02g0586400,,,225.569129330467,30,Turquoise,213.163728672412,Similar to Small GTP-binding protein.,"Biological Process: GTP catabolic process (GO:0006184), Biological Process: intracellular protein transport (GO:0006886), Biological Process: nucleocytoplasmic transport (GO:0006913), Biological Process: signal transduction (GO:0007165), Biological Process: small GTPase mediated signal transduction (GO:0007264), Biological Process: protein transport (GO:0015031), Cellular Component: intracellular (GO:0005622), Cellular Component: membrane (GO:0016020), Molecular Function: GTPase activity (GO:0003924), Molecular Function: GTP binding (GO:0005525)"
5,Os07g0195100,,Endocytosis,228.680750489037,24,Turquoise,212.836386772353,Similar to Ras-related protein ARA-3.,"Biological Process: small GTPase mediated signal transduction (GO:0007264), Biological Process: protein transport (GO:0015031), Molecular Function: GTP binding (GO:0005525), Biological Process: GTP catabolic process (GO:0006184), Biological Process: intracellular protein transport (GO:0006886), Biological Process: nucleocytoplasmic transport (GO:0006913), Biological Process: signal transduction (GO:0007165), Biological Process: small GTPase mediated signal transduction (GO:0007264), Biological Process: protein transport (GO:0015031), Cellular Component: intracellular (GO:0005622), Cellular Component: membrane (GO:0016020), Molecular Function: GTPase activity (GO:0003924), Molecular Function: GTP binding (GO:0005525)"
6,Os05g0463900,,Ubiquitin mediated proteolysis,237.046044429069,13,Turquoise,211.486509605256,HECT domain containing protein.,"Biological Process: protein modification process (GO:0006464), Cellular Component: intracellular (GO:0005622), Molecular Function: acid-amino acid ligase activity (GO:0016881)"
7,Os09g0512900,,,222.771151861789,34,Turquoise,210.00699614819,Similar to arabinogalactan protein.,
8,Os03g0136900,,"Citrate cycle (TCA cycle), Glyoxylate and dicarboxylate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids",234.980459445951,15,Turquoise,208.568246810689,"Similar to Aconitate hydratase, cytoplasmic (EC 4.2.1.3) (Citrate hydro-lyase) (Aconitase)., Similar to Aconitate hydratase 2, mitochondrial.","Biological Process: metabolic process (GO:0008152), Molecular Function: 4 iron, 4 sulfur cluster binding (GO:0051539), Biological Process: metabolic process (GO:0008152)"
9,Os01g0706600,,,224.891461543482,33,Turquoise,205.892122261149,Conserved hypothetical protein.,
10,Os11g0588300,,Glutathione metabolism,225.283322760463,32,Turquoise,205.034732115115,Similar to Glutathione transferase AtGST 10 (EC 2.5.1.18).,Molecular Function: protein binding (GO:0005515)
11,Os04g0679800,,,218.953418541449,41,Turquoise,203.658126520176,"Similar to RNA-binding protein-like protein., Similar to Zinc finger, RING-type.",
12,Os06g0259000,,"Inositol phosphate metabolism, Metabolic pathways, Phosphatidylinositol signaling system, Phagosome",225.335352776376,31,Turquoise,202.872002950186,Hypothetical conserved gene.,"Biological Process: phosphatidylinositol metabolic process (GO:0046488), Molecular Function: phosphatidylinositol phosphate kinase activity (GO:0016307)"
13,Os07g0693500,,"Purine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites",214.883814714439,51,Turquoise,201.444387237743,"Similar to AMP deaminase 2 (EC 3.5.4.6) (AMP deaminase isoform L). Splice isoform Ex1A-3., Hypothetical gene.","Biological Process: purine ribonucleoside monophosphate biosynthetic process (GO:0009168), Molecular Function: AMP deaminase activity (GO:0003876), Molecular Function: deaminase activity (GO:0019239),"
14,Os02g0168600,,,222.103440436592,35,Turquoise,200.569635410813,"Ovarian tumour, otubain domain containing protein.",
15,Os01g0966100,,"ABC transporters, Peroxisome",211.83486783879,63,Turquoise,200.095272742842,Similar to Peroxisomal ABC transporter.,"Molecular Function: ATP binding (GO:0005524), Molecular Function: ATPase activity (GO:0016887)"
16,Os04g0165300,,,218.327180374239,43,Turquoise,197.851821068093,Conserved hypothetical protein.,
17,Os03g0358100,,"Glutathione metabolism, Arachidonic acid metabolism",227.711350163092,28,Turquoise,197.487953742929,Similar to Glutathione peroxidase.,"Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: glutathione peroxidase activity (GO:0004602)"
