id,Label,Description,GO,Symbol,KEGG,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity,MapMan,MSU_LOC,FC_1hr,pval_1hr,REG_1hr,FC_3hr,pval_3hr,REG_3hr,FC_6hr,pval_6hr,REG_6hr,FC_12hr,pval_12hr,REG_12hr,FC_1day,pval_1day,REG_1day
0,Os03g0811200,BRCT domain containing protein.,Cellular Component: intracellular (GO:0005622),,,,48.0870403970559,864,Turquoise,35.2090921689742,['not assigned.unknown'],LOC_Os03g59650,1.23978761411271,0.031261504878861,Up,0.591967548751177,0.427653788940882,,0.839554763352665,0.171630864480293,,1.18520644830024,0.030465285812126,Up,2.06149397116923,4.35E-05,Up
1,Os06g0113600,Cyclin-like F-box domain containing protein.,Molecular Function: protein binding (GO:0005515),,,,11.531695115268,5741,Yellow,5.16195614842294,['not assigned.unknown'],LOC_Os06g02340,1.8892892948559,2.86E-05,Up,1.25238174594605,0.014951734057525,Up,1.20157371496893,0.014648157400769,Up,1.36127020184395,0.003334528047761,Up,1.76044627017387,8.75E-05,Up
2,Os11g0209700,"Hypothetical conserved gene., Conserved hypothetical protein.","Molecular Function: inositol or phosphatidylinositol kinase activity (GO:0004428), Molecular Function: binding (GO:0005488),",OsPI4K2,,,28.5813095873801,2141,Cyan,18.4557524374384,['signalling.phosphinositides.phosphatidylinositol 4-kinase'],LOC_Os11g10420,-1.65774062493257,3.96E-13,Down,-0.945840990664747,0.00012205212951,,-1.19423347616409,3.33E-07,Down,-1.64334747827001,6.47E-13,Down,-0.507409728006386,0.042352004398422,
3,Os01g0220100,Similar to Cellulase.,"Biological Process: carbohydrate metabolic process (GO:0005975), Cellular Component: extracellular region (GO:0005576), Molecular Function: catalytic activity (GO:0003824), Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553), Molecular Function: carbohydrate binding (GO:0030246)",OsCel9A,"Starch and sucrose metabolism, Metabolic pathways",,21.0584766297817,3213,Turquoise,17.3354158509076,"['misc.gluco-, galacto- and mannosidases.endoglucanase']",LOC_Os01g12070,-0.90906157784943,0.332012876614079,,-1.71666741908435,0.054840398366635,,-3.31798857592687,0.00014706251356,Down,-3.06688397420071,0.000188973209391,Down,-0.920435487168497,0.276961336727247,
4,Os05g0119300,Similar to ESTs AA754121.,,,,,26.5813497233661,2382,Black,14.7853503837402,['not assigned.unknown'],LOC_Os05g02780,0.742480528177381,0.000355797133391,,0.988395302235577,8.06E-07,,1.31559238597305,5.29E-12,Up,1.68860520135921,1.06E-19,Up,1.23056198865153,1.07E-10,Up
5,Os01g0145600,Conserved hypothetical protein.,,,,,4.28183886510354,9459,Brown,2.38475524812392,,None,-0.472134625678724,0.437710196637118,,-1.04982741719293,0.069345373000964,,-1.44676809037782,0.006460846623823,Down,-1.45219283729057,0.003986948789236,Down,-2.6162424744032,1.55E-05,Down
6,Os07g0592200,"Aspartic protease, Pollen germination and pollen tube growth, Similar to predicted protein.","Biological Process: proteolysis (GO:0006508), Molecular Function: aspartic-type endopeptidase activity (GO:0004190)",OsAP65,,,16.9916256486604,4067,Cyan,8.51015871045636,"['RNA.regulation of transcription.unclassified', 'protein.degradation.aspartate protease']",LOC_Os07g40260,-1.12797539587472,1.72E-06,Down,-0.972330311155085,7.36E-05,,-1.16411550902158,6.73E-07,Down,-1.37847073869721,1.71E-09,Down,-0.560141974911559,0.023559848523586,
7,Os03g0324900,"Zinc finger, RING/FYVE/PHD-type domain containing protein.","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",,,,49.4203478685153,812,Blue,42.7548549608957,['protein.degradation.ubiquitin.E3.RING'],LOC_Os03g20870,-0.874647139343373,0.030658243712418,,-1.05215007389149,0.012144911345388,Down,-2.15623719102375,9.44E-08,Down,-2.80520287754489,1.05E-11,Down,-3.21826506440946,2.66E-11,Down
8,Os04g0169100,"Similar to Ethylene receptor-like protein 1., Ethylene receptor, Ethylene response, Floral transition and starch accumulation","Biological Process: signal transduction (GO:0007165), Molecular Function: signal transducer activity (GO:0004871), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Biological Process: two-component signal transduction system (phosphorelay) (GO:0000160), Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Biological Process: signal transduction (GO:0007165), Biological Process: ethylene mediated signaling pathway (GO:0009873), Biological Process: peptidyl-histidine phosphorylation (GO:0018106), Cellular Component: endoplasmic reticulum membrane (GO:0005789), Molecular Function: two-component sensor activity (GO:0000155), Molecular Function: two-component response regulator activity (GO:0000156), Molecular Function: protein histidine kinase activity (GO:0004673), Molecular Function: signal transducer activity (GO:0004871), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524)","ETR2, OsETR2, OS-ETR2, etr2, OsPK1, PK1, ERL1, OsERL1, OsERS3","MAPK signaling pathway - plant, Plant hormone signal transduction",,15.4152247346715,4504,Brown,11.5323095026172,['hormone metabolism.ethylene.signal transduction'],LOC_Os04g08740,-1.17003609046917,3.16E-06,Down,-0.994029380631235,0.000144066428467,,-1.10710409914286,1.04E-05,Down,-1.04837246082702,2.30E-05,Down,-0.904198205433846,0.000330639249188,
9,Os02g0453300,Hypothetical protein.,,,,,6.74593946274192,7841,Salmon,4.37794809244975,['not assigned.unknown'],LOC_Os02g25624,-0.24705278517819,0.692127794583706,,-0.395947280594714,0.524272259248331,,-0.979431455676613,0.046368133392425,,-1.04139272049316,0.024944937570405,Down,-1.26325699676489,0.008812461177573,Down
