id,Label,TF,KEGG,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO
0,Os05g0169100,,Ribosome,37.612141649256,1388,Pink,23.5724783467117,"Similar to 60S ribosomal protein L10 (QM protein homolog)., Similar to 60S ribosomal protein L10-2.","Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)"
1,Os10g0527400,,Glutathione metabolism,40.658722247724,1201,Pink,22.7849016445327,Similar to Tau class GST protein 3.,Molecular Function: protein binding (GO:0005515)
2,Os01g0627500,,,30.8555334471041,1913,Pink,20.0740624726177,Cytochrome P450 family protein.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: iron ion binding (GO:0005506), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705), Molecular Function: heme binding (GO:0020037)"
3,Os02g0483500,,,30.9825918925633,1901,Pink,19.8530457792369,Transferase family protein.,"Molecular Function: transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747)"
4,Os08g0155900,,,28.1343931928336,2197,Pink,18.1556675555459,Similar to Pathogen-induced defense-responsive protein.,
5,Os09g0444900,,,43.9703411489783,1042,Pink,18.0189795251586,Similar to plant viral-response family protein.,
6,Os08g0112300,,,57.5537608611016,577,Pink,17.5994361325137,Transferase domain containing protein.,"Molecular Function: transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747)"
7,Os03g0571900,,,23.1483676166801,2871,Pink,16.9604485984775,Similar to transparent testa 12 protein.,"Biological Process: drug transmembrane transport (GO:0006855), Biological Process: transmembrane transport (GO:0055085), Cellular Component: membrane (GO:0016020), Molecular Function: drug transmembrane transporter activity (GO:0015238), Molecular Function: antiporter activity (GO:0015297)"
8,Os04g0111200,,"Purine metabolism, Monobactam biosynthesis, Selenocompound metabolism, Sulfur metabolism, Metabolic pathways",27.6350181136954,2254,Pink,16.6377795223436,Similar to ATP sulfurylase (Fragment).,"Biological Process: sulfate assimilation (GO:0000103), Molecular Function: sulfate adenylyltransferase (ATP) activity (GO:0004781)"
9,Os09g0367700,,Glutathione metabolism,20.8191378655603,3250,Pink,16.6099135955578,Similar to GST6 protein (EC 2.5.1.18).,Molecular Function: protein binding (GO:0005515)
