id,Label,TF,KEGG,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO
0,Os03g0250000,,,86.2226930804512,1831,Salmon,34.5342159372419,Conserved hypothetical protein.,
1,Os03g0723400,,,146.936225050545,573,Salmon,31.0723678782023,Similar to UFG2.,
2,Os04g0527400,,,81.0133256366693,2016,Salmon,30.3949806506493,BRO1 domain containing protein.,
3,Os10g0521000,,"Starch and sucrose metabolism, Metabolic pathways",118.052297670829,997,Salmon,29.2096121081842,Similar to TRE1 protein (Fragment).,"Biological Process: trehalose metabolic process (GO:0005991), Molecular Function: catalytic activity (GO:0003824), Molecular Function: alpha, alpha-trehalase activity (GO:0004555)"
4,Os01g0151600,,,101.914432374017,1368,Salmon,28.7316441474529,Conserved hypothetical protein.,
5,Os09g0539000,,,110.838761563711,1156,Salmon,28.5215745403337,Hypothetical conserved gene.,
6,Os12g0594000,,,85.0016464309,1872,Salmon,28.2057846090386,WD40 repeat-like domain containing protein.,Molecular Function: protein binding (GO:0005515)
7,Os03g0792800,,,109.670782852023,1181,Salmon,28.1688525184467,"Beta-1, 3-glucanase-like protein.","Biological Process: carbohydrate metabolic process (GO:0005975), Molecular Function: catalytic activity (GO:0003824), Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553), Molecular Function: cation binding (GO:0043169)"
8,Os07g0602900,,,104.41366365602,1299,Salmon,28.1248472780353,"Protein of unknown function DUF1675 domain containing protein., Similar to UPF0737 protein 1.",
9,Os05g0572000,ERF,,107.42128241453,1227,Salmon,27.9453064332206,Pathogenesis-related transcriptional factor and ERF domain containing protein.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700)"
10,Os02g0669100,,,84.7727294707106,1877,Salmon,27.7379873242092,Dehydrin family protein.,"Biological Process: response to stress (GO:0006950), Biological Process: response to water (GO:0009415)"
11,Os01g0128300,,,92.274749355186,1636,Salmon,27.7209883340636,Similar to predicted protein.,
12,Os03g0268600,,"MAPK signaling pathway - plant, Plant hormone signal transduction",111.376649456206,1147,Salmon,27.4930599647913,Similar to Protein phosphatase type 2C.,"Biological Process: protein dephosphorylation (GO:0006470), Cellular Component: protein serine/threonine phosphatase complex (GO:0008287), Molecular Function: catalytic activity (GO:0003824), Molecular Function: protein serine/threonine phosphatase activity (GO:0004722)"
13,Os05g0468800,,,151.549772403147,516,Salmon,27.3848618523408,Phosphatidylethanolamine-binding protein PEBP domain containing protein.,
14,Os06g0659300,,,114.744813323859,1078,Salmon,27.0179357500975,Similar to Actin filament bundling protein P-115-ABP.,"Biological Process: cytoskeleton organization (GO:0007010), Molecular Function: actin binding (GO:0003779)"
15,Os09g0415050,,,106.273782245642,1260,Salmon,26.4486460422285,Hypothetical gene.,
16,Os08g0519400,,,153.379265330941,489,Salmon,26.2381894131991,Apolipoprotein/apolipophorin domain containing protein.,
17,Os05g0595100,,,149.548390359004,541,Salmon,26.189344514335,"Uridine-diphospho-(UDP)-glucose 4-epimerase, Cell wall carbohydrate partitioning during nitrogen (N) limitation","Biological Process: galactose metabolic process (GO:0006012), Molecular Function: UDP-glucose 4-epimerase activity (GO:0003978)"
18,Os06g0683100,,,138.57254267768,688,Salmon,25.7787690397527,NAD(P)-binding domain containing protein.,"Biological Process: cellular metabolic process (GO:0044237), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: catalytic activity (GO:0003824), Molecular Function: coenzyme binding (GO:0050662)"
19,Os02g0162600,,,113.505931990506,1099,Salmon,25.7145921029714,Conserved hypothetical protein.,
20,Os11g0498600,,,50.8380206776838,3335,Salmon,25.3977192534839,Similar to HVA22 protein.,
21,Os04g0666900,,,78.9787362159023,2087,Salmon,25.3550146330408,Similar to H1005F08.22 protein.,"Biological Process: microtubule-based movement (GO:0007018), Biological Process: oxidation-reduction process (GO:0055114), Cellular Component: cytoskeleton (GO:0005856), Molecular Function: microtubule motor activity (GO:0003777), Molecular Function: catalytic activity (GO:0003824), Molecular Function: binding (GO:0005488), Molecular Function: ATP binding (GO:0005524), Molecular Function: oxidoreductase activity (GO:0016491), Biological Process: microtubule-based movement (GO:0007018), Molecular Function: microtubule motor activity (GO:0003777), Molecular Function: ATP binding (GO:0005524)"
22,Os01g0656200,,"MAPK signaling pathway - plant, Plant hormone signal transduction",85.6115618815009,1850,Salmon,25.2018772010919,Protein phosphatase 2C family protein.,"Biological Process: protein dephosphorylation (GO:0006470), Cellular Component: protein serine/threonine phosphatase complex (GO:0008287), Molecular Function: catalytic activity (GO:0003824), Molecular Function: protein serine/threonine phosphatase activity (GO:0004722)"
23,Os02g0754100,,,83.1227123566054,1930,Salmon,25.1221088555776,Similar to S1 self-incompatibility locus-linked pollen G211 protein.,"Molecular Function: RNA binding (GO:0003723), Molecular Function: ribonuclease activity (GO:0004540)"
24,Os01g0521400,,,76.3755012277859,2181,Salmon,24.2142503654499,Similar to lipase family protein.,Biological Process: lipid metabolic process (GO:0006629)
25,Os07g0687900,,Galactose metabolism,65.9018488106158,2586,Salmon,23.8983937184757,WSI76 protein induced by water stress.,
26,Os01g0772400,,,196.053629831158,149,Salmon,23.479074445863,Streptomyces cyclase/dehydrase family protein.,
27,Os02g0766700,bZIP,Plant hormone signal transduction,88.9991069625148,1742,Salmon,23.3960039548544,"bZIP transcription factor, Regulation of ABA signaling and biosynthesis, Drought resistance","Biological Process: regulation of transcription, DNA-templated (GO:0006355), Molecular Function: transcription factor activity, sequence-specific DNA binding (GO:0003700), Molecular Function: sequence-specific DNA binding (GO:0043565)"
28,Os03g0125100,,"Carotenoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites",55.2658101604138,3093,Salmon,23.2921329252247,"Beta-carotene hydroxylase, Drought and oxidative stress resistance","Biological Process: fatty acid biosynthetic process (GO:0006633), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: iron ion binding (GO:0005506), Molecular Function: oxidoreductase activity (GO:0016491)"
29,Os01g0767600,,,99.4487672034946,1437,Salmon,23.085943656936,Conserved hypothetical protein.,
30,Os12g0582800,,,153.870204951649,480,Salmon,22.9566410814543,Protein of unknown function DUF221 domain containing protein.,Cellular Component: membrane (GO:0016020)
31,Os01g0583100,,"MAPK signaling pathway - plant, Plant hormone signal transduction",79.892680497802,2051,Salmon,22.9119590151137,Similar to Protein phosphatase 2C.,"Biological Process: protein dephosphorylation (GO:0006470), Cellular Component: protein serine/threonine phosphatase complex (GO:0008287), Molecular Function: catalytic activity (GO:0003824), Molecular Function: protein serine/threonine phosphatase activity (GO:0004722)"
32,Os05g0566800,,,65.4410340351077,2606,Salmon,22.8251623989431,Cold acclimation protein COR413-TM1.,
33,Os01g0149800,,,81.2965000084025,2004,Salmon,22.7100923560034,Metallothionein-like protein type 2.,Molecular Function: metal ion binding (GO:0046872)
34,Os11g0546900,,,121.017971615408,950,Salmon,22.2493444880171,Similar to TaWIN1.,Molecular Function: protein domain specific binding (GO:0019904)
35,Os06g0691400,,,95.1593098936472,1561,Salmon,22.2446284241222,Similar to IAA-amino acid conjugate hydrolase-like protein (Fragment).,"Biological Process: metabolic process (GO:0008152), Molecular Function: hydrolase activity (GO:0016787)"
36,Os07g0108800,,,114.362669282319,1087,Salmon,21.8183776831772,"Two-pore K+ channel family protein, K+ homeostasis, Osmotic and drought tolerance","Biological Process: polysaccharide catabolic process (GO:0000272), Biological Process: potassium ion transmembrane transport (GO:0071805), Molecular Function: potassium channel activity (GO:0005267), Cellular Component: membrane (GO:0016020)"
37,Os05g0466800,,,189.820529697005,175,Salmon,21.5180514979584,Similar to CTD small phosphatase-like protein.,"Molecular Function: protein binding (GO:0005515), Molecular Function: phosphatase activity (GO:0016791)"
38,Os03g0231150,HD-ZIP,,61.0759635172588,2800,Salmon,21.4143727812179,Similar to Hox19 (Fragment).,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Cellular Component: nucleus (GO:0005634), Molecular Function: DNA binding (GO:0003677)"
39,Os09g0400600,,,169.688803277101,321,Salmon,21.0765547569592,Hypothetical protein.,
40,Os12g0631200,,,59.6641771264474,2874,Salmon,21.025734822041,"Zinc finger, C6HC-type domain containing protein., Similar to ubiquitin-protein ligase/ zinc ion binding protein.","Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270), Molecular Function: zinc ion binding (GO:0008270)"
41,Os06g0635200,,,98.7575259605686,1454,Salmon,20.9218555311276,Protein of unknown function DUF3537 domain containing protein.,
42,Os01g0138500,,,34.2089538657203,4633,Salmon,20.5102842285807,Protein of unknown function DUF789 family protein.,
43,Os04g0442700,,,107.507471650215,1223,Salmon,20.4683308661788,Hypothetical gene.,
44,Os06g0139800,,,70.3056535794024,2411,Salmon,19.9185912612523,Similar to Acid phosphatase (EC 3.1.3.2) 1 allozyme 1.,Molecular Function: acid phosphatase activity (GO:0003993)
45,Os09g0555500,,"Carotenoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites",50.3756272574563,3365,Salmon,19.5968531178361,Similar to Chloroplast phytoene synthase 3.,"Biological Process: biosynthetic process (GO:0009058), Molecular Function: transferase activity (GO:0016740), Molecular Function: transferase activity, transferring alkyl or aryl (other than methyl) groups (GO:0016765)"
46,Os07g0668900,,,105.243870285916,1283,Salmon,19.5234027413877,Similar to Serine/threonine-protein kinase PBS1 (EC 2.7.1.37) (AvrPphB susceptible protein 1).,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
47,Os01g0605700,,,126.025841156622,865,Salmon,19.3629600106013,MtN3 and saliva related transmembrane protein family protein.,Cellular Component: integral to membrane (GO:0016021)
48,Os12g0112000,,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites",48.545200356477,3478,Salmon,19.3109046398444,Similar to Peroxidase precursor (EC 1.11.1.7) (Fragment).,"Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: peroxidase activity (GO:0004601), Molecular Function: heme binding (GO:0020037)"
49,Os04g0466600,,"Arginine and proline metabolism, Metabolic pathways",77.4968222718721,2138,Salmon,19.2807782614569,Agmatine deiminase domain containing protein.,"Biological Process: putrescine biosynthetic process (GO:0009446), Molecular Function: agmatine deiminase activity (GO:0047632)"
50,Os03g0586700,,,140.725966383128,649,Salmon,19.2643864225714,Conserved hypothetical protein.,
51,Os02g0824500,,,69.5515321874543,2436,Salmon,18.7304663720745,Similar to Remorin.,
52,Os01g0105900,,,56.5107418164655,3028,Salmon,17.9878170335937,Carbohydrate/purine kinase domain containing protein.,
53,Os01g0559000,,,77.8382455067669,2123,Salmon,17.9367642940361,"Protein of unknown function DUF1000 family protein., Similar to Thioredoxin family Trp26.",
54,Os07g0635900,,,36.7649567956023,4394,Salmon,17.6605743763617,Hydrophobic protein LTI6A (Low temperature-induced protein 6A).,Cellular Component: integral to membrane (GO:0016021)
55,Os04g0605500,,,45.3643713396059,3676,Salmon,17.5144063108699,"P-type IIB Ca(2+) ATPase, Stress tolerance, Similar to Calcium-transporting ATPase 8, plasma membrane-type (EC 3.6.3.8) (Ca(2+)-ATPase isoform 8)., Similar to P-type ATPase (Fragment).","Biological Process: calcium ion transmembrane transport (GO:0070588), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: calcium-transporting ATPase activity (GO:0005388), Molecular Function: calmodulin binding (GO:0005516), Molecular Function: ATP binding (GO:0005524), Molecular Function: metal ion binding (GO:0046872), Cellular Component: membrane (GO:0016020), Cellular Component: integral component of membrane (GO:0016021), Biological Process: ATP biosynthetic process (GO:0006754), Biological Process: cation transport (GO:0006812), Biological Process: metabolic process (GO:0008152), Biological Process: calcium ion transmembrane transport (GO:0070588), Cellular Component: membrane (GO:0016020), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: catalytic activity (GO:0003824), Molecular Function: calcium-transporting ATPase activity (GO:0005388), Molecular Function: calmodulin binding (GO:0005516), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism (GO:0015662), Molecular Function: metal ion binding (GO:0046872), Biological Process: ATP biosynthetic process (GO:0006754), Biological Process: cation transport (GO:0006812), Biological Process: metabolic process (GO:0008152), Biological Process: calcium ion transmembrane transport (GO:0070588), Cellular Component: membrane (GO:0016020), Molecular Function: catalytic activity (GO:0003824), Molecular Function: calcium-transporting ATPase activity (GO:0005388), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism (GO:0015662), Molecular Function: hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances (GO:0016820)"
56,Os09g0323000,,"Galactose metabolism, Amino sugar and nucleotide sugar metabolism, Metabolic pathways",116.223953675977,1043,Salmon,17.3590455100691,"Similar to UDP-galactose 4-epimerase-like protein., Similar to UDP-D-glucose epimerase 2.","Biological Process: galactose metabolic process (GO:0006012), Biological Process: cellular metabolic process (GO:0044237), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: catalytic activity (GO:0003824), Molecular Function: UDP-glucose 4-epimerase activity (GO:0003978), Molecular Function: coenzyme binding (GO:0050662), Biological Process: galactose metabolic process (GO:0006012), Molecular Function: UDP-glucose 4-epimerase activity (GO:0003978)"
57,Os01g0626400,WRKY,,112.636113467403,1118,Salmon,17.1858950249453,"WRKY transcription factor, Control of flowering time and plant height, WRKY transcription factor, Splicing variant","Biological Process: regulation of transcription, DNA-templated (GO:0006355), Molecular Function: transcription factor activity, sequence-specific DNA binding (GO:0003700), Molecular Function: sequence-specific DNA binding (GO:0043565)"
58,Os03g0425300,,"Glycerolipid metabolism, Glycerophospholipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Phosphatidylinositol signaling system",47.3622243541242,3563,Salmon,17.0289749520523,"Similar to DGK1 (DIACYLGLYCEROL KINASE1); calcium ion binding / diacylglycerol kinase., Similar to Diacylglycerol kinase 1 (EC 2.7.1.107) (Diglyceride kinase 1) (DGK 1) (DAG kinase 1).","Biological Process: intracellular signal transduction (GO:0035556), Biological Process: activation of protein kinase C activity by G-protein coupled receptor protein signaling pathway (GO:0007205), Molecular Function: diacylglycerol kinase activity (GO:0004143)"
59,Os09g0422600,,,89.5509798281597,1721,Salmon,16.9576033117514,Protein of unknown function DUF566 family protein.,
60,Os03g0747900,,,49.0531056349603,3456,Salmon,16.9523364071239,Similar to Myosin heavy chain class XI E1 protein.,"Cellular Component: myosin complex (GO:0016459), Molecular Function: motor activity (GO:0003774), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524)"
61,Os02g0823300,,,90.2546582806068,1700,Salmon,16.6913722280717,"Similar to Neuralized protein., Zinc finger, RING-type domain containing protein.","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)"
62,Os07g0614100,,Proteasome,58.301607451749,2946,Salmon,16.6898125252833,Alpha 1-2 subunit of 20S proteasome.,"Biological Process: ubiquitin-dependent protein catabolic process (GO:0006511), Biological Process: proteolysis involved in cellular protein catabolic process (GO:0051603), Cellular Component: proteasome core complex (GO:0005839), Cellular Component: proteasome core complex, alpha-subunit complex (GO:0019773), Molecular Function: endopeptidase activity (GO:0004175), Molecular Function: threonine-type endopeptidase activity (GO:0004298)"
63,Os10g0479100,,,55.942717288569,3061,Salmon,16.6604838318686,Non-protein coding transcript.,
64,Os07g0559400,,,87.0637440819231,1801,Salmon,16.488082172469,Similar to uncharacterized secreted protein.,
65,Os07g0633200,,Spliceosome,148.612541098474,557,Salmon,16.445443340785,"Similar to SC35-like splicing factor SCL30a, 30a kD.","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)"
66,Os01g0783200,,"Glycerolipid metabolism, Glycerophospholipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Phosphatidylinositol signaling system",50.6595429356743,3343,Salmon,16.3334113496296,Similar to Diacylglycerol kinase.,"Biological Process: activation of protein kinase C activity by G-protein coupled receptor protein signaling pathway (GO:0007205), Molecular Function: diacylglycerol kinase activity (GO:0004143)"
67,Os04g0623300,,"Arginine and proline metabolism, beta-Alanine metabolism",67.2769991080569,2531,Salmon,16.2175587982796,"Polyamine oxidase, Seed germination, Similar to H0215F08.3 protein.","Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity (GO:0016491)"
68,Os05g0122800,,,54.232512514682,3140,Salmon,16.0787934658004,"Tetraspanin domain containing protein., Similar to senescence-associated protein.",Cellular Component: integral to membrane (GO:0016021)
69,Os04g0448950,,,44.0270221735585,3782,Salmon,16.0549517356023,Similar to H0818E04.7 protein.,
70,Os03g0719400,,"Glycerolipid metabolism, Metabolic pathways",55.1469662166122,3101,Salmon,15.7952879680943,Alpha/beta hydrolase fold-1 domain containing protein.,
71,Os06g0147000,,,25.5721384059963,5685,Salmon,15.6603605279467,Conserved hypothetical protein.,
72,Os12g0168100,,,78.0531494911317,2113,Salmon,15.5044977495465,Similar to AP2 domain containing protein RAP2.6 (Fragment).,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700)"
73,Os08g0128200,,,49.2876522081708,3437,Salmon,15.4961109157723,Protein of unknown function DUF3537 domain containing protein.,
74,Os07g0581000,,,69.3345957861166,2445,Salmon,14.9551019134178,Protein of unknown function DUF250 domain containing protein.,
75,Os08g0110600,,,77.1897671662981,2149,Salmon,14.5833076439458,Protein of unknown function DUF1442 domain containing protein.,
76,Os03g0341300,,,31.4027885710851,4968,Salmon,14.3702347833921,Similar to Cytochrome c oxidoreductase.,Cellular Component: integral to membrane (GO:0016021)
