id,Label,Description,GO,Symbol,KEGG,MapMan,MSU_LOC,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity
0,Os07g0686600,VQ domain containing protein.,,OsVQ30,,['not assigned.unknown'],LOC_Os07g48710,,29.0893510700902,2087,GreenYellow,19.9086112103058
1,Os03g0816800,Protein of unknown function DUF567 family protein.,,,,['not assigned.unknown'],LOC_Os03g60220,,34.7710193241792,1600,GreenYellow,19.1758927770795
2,Os07g0561300,Cyclin-like F-box domain containing protein.,Molecular Function: protein binding (GO:0005515),OsMsr9,,['not assigned.unknown'],LOC_Os07g37400,,40.0931298448458,1223,GreenYellow,18.8328321038429
3,Os05g0560600,Homeodomain-like containing protein.,Molecular Function: DNA binding (GO:0003677),OsMSL25,,"['RNA.regulation of transcription.Trihelix, Triple-Helix transcription factor family']",LOC_Os05g48690,Trihelix,28.1966558627366,2186,GreenYellow,18.5376253659018
4,Os03g0645900,Carotenoid oxygenase family protein.,,OsNCED3,"Carotenoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites",['hormone metabolism.abscisic acid.synthesis-degradation.synthesis.9-cis-epoxycarotenoid dioxygenase'],LOC_Os03g44380,,29.9895266697005,1989,GreenYellow,18.1553904977757
5,Os03g0792800,"Beta-1, 3-glucanase-like protein.","Biological Process: carbohydrate metabolic process (GO:0005975), Molecular Function: catalytic activity (GO:0003824), Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553), Molecular Function: cation binding (GO:0043169)",,,"['misc.beta 1,3 glucan hydrolases.glucan endo-1,3-beta-glucosidase']",LOC_Os03g57880,,34.9533540430901,1584,GreenYellow,18.0917044933313
6,Os05g0541100,IQ calmodulin-binding region domain containing protein.,Molecular Function: protein binding (GO:0005515),,,['signalling.calcium'],LOC_Os05g46350,,28.2700151942302,2179,GreenYellow,16.9808259214099
7,Os01g0138500,Protein of unknown function DUF789 family protein.,,,,['not assigned.unknown'],LOC_Os01g04590,,25.3462088755364,2552,GreenYellow,16.5888137446141
8,Os09g0539000,Hypothetical conserved gene.,,,,['not assigned.unknown'],LOC_Os09g36790,,24.8598390652955,2624,GreenYellow,16.2289507497985
9,Os07g0154100,Similar to Viviparous-14.,,OsNCED4,"Carotenoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites",['hormone metabolism.abscisic acid.synthesis-degradation.synthesis.9-cis-epoxycarotenoid dioxygenase'],LOC_Os07g05940,,33.213025576757,1699,GreenYellow,15.3854652804117
10,Os07g0614300,"Similar to Von Willebrand factor type A domain containing protein, expressed.",Molecular Function: protein binding (GO:0005515),,,['stress.biotic.PR-proteins.proteinase inhibitors.trypsin inhibitor'],LOC_Os07g42280,,25.5204274719139,2526,GreenYellow,15.3633792259402
11,Os01g0975000,Protein of unknown function DUF966 family protein.,,,,['not assigned.unknown'],LOC_Os01g74370,,23.8348692608195,2775,GreenYellow,14.4734674620569
12,Os04g0497000,Similar to Allyl alcohol dehydrogenase.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: zinc ion binding (GO:0008270), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747)",,,"['misc.oxidases - copper, flavone etc.']",LOC_Os04g41960,,22.4859983875944,2970,GreenYellow,14.1688711265814
13,Os04g0531100,"Small C2-domain protein consisting of a single C2 domain, Phloem protein, Signaling pathway involving Ca<sup>2+</sup> ions, Defense response",,"OsERG3, RPP16",,['not assigned.unknown'],LOC_Os04g44870,,21.7939099295552,3078,GreenYellow,14.166501069029
