Gene,MapMan,LOC_IDs,FC_1hr,pval_1hr,REG_1hr,FC_3hr,pval_3hr,REG_3hr,FC_6hr,pval_6hr,REG_6hr,FC_12hr,pval_12hr,REG_12hr,FC_1day,pval_1day,REG_1day
Os01g0100100,['signalling.G-proteins'],LOC_Os01g01010,-0.477993950192357,0.186651381928989,,-0.211611251378648,0.545790155938823,,-0.180363084510903,0.552570783236462,,-0.167642496258614,0.571863072966234,,0.038178076834183,0.902570447298045,
Os01g0100400,"['misc.oxidases - copper, flavone etc.']",LOC_Os01g01030,-0.041920790404642,0.980978067508182,,0.025121183285967,0.980656858973539,,-1.27765005508012,0.045561268111842,Down,-0.969306621910209,0.134124546765225,,-1.52679622774364,0.012948117383197,Down
Os01g0100700,['protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S5'],LOC_Os01g01060,0.316130100244407,0.600204718950182,,0.388349580806723,0.359421983640324,,0.944937671803599,0.003219078022247,,1.32354470223059,1.47E-05,Up,1.36439997452536,6.10E-06,Up
Os01g0100900,"[""lipid metabolism.''exotics'' (steroids, squalene etc).sphingolipids""]",LOC_Os01g01080,0.178280906163138,0.694325144802713,,0.403667457912964,0.123988717629177,,0.654404754190134,0.003205403769535,,0.886210248700063,2.98E-05,,1.23073813140748,2.18E-09,Up
Os01g0101200,['minor CHO metabolism.others'],LOC_Os01g01120,-0.547879755177378,0.284140049660572,,-1.40383932236027,3.43E-05,Down,-3.26983703110878,9.52E-25,Down,-4.25188825227336,2.41E-37,Down,-5.01630050941367,1.62E-47,Down
Os01g0101600,['RNA.RNA binding'],LOC_Os01g01150,0.312741084907096,0.352438061843226,,0.170657702978518,0.576439013883995,,-0.475864818815544,0.030970950586039,,-0.539857829446477,0.011430824406454,,-0.286260063713188,0.199615020499822,
Os01g0101700,['stress.abiotic.heat'],LOC_Os01g01160,-0.957482903718002,0.049251743231971,,-0.688634666398691,0.113047786152101,,-0.131483159381291,0.789272835366183,,-0.997977530130927,0.007564708018459,,-0.689901841999805,0.066100258956001,
Os01g0102300,['not assigned.unknown'],LOC_Os01g01280,-0.902589225172071,0.06788504685315,,-0.774004508595943,0.070399626955271,,-0.372621225668275,0.394235796164815,,-1.06350727403918,0.004084438193061,Down,-1.43442858725414,6.51E-05,Down
Os01g0102500,['not assigned.unknown'],LOC_Os01g01295,0.443487413740034,0.435403129606987,,0.263933487847951,0.594067539099529,,0.735702921586861,0.034456786619885,,0.85455971305292,0.0108561989629,,1.27764796292349,5.16E-05,Up
Os01g0102600,['amino acid metabolism.synthesis.aromatic aa.chorismate.shikimate kinase'],LOC_Os01g01302,-0.206389089971264,0.710243315125314,,-1.56092879030648,3.59E-09,Down,-3.47491152139164,1.00E-41,Down,-5.02005422454933,3.15E-69,Down,-5.43446499214335,4.51E-78,Down
Os01g0102850,NA,None,-1.29673321073931,0.057850715766601,,-1.29141754755785,0.023722311536539,Down,-1.5040956072435,0.003787606747593,Down,-1.76396146123328,0.000735218989947,Down,-1.87081503395496,0.000252521294361,Down
Os01g0103000,['RNA.regulation of transcription.SNF7'],LOC_Os01g01350,-0.249097112761441,0.887303043779363,,-0.570605634153509,0.578292884853534,,-1.83205102006563,0.017270378190317,Down,-1.42221725013687,0.065918503223507,,-1.40707036313344,0.059633569679586,
