id,Label,Description,GO,Symbol,KEGG,MapMan,MSU_LOC,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity
0,Os05g0257100,"Leucine-rich repeat, plant specific containing protein., Similar to SHR5-receptor-like kinase (Fragment).","Molecular Function: protein binding (GO:0005515),",,,"['protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII', 'signalling.receptor kinases.leucine rich repeat VIII-2', 'signalling.receptor kinases.S-locus glycoprotein like']",LOC_Os05g16824,,44.8160895845118,1001,Red,28.5793363512906
1,Os04g0182200,2OG-Fe(II) oxygenase domain containing protein.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors (GO:0016706)",,,['hormone metabolism.ethylene.synthesis-degradation'],LOC_Os04g10350,,40.9859446364204,1188,Red,28.2303730398617
2,Os05g0257333,Non-protein coding transcript.,,,,,None,,41.7433550229593,1155,Red,27.4063815458002
3,Os04g0405300,Similar to Stem secoisolariciresinol dehydrogenase (Fragment).,"Biological Process: metabolic process (GO:0008152), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: oxidoreductase activity (GO:0016491)",,,['misc.short chain dehydrogenase/reductase (SDR)'],LOC_Os04g33240,,34.1665769616655,1637,Red,27.1848506576788
4,Os11g0684000,Similar to Transcription factor MYB21 (Myb-related protein 21) (AtMYB21) (Myb homolog 3) (AtMyb3).,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515)","OsMYB21, Jamyb",,['RNA.regulation of transcription.MYB domain transcription factor family'],LOC_Os11g45740,MYB,44.7294145825635,1005,Red,26.876408807159
5,Os07g0127500,Similar to PR-1a pathogenesis related protein (Hv-1a) precursor.,Cellular Component: extracellular region (GO:0005576),PR1-72,"MAPK signaling pathway - plant, Plant hormone signal transduction, Plant-pathogen interaction",['stress.biotic'],LOC_Os07g03580,,30.9388831190915,1906,Red,25.9578566991684
6,Os06g0725100,"Lipase, GDSL domain containing protein.","Biological Process: lipid metabolic process (GO:0006629), Molecular Function: hydrolase activity, acting on ester bonds (GO:0016788)",GELP89,,['misc.GDSL-motif lipase'],LOC_Os06g50940,,40.1199404350319,1222,Red,25.7416345611498
7,Os04g0179700,"9-beta-pimara-7, 15-diene synthase, Momilactone phytoalexins biosynthesis, Defense response","Biological Process: metabolic process (GO:0008152), Molecular Function: magnesium ion binding (GO:0000287), Molecular Function: terpene synthase activity (GO:0010333), Molecular Function: lyase activity (GO:0016829)","OsKS4, OsKSL4, OsDTS2","Diterpenoid biosynthesis, Biosynthesis of secondary metabolites",['secondary metabolism.isoprenoids.terpenoids'],LOC_Os04g10060,,29.9223572816261,1995,Red,24.5332774040621
8,Os12g0564100,"Similar to Myb-like DNA-binding domain containing protein, expressed.","Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515)",JAdMYB2,,['RNA.regulation of transcription.MYB domain transcription factor family'],LOC_Os12g37690,MYB,38.3684263648435,1337,Red,24.4271283652728
9,Os11g0679700,"Glycerol-3-phosphate acyltransferase, Anther development, Pollen formation","Biological Process: metabolic process (GO:0008152), Molecular Function: transferase activity, transferring acyl groups (GO:0016746)",OsGPAT3,"Glycerolipid metabolism, Glycerophospholipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites",['lipid metabolism.Phospholipid synthesis'],LOC_Os11g45400,,33.7042565002965,1664,Red,23.4878858438745
10,Os05g0268500,"Similar to Serine carboxypeptidase 2., Similar to Serine carboxypeptidase II chains A and B (EC 3.4.16.6) (Carboxypeptidase D) (CPDW-II) (CP-WII).","Biological Process: proteolysis (GO:0006508), Molecular Function: serine-type carboxypeptidase activity (GO:0004185)",OsSCP27,,['protein.degradation.serine protease'],LOC_Os05g18604,,33.2886198641961,1694,Red,23.4859357251582
11,Os03g0289800,Similar to Leucoanthocyanidin dioxygenase-like protein.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: iron ion binding (GO:0005506), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors (GO:0016706)",,,"['secondary metabolism.flavonoids.anthocyanins', 'secondary metabolism.flavonoids.flavonols']",LOC_Os03g18030,,36.5523459110642,1465,Red,23.4345403132377
12,Os06g0154500,"Mitogen-activated protein kinase, Brassinosteroid (BR) signaling and homeostasis, Regulation of grain size and plant height","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: MAP kinase activity (GO:0004707), Molecular Function: ATP binding (GO:0005524)","MAPK6, OsMAPK6, OsMPK6, OsSIPK, SIPK, OsMAPK1, MAPK1, MPK1, OsMPK1, MPK6, DSG1","MAPK signaling pathway - plant, Plant hormone signal transduction, Plant-pathogen interaction","['protein.postranslational modification', 'signalling.MAP kinases']",LOC_Os06g06090,,29.3421156574156,2055,Red,23.4037269375129
13,Os07g0127600,Allergen V5/Tpx-1 related family protein.,Cellular Component: extracellular region (GO:0005576),PR1-73,"MAPK signaling pathway - plant, Plant hormone signal transduction, Plant-pathogen interaction",['stress.biotic'],"LOC_Os07g03288, LOC_Os07g03590",,26.2819597190969,2429,Red,22.9675808740424
14,Os01g0124100,"Proteinase inhibitor I12, Bowman-Birk family protein.","Cellular Component: extracellular region (GO:0005576), Molecular Function: serine-type endopeptidase inhibitor activity (GO:0004867)",,,['not assigned.unknown'],LOC_Os01g03330,,47.8101484487598,877,Red,22.8110166251609
15,Os06g0681700,"Protein of unknown function DUF6, transmembrane domain containing protein.",,,,['not assigned.unknown'],LOC_Os06g46820,,30.6830697812546,1929,Red,22.6911050774251
16,Os01g0802100,"4-diphosphocytidyl-2-C-methyl-D-erythritol kinase, Isoprenoid biosynthesis, Chloroplast development","Biological Process: terpenoid biosynthetic process (GO:0016114), Molecular Function: ATP binding (GO:0005524), Molecular Function: 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity (GO:0050515)","OsIspE, IspE, OsCMK, CMK","Terpenoid backbone biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites",['secondary metabolism.isoprenoids.non-mevalonate pathway.CMK'],LOC_Os01g58790,,24.415512027935,2684,Red,22.6449682053333
17,Os04g0395800,Tify domain containing protein.,Molecular Function: protein binding (GO:0005515),JAZ5,Plant hormone signal transduction,"['RNA.regulation of transcription.C2C2(Zn) CO-like, Constans-like zinc finger family']",LOC_Os04g32480,,35.6582529684321,1526,Red,21.7925454090182
18,Os07g0217600,"CytochromeP450 monooxygenase, Diterpenoid phytoalexin biosynthesis, Bacterial blight resistance","Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: iron ion binding (GO:0005506), Molecular Function: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705), Molecular Function: heme binding (GO:0020037)","CYP71Z2, Oscyp71Z2",,['misc.cytochrome P450'],LOC_Os07g11739,,26.7553790883768,2359,Red,21.3801498252446
19,Os03g0800000,"Similar to Nitrate and chloride transporter., Similar to nitrate and chloride transporter.",,,,['development.unspecified'],LOC_Os03g58580,,32.3154319945676,1782,Red,20.9948686052969
20,Os12g0189300,"Pyruvate/Phosphoenolpyruvate kinase, catalytic core domain containing protein., Non-protein coding transcript.","Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824),",,,['RNA.regulation of transcription.unclassified'],LOC_Os12g08760,,22.5854765379147,2958,Red,20.6684511881758
21,Os03g0817200,"Amino acid transporter, transmembrane domain containing protein.",,,,['transport.amino acids'],LOC_Os03g60260,,35.1775711023065,1561,Red,20.2373822709795
22,Os08g0501500,EGF-type aspartate/asparagine hydroxylation site domain containing protein.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: calcium ion binding (GO:0005509), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",OsWAK74,,['protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII'],LOC_Os08g39210,,24.2485037875388,2707,Red,20.1700183374688
23,Os11g0228201,Hypothetical gene.,,,,,None,,23.132128337233,2875,Red,20.1132056218397
24,Os04g0104900,Similar to 0-methyltransferase (EC 2.1.1.6) (Fragment).,"Molecular Function: methyltransferase activity (GO:0008168), Molecular Function: O-methyltransferase activity (GO:0008171), Molecular Function: protein dimerization activity (GO:0046983)",COMTL2,,['misc.O-methyl transferases'],LOC_Os04g01470,,22.6132632679599,2953,Red,19.5361239952934
25,Os12g0448900,"Fatty acid alpha-dioxygenase family, Enzyme that oxygenates fatty acids into 2R-hydroperoxides","Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: peroxidase activity (GO:0004601), Molecular Function: heme binding (GO:0020037)","PIOX, RalphaO","alpha-Linolenic acid metabolism, Biosynthesis of secondary metabolites",['stress.abiotic'],LOC_Os12g26290,,41.0318759123037,1184,Red,19.4086215192549
26,Os11g0170300,Similar to CBS domain containing protein.,"Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824), Molecular Function: protein binding (GO:0005515)",OsCBSCBSPB2,,['not assigned.unknown'],LOC_Os11g06930,,38.6181984361769,1316,Red,19.3875839148741
27,Os11g0113300,Conserved hypothetical protein.,,,,['not assigned.unknown'],LOC_Os11g02200,,25.3691517145406,2549,Red,19.3216753833208
28,Os06g0549900,"FAD linked oxidase, N-terminal domain containing protein.","Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: catalytic activity (GO:0003824), Molecular Function: UDP-N-acetylmuramate dehydrogenase activity (GO:0008762), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: oxidoreductase activity, acting on CH-OH group of donors (GO:0016614), Molecular Function: flavin adenine dinucleotide binding (GO:0050660)",,,"['misc.nitrilases, *nitrile lyases, berberine bridge enzymes, reticuline oxidases, troponine reductases']",LOC_Os06g35700,,31.0838609008954,1891,Red,19.2233336277379
29,Os05g0161800,RelA/SpoT domain containing protein.,"Biological Process: guanosine tetraphosphate metabolic process (GO:0015969), Molecular Function: calcium ion binding (GO:0005509)",OsCRSH3,"Purine metabolism, Metabolic pathways",['signalling.calcium'],LOC_Os05g06940,,21.1065166905616,3204,Red,19.1430673021434
30,Os01g0504500,"Similar to Transparent testa 12 protein., Multi antimicrobial extrusion protein MatE family protein.","Biological Process: drug transmembrane transport (GO:0006855), Biological Process: transmembrane transport (GO:0055085), Cellular Component: membrane (GO:0016020), Molecular Function: drug transmembrane transporter activity (GO:0015238), Molecular Function: antiporter activity (GO:0015297)",OsMATE1,,['transport.misc'],LOC_Os01g31980,,35.8558095211189,1509,Red,19.1357089659821
31,Os04g0516600,"Pyridoxal phosphate-dependent transferase, major region, subdomain 1 domain containing protein.","Biological Process: cellular amino acid metabolic process (GO:0006520), Molecular Function: catalytic activity (GO:0003824), Molecular Function: lyase activity (GO:0016829), Molecular Function: pyridoxal phosphate binding (GO:0030170)",,"Glycine, serine and threonine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids",['amino acid metabolism.degradation.serine-glycine-cysteine group.glycine'],LOC_Os04g43650,,30.5241064283617,1938,Red,18.5458430064693
32,Os06g0663900,"Similar to (RAP Annotation release2) Protein kinase-like domain containing protein., Protein kinase, core domain containing protein.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772),",,,['protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VI'],LOC_Os06g45350,,19.572585504814,3515,Red,18.1157220669042
