id,Label,Description,GO,Symbol,KEGG,MapMan,MSU_LOC,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity
0,Os10g0208500,"Hypothetical protein., Oxoglutarate/iron-dependent oxygenase domain containing protein., Hypothetical conserved gene.",", Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors (GO:0016706)",,,['not assigned.unknown'],LOC_Os10g14180,,17.818328748263,3868,Grey60,8.71506302498267
1,Os01g0392600,"Conserved hypothetical protein., Hypothetical protein.",,,,['not assigned.unknown'],LOC_Os01g29804,,19.0461229930389,3621,Grey60,7.56153990432702
2,Os06g0171900,"WD40 subfamily protein, Salt stress, Similar to GAMYB-binding protein (Fragment).",Molecular Function: protein binding (GO:0005515),"SRWD3, SRWD3, OsWD40-126",,['development.unspecified'],LOC_Os06g07540,,14.850613937321,4658,Grey60,7.31212320727462
3,Os03g0734900,"Similar to CCT motif family protein, expressed.","Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270), Molecular Function: sequence-specific DNA binding (GO:0043565)",OsTIFY1b,,['RNA.regulation of transcription.C2C2(Zn) GATA transcription factor family'],LOC_Os03g52450,GATA,16.0753847598896,4331,Grey60,7.20618717049845
4,Os09g0449600,"Similar to F-box protein interaction domain containing protein, expressed.",Molecular Function: protein binding (GO:0005515),,,['not assigned.unknown'],LOC_Os09g27660,,17.5200444172908,3937,Grey60,7.17314720957432
5,Os03g0789800,"Hypothetical conserved gene., Conserved hypothetical protein.",,,,['not assigned.unknown'],LOC_Os03g57580,,21.2277147114889,3181,Grey60,7.04996231072385
6,Os11g0251400,"Hypothetical conserved gene., Ankyrin repeat containing protein., Ankyrin repeat domain containing protein.",Molecular Function: protein binding (GO:0005515),,,['cell.organisation'],LOC_Os11g14544,,14.6119920859167,4718,Grey60,6.47826923145612
7,Os06g0143000,Iron-superoxide dismutase (EC 1.15.1.1).,"Biological Process: superoxide metabolic process (GO:0006801), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: superoxide dismutase activity (GO:0004784), Molecular Function: metal ion binding (GO:0046872)","OsFe-SOD, OsFe-SODb",Peroxisome,['redox.dismutases and catalases'],LOC_Os06g05110,,12.0189238879517,5564,Grey60,6.40168849364731
8,Os07g0516500,"Conserved hypothetical protein., Hypothetical conserved gene.",,,,['not assigned.unknown'],LOC_Os07g33300,,13.1743135782264,5186,Grey60,6.35878836093058
9,Os06g0147100,"Similar to cDNA clone:J023088C01, full insert sequence., Conserved hypothetical protein.",,,,['not assigned.unknown'],LOC_Os06g05440,,11.8759048247411,5618,Grey60,6.21625792352509
10,Os05g0491200,Similar to SNF1 kinase complex anchoring protein (Fragment).,Molecular Function: protein binding (GO:0005515),akin-b|akin-beta,,['not assigned.unknown'],LOC_Os05g41220,,15.8287435336015,4396,Grey60,6.11880757405489
11,Os03g0103700,Non-protein coding transcript.,,,,['not assigned.unknown'],LOC_Os03g01350,,24.8004056020383,2632,Grey60,5.63995237670012
12,Os06g0298400,WW/Rsp5/WWP domain containing protein.,Molecular Function: protein binding (GO:0005515),,,['not assigned.unknown'],LOC_Os06g19470,,15.2951664803287,4534,Grey60,5.60877528715908
13,Os07g0507700,Bromodomain domain containing protein.,Molecular Function: protein binding (GO:0005515),,,['RNA.regulation of transcription.Global transcription factor group'],LOC_Os07g32420,,18.4839259077188,3724,Grey60,5.58690148687256
14,Os07g0294300,Conserved hypothetical protein.,,,,,None,,12.1314775823817,5521,Grey60,5.46256267772585
15,Os02g0227100,Conserved hypothetical protein.,,OsO3L3,,['not assigned.unknown'],LOC_Os02g13370,,12.080270379032,5537,Grey60,5.44557310891671
16,Os02g0610700,"Chlorophyll a/b binding protein domain domain containing protein., Conserved hypothetical protein.",,,,['not assigned.unknown'],LOC_Os02g39730,,12.2902341655447,5475,Grey60,5.41701552766414
17,Os02g0522300,"Conserved hypothetical protein., Similar to cDNA clone:001-036-H04, full insert sequence.",,,,['not assigned.unknown'],LOC_Os02g32250,,11.811939269314,5645,Grey60,5.35538410170982
18,Os04g0380300,"Kelch-type beta propeller domain containing protein., Non-protein coding transcript.","Molecular Function: protein binding (GO:0005515),",,,['protein.degradation.ubiquitin.E3.SCF.FBOX'],LOC_Os04g31120,,11.8945114745345,5611,Grey60,5.26698396492277
19,Os06g0559400,Conserved hypothetical protein.,,OsO3L2,,['not assigned.unknown'],LOC_Os06g36390,,9.45186189881969,6514,Grey60,4.88531581840079
20,Os03g0184550,Similar to Dihydroflavonol-4-reductase.,"Biological Process: cellular metabolic process (GO:0044237), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: catalytic activity (GO:0003824), Molecular Function: coenzyme binding (GO:0050662)",,"Terpenoid backbone biosynthesis, Sesquiterpenoid and triterpenoid biosynthesis, Biosynthesis of secondary metabolites","['secondary metabolism.flavonoids.dihydroflavonols', 'secondary metabolism.flavonoids.flavonols']",LOC_Os03g08624,,12.5324198700153,5408,Grey60,4.6610879470442
21,Os08g0485700,"Methyl-CpG DNA binding domain containing protein., Hypothetical conserved gene.","Cellular Component: intracellular (GO:0005622), Cellular Component: nucleus (GO:0005634), Molecular Function: DNA binding (GO:0003677), Molecular Function: zinc ion binding (GO:0008270)",ZOS8-09,,['RNA.regulation of transcription.Methyl binding domain proteins'],LOC_Os08g37920,C2H2,7.95596227168544,7208,Grey60,4.64106629267031
22,Os11g0608000,"Nucleotide-binding, alpha-beta plait domain containing protein.",Molecular Function: nucleotide binding (GO:0000166),,,['not assigned.unknown'],LOC_Os11g39430,,15.8580083509045,4389,Grey60,4.62745680722951
23,Os06g0677300,"Zinc finger, RING/FYVE/PHD-type domain containing protein.",Molecular Function: zinc ion binding (GO:0008270),OsRFPV-5,,['protein.degradation.ubiquitin.E3.RING'],LOC_Os06g46366,,32.5676719065705,1762,Grey60,4.61919395958444
24,Os11g0634350,Non-protein coding transcript.,,,,,None,,28.1738883069061,2190,Grey60,4.51462914312143
25,Os06g0130000,"AAA-type ATPase, Defense response, Similar to Tobacco mosaic virus helicase domain-binding protein (Fragment)., Similar to ATP binding.","Molecular Function: ATP binding (GO:0005524), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: ATP binding (GO:0005524), Molecular Function: nucleoside-triphosphatase activity (GO:0017111)","LMR, SPL4",,['protein.degradation.AAA type'],LOC_Os06g03940,,9.32540554138624,6567,Grey60,4.49347482640342
26,Os08g0500200,"CBF1-interacting co-repressor CIR, N-terminal domain containing protein., Similar to predicted protein.",,,,['not assigned.unknown'],LOC_Os08g39090,,10.999670624866,5934,Grey60,4.45505178116168
27,Os05g0425700,Similar to F-box protein AtFBL5.,,,Ubiquitin mediated proteolysis,['protein.degradation.ubiquitin.E3.SCF.FBOX'],LOC_Os05g35110,,8.7301555528851,6843,Grey60,4.42351594004397
28,Os11g0444700,Octicosapeptide/Phox/Bem1p domain containing protein.,Molecular Function: protein binding (GO:0005515),,,,LOC_Os11g25780,,15.5188127062769,4482,Grey60,4.41215834418806
