id,Label,Description,GO,Symbol,KEGG,MapMan,MSU_LOC,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity
0,Os03g0244000,"Heat shock protein DnaJ, cysteine-rich region domain containing protein.","Molecular Function: heat shock protein binding (GO:0031072), Molecular Function: unfolded protein binding (GO:0051082)",,,['protein.folding'],LOC_Os03g14040,,261.611091542723,1,Blue,218.048208855692
1,Os03g0611200,Aldo/keto reductase family protein.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity (GO:0016491)",,,['minor CHO metabolism.others'],LOC_Os03g41510,,261.095724654625,2,Blue,218.00053818126
2,Os06g0705100,Similar to Thylakoid lumenal 13.3 kDa protein (P16.5) (Fragment).,,,,['not assigned.unknown'],LOC_Os06g49160,,246.590346704227,7,Blue,207.560828685653
3,Os04g0459500,"Similar to H0219H12.1 protein., Similar to GADPH (383 AA) (Fragment).","Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620), Biological Process: glucose metabolic process (GO:0006006), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620), Molecular Function: NADP binding (GO:0050661), Molecular Function: NAD binding (GO:0051287)",,,['PS.calvin cycle.GAP'],LOC_Os04g38600,,251.460423962341,5,Blue,200.824093539563
4,Os05g0401100,Protein of unknown function DUF477 family protein.,,,,['not assigned.unknown'],LOC_Os05g33280,,238.096020569247,11,Blue,197.050181799237
5,Os05g0390100,Dynamin family protein.,"Cellular Component: intracellular (GO:0005622), Molecular Function: GTP binding (GO:0005525)",,,['signalling.G-proteins'],LOC_Os05g32390,,238.428505645112,9,Blue,195.952103486348
6,Os01g0958100,"Similar to chloroplast SRP receptor cpFtsY precursor., Similar to chloroplast srp54 receptor1.","Biological Process: SRP-dependent cotranslational protein targeting to membrane (GO:0006614), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: GTP binding (GO:0005525), Molecular Function: nucleoside-triphosphatase activity (GO:0017111),",,Protein export,['protein.targeting.chloroplast'],LOC_Os01g72800,,229.029147061941,23,Blue,194.64283386295
7,Os08g0553800,NAD(P)-binding domain containing protein.,Molecular Function: nucleotide binding (GO:0000166),,,['not assigned.unknown'],LOC_Os08g44000,,233.767391513196,17,Blue,194.257663977922
8,Os05g0496200,"Similar to 3-phosphoglycerate kinase (Fragment)., Similar to phosphoglycerate kinase.","Biological Process: glycolysis (GO:0006096), Molecular Function: phosphoglycerate kinase activity (GO:0004618)",OsPgk3,"Glycolysis / Gluconeogenesis, Carbon fixation in photosynthetic organisms, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids",['PS.calvin cycle.phosphoglycerate kinase'],LOC_Os05g41640,,231.78220355798,21,Blue,193.938132905138
9,Os07g0513000,"Similar to ATP synthase gamma chain, chloroplast (EC 3.6.1.34) (Fragment).","Biological Process: ATP synthesis coupled proton transport (GO:0015986), Cellular Component: proton-transporting ATP synthase complex, catalytic core F(1) (GO:0045261), Molecular Function: hydrogen ion transporting ATP synthase activity, rotational mechanism (GO:0046933), Molecular Function: proton-transporting ATPase activity, rotational mechanism (GO:0046961)",,"Oxidative phosphorylation, Photosynthesis, Metabolic pathways",['PS.lightreaction.ATP synthase.gamma chain'],LOC_Os07g32880,,233.562488181628,18,Blue,193.666501124153
10,Os03g0861700,"Rhodanese-like domain containing protein., Similar to predicted protein.",,,,['misc.rhodanese'],LOC_Os03g64350,,227.951015934594,26,Blue,192.375532056088
11,Os01g0938100,"Photosystem II protein Psb28, class 1 domain containing protein.","Biological Process: photosynthesis (GO:0015979), Cellular Component: photosystem II (GO:0009523), Cellular Component: oxygen evolving complex (GO:0009654), Cellular Component: membrane (GO:0016020)",PSB28,"Photosynthesis, Metabolic pathways",['PS.lightreaction.photosystem II.PSII polypeptide subunits'],LOC_Os01g71190,,246.592794630267,6,Blue,192.142290387949
12,Os03g0765900,PetM of cytochrome b6/f complex subunit 7 domain containing protein.,Cellular Component: cytochrome b6f complex (GO:0009512),,,['not assigned.unknown'],LOC_Os03g55720,,227.75644852592,27,Blue,190.296895881959
13,Os05g0131100,Conserved hypothetical protein.,,,,['not assigned.unknown'],LOC_Os05g04070,,233.410126633131,19,Blue,187.679253197669
14,Os03g0563300,"Magnesium-chelatase subunit ChlI, Mg-chelatase I subunit, Chlorophyll biosynthesis, Chloroplast development","Biological Process: chlorophyll biosynthetic process (GO:0015995), Molecular Function: ATP binding (GO:0005524), Molecular Function: magnesium chelatase activity (GO:0016851)","ELL, OsCHLI","Porphyrin metabolism, Metabolic pathways, Biosynthesis of secondary metabolites",['tetrapyrrole synthesis.magnesium chelatase'],LOC_Os03g36540,,228.185742894963,25,Blue,186.902231758696
15,Os01g0618800,"Similar to ATP-dependent zinc metalloprotease FTSH 9, chloroplastic/mitochondrial., Similar to Cell division protease ftsH homolog 9, chloroplastic/mitochondrial.","Biological Process: proteolysis (GO:0006508), Molecular Function: metalloendopeptidase activity (GO:0004222), Molecular Function: ATP binding (GO:0005524)",,,['protein.degradation.metalloprotease'],LOC_Os01g43150,,238.145687751342,10,Blue,186.714661336004
16,Os04g0602100,"Plant ascorbate peroxidase domain containing protein., Similar to B0403H10-OSIGBa0105A11.15 protein.","Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: peroxidase activity (GO:0004601), Molecular Function: heme binding (GO:0020037)",,"Ascorbate and aldarate metabolism, Glutathione metabolism, Metabolic pathways",['redox.ascorbate and glutathione.ascorbate'],LOC_Os04g51300,,232.206915354144,20,Blue,185.747904429143
17,Os02g0285800,"Similar to GTP-binding protein typA (Tyrosine phosphorylated protein A)., Similar to predicted protein.","Cellular Component: intracellular (GO:0005622), Molecular Function: GTPase activity (GO:0003924), Molecular Function: GTP binding (GO:0005525), Cellular Component: intracellular (GO:0005622), Molecular Function: GTP binding (GO:0005525)",,,['protein.synthesis.elongation'],LOC_Os02g18450,,240.048122913423,8,Blue,185.728604567627
18,Os11g0242400,Similar to Rieske.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: 2 iron, 2 sulfur cluster binding (GO:0051537)",,,['misc. other Ferredoxins and Rieske domain'],LOC_Os11g13850,,235.75500137811,14,Blue,183.547307540491
